calorie per kilogram per hour 237
crowned with garlands and went 46
culture and education had been 42
culture and education has been 58
culture and evidence for their 43
culture and identity has been 102
culture and politics has been 77
culture and provides its most 185
culture and tradition has been 65
culture yet observed has been 55
cutters and slashers that have 47
