cage moves up and out 148
cell phone in her bag 52
cell phone in her car 101
cell phone in her lap 51
cell phone in his car 125
cell phone in his lap 48
cell phone on his hip 60
cell phone on his way 67
cell phone so that she 47
cell phone so that they 43
cell phone so that you 45
cell phone so you can 109
cell phone to let her 103
cell phone to let him 94
cell phone to say she 46
cell phone to say that 125
cell phone to see how 47
cell types is not yet 42
cell walls so that they 109
cell where he was being 93
cell which is cut off 65
chat would be thin and 154
cheap price to pay for 3075
cheat hides the bad die 150
cheat until he had got 42
chin resting on her head 141
chin resting on his head 43
chin until the end had 53
chin where he had cut 43
city after the sun goes 47
city after the war and 45
city after the war was 56
city empty of its men 47
city funds to pay for 51
city lifts up for its 54
city ports by this hath 75
city until the sky was 44
city walls an owl was 46
city where he and his 207
city where he did not 113
city where he does not 56
city where he had had 45
city where he had his 139
city where he had met 47
city where he had not 110
city where he has his 66
city where he was going 116
city where he was not 151
city where he was now 79
city where he was then 60
city where it does not 48
city where it was not 80
city where no one has 46
city where the air was 69
city where the east and 91
city where the man who 41
city where we did not 74
city which he and his 60
city which he did not 164
city which he does not 43
city which he had long 103
city which he had not 235
city which he had won 64
city which is his own 178
city which is not set 62
city which is now being 43
city which is now his 59
city which to this day 63
city which we did not 71
city while it was being 48
city while it was yet 40
city while on his way 44
city would be cut off 121
city would be one and 153
clad usurp the bed and 75
clay while he was yet 57
clay while it was wet 45
clean breast of all her 44
clean breast of all his 177
clean breast of all that 390
clean breast of his own 73
clean breast of things and 139
clean breast of things with 46
clean breast of this than 49
clean glass or dry wax 42
clean lines of his jaw 42
clean sweep of all her 40
clean sweep of all his 176
clean sweep of all its 76
clean sweep of all our 122
clean sweep of all that 648
clean sweep of all this 165
clean sweep of them all 164
clean sweep of them both 54
clean water on you and 63
clear about is that this 41
clear about the things that 100
clear about the things you 42
clear about the way they 78
clear after the war that 281
clear again to his dying 53
clear first of all that 986
clear grasp of his own 56
clear issue of this war 42
clear light of day and 288
clear light of day she 81
clear light of day that 142
clear light of day they 49
clear light of his own 127
clear light of its own 73
clear light of our own 65
clear night we can see 44
clear notion of his own 146
clear notion of how they 87
clear notion of how this 53
clear notion of why they 63
clear proof of his being 70
clear proof of its being 101
clear proof of this was 52
clear right to ask for 45
clear sense in his own 51
clear sense of her own 286
clear sense of his own 582
clear sense of how far 43
clear sense of how long 43
clear sense of how she 63
clear sense of how they 243
clear sense of how things 56
clear sense of how this 93
clear sense of how you 60
clear sense of its own 331
clear sense of our own 166
clear sense of this that 42
clear sense of who one 178
clear sense of who she 117
clear sense of who they 471
clear sense of who was 56
clear sense of who you 215
clear sense of why they 106
clear sense of why you 43
clear sense to say that 97
clear sight to see all 69
clear thinking in this area 105
clear title to his own 62
clear views of god and 75
clear views of his own 114
clear vision of all that 193
clear vision of god and 86
clear vision of her own 42
clear vision of his own 133
clear vision of how they 100
clear vision of how things 63
clear vision of how this 44
clear vision of how you 75
clear vision of its own 53
clear vision of near and 70
clear vision of one who 45
clear vision of who they 50
clear vision of who you 45
clear voice so that all 60
clear water is run off 72
clear where he was going 73
clear where we are going 79
clear which of them are 64
clear which of them was 151
clear white of his eye 82
clinging close to her all 139
clinging still to its bit 53
club where he and his 61
clue where he was going 182
clue where we are going 42
clung about the old man 54
clung close to her head 154
coal miner in his pit 70
coal mines in that area 53
coal mines in this area 153
coal stove at one end 40
coat which he had had 47
coat which he had not 47
coat which he had put 76
cock crowing on its own 81
cock crows on his own 82
cock slide in and out 150
cock sliding in and out 441
code easier to read and 1095
code makes it easy for 41
code which is not too 86
code would at this day 56
coil moves in and out 119
coin money in his own 472
coin within the old man 86
coin would be let out 40
cold after the sun goes 49
cold after the sun set 41
cold blast of air and 49
cold blast of air hit 78
cold blast of air that 190
cold blood in one day 52
cold cloths on her head 78
cold cloths on his head 109
cold cloths to his head 63
cold feeling in his gut 52
cold frame or hot bed 82
cold glint in his eye 85
cold hands in her lap 64
cold hands in her own 217
cold hands in his and 192
cold hands in his own 142
cold hands on her hot 75
cold layer of air near 73
cold light of day and 237
cold light of day she 109
cold light of day that 108
cold light of day they 63
cold maids do dead men 617
cold makes me now too 153
cold steel of his gun 55
cold steel or hot lead 56
cold towel on his head 40
cold water as they are 77
cold water as you can 85
cold water if they are 43
cold water is all that 104
cold water is bad for 44
cold water it does not 78
cold water on all this 66
cold water on head and 45
cold water on her and 65
cold water on her head 127
cold water on her hot 57
cold water on him and 153
cold water on his head 793
cold water on his own 67
cold water on its head 55
cold water on that idea 55
cold water on them and 79
cold water on this idea 105
cold water or ice and 62
cold water or ice for 46
cold water or ice may 64
cold water or with hot 51
cold water so that they 102
cold water so that you 41
cold water to bring her 43
cold water to bring him 44
cold water to get rid 227
cold water to head and 42
cold water to his head 82
cold water to mix with 62
cold water to one who 60
cold water to rid them 49
cold water to try and 46
cold weather if they are 52
cold winds do not set 42
come about as they did 88
come about by its own 54
come about he did not 94
come about if not for 62
come about if they are 199
come about if you are 54
come about in any one 275
come about in any way 61
come about in his own 46
come about in its own 52
come about in one way 135
come about in our day 61
come about in our own 123
come about in that day 280
come about in that way 247
come about in this area 49
come about in this way 4927
come about of his own 67
come about of its own 1043
come about on its own 659
come about on that day 90
come about to that one 98
come about we can not 219
come after me and mow 217
come after me and try 45
come after me and who 40
come after me can not 393
come after me let him 774
come after me with his 126
come after me with that 49
come after no one has 87
come after the war and 92
come after the war was 61
come after us and bear 42
come after us and see 40
come after us and who 74
come after us are and 60
come after us are not 106
come after us may not 84
come after us may see 54
come after we are dead 42
come again in all his 48
come again in his own 46
come again my god may 70
come again on his way 47
come again the way you 44
come again to ask for 42
come again to ask you 42
come again to earth and 43
come again to him for 68
come again to his own 263
come again to its own 49
come again to our own 48
come again to see her 218
come again to see him 197
come again to see how 60
come again to see them 132
come again to see tom 53
come again to see you 648
come again to thee and 42
come again to this earth 248
come again to try you 184
come again to you and 54
come again to you with 104
come alike on them that 229
come alike to all men 80
come alive as they are 43
come alive in all its 74
come alive in his own 59
come alive in this way 50
come close to any one 107
come close to being all 46
come close to being met 50
come close to being one 78
come close to being that 120
come close to death and 243
come close to death but 56
come close to doing that 490
come close to doing this 193
come close to god and 154
come close to her and 579
come close to her own 40
come close to him and 541
come close to him for 55
come close to him with 43
come close to him you 89
come close to his bed 46
come close to his own 108
come close to its end 43
come close to our own 84
come close to them and 206
come close to this idea 104
come close to this one 107
come close to war with 53
come close to you and 348
come daily on eye and 46
come driving by them all 45
come easier to him than 46
come easier to you than 61
come easily to her and 69
come easily to him and 199
come easily to him but 45
come easily to one who 84
come easily to you and 63
come either to sit with 40
come first in all things 43
come fully to its own 53
come hither to ask for 101
come hither to die for 231
come hither to dig for 44
come hither to our aid 70
come hither to see and 42
come hither to see thee 65
come hither to see you 126
come loose at one end 51
come loose if they can 74
come miles to hear jim 100
come nearer so that they 43
come nearer to god and 372
come nearer to god than 151
come nearer to her than 115
come nearer to him and 79
come nearer to him than 186
come nearer to his own 93
come nearer to our own 938
come nearer to them than 126
come nearer to you and 50
come nearer to you than 42
come often to him out 41
come often to see her 236
come often to see him 215
come often to see them 45
come often to see you 273
come quick as you can 83
come right in and get 91
come right in and set 62
come right in and sit 469
come right of its own 73
come right on out and 62
come right on out with 42
come right up and see 51
come round to her way 307
come round to him who 682
come round to his own 173
come round to his way 760
come round to our way 342
come round to see her 288
come round to see him 354
come round to see how 134
come round to see that 173
come round to see you 713
come round to that way 86
come round to this way 146
come round to you and 86
come running in and out 91
come running in and say 45
come running to her aid 49
come running to her with 56
come running to him and 72
come running to him for 58
come running to him with 216
come running to his aid 62
come running to see you 56
come running to you for 87
come running to you with 131
come rushing to her aid 45
come short of being real 288
come short of our own 82
come since the day that 325
come spend the day with 96
come thither of its own 55
come thither to get her 53
come thither to him with 47
come thither to put out 132
come today to ask you 50
come under my own eye 149
come under the act and 133
come under the law and 142
come under the law that 404
come under the new act 55
come under the new law 327
come until it was too 79
come until the war was 44
come where he may deal 43
come where he was not 44
come where we can use 40
come while he was out 289
come while we are yet 41
come would be but few 51
coming about in this way 52
coming after me with that 52
coming after us with that 40
coming again to see you 51
coming close to her and 165
coming close to him and 251
coming close to his own 56
coming daily to see him 44
coming daily to see this 50
coming dancing in with her 65
coming hither is not for 80
coming kingdom of god and 1089
coming kingdom of god that 107
coming kingdom of god was 131
coming kingdom of god with 44
coming nearer to him and 70
coming nearer to him than 49
coming nearer to his own 105
coming nearer to our own 141
coming reign of god and 141
coming right at you and 44
coming round to his way 78
coming round to our way 47
coming round to see her 62
coming round to see him 64
coming round to see that 87
coming round to see you 355
coming round to you this 97
coming until it was too 951
coming where he was not 69
coming where it does and 80
coming while he was yet 44
cone moves in and out 57
cook badly if you are 61
cook until the meat and 97
cook until the peas are 431
cool after the heat and 46
cool hands on his hot 51
cool place to hang out 452
cool place to sit and 72
cool under the tap and 257
cord fixed at one end 68
cord round the dead man 109
cord which no man can 228
corn where we now see 47
cost anything to say you 40
cost equal to its own 224
cost money to buy and 131
cost money to fix things 42
cost savings in this area 157
cost since it does not 55
cost which we can not 76
cost would be far too 55
coup paved the way for 72
cozy place to sit and 41
cream tasting as that did 50
crew glide to and fro 220
cringing beneath it and saw 68
crop grown in this area 89
crying aloud or singing his 41
crying aloud to god for 95
crying evils of our day 59
crying needs of our day 54
cube roots in his head 104
cult gains in age and 63
cult which in our day 50
cups which he had won 41
curt shake of her head 104
curt shake of his head 268
cuts about the head and 211
cuts which it had got 53
