called a casket of learning 64
choosing a system in which 57
chosen a career in music 47
chosen a career in which 122
chosen a course of action 1115
chosen a member of either 415
church a couple of miles 74
church a couple of months 46
church a couple of times 379
church a couple of weeks 70
church a number of times 95
cinema a couple of times 40
circle a couple of times 544
circle a number of times 122
circle a secant is drawn 53
circling a couple of times 45
cleaned a number of times 57
clearly a matter in which 74
clearly a matter of grave 41
clearly a matter of social 70
clearly a matter of state 58
clearly a matter of taste 90
clearly a matter of vital 40
clearly a matter on which 76
clearly a matter to which 49
clearly a source of pride 125
clearly a system in which 42
clergy i expect no mercy 76
climbing a flight of steps 203
climbing a ladder to heaven 66
climbing a series of steps 47
climbs a flight of steps 57
climbs a series of steep 42
clinic a couple of times 43
clinic a number of times 48
closed a couple of times 207
closed a number of times 149
clothes a couple of times 57
clothes a number of times 49
coffee a couple of times 150
coined a number of terms 75
coined a number of words 43
commit a murder in order 106
common a system of signs 46
compel a person to appear 81
compel a person to engage 109
compel a person to enter 61
comply a little in favor 51
convey a letter to sophia 83
convey a number of meanings 89
convey a supply of water 64
copied a number of times 209
corpse a proper sea burial 149
corral a couple of goats 55
corral a couple of times 56
coughing a couple of times 64
coughs a couple of times 53
course a couple of miles 49
course a couple of times 115
course a matter of taste 203
course a matter on which 45
course a number of others 40
course a number of people 77
course a number of times 240
course i mention the deeds 77
course i remain on terms 47
course i should be happy 62
course i should be sorry 64
course i should be willing 43
course i thought he would 76
course i thought it would 52
course i wanted to marry 41
course i wanted to slide 66
courts a number of times 209
covering a bridge by which 47
covering a couple of acres 63
covering a number of cases 57
covering a number of items 66
covering a number of months 48
covering a radius of about 92
covers a number of basic 43
covers a number of cases 67
covers a number of forms 71
covers a number of items 195
covers a number of major 61
covers a number of pages 47
covers a number of quite 57
covers a number of small 77
covers a number of themes 46
covers a radius of about 53
covers a square of about 59
created a course of study 43
created a crisis in which 97
created a crisis of major 41
created a crisis of sorts 45
created a degree of social 43
created a degree of unity 49
created a doctor of civil 43
created a furore in paris 58
created a gusset to allow 41
created a market in which 141
created a medium in which 74
created a milieu in which 321
created a native of heaven 86
created a number of large 143
created a number of legal 79
created a number of local 75
created a number of major 95
created a number of roles 95
created a number of small 268
created a number of social 232
created a number of state 107
created a number of tools 56
created a number of works 259
created a reality in which 94
created a record of sorts 71
created a regime in which 51
created a school in which 44
created a senate of women 54
created a series of black 42
created a series of books 72
created a series of eight 90
created a series of films 53
created a series of lakes 44
created a series of large 146
created a series of local 56
created a series of major 49
created a series of short 59
created a series of small 216
created a series of social 90
created a series of steps 47
created a series of words 43
created a series of works 299
created a source of danger 81
created a sphere in which 52
created a spirit of unity 64
created a system by which 194
created a system in which 1609
created a system of fixed 42
created a system of legal 60
created a system of local 173
created a system of lower 55
created a system of quiet 80
created a system of social 162
created a system of state 215
created a system of writing 163
created a vacuum in which 312
created a vacuum of power 318
created a widening of human 101
creates a burden of proof 45
creates a crisis in which 49
creates a fiction in which 46
creates a market in which 73
creates a medium in which 64
creates a milieu in which 164
creates a mirror in which 66
creates a number of files 91
creates a number of small 43
creates a number of social 74
creates a number of threads 49
creates a portal of entry 80
creates a reality in which 92
creates a series of rules 49
creates a series of small 99
creates a source of danger 52
creates a system in which 379
creates a system of social 45
creates a vacuum in which 131
credit a number of books 100
crossing a bridge of boats 76
crossing a couple of small 54
crossing a number of small 67
cuffed a little to allay 84
curious a phrase as blank 111
cycled a number of times 51
