capital actions of treason many 40
certain measure of relief from 63
certain number of authors have 75
certain number of cattle from 40
certain number of cattle were 51
certain number of changes have 69
certain number of copies have 134
certain number of copies were 175
certain number of copies will 45
certain number of highly paid 66
certain number of houses were 52
certain number of inches from 83
certain number of indians from 45
certain number of indians were 81
certain number of lances into 71
certain number of pieces from 46
certain number of places were 89
certain number of points along 46
certain number of points from 186
certain number of points have 86
certain number of points must 44
certain number of points were 69
certain number of points will 42
certain number of pupils from 41
certain number of rupees duly 51
certain number of servings from 76
certain number of shares from 59
certain number of shares have 58
certain number of shares were 60
certain number of simple ideas 461
certain number of slaves were 66
certain number of square feet 585
certain number of states have 50
certain number of travel days 101
certain number of troops from 70
certain number of troops were 106
certain phases of english life 94
certain phases of london life 65
certain phases of modern life 77
certain phases of public health 46
certain phases of school work 101
certain plates of copper hanging 46
certain portion of arable land 50
certain slaves to escape from 41
certain system of matter duly 91
certain topics in greater depth 51
certain trains of thought from 68
channel across the narrow neck 54
chapter begins by defining what 52
chapter begins the second part 57
chapter begins to answer these 44
charges relate to something done 46
charter passed the senate june 48
chatter across the street like 75
chemist adopts the atomic theory 106
chicken whereas the german word 86
chiefly formed of coarse sand 45
chiefly through the spoken word 41
chimney should be pulled down 93
circuit courts of appeals have 584
circuit courts of appeals were 272
circuit should be closed only 61
clatter through the passes till 51
climbed before he reached some 50
climbed through the barbed wire 171
climbed through the window into 189
climbed through the window onto 44
closely allied to reflex acts 46
closely enough to decide upon 61
closely linked by family ties 124
closely linked to status must 46
closely touching the common life 67
closely united by family ties 42
coarser grades of cotton cloth 43
coarser methods of rapine must 70
coastal states to extend their 221
coldest winter in twenty years 50
collars turned up around their 67
collect duties as before from 60
college across the street from 71
college degree is becoming more 43
colonial agents in london were 54
colonial powers in africa were 74
colonial powers of europe were 71
colonial status on stolen land 40
colonial system an extent even 51
company across the street from 75
company agreed to supply teams 50
company begins to settle down 52
company needed to become more 41
company poured the liquor only 76
company should be called upon 55
company should be exempt from 92
compare apples to apples when 103
compare something to something else 127
comparing apples to apples when 103
compass needle to deviate from 48
compass whence the blasts came 54
complex across the street from 476
complex enough to behave like 45
complex nature of modern life 78
complex series of events during 40
complex series of events leading 158
complex series of events must 46
complex system of credit like 101
concave toward the strain axis 60
concave toward the stress axis 55
conceit assuming the vulgar airs 191
concern stands to profit more 89
concert before the hamlet door 61
conduct should be exempt from 40
conduct stands the kantian test 55
conduit thereto in another part 65
confine myself to english poets 51
confine myself to virgil when 42
consent should be sought from 120
consist mainly of militia from 51
consuls should be chosen from 135
control access to secure areas 144
control access to shared data 184
control should be handed over 47
control should be turned down 45
control should be turned over 49
convert ethanol to acetic acid 139
coolant through the reactor core 52
correct edition of virgil ever 51
correct number of servings from 60
correct singular or plural form 77
cottage across the street from 100
counsel should be sought from 98
counted number of pulses only 784
country across the county line 46
country around is broken into 83
country before the fellow gets 52
country called the soviet union 220
country except the soviet union 410
country houses of england were 73
country seemed to become more 50
country should be called upon 220
country should be changed from 46
country should be exempt from 64
country should be forced into 50
country should be formed into 40
country should be handed over 375
country should be looked upon 89
country should be placed upon 70
country should be plunged into 57
country should be turned into 70
country sought to escape from 78
country squire of former days 145
courage enough to oppose their 42
courage openly to oppose their 85
coursed through my entire body 67
courted adonis of county fame 40
covered almost an entire wall 80
covered almost the entire body 47
covered almost the entire length 55
covered almost the entire range 115
covered almost the entire wall 61
crashed through the flight deck 97
crashed through the screen door 64
crawled across the finish line 67
crawled through the barbed wire 229
crawled through the little door 41
crawled through the window into 83
creature called to divine life 60
criteria should be agreed upon 51
culture through the middle ages 43
current changes in family life 54
current pulses of random turn 121
current status of mental health 67
current status of public health 53
current through the bridge wire 47
current through the copper wire 55
current through the device will 123
current through the entire body 43
current through the exciting coil 146
current through the liquid from 83
current through the magnet coil 183
current through the series coil 413
current through the spinal cord 51
current through the tunnel diode 49
current trends in family life 54
current trends in mental health 74
current values of assets over 51
customs seemed to differ from 43
