tax upon conscience and private 69
they were encumbered and delayed 80
they were exorbitant and inhuman 78
they were homogeneous with respect 40
they were imprisoned for several 49
they were intermingled with beeches 195
they were introduced and carried 46
they were originally not inferior 124
they were originally put forward 56
they were originally put together 55
they were overworked and unhappy 47
they were physically and morally 79
they were recaptured and brought 41
they were surrounded with enemies 67
they were transporting his luggage 103
they were unprovided with windows 90
they will constantly and steadily 43
they will eventually get married 81
they will eventually wear diamonds 44
they will understand and forgive 96
they will understand and respect 65
they will understand and support 108
things were foredoomed and settled 80
this case petitioners are charged 89
this foul abomination was infecting 61
this good magistrate had glanced 71
this grim melancholy and narrowing 56
this last misfortune has hurried 76
this mark everywhere for granted 43
this most improbable one alleged 45
this single reservation has altered 71
this very remarkable but seemingly 56
thus made acquainted with secrets 45
too great solicitude for present 69
too many adjectives and adverbs 437
too much accustomed and familiar 172
too much application and fatigue 99
too much confidence for success 42
too much conscience and religion 63
too much deprecated and guarded 43
too much disordered for liberty 163
too much encumbered with baggage 55
too much frightened for ulysses 89
too much information can confuse 53
too much information too quickly 239
too soon understood that science 40
too well acquainted with mankind 110
top into flourishes and flowers 501
two great historical and natural 73
two ideas immediately put together 91
two main breakwaters and dredged 67
two more generations had elapsed 52
