take along some defense such 63
there were five hundred more 53
there were five hundred such 69
there were five hundred years 75
there were five members from 46
there were five minutes left 82
there were five thousand five 44
there were five thousand free 203
there were five thousand more 92
there were five thousand such 42
there were five thousand tons 53
there were four ascents ahead 52
there were four courses open 44
there were four hundred feet 66
there were four hundred years 59
there were four smaller ones 195
there were four thousand five 46
there were four thousand years 66
there were great debates among 54
there were great efforts made 95
there were many beauties among 51
there were many besides these 42
there were many besides those 45
there were many brought into 42
there were many debates over 41
there were many demands upon 56
there were many efforts made 44
there were many factors other 45
there were many letters from 134
there were many moments during 47
there were many moments when 641
there were many persons among 71
there were many persons living 72
there were many persons there 167
there were many pleasant days 58
there were many previous ones 107
there were many prickly ones 45
there were many reports from 75
there were many similar ones 56
there were many smaller ones 254
there were many sources from 41
there were many stories more 131
there were many stories told 183
there were more teachers like 44
there were nine thousand pots 63
there were none visible just 46
there were only between three 95
there were only fifteen days 42
there were only fifteen left 42
there were only fifteen such 41
there were only minutes left 131
there were only seconds left 77
there were only thirteen days 59
there were other avenues open 66
there were other courses open 59
there were other factors also 198
there were other factors making 42
there were other factors more 111
there were other factors such 123
there were other letters from 42
there were other matters more 85
there were other moments when 452
there were other motives also 44
there were other smaller ones 64
there were other sources from 79
there were rare moments when 67
there were some efforts made 80
there were some letters from 61
there were some moments when 232
there were some persons there 43
there were some priests upon 41
there were some remarks made 46
there were tears trickling down 50
there were those moments when 134
there were three courses open 851
there were three doctors there 40
there were three general ways 47
there were three hundred more 285
there were three hundred ready 42
there were three hundred such 55
there were three letters from 74
there were three letters sent 72
there were three sisters living 73
there were three sources from 45
there were three tailors living 60
there were three thousand five 201
there were three thousand four 60
there were three thousand more 149
there were three thousand three 54
there will come moments when 147
there will have existed more 337
these areas were divided into 73
these areas will benefit from 50
these data were derived from 355
these data were entered into 63
these data were gathered during 43
these data were gathered from 90
these eyes when perfect peace 50
these fish were ejected from 43
these four were dragged from 80
these give some insight into 47
these half were suffering from 70
these have been adapted from 90
these have been brought down 46
these have been brought from 82
these have been brought into 316
these have been carried away 94
these have been carried into 89
these have been carried over 75
these have been decided upon 83
these have been deleted from 45
these have been derived from 585
these have been divided into 478
these have been dropped from 54
these have been gathered from 71
these have been gathered into 56
these have been grouped into 250
these have been omitted from 461
these have been omitted here 84
these have been removed from 292
these have been rescued from 47
these have been scraped away 67
these have been studied most 117
these have been touched upon 333
these have been written down 222
these have been written from 43
these have been written into 47
these have been wrought into 41
these ideas must proceed from 87
these ideas were derived from 172
these kept their counsel well 47
these last five hundred years 172
these last four hundred years 128
these last four thousand years 51
these last three hundred years 528
these last three thousand years 81
these laws were carried into 40
these laws were founded upon 42
these laws were written down 49
these only four yielded ripe 43
these past ages strikes nothing 74
these past five hundred years 57
these past four hundred years 81
these past three hundred years 93
these poems were written down 135
these poems were written during 157
these poems were written when 57
these there were several other 95
these three young persons were 59
these were some gallant young 47
these were soon dragged into 87
these will soon occasion their 42
these will vary depending upon 64
thick dust flew upwards from 62
think there were moments when 50
think those were literal days 55
think very much depends upon 41
think what their teachers think 47
think what your mercies have 41
think your race suffers very 54
those days were divided into 51
those days when everything went 117
those eggs ever hatched into 45
those eyes your skilful hand 69
those from other sources such 42
those great living masters whom 49
those have been reduced whom 77
those very rare moments when 98
three days have elapsed from 68
three have been brought into 41
three other great avenues from 41
three very good spanish gods 48
three very kind letters from 41
three years have elapsed from 805
three years next preceding such 123
three years next preceding their 138
threw down their muskets when 46
threw their angry demands into 41
threw their dark shadows over 152
threw their dark shadows wide 49
throw into their account those 56
throw their dark shadows over 41
till some poor parties were 88
till their very library from 62
till their wild passions were 45
till time have brought forth 58
time away from patient care 293
time crying over spilled milk 41
time during their college years 52
time during their married life 146
time from their regular jobs 68
time from their regular work 69
time gave their opinions only 96
time have been brought into 64
time have been derived from 65
time have been divided into 40
time have been evolved from 46
time have been removed from 115
time have been usually paid 136
time into your company when 49
time must have elapsed during 111
time must have elapsed from 74
time must hold herself back 63
time past been suffering from 43
time ranging from several days 50
time taking into account their 47
time there have deceased four 40
time there were moments when 63
time there were several more 43
time there were several other 226
time these five hundred years 95
time these four hundred years 46
time these three hundred years 379
time those three moments were 43
time when anna entered into 56
time when four vessels were 70
time when great efforts were 56
time when many artists were 82
time when many persons were 66
time when many writers find 57
time when many writers were 84
time when most critics were 43
time when most writers were 45
time when other asiatics knew 109
time when other factors were 57
time when other writers were 51
time when such matters were 103
time when such opinions were 47
time when such stories were 54
time when such studies were 62
time when their affairs were 49
time when their efforts were 44
time when their enemies were 81
time when their friends were 40
time when their incomes were 64
time when their masters were 43
time when their numbers were 152
time when their parents were 141
time when their spirits were 40
time when their workmen were 58
time when there existed only 105
time when these animals were 49
time when these buildings were 65
time when these efforts were 47
time when these figures were 62
time when these islands were 175
time when these letters were 358
time when these matters have 56
time when these matters were 66
time when these measures were 113
time when these objects were 84
time when these opinions were 42
time when these remarks were 41
time when these stories were 78
time when these studies were 97
time when those offices were 64
time when those pensions were 45
time when those records were 84
time when your affairs seem 117
time when your parents were 63
time will come perhaps when 120
time will come shortly when 70
time will have arrived when 185
time will vary depending upon 228
tips rise like islands from 62
told there were enemies here 67
tons have been removed from 46
tons have been shipped from 64
took over five hundred years 41
took over four hundred years 60
took over three hundred years 111
took rank among artists when 49
took rome three hundred years 90
took some three hundred years 53
tread once more familiar paths 41
tuck your tail between your 147
turn away from everything else 45
turn away their thoughts from 363
turn away your thoughts from 159
turn have been derived from 130
turn have been divided into 155
turn other heads besides your 111
turn over their capital more 130
turn over their capital very 61
turn over your capital just 81
turn their arms against such 99
turn their arms against their 1088
turn their arms against those 123
turn their eyes towards some 121
turn their eyes towards their 99
turn their guns against their 237
turn your arms against your 56
turn your eyes inwards upon 61
