tables below show the results 72
twenty miles from the general 147
twenty miles from the junction 76
twenty miles from the location 54
twenty miles from the pacific 285
twenty miles from the present 166
twenty miles from the railway 129
twenty miles from the seacoast 115
twenty miles from the southern 138
twenty miles from the village 281
twenty miles from the western 180
twenty miles into the country 509
twenty miles into the interior 702
twenty miles north of atlanta 133
twenty miles north of chicago 89
twenty miles north of detroit 41
twenty miles north of present 54
twenty miles north of toronto 51
twenty miles south of atlanta 222
twenty miles south of baghdad 64
twenty miles south of chicago 55
twenty miles south of detroit 59
twenty miles south of jackson 46
twenty miles south of nineveh 103
twenty miles south of plymouth 78
twenty miles west of baghdad 53
twenty miles west of chicago 47
twenty miles west of jackson 145
twenty miles west of present 48
twenty miles west of santiago 43
twenty paces from the redoubt 60
twenty times more the subject 89
twenty yards from the carcass 47
twenty yards from the carriage 57
twenty yards from the kitchen 54
twenty yards from the serpent 43
