the had 44 the day 66
to way 167 to for 83
to that 214 to that 159
to who 44 to with 96
to for 77 to that 177
to for 176 to for 42
to that 104 to for 305
to that 105 to bar 42
to that 107 to for 131
to that 91 to that 2262
to for 50 to that 446
to with 185 to and 67
to that 148 to with 278
to war 66 to for 55
to run 112 to for 93
to for 55 to fear 50
to and 63 to for 75
to set 50 to for 44
to set 51 to and 88
to that 2560 to that 121
to and 46 to for 511
to that 150 to not 52
to that 141 to with 144
to that 92 to man 109
to that 301 to and 57
to gap 56 to for 47
to with 41 to for 65
to key 47 to set 63
to for 42 to for 344
to that 56 to for 212
to that 47 to for 122
to that 141 to for 66
to act 92 to act 54
to job 60 to set 83
to and 215 to feat 65
to job 67 to and 76
to act 121 to act 51
to act 64 to and 66
to for 52 to that 602
to and 112 to for 185
to that 88 to with 55
to act 672 to job 80
to set 92 to act 146
to that 138 to who 150
to with 59 to that 93
to and 41 to and 50
to for 54 to set 43
to for 429 to for 71
to for 69 to for 66
to for 206 to for 44
to for 40 to for 283
to for 147 to map 160
to for 70 to for 43
to meal 82 to for 108
to for 148 to and 150
to for 876 to that 407
to for 68 to for 68
to meal 91 to for 93
to for 79 to that 191
to for 198 to for 274
to who 43 to that 45
to who 92 to and 43
to and 251 to that 88
to and 65 to set 68
to way 53 to and 43
to and 44 to for 58
to for 930 to that 362
to that 50 to that 202
to and 45 to and 110
to for 135 to tip 40
to new 58 to and 100
to for 70 to that 70
to that 56 to for 88
to and 80 to that 102
to with 43 to who 47
to and 40 to and 52
to and 84 to was 42
to act 52 to for 48
to for 252 to for 44
to for 62 to for 95
to for 83 to for 423
to for 147 to for 446
to for 52 to who 54
to that 91 to who 82
to that 62 to map 48
to that 127 to for 58
to and 203 to for 179
to that 385 to with 83
to that 132 to with 56
to and 71 to that 116
to with 45 to and 48
to map 70 to that 126
to with 67 to that 141
to that 199 to that 69
to that 848 to that 233
to that 49 to and 136
to mix 52 to set 283
to that 272 to and 45
to heat 54 to and 56
to for 59 to for 335
to that 162 to and 53
to that 62 to map 97
to and 258 to that 42
to that 68 to that 123
to for 63 to that 107
to and 56 to beam 52
to that 682 to for 96
to for 56 to that 268
to with 41 to that 135
to and 164 to red 110
to set 150 to that 113
to and 45 to and 58
to that 274 to with 96
to and 246 to log 120
to that 90 to for 74
to that 97 to new 255
to and 143 to fit 44
to that 55 to and 50
to and 53 to and 49
to end 102 to that 43
to for 55 to that 251
to and 48 to for 62
to that 776 to with 166
to that 1020 to with 153
to and 71 to set 166
to and 97 to and 53
to for 56 to map 53
to and 46 to that 113
to with 146 to for 56
to for 46 to set 40
to and 67 to and 59
to and 77 to for 75
to for 292 to for 92
to for 63 to that 120
to way 117 to for 564
to that 203 to for 77
to that 290 to for 429
to that 205 to with 104
to and 40 to for 95
to new 70 to for 103
to that 266 to for 175
to for 45 to who 57
to who 55 to and 42
to for 878 to for 1731
to for 71 to for 81
to with 44 to for 164
to and 45 to map 52
to for 107 to with 172
to and 144 to for 42
to for 173 to with 281
to for 217 to for 199
to with 287 to and 152
to for 641 to that 491
to for 47 to and 41
to and 197 to set 192
to way 154 to and 63
to path 166 to for 64
to and 251 to for 12438
to that 247 to and 866
to for 32415 to that 3860
to with 218 to and 104
to for 518 to that 798
to for 53 to for 691
to for 135 to and 73
to for 75 to that 105
to for 379 to and 40
to for 9564 to that 1436
to for 364 to for 68
to and 42 to for 59
to that 274 to and 213
to and 366 to with 46
to and 160 to and 51
to and 273 to for 104
to and 597 to way 143
to for 353 to for 44
to for 84 to for 1259
to that 228 to for 64
to area 77 to way 121
to for 87 to for 40
to for 167 to with 46
to new 61 to and 469
to fit 586 to way 45
to and 100 to for 1707
to that 211 to with 59
to for 374 to for 486
to for 55 to for 65
to for 195 to for 493
to for 90 to for 105
to for 59 to for 412
to and 146 to area 69
to seat 44 to set 50
to sum 78 to for 250
to and 72 to for 808
to and 55 to for 74
to that 222 to and 276
to and 42 to and 336
to for 3314 to that 1329
to with 69 to for 420
to for 151 to who 40
to for 126 to and 61
to and 73 to for 385
to that 137 to and 60
to and 55 to and 565
to and 52 to for 129
to and 48 to for 116
to and 98 to set 44
to and 43 to and 119
to for 85 to that 278
to for 447 to for 175
to for 578 to for 239
to for 60 to with 79
to and 62 to map 48
to and 221 to for 242
to that 443 to was 78
to with 62 to for 55
to that 93 to and 115
to that 42 to that 582
to for 150 to for 67
to and 82 to for 523
to for 65 to and 141
to with 52 to one 48
to and 40 to that 122
to and 43 to for 72
to for 83 to and 70
to fee 66 to sum 49
to for 107 to who 93
to sum 150 to all 47
to for 180 to fee 49
to sum 114 to sum 47
to for 88 to that 196
to set 98 to that 92
to one 108 to that 107
to for 69 to with 41
to that 277 to for 59
to who 57 to with 52
to set 93 to that 124
to act 87 to and 122
to for 55 to that 42
to set 63 to and 50
to man 278 to that 305
to path 43 to set 62
to path 141 to set 60
to for 76 to for 42
to for 71 to that 95
to for 150 to that 109
to for 45 to out 67
to who 62 to for 55
to for 187 to with 523
to for 64 to and 78
to idea 71 to one 48
to set 65 to way 322
to for 645 to that 127
to that 204 to for 358
to that 112 to that 88
to way 65 to for 177
to that 43 to for 449
to for 62 to for 341
to they 40 to who 561
to with 62 to for 50
to that 41 to and 48
to that 6146 to with 56
to that 1746 to and 65
to for 1332 to that 113
to war 81 to set 40
to and 73 to with 41
to that 1040 to that 178
to and 112 to and 44
to and 123 to far 51
to that 319 to that 47
to who 68 to for 69
to that 296 to that 126
to who 43 to that 374
to that 110 to that 268
to with 40 to not 65
to that 258 to with 78
to and 118 to for 1406
to that 150 to war 104
to war 46 to and 51
to that 103 to and 46
to for 126 to out 53
to war 43 to and 55
to that 243 to and 204
to that 57 to that 85
to that 2530 to for 277
to that 95 to that 59
to and 99 to man 74
to that 158 to that 151
