the t square and triangle 382
to a desire for closer 110
to a desire for escape 80
to a desire for further 381
to a desire for greater 442
to a desire for higher 100
to a desire for profit 46
to a desire for reform 47
to a desire for revenge 691
to a desire for sexual 120
to a desire for something 153
to a desire they should 395
to a device for measuring 126
to a device for securing 87
to a device that allows 108
to a device that looked 44
to a direct and formal 55
to a direct and simple 102
to a disease that causes 48
to a disease that occurs 59
to a doctor and learned 50
to a doctor for advice 168
to a doctor for further 102
to a doctor for relief 54
to a doctor who treated 74
to a doctor who worked 58
to a dollar and twelve 47
to a dollar and twenty 213
to a dollar for dollar 44
to a dollar per barrel 43
to a dollar per bushel 72
to a dollar per gallon 43
to a double and treble 44
to a drawer and pulled 240
to a fairly low degree 42
to a family that already 68
to a family that traced 77
to a family who wanted 57
to a famine that killed 41
to a farmer who needed 44
to a farmer who wanted 62
to a fashion that lately 48
to a faster and faster 155
to a feeble and sickly 47
to a fellow team member 88
to a fierce and bitter 109
to a fierce and violent 94
to a figure far beyond 84
to a figure that seemed 48
to a filter and washed 179
to a finite and partial 50
to a folder that already 63
to a formal and public 54
to a format that allows 89
to a former and warmer 144
to a friend and brother 259
to a friend and fellow 1079
to a friend and former 235
to a friend and helper 79
to a friend and mentor 52
to a friend and myself 90
to a friend and patron 82
to a friend and teacher 67
to a friend for advice 182
to a friend for clothes 87
to a friend for enabling 45
to a friend his faults 226
to a friend his feelings 40
to a friend she writes 68
to a friend that summer 40
to a friend who agreed 45
to a friend who became 42
to a friend who called 250
to a friend who helped 73
to a friend who needed 187
to a friend who passed 72
to a friend who seemed 72
to a friend who shared 89
to a friend who shares 49
to a friend who should 48
to a friend who sought 68
to a friend who thought 96
to a friend who wanted 314
to a friend who wished 190
to a friend who wishes 52
to a friend who worked 381
to a friend with regard 57
to a fuller and better 412
to a fuller and clearer 139
to a fuller and deeper 713
to a fuller and fuller 169
to a fuller and higher 81
to a fuller and richer 455
to a further and better 93
to a further and deeper 86
to a further and further 183
to a further and greater 55
to a further and higher 73
to a future and better 258
to a future and higher 74
to a future lying beyond 136
to a future that seemed 79
to a future with something 49
to a garage for repair 158
to a gentle and modest 55
to a golden age before 107
to a greater and better 317
to a greater and deeper 216
to a greater and faster 125
to a greater and fuller 59
to a greater and greater 12316
to a greater and higher 431
to a greater and lesser 483
to a greater and nobler 104
to a greater and richer 46
to a greater and vastly 79
to a greater than normal 524
to a ground for invoking 44
to a ground rod driven 69
to a heavier tax burden 56
to a height far beyond 254
to a height not greater 64
to a height not reached 58
to a height that allows 134
to a height that almost 48
to a height that called 55
to a height that caused 64
to a height that seemed 84
to a height that should 58
to a higher and better 4944
to a higher and calmer 42
to a higher and clearer 112
to a higher and deeper 323
to a higher and divine 40
to a higher and firmer 51
to a higher and fitter 43
to a higher and fuller 240
to a higher and greater 201
to a higher and higher 5129
to a higher and holier 1256
to a higher and larger 217
to a higher and nobler 3906
to a higher and richer 150
to a higher one through 87
to a higher one without 68
to a higher real income 81
to a higher tax burden 134
to a higher than normal 837
to a holder may charge 239
to a jewish day school 302
to a larger and better 1164
to a larger and deeper 216
to a larger and faster 130
to a larger and fuller 115
to a larger and heavier 103
to a larger and higher 429
to a larger and larger 1742
to a larger and nobler 80
to a larger and richer 139
to a larger than normal 204
to a lawyer for advice 641
to a lawyer for client 130
to a lawyer who worked 47
to a learned and ingenious 50
to a lesser and greater 59
to a lesser and lesser 357
to a letter was proved 43
to a little bay called 88
to a little boy called 87
to a little boy sleeping 126
to a little inn called 63
to a little way beyond 66
to a lively and active 92
to a lovely and amiable 65
to a master for findings 166
to a master for report 49
to a master who taught 49
to a matter that should 59
to a mature dog likely 210
to a memory that rarely 122
to a merger with another 72
to a miller for grinding 47
to a million per second 117
to a minute and searching 215
to a mirror and looked 177
to a modern and highly 57
to a mortar and pestle 248
to a motive for murder 78
to a narrow and highly 44
to a narrow and lonely 61
to a narrow and partial 40
to a narrow path through 79
to a native new yorker 75
to a nobler and better 151
to a nobler and higher 93
to a normal and useful 41
to a number and street 129
to a passion for gambling 119
to a passion for revenge 44
to a pastry bag fitted 372
to a pension and profit 60
to a pension with effect 52
to a person for reasons 44
to a person going through 63
to a person not already 80
to a person not belonging 115
to a person not engaged 41
to a person not residing 79
to a person not versed 54
to a person not wholly 48
to a person that thereby 61
to a person then engaged 101
to a person who agrees 111
to a person who already 553
to a person who always 85
to a person who appears 361
to a person who became 250
to a person who before 46
to a person who begins 60
to a person who belongs 169
to a person who bought 81
to a person who called 73
to a person who causes 78
to a person who claims 383
to a person who creates 40
to a person who denies 57
to a person who drinks 48
to a person who drives 55
to a person who engages 221
to a person who enjoys 105
to a person who enters 292
to a person who failed 68
to a person who helped 41
to a person who hourly 82
to a person who looked 88
to a person who merely 145
to a person who needed 97
to a person who neither 52
to a person who offers 132
to a person who passed 56
to a person who passes 69
to a person who proved 42
to a person who proves 94
to a person who rarely 51
to a person who relies 219
to a person who seemed 159
to a person who served 53
to a person who serves 90
to a person who shares 136
to a person who should 445
to a person who simply 104
to a person who spends 78
to a person who stands 179
to a person who teaches 56
to a person who thereby 243
to a person who thought 198
to a person who through 45
to a person who turned 51
to a person who values 96
to a person who wanted 285
to a person who wished 124
to a person who wishes 683
to a person who worked 174
to a person who writes 65
to a person with active 84
to a person with autism 66
to a person with cancer 101
to a person with common 44
to a person with higher 43
to a person with intent 46
to a person with little 95
to a person with mental 87
to a person with normal 480
to a person with notice 55
to a person with severe 87
to a person with special 59
to a pestle and mortar 46
to a pleased and candid 105
to a police car parked 78
to a powder and placed 49
to a powder and sifted 49
to a powder and stored 42
to a priest for advice 71
to a prince and fellow 110
to a prince who seemed 68
to a prince who should 69
to a prompt and speedy 247
to a public and formal 80
to a public and solemn 59
to a public and speedy 47
to a public art museum 49
to a public that wanted 59
to a public use should 45
to a public use without 76
to a public web server 46
to a quaint old church 50
to a quaint old legend 52
to a radiant heat source 101
to a ragged and almost 57
to a reality that exists 204
to a reality that seemed 41
to a recent gao report 55
to a remote and almost 82
to a remote and little 41
to a remote and lonely 42
to a remote and silent 115
to a remote ftp server 317
to a remote web server 686
to a rental car agency 57
to a rental real estate 257
to a report that reached 58
to a richer and better 237
to a richer and deeper 219
to a richer and fuller 315
to a sadder and sadder 56
to a school bus driver 41
to a school for blacks 42
to a school for feeble 51
to a school for gifted 84
to a school for little 46
to a school for special 66
to a school for training 214
to a school near london 101
to a school that offers 117
to a school that taught 280
to a school that teaches 90
to a school with higher 42
to a screen that allows 67
to a second and deeper 62
to a second and greater 49
to a second and harder 319
to a second and higher 112
to a second and larger 170
to a secret but common 55
to a secure and stable 145
to a secure web server 74
to a select and highly 41
to a select and secret 125
to a seller who elects 43
to a serene and placid 74
to a serious and alarming 40
to a serious and earnest 75
to a serious and solemn 80
to a server that already 43
to a seventh and deciding 58
to a severe and searching 122
to a severe head injury 98
to a shadow and breasting 47
to a shilling and twenty 65
to a silica gel column 241
to a simmer and reduce 191
to a simmer and remove 121
to a simmer and return 42
to a simmer and simmer 587
to a simple and almost 51
to a simple and direct 229
to a simple and frugal 66
to a simple and obvious 72
to a simple and useful 96
to a simple old fellow 112
to a sister and brother 101
to a smelting and refining 81
to a solemn and earnest 41
to a special and higher 41
to a special and unique 66
to a special day school 77
to a special tax levied 60
to a special tax regime 142
to a special use permit 161
to a speedy and public 39980
to a speedy and secret 93
to a speedy and sudden 77
to a sphere with radius 123
to a spouse and family 42
to a stable and enduring 42
to a stable and secure 302
to a station that played 242
to a status not unlike 45
to a strange and exotic 61
to a strange and lonely 65
to a strange and uncouth 51
to a street and number 51
to a strict and actual 43
to a strict and narrow 96
to a strict and searching 54
to a strict and severe 148
to a sudden and abrupt 331
to a sudden and alarming 54
to a sudden and almost 57
to a sudden and bloody 74
to a sudden and brutal 73
to a sudden and coarse 45
to a sudden and fearful 78
to a sudden and furious 95
to a sudden and marked 118
to a sudden and serious 49
to a sudden and severe 162
to a sudden and shocking 96
to a sudden and solemn 57
to a sudden and tragic 468
to a sudden and violent 1183
to a sudden end around 46
to a sudden end before 50
to a sudden end through 105
to a sudden end without 55
to a summer and autumn 44
to a supply and demand 221
to a surgeon for further 48
to a system that allows 353
to a system that already 396
to a system that appears 65
to a system that causes 47
to a system that creates 41
to a system that offers 92
to a system that places 85
to a system that relies 118
to a system that seemed 60
to a system that should 54
to a target and return 112
to a teacher and basked 50
to a teacher for advice 119
to a teacher who taught 72
to a teacher who wishes 100
to a temple for refuge 50
to a tenant who agrees 92
to a thinner and thinner 65
to a thrifty new england 47
to a tragic end through 104
to a trifling and subtle 129
to a unique and special 63
to a unique and stable 44
to a unique real number 49
to a united and earnest 164
to a vacant lot across 71
to a vacant lot behind 41
to a vacant seat beside 46
to a vicious and vulgar 45
to a violent and abrupt 44
to a violent and bloody 181
to a violent and sudden 124
to a violent and tragic 63
to a violent and unjust 52
to a violent death before 42
to a violent end before 62
to a violent end through 58
to a waiter for another 45
to a wholly new career 73
to a wicked but clever 41
to a window and become 103
to a window and called 63
to a window and looked 2153
to a window and opened 329
to a window and peeked 87
to a window and peeped 66
to a window and peered 447
to a window and pointing 55
to a window and pulled 117
to a window and pushed 47
to a window and raised 101
to a window and showed 119
to a window and stared 347
to a window that looked 713
to a window that opened 124
to a wooded area behind 58
to a writer who wanted 48
to a younger and better 42
to a younger and fairer 51
to a younger and younger 48
to i before any suffix 248
to x occurs with greater 42
