tax effects thereof pursuant to 47
this process would continue to 54
this process would probably be 91
this program would probably be 46
this proviso shall prohibit the 88
this purpose would probably be 68
this quarrel whole rivulets of 91
this question after discussing the 40
this question which concerns us 58
this question which tortures me 47
this question would obviously be 40
this question would probably be 235
this respect would probably be 66
this species stand affronting me 42
this subject shall commence as 316
this subject would probably be 78
two cabinet level officials of 60
two classes above referred to 50
two decades which followed the 398
two decades which preceded the 120
two extreme views concerning the 47
two factors which affected the 47
two hundred miles northward to 40
two hundred miles northwest of 834
two hundred miles southwest of 631
two hundred miles westward of 144
two hundred people attended the 307
two hundred people perished in 43
two hundred women attended the 61
two hundred yards northwest of 100
two hundred yards southwest of 125
two largest trading partners in 43
two letters above referred to 50
two minutes after injection of 49
two minutes after midnight on 47
two minutes after replaced in 75
two parties which regarded the 91
two parties would continue to 56
two persons could possibly be 45
two persons could scarcely be 77
two quarter notes followed by 52
two schools would therefore be 50
two stanzas which conclude it 63
two streets running parallel to 77
two studies which examined the 52
two supreme court decisions in 209
two supreme court decisions on 76
two thousand miles southwest of 122
two thousand people attended the 284
two thousand people perished in 50
two volumes which comprise the 41
