tar and nicotine contents of 100
that are normally expected to 164
that are normally followed by 103
that are normally harmless to 73
that are normally included in 373
that are normally involved in 461
that are normally obscured by 46
that are normally observed in 107
that are normally occupied by 166
that are normally produced by 239
that are normally produced in 117
that are normally provided by 296
that are normally provided in 63
that are normally provided to 43
that are normally referred to 114
that are normally regarded as 880
that are normally required by 76
that are normally required in 83
that are normally required to 172
that are normally resident in 40
that are normally secreted by 45
that are normally supplied by 81
that are obviously contrary to 91
that are obviously designed to 91
that are obviously intended to 100
that are obviously relevant to 80
that are operated directly by 43
that are ordinary subjects of 82
that are oriented parallel to 491
that are otherwise included in 73
that are otherwise obscured by 94
that are otherwise regarded as 43
that are otherwise required by 59
that are otherwise required to 116
that are partially embedded in 46
that are partially financed by 46
that are partially obscured by 62
that are partially occluded by 44
that are possible outcomes of 56
that are possible relative to 75
that are possible solutions to 44
that are possibly involved in 126
that are possibly relevant to 83
that are probably involved in 314
that are probably relevant to 47
that are produced directly by 42
that are properly affected by 97
that are properly included in 114
that are properly regarded as 241
that are properly required of 81
that are provided directly by 102
that are provided directly to 60
that are randomly assigned to 112
that are randomly oriented in 153
that are required pursuant to 203
that are securely attached to 68
that are securely fastened to 44
that are seriously affected by 144
that are seriously threatened by 41
that are severely affected by 150
that are sexually explicit or 43
that are somewhat specific to 45
that are specially designed to 894
that are specially disposed on 50
that are specially equipped to 91
that are specially relevant to 98
that are specially tailored to 123
that are standard practice in 75
that are strictly confined to 80
that are strictly relevant to 133
that are strikingly parallel to 52
that are targeted directly at 69
that are traceable directly to 44
that are unfairly burdened by 59
that are uniquely designed to 55
that are uniquely relevant to 151
that are uniquely tailored to 103
that are variously referred to 86
that are weighted averages of 119
that being actively involved in 46
that both children regarded the 61
that both curiously conjoint in 111
that both officers believed the 62
that both regarded commerce as 43
that can forcibly restrain it 87
that can motivate students to 46
that can possibly diminish the 59
that can possibly interest the 47
that can uniquely identify an 53
that can uniquely identify the 101
that can withstand exposure to 66
that can withstand extremes of 55
that death actually presents to 48
that did terrible execution on 95
that each artistic movement is 50
that each business provides the 49
that each contains elements of 132
that each employee involved in 50
that each employee receives the 45
that each molecule consists of 272
that each particle consists of 75
that few articles essential to 54
that for accounting purposes the 113
that for artistic purposes he 52
that for clinical purposes it 181
that for clinical purposes the 209
that for complete initiation as 53
that for military purposes the 134
that for ordinary purposes it 262
that for ordinary purposes the 268
that god almighty esteemed the 70
that god almighty intended the 41
that god commands subjects to 82
that god inhabits cottages as 59
that had actually happened in 286
that had actually happened to 699
that had actually occurred in 384
that had befallen voyagers on 92
that had formerly attached to 44
that had formerly centered on 138
that had formerly occupied the 104
that had formerly supplied the 122
that had happened concerning the 106
that had happened hundreds of 112
that had happened recently in 147
that had happened thousands of 40
that had initially inspired the 100
that had occurred recently in 214
that had partially alighted on 66
that had recently befallen the 87
that had recently happened in 230
that had recently happened to 437
that had recently migrated to 100
that had recently occupied the 40
that had recently occurred at 225
that had recently occurred in 1183
that had recently occurred on 48
that had recently occurred to 150
that had recently replaced the 78
that had recently returned to 68
that had recently surfaced in 41
that had remained attached to 106
that had riotously consumed the 42
that had suddenly conjured up 158
that had suddenly occurred to 241
that had suffered severely in 48
that has actually happened in 127
that has actually happened or 99
that has actually happened to 187
that has actually occurred in 313
that has actually occurred is 55
that has directly affected the 66
that has directly examined the 53
that has enormous potential to 53
that has happened recently in 115
that has happened recently is 69
that has occurred recently in 150
that has probably occurred to 84
that has probably received the 164
that has produced thousands of 72
that has received attention as 60
that has received attention by 43
that has received attention in 665
that has received attention is 564
that has recently happened in 83
that has recently happened to 71
that has recently occurred in 297
that has recently received the 55
that has recently surfaced in 49
that has recurred oftenest in 53
that has remained constant in 161
that has remained constant is 202
that has remained dominant in 77
that has remained unchanged in 166
that has remained unchanged is 68
that has remained unchanged to 66
that has rendered possible the 124
that has retarded progress in 49
that has sequence homology to 45
that has seriously affected the 120
that has seriously threatened the 45
that has somewhat abridged my 67
that has survived thousands of 57
that has wantonly trampled on 45
that her emotional response to 43
that her mistress designed to 87
that her mistress intended to 44
that her physical condition is 149
that her presence enhanced it 73
that her salvation depended on 44
that her survival depended on 206
that his argument concerning the 41
that his audience consists of 95
that his authority extended to 326
that his broadest laughter is 60
that his celestial genealogy is 86
that his children attached to 59
that his children received the 101
that his condition admitted of 52
that his constant presence in 191
that his daughter intended to 59
that his daughter promised to 53
that his emotional response to 95
that his employer intended to 172
that his expenses amounted to 99
that his financial condition is 132
that his financial interest in 42
that his financial interest is 104
that his financial situation is 142
that his generous goodness to 56
that his immediate response to 101
that his intended audience is 45
that his interest consists in 47
that his judgment concerning the 55
that his judgment respecting the 43
that his laudable attempts to 87
that his lordship indulged in 161
that his lordship intended to 293
that his original estimate of 261
that his original intention in 88
that his original intention of 93
that his original intention to 90
that his original interest in 154
that his personal identity is 212
that his personal interest in 333
that his personal interest is 305
that his personal presence in 155
that his personal property be 47
that his personal relations to 43
that his physical condition is 412
that his physical presence in 94
that his physical presence is 95
that his promotion depended on 56
that his recovery depended on 80
that his relative situation in 46
that his salvation depended on 312
that his survival depended on 498
that its benefits outweigh the 144
that its business devolved on 44
that its chemical potential is 50
that its compelling interest in 96
that its drafters intended to 43
that its efficacy depended on 42
that its exclusion deprives the 107
that its felicity consists in 159
that its financial condition is 163
that its immediate operation is 48
that its immediate tendency is 77
that its intended audience is 41
that its magnetic condition is 84
that its military presence in 125
that its molecule consists of 179
that its original boundary to 50
that its original estimate of 96
that its original identity is 91
that its positive terminal is 116
that its presence increases the 130
that its presence prevents the 89
that its relative humidity is 56
that its salvation depended on 182
that its sculptor received the 52
that its security depended on 141
that its security interest in 312
that its security interest is 143
that its spectrum consists of 53
that its supposed direction is 47
that its survival depended on 469
that its ultimate tendency is 66
that its validity depended on 107
that its velocity increases in 138
that its velocity relative to 158
that its vibration direction is 353
that lay directly opposite the 43
that may indicate infection or 53
that not everyone accepted the 124
that not everyone approved of 127
that not everyone approves of 40
that not everyone believed in 96
that not everyone believes in 141
that not everyone involved in 159
that not everyone responds in 41
that not everyone responds to 199
that one essential condition of 100
that one essential ingredient of 40
that one possible approach to 84
that one possible response to 77
that one scarcely expected to 62
that our cultural heritage is 274
that our economic condition is 44
that our economic situation is 149
that our education consists so 48
that our emotional response to 198
that our everyday treatment of 47
that our financial situation is 105
that our interval contains the 97
that our military presence in 97
that our ordinary concepts of 150
that our original estimate of 151
that our personal identity is 201
that our personal interest in 51
that our physical condition is 42
that our physical universe is 103
that our proposed algorithm is 94
that our proposed approach is 103
that our salvation consists in 119
that our subjects diminish as 140
that our survival depended on 54
that our universe consists of 41
that put downward pressure on 81
that put enormous pressure on 65
that put increased emphasis on 41
that ran directly contrary to 113
that real property situated in 516
that run directly contrary to 43
that sex education programs in 44
that she actually expected to 59
that she actually intended to 67
that she earnestly entreated the 61
that she intended speedily to 92
that she remained ignorant of 43
that she scarcely listened to 43
that she scarcely ventured to 55
that she secretly resolved to 57
that she seriously intended to 46
that that district produces the 174
that they actually assisted in 47
that they actually believed in 76
that they actually believed it 55
that they actually believed the 98
that they actually diminish by 100
that they actually increased the 71
that they actually intended to 133
that they actually produced an 54
that they actually received the 75
that they believed miracles to 98
that they believed threatened the 51
that they bitterly resented the 53
that they consider calcutta is 51
that they consider essential to 97
that they consider practice in 53
that they consider relevant to 136
that they continue resident in 77
that they curiously selected the 175
that they depended entirely on 121
that they differed markedly in 83
that they differed somewhat in 76
that they directly affected the 45
that they entirely approved of 60
that they entirely overlook the 46
that they expected everyone to 42
that they expected students to 43
that they formerly occupied the 64
that they honestly believed in 41
that they honestly believed the 57
that they occupied positions of 63
that they probably intended to 52
that they properly supplied the 59
that they provided evidence of 53
that they regarded children as 73
that they regarded fidelity to 51
that they remained attached to 100
that they remained ignorant of 77
that they reported directly to 57
that they resemble somewhat the 51
that they returned directly to 64
that they scarcely amounted to 46
that they scarcely consider it 40
that they scarcely deserved the 50
that they scarcely troubled to 49
that they scarcely ventured to 92
that they seriously believed in 47
that they seriously consider the 53
that they seriously intended to 64
that they somewhat resemble the 42
that they strictly observed the 40
that they suffered severely in 41
that this accident happened at 44
that this accident happened in 58
that this accident happened to 56
that this accident occurred in 95
that this accident occurred to 70
that this actually happened in 343
that this actually happened to 112
that this actually occurred in 87
that this analysis provides an 45
that this analysis supports the 54
that this apparent conflict is 47
that this apparent exception is 80
that this apparent kindness of 144
that this apparent movement of 43
that this apparent progress is 98
that this approach attempts to 84
that this approach improves the 69
that this approach increases the 159
that this approach involves the 68
that this approach neglects the 93
that this approach produces the 46
that this approach provides an 283
that this approach provides the 179
that this approach reflects the 61
that this approach requires an 46
that this approach requires the 300
that this approach resulted in 154
that this approach stresses the 40
that this argument involves the 96
that this argument proceeds on 43
that this argument supposes the 118
that this attitude reflects the 47
that this authority extended to 67
that this boundary condition is 94
that this category includes the 81
that this cavalier treatment of 46
that this compound clustering is 42
that this compound consists of 106
that this compound inhibits the 58
that this condition prevails in 40
that this condition requires the 60
that this condition resulted in 43
that this constant pressure to 44
that this critical velocity is 46
that this currency exceeded in 59
that this doctrine concerning an 45
that this doctrine conducts to 136
that this doctrine destroys the 53
that this document contains the 46
that this downward movement is 47
that this economic evolution is 41
that this enormous quantity of 59
that this entirely depended on 43
that this essential condition of 43
that this evidence supports the 146
that this healthiest exercise of 58
that this historic reduction in 55
that this holistic approach to 55
that this horrible practice is 44
that this imperious authority is 41
that this incident happened in 111
that this incident occurred at 125
that this incident occurred in 226
that this incident occurred on 86
that this increased activity is 86
that this increased emphasis on 77
that this increased interest in 80
that this infinite consists in 101
that this infinite fountain of 105
that this instinct functions in 41
that this interest suffices to 76
that this internal conflict is 41
that this internal secretion is 61
that this interval contains the 247
that this interval includes the 213
that this involves formation of 65
that this membrane consists of 40
that this molecule consists of 74
that this negative attitude is 67
that this negative evidence is 47
that this normally requires the 43
that this numerous assembly of 137
that this objection involves the 44
that this physical universe is 47
that this piecemeal approach to 58
that this polished condition of 42
that this practice amounted to 329
that this practice increases the 169
that this practice resulted in 285
that this primeval ancestor is 53
that this probably reflects the 71
that this prophecy referred to 77
that this provides evidence of 69
that this provision amounted to 40
that this provision prevents the 172
that this provision referred to 52
that this provision required the 45
that this provision requires the 61
that this secretion contains an 42
that this situation obtained in 51
that this situation prevails in 87
that this situation reflects the 161
that this situation resulted in 133
that this splendid specimen of 46
that this tendency reflects the 54
that this terrifying phantasy is 71
that this treatment approach is 51
that this treatment increased the 50
that this treatment increases the 42
that this treatment modality is 61
that this treatment resulted in 321
that this uncommon instance of 54
that too forcibly recalled my 60
that too frequent exercise in 74
that two distinct patterns of 141
that two essential elements of 89
that was actively involved in 391
that was actively promoted by 73
that was actually achieved by 40
that was actually achieved in 41
that was actually designed to 123
that was actually included in 130
that was actually intended to 107
that was actually involved in 61
that was actually observed in 123
that was actually produced by 137
that was bitterly critical of 47
that was bitterly resented by 88
that was commonly accepted in 41
that was commonly believed to 94
that was commonly referred to 268
that was commonly regarded as 191
that was composed entirely of 269
that was directly affected by 131
that was directly attached to 103
that was directly contrary to 380
that was directly inspired by 302
that was directly involved in 279
that was directly opposite the 129
that was directly opposite to 97
that was directly relevant to 799
that was directly traceable to 62
that was entirely composed of 50
that was entirely contrary to 204
that was entirely unsuited to 47
that was fastened directly to 40
that was fiercely resisted by 50
that was formerly ascribed to 143
that was formerly assigned to 53
that was formerly attached to 342
that was formerly believed to 215
that was formerly confined to 40
that was formerly employed in 113
that was formerly included in 138
that was formerly occupied by 1310
that was formerly provided by 132
that was formerly regarded as 407
that was formerly required to 111
that was formerly supplied by 47
that was formerly supposed to 164
that was initially assigned to 46
that was initially believed to 96
that was initially confined to 84
that was initially designed to 149
that was initially intended to 247
that was initially proposed by 201
that was initially rejected by 128
that was initially supposed to 58
that was narrowly tailored to 61
that was normally occupied by 103
that was obviously designed to 287
that was obviously inspired by 170
that was obviously intended as 84
that was obviously intended to 558
that was partially concealed by 40
that was partially obscured by 243
that was partially relieved by 48
that was probably attached to 42
that was probably composed in 126
that was probably decisive in 65
that was probably designed to 181
that was probably increased by 130
that was probably inspired by 311
that was probably intended as 166
that was probably intended to 713
that was probably produced in 42
that was probably supposed to 470
that was promptly accepted by 50
that was promptly followed by 56
that was promptly rejected by 44
that was recently acquired by 189
that was recently approved by 82
that was recently proposed by 61
that was recently reported in 43
that was rendered possible by 42
that was securely fastened to 109
that was seriously affected by 95
that was severely affected by 160
that was severely critical of 150
that was somewhat increased by 193
that was specially designed to 407
that was speedily followed by 170
that was standard practice in 138
that with adequate attention to 41
that with increased exposure to 89
that with judicious treatment the 43
that with prolonged exposure to 59
that you accustom yourself to 118
that you consider essential to 104
that you consider relevant to 104
that you consider yourself an 85
that you consider yourself as 235
that you consider yourself at 90
that you consider yourself the 69
that you consider yourself to 524
that you dedicate yourself to 65
that you describe yourself as 111
that you identify yourself as 105
that you interest yourself in 118
that you perceive yourself as 93
that you restrict yourself to 90
that you seriously consider the 108
that you suffered yourself to 79
them all possible elements of 85
them are actively involved in 118
them are commonly referred to 57
them are directly involved in 143
them are directly relevant to 92
them are entirely ignorant of 43
them are rendered illusory or 55
them are secretly attached to 42
them bear internal evidence of 66
them for expenses incurred in 108
them for possible inclusion in 51
them for services rendered in 80
them for services rendered to 105
them for sinister purposes of 73
them had enormous breeches of 125
them had mortally offended me 44
them has actually effected an 42
them not properly pertaining to 55
them not therefore complain of 113
them two christian captives in 85
them was properly required to 42
them with abundant supplies of 55
them with adequate supplies of 74
them with complete accuracy in 57
them with concrete examples of 82
them with positive solutions to 43
then god relented concerning the 59
then his attention returned to 92
then his lordship returned to 51
then its solutions generate the 60
then its velocity relative to 53
then put downward pressure on 45
then that accursed irishman on 57
then that terrible dispatch of 82
then they suddenly attacked the 47
then two dangerous extremes to 59
they act directly contrary to 137
they are absolute strangers to 116
they are accurate accounts of 74
they are accurate pictures of 46
they are actively attempting to 69
they are actively employed in 80
they are actively involved in 3111
they are actively supporting the 44
they are actually attached to 154
they are actually attempting to 92
they are actually combined in 83
they are actually composed of 209
they are actually describing the 43
they are actually designed to 101
they are actually embedded in 47
they are actually embodied in 86
they are actually employed by 64
they are actually employed in 276
they are actually entitled to 94
they are actually existent or 190
they are actually expected to 134
they are actually included in 62
they are actually inherent in 48
they are actually intended to 97
they are actually involved in 432
they are actually observed in 42
they are actually observed to 106
they are actually performing the 58
they are actually prepared to 121
they are actually produced by 108
they are actually produced in 96
they are actually received by 200
they are actually received in 194
they are actually received or 84
they are actually referred to 45
they are actually required by 59
they are actually required to 179
they are actually responding to 86
they are actually supporting the 41
they are actually supposed to 123
they are actually witnessing the 50
they are affected directly by 55
they are american citizens or 47
they are ardently attached to 46
they are assigned randomly to 43
they are attached directly to 260
they are beautiful examples of 125
they are captured remnants of 59
they are commonly accepted as 98
they are commonly accepted by 41
they are commonly attached to 48
they are commonly believed to 417
they are commonly chestnut or 60
they are commonly composed of 40
they are commonly consumed in 77
they are commonly designed to 88
they are commonly employed as 63
they are commonly employed by 60
they are commonly employed in 188
they are commonly employed to 107
they are commonly expected to 60
they are commonly followed by 133
they are commonly ignorant of 201
they are commonly imagined to 41
they are commonly included in 89
they are commonly inserted in 44
they are commonly inspired by 99
they are commonly involved in 83
they are commonly observed in 146
they are commonly observed to 40
they are commonly operated in 138
they are commonly produced by 67
they are commonly received or 67
they are commonly referred to 3436
they are commonly regarded as 1479
they are commonly regarded by 46
they are commonly resorted to 49
they are commonly supposed to 1499
they are complete strangers to 177
they are composed entirely of 511
they are concrete examples of 48
they are confined entirely to 160
they are critical elements in 89
they are crucially involved in 41
they are directed piercingly to 77
they are directly adjacent to 47
they are directly affected by 898
they are directly attached to 166
they are directly contrary to 388
they are directly employed by 117
they are directly followed by 55
they are directly inspired by 62
they are directly involved in 1677
they are directly involved or 48
they are directly opposite the 49
they are directly opposite to 158
they are directly produced by 117
they are directly relevant to 1023
they are directly threatened by 56
they are directly traceable to 95
they are earnestly desirous of 101
they are elongated parallel to 53
they are employed directly by 54
they are employed entirely in 59
they are entirely absorbed in 87
they are entirely adequate to 58
they are entirely composed of 204
they are entirely concealed by 47
they are entirely confined to 293
they are entirely conscious of 46
they are entirely consumed in 113
they are entirely contrary to 84
they are entirely deprived of 142
they are entirely dictated by 44
they are entirely distinct in 48
they are entirely divested of 65
they are entirely erroneous in 47
they are entirely governed by 57
they are entirely ignorant of 751
they are entirely immersed in 51
they are entirely indebted to 51
they are entirely innocent of 129
they are entirely mistaken in 59
they are entirely relieved of 61
they are entirely replaced by 59
they are entirely strangers to 50
they are entirely stripped of 41
they are entirely unsuited to 77
they are essential elements in 346
they are essential elements of 426
they are excreted unchanged in 52
they are executed pursuant to 55
they are expenses incurred in 98
they are formally included in 46
they are formally required to 86
they are frequent visitors to 103
they are governed entirely by 86
they are greedily devoured by 79
they are hereafter referred to 58
they are honestly desirous of 47
they are infernal villains on 59
they are integral elements in 54
they are integral elements of 104
they are involved directly in 116
they are jealously confined to 40
they are lawfully entitled to 135
they are lawfully required to 74
they are likewise assisted by 63
they are likewise entitled to 80
they are markedly affected by 77
they are mentally prepared to 91
they are mentally retarded or 63
they are mutually affected by 64
they are mutually conscious of 42
they are mutually involved in 58
they are narrowly tailored to 630
they are nonlinear functions of 64
they are normally assigned to 46
they are normally attached to 82
they are normally composed of 48
they are normally confined to 104
they are normally designed to 85
they are normally employed in 71
they are normally entitled to 74
they are normally expected to 294
they are normally followed by 70
they are normally included in 71
they are normally produced in 57
they are normally referred to 300
they are normally regarded as 266
they are normally replaced by 40
they are normally required to 150
they are normally supposed to 57
they are obscured somewhat by 46
they are obviously affected by 89
they are obviously contrary to 47
they are obviously designed to 83
they are obviously entitled to 57
they are obviously inspired by 42
they are obviously intended to 215
they are obviously involved in 45
they are obviously relevant to 87
they are oriented parallel to 240
they are otherwise disposed of 77
they are otherwise eligible to 67
they are otherwise entitled to 198
they are otherwise inclined to 58
they are otherwise required to 44
they are partially concealed by 74
they are partially obscured by 101
they are performing relative to 81
they are possible subjects of 56
they are potential carriers of 80
they are probably affected by 105
they are probably composed of 150
they are probably confined to 93
they are probably destined to 224
they are probably entitled to 74
they are probably included in 129
they are probably indebted to 53
they are probably intended to 140
they are probably involved in 286
they are probably produced by 147
they are probably produced in 65
they are probably remnants of 49
they are produced directly by 62
they are produced entirely by 62
they are properly adjusted to 74
they are properly attached to 49
they are properly attended to 245
they are properly designed to 64
they are properly disposed of 95
they are properly entitled to 106
they are properly equipped to 126
they are properly included in 110
they are properly informed of 54
they are properly oriented to 49
they are properly prepared to 83
they are properly referred to 141
they are properly regarded as 541
they are randomly assigned to 265
they are randomly oriented in 58
they are referred directly to 60
they are rendered harmless by 120
they are rendered possible by 47
they are responding normally to 133
they are scarcely affected by 62
they are scarcely conscious of 231
they are scarcely entitled to 85
they are scarcely mentioned in 88
they are scarcely regarded as 52
they are scarcely sensible of 56
they are scarcely sensible to 46
they are secretly ambitious to 90
they are securely attached to 161
they are securely fastened to 142
they are separate entities in 45
they are seriously affected by 174
they are seriously disposed to 42
they are seriously hampered by 44
they are seriously involved in 45
they are seriously threatened by 48
they are severely affected by 74
they are severely hampered by 44
they are severely impaired in 44
they are severely punished by 96
they are sexually harassed by 65
they are singularly careless of 44
they are situated adjacent to 45
they are slightly inclined to 44
they are somewhat advanced in 51
they are somewhat disposed to 97
they are somewhat inclined to 74
they are somewhat modified by 63
they are somewhat obscured by 83
they are somewhat reassured by 40
they are spatially parallel to 43
they are specially abundant in 99
they are specially designed to 313
they are specially equipped to 53
they are specially mentioned in 66
they are specially valuable as 48
they are specific examples of 41
they are splendid examples of 124
they are standard practice in 43
they are strictly accurate in 51
they are strictly confined to 304
they are strictly enjoined to 98
they are strictly entitled to 83
they are strictly relevant to 54
they are strictly required to 84
they are suddenly arrested by 40
they are suddenly attacked by 68
they are suddenly deprived of 166
they are suddenly expected to 89
they are suddenly recalled to 43
they are suddenly required to 41
they are suddenly startled by 46
they are suitably tailored to 131
they are tenderly attached to 43
they are therefore assigned to 43
they are therefore confined to 44
they are therefore deprived of 63
they are therefore directed to 48
they are therefore disposed to 67
they are therefore entitled to 561
they are therefore essential to 48
they are therefore expected to 92
they are therefore governed by 56
they are therefore inclined to 163
they are therefore included in 276
they are therefore involved in 45
they are therefore prepared to 159
they are therefore referred to 288
they are therefore regarded as 471
they are therefore replaced by 44
they are therefore required to 113
they are therefore supposed to 127
they are therefore unlikely to 240
they are unfairly deprived of 41
they are uniquely equipped to 147
they are uniquely situated to 92
they are unjustly assailed or 64
they are unjustly deprived of 67
they are usefully employed in 58
they are valuable additions to 122
they are valuable adjuncts to 81
they are variously affected by 45
they are variously combined in 60
they are variously referred to 163
they are vulgarly supposed to 107
they are weighted averages of 68
they bear internal evidence of 165
they can scarcely conceive of 46
they can withstand exposure to 53
they get concrete feedback on 57
they had abundant evidence of 45
they had abundant supplies of 43
they had actually happened to 56
they had actually increased the 52
they had actually intended to 56
they had actually murdered the 55
they had actually received the 77
they had attended lectures on 95
they had commonly recourse to 101
they had depended entirely on 74
they had entirely mistaken the 46
they had finished breakfast the 62
they had finished discussing the 99
they had formerly accepted as 45
they had formerly believed in 60
they had formerly employed in 47
they had formerly occupied in 75
they had formerly regarded as 216
they had formerly rendered to 76
they had formerly repaired to 88
they had frequent occasions to 42
they had frequent recourse to 121
they had immediate recourse to 72
they had initially intended to 49
they had mutually promised to 82
they had promptly attacked the 56
they had received accounts of 41
they had received authority so 59
they had received authority to 115
they had received concerning the 212
they had received hundreds of 72
they had received promises of 60
they had received sentence of 121
they had recently acquired in 52
they had recently received in 43
they had recently received the 42
they had remained ignorant of 117
