take a battering ram to 62
time i suspect that the 45
time i visited all the 59
time i visited her at 57
time i visited her in 178
time i visited her it 41
time i visited him at 135
time i visited him he 218
time i visited him in 469
time i visited one of 101
time i visited them in 70
time i visited you in 118
time i watched one of 40
told a newsman that he 45
told a patient that he 127
told a student that he 67
told a visitor that he 281
told a visitor that the 141
told a witness that he 68
tomb a garland let it 88
took a biscuit out of 107
took a blanket off the 136
took a blanket out of 149
took a careful aim at 168
took a careful sip of 519
took a carriage for the 282
took a carriage out to 56
took a cautious sip of 491
took a century for the 219
took a certain joy in 76
took a chicken out of 44
took a circuit for the 63
took a compact out of 121
took a compass out of 45
took a conceit that the 55
took a cottage for the 56
took a cottage near the 52
took a decided lead in 136
took a decision for the 42
took a decision not to 290
took a decision that the 171
took a decision that we 63
took a factory job in 50
took a foolish way of 101
took a fortune out of 42
took a glimpse out of 93
took a grenade out of 72
took a hairpin out of 65
took a handful out of 47
took a helluva lot of 68
took a hundred men to 100
took a hurried sip of 92
took a journey out of 71
took a kleenex out of 187
took a liberty with the 81
took a lighter out of 96
took a loyalty oath to 121
took a measured sip of 91
took a mouthful out of 55
took a nervous sip of 183
took a notepad out of 111
took a package out of 195
took a painted bow in 78
took a passage for the 47
took a passage with us 71
took a picture for the 64
took a picture off the 40
took a picture out of 199
took a picture with my 42
took a picture with the 127
took a plastic bag of 51
took a playful nip at 45
took a playful swing at 76
took a position far in 61
took a position for or 42
took a position for the 200
took a position near the 1062
took a position off the 80
took a position out of 57
took a position that he 57
took a position that is 48
took a position that it 44
took a position that the 159
took a position with an 146
took a position with the 3073
took a private jet to 50
took a private vow of 79
took a private vow to 58
took a quantum leap in 379
took a quarter out of 273
took a receipt for it 172
took a receipt for the 214
took a shorter cut to 54
took a shuttle bus to 116
took a similar job at 43
took a similar oath to 57
took a similar path in 43
took a similar path to 45
took a supreme act of 79
took a swallow out of 49
took a thousand men to 73
took a trained eye to 73
took a trolley car to 84
took a tumbler off the 77
took a vacation for the 40
took a verdict for the 42
took a weekend off to 96
took a whistle out of 82
town i advance for as 122
tread a careful path in 96
treat a patient who is 831
treat a patient with an 480
treat a patient with the 143
treat a stranger with the 49
tree i forbade you to 53
true a picture this is 54
truth i believe that the 53
truth i contend for is 40
turn a machine gun on 121
type a behavior and the 81
type a subject for the 50
type i diabetes and in 89
type i diabetes may be 103
