tackled this issue head on 43
trouble six months ago to 51
trouble than writing with the 40
trouble that broke out in 67
trouble that could lead to 103
trouble that could not be 181
trouble that might lead to 74
trouble that people get to 46
trouble that would lead to 41
trouble they could for the 44
trouble was brewing for the 313
trouble was brewing with the 171
trouble was found with the 49
trouble was rather that the 49
trouble was taken with the 170
trouble with every one of 76
trouble with people who do 79
trouble you again with my 82
troubling any party long in 78
trumpet was blown and the 60
trusted any longer with the 47
trusted him fully with the 56
trusted she would not be 53
trusted she would try to 51
trusted they would not be 96
trusted you would get the 48
trustee and agent for the 72
trustee was liable for the 124
tumults that broke out in 65
turmoil and civil war in 57
turmoil that began with the 61
turnkey had given him to 43
turnout was lower than in 147
turrets and vales does it 78
tutorial that comes with the 98
twinkling and shining out of 79
twirled his thumbs with an 131
twisted and drawn out in 130
twisted his sword out of 68
tyranny that lives but in 56
tyranny that would not be 41
tyranny was wiped out at 53
tyranny yet worse than the 124
tyrants then shall try to 64
