par dominique gonzales 143
per kilometer traveled 258
per magnitude interval 762
per megahertz bandwidth 129
per milligram membrane 147
per milligram nitrogen 327
per operative employed 147
per operative increased 102
per processor decreases 53
per processor increases 47
per production employee 430
per qualified employee 211
per recipient increased 105
per revolution increases 162
per semiannual interest 56
per statement attached 475
per statement enclosed 108
per statement rendered 112
per substrate molecule 238
pet political projects 68
pet population explosion 173
pig population increased 133
pig pulmonary arteries 113
pin connector commonly 162
pin connector supports 273
plea agreement containing 117
plea agreement contains 71
plea agreement included 74
plea agreement provided 495
plea agreement pursuant 138
plea agreement required 112
plea agreement requires 64
plea sometimes advanced 193
ply composite laminate 60
poem addressed directly 55
poem attracted attention 53
poem certainly contains 40
poem previously mentioned 48
poet archibald macleish 1967
poet certainly intended 58
poet christina rossetti 388
poet complains bitterly 70
poet euripides happened 81
poet evidently intended 136
poet generally prepares 55
poet perfectly innocent 82
ppm available chlorine 5236
pro democracy movement 60
psi discharge pressure 1032
psi hydraulic pressure 157
pus contained numerous 44
put additional distance 61
put additional downward 122
put additional emphasis 273
put additional financial 103
put additional pressure 9346
put additional purchasing 64
put additional questions 123
put additional stresses 74
put antibiotic ointment 90
put artificial barriers 82
put bilateral relations 74
put commercial pressure 53
put concerted pressure 77
put continual pressure 149
put continued pressure 318
put different elements 67
put different emphases 579
put different emphasis 673
put different questions 172
put different stresses 42
put difficult questions 177
put effective pressure 692
put excessive emphasis 379
put excessive pressure 667
put exclusive emphasis 266
put extensive pressure 48
put important questions 79
put industrial relations 113
put intensive pressure 48
put literally thousands 41
put offensive missiles 142
put ourselves alongside 96
put ourselves directly 88
put ourselves entirely 417
put ourselves mentally 94
put ourselves seriously 69
put ourselves straight 49
put permanent pressure 40
put pertinent questions 190
put political pressure 3930
put political questions 88
put principal emphasis 46
put secondary education 109
put selective pressure 121
put sustained pressure 168
put technical questions 68
put themselves alongside 284
put themselves directly 603
put themselves entirely 1078
put themselves foremost 126
put themselves formally 81
put themselves forwards 107
put themselves mentally 104
put themselves somewhat 56
put themselves squarely 206
put themselves straight 57
put theological questions 45
put unbearable pressure 691
put universal suffrage 89
put unrelenting pressure 119
put unremitting pressure 64
put unwelcome pressure 63
put wonderful machines 95
