sea cook looked at what 50
so many points in their 51
so many points of their 81
so many points of union 88
so many points of view 5432
so many pounds of beef 204
so many pounds of bread 76
so many pounds of coal 75
so many pounds of fish 63
so many pounds of flax 41
so many pounds of food 61
so many pounds of gold 162
so many pounds of grit 373
so many pounds of iron 44
so many pounds of pork 65
so many pounds of rice 43
so many pounds of salt 65
so many pounds of steam 181
so many pounds of wool 59
so many pounds or tons 82
so many proofs of good 48
so many proofs of having 54
so many proofs of love 182
so many proofs of their 911
so many proofs of what 95
so many proofs of your 593
so many quarts of milk 45
so many reasons to dread 149
so many reasons to feel 190
so many reasons to hate 148
so many reasons to keep 48
so many reasons to know 55
so many reasons to like 41
so many reasons to live 52
so many reasons to love 183
so many reasons to stay 47
so many reasons to think 40
so many reasons to wish 62
so many relics of their 41
so many scores of years 89
so many seemed to have 70
so many seemed to think 53
so many shades of blue 208
so many shades of gray 251
so many shades of meaning 1090
so many shares of such 43
so many sheaves of corn 68
so many sheaves of wheat 40
so many slices of bread 70
so many solids in just 67
so many sounds at once 95
so many sparks of fire 95
so many specks of dust 41
so many stages of life 50
so many states of mind 43
so many sticks of sealing 98
so many sticks of wood 94
so many strive in vain 41
so many swarms of bees 73
so many synods in gaul 134
so many through the years 83
so many tokens of love 92
so many tokens of their 64
so many tokens of your 67
so many tongues of fire 95
so many traces of their 155
so many tricks to throw 60
so many visions of wealth 48
so many visits to make 59
so many voices at once 63
so many whites as well 43
so more likely to have 61
so more safely on foot 53
so much abated as their 55
so much abused by those 61
so much abused the pure 42
so much admire in their 57
so much advice to give 47
so much afraid as came 114
so much afraid of giving 114
so much afraid of having 75
so much afraid of lord 55
so much afraid of losing 172
so much afraid of making 81
so much afraid of must 56
so much afraid of seeing 54
so much afraid of their 178
so much afraid of these 76
so much afraid of those 40
so much afraid of what 216
so much afraid of your 105
so much allied to nothing 58
so much anguish of mind 79
so much appears to have 53
so much before he died 40
so much before the last 131
so much before the time 159
so much behind the other 53
so much behind the rest 151
so much behind the time 84
so much beside the duty 100
so much beside the mark 42
so much better as pure 65
so much better at home 152
so much better at last 45
so much better at making 44
so much better at these 51
so much better if only 424
so much better if there 79
so much better if these 41
so much better in body 43
so much better in fact 56
so much better in health 244
so much better in many 77
so much better in some 50
so much better in their 138
so much better in your 179
so much better of late 134
so much better the last 65
so much better the next 149
so much better to give 78
so much better to have 741
so much better to keep 54
so much better to know 166
so much better to leave 68
so much better to live 143
so much better to look 64
so much better to make 79
so much better to stay 41
so much better to take 64
so much better to talk 78
so much better to walk 50
so much better to work 80
so much better up here 62
so much beyond my wont 51
so much beyond the pale 59
so much beyond the range 45
so much beyond the reach 160
so much beyond the time 66
so much broken in upon 203
so much broken up into 51
so much caught by what 144
so much changed in their 46
so much cheaper to reach 51
so much closer at hand 167
so much closer in time 58
so much closer to home 207
so much closer to life 56
so much closer to their 163
so much closer to those 75
so much closer to what 48
so much closer to your 48
so much credit to their 79
so much credit to your 76
so much damage in such 59
so much damage in their 43
so much damage is done 103
so much damage to other 47
so much damage to their 218
so much damage to your 53
so much depend on their 232
so much depend on what 50
so much desire of bringing 110
so much desire to have 100
so much desire to hold 90
so much desire to keep 59
so much desire to know 113
so much desire to make 47
so much dreaded as soon 119
so much dreaded by many 82
so much dreaded by some 78
so much dreaded by those 136
so much earlier in life 44
so much effect by their 109
so much effect in making 43
so much effect in syria 48
so much effect in their 45
so much effort in trying 165
so much effort is made 83
so much effort to find 78
so much effort to keep 157
so much effort to learn 40
so much effort to make 165
so much effort to reach 85
so much elated by their 113
so much emotion to what 50
so much energy in such 102
so much energy in their 92
so much energy in trying 171
so much energy is lost 126
so much energy is used 89
so much energy on such 51
so much energy to burn 46
so much energy to give 57
so much energy to keep 129
so much energy to make 74
so much energy to their 54
so much engaged in making 60
so much engaged in other 110
so much engaged in their 237
so much engaged of late 52
so much greater as more 51
so much greater in size 48
so much greater in some 62
so much greater in their 76
so much greater in these 53
so much greater is their 104
so much greater or less 160
so much greater the need 86
so much ground as will 318
so much ground in such 96
so much ground to make 96
so much guided by their 55
so much harder to come 81
so much harder to face 60
so much harder to find 119
so much harder to keep 90
so much harder to know 48
so much harder to learn 67
so much harder to live 44
so much harder to make 129
so much harder to pull 57
so much harder to take 74
so much harder to work 67
so much hasten the time 131
so much hatred in their 43
so much helped to make 60
so much higher in rank 55
so much higher in some 110
so much higher in those 149
so much horror at what 41
so much injury is done 61
so much injury to india 61
so much injury to their 45
so much insist on high 65
so much itself as when 141
so much larger in size 67
so much leeway to make 152
so much malice in their 74
so much marvel at your 65
so much matter of fact 167
so much matter to urge 55
so much mention is made 253
so much mirror as take 63
so much missed by your 54
so much needed at home 178
so much needed by those 58
so much needed by young 40
so much needed in india 42
so much needed in their 74
so much needed in these 143
so much needed in those 48
so much needed to give 51
so much needed to know 45
so much needed to make 46
so much notice as many 44
so much notice of their 40
so much notice of these 49
so much notice of what 61
so much object to giving 79
so much passion in their 48
so much pleased as when 100
so much pleased to find 137
so much pleased to have 93
so much pleased to meet 42
so much prefer to have 43
so much prized in other 58
so much purity of life 45
so much regard is paid 60
so much regard the means 104
so much regard to their 94
so much regard to time 154
so much regret at leaving 42
so much regret the loss 335
so much repose of mind 56
so much roused as when 59
so much rubble to fill 64
so much seemed to have 179
so much shaded by wood 61
so much should be done 156
so much should be left 111
so much should be made 234
so much should be paid 94
so much should be said 215
so much silver or gold 165
so much sleeping as half 48
so much stands in need 58
so much states of good 44
so much strength at once 46
so much strength by time 116
so much strength in their 52
so much strength of body 41
so much strength of mind 671
so much strength of will 65
so much strength to hold 88
so much stress at work 55
so much stress be laid 51
so much stress in their 83
so much stress is laid 7093
so much stress on such 146
so much stress on their 112
so much stress on these 199
so much stress on those 51
so much stress on what 222
so much stress on your 47
so much struck by their 172
so much struck by these 42
so much struck by what 96
so much struck by your 41
so much struck on reading 142
so much talked of among 333
so much talked of here 46
so much temper as well 69
so much tension in their 42
so much thought as felt 60
so much thought of here 41
so much thought on what 70
so much through the ages 48
so much through the eyes 78
so much through the work 43
so much through the years 317
so much unable to learn 50
so much valued as those 41
so much valued in their 58
so much valued in your 60
so much virtue as will 107
so much virtue in these 67
so much virtue to wrap 61
so much wanted at home 81
so much wanted is here 60
so much wanted to come 125
so much wanted to find 61
so much wanted to give 89
so much wanted to have 215
so much wanted to help 108
so much wanted to keep 59
so much wanted to know 288
so much wanted to leave 45
so much wanted to live 109
so much wanted to make 117
so much wanted to meet 146
so much wanted to show 42
so much wanted to take 107
so much wanted to talk 82
so much wanted to tell 131
so much wanted to work 41
so much wasted by their 66
so much wedded to their 86
so much weight in such 74
so much weight in their 45
so much weight is laid 76
so much weight of meaning 177
so much weight on such 60
so much weight on their 104
so much weight on these 43
so much weight so fast 47
so much weight to lose 63
so much weight to their 52
so much whence it came 40
so much whether we have 170
so much wished to draw 63
so much wished to find 50
so much wished to gain 40
so much wished to have 105
so much wished to know 113
so much without the help 40
so much wonder at their 54
so much younger in years 113
so nothing should be done 56
so only through the help 47
so open should my heart 49
so rare before the time 77
so riding through the city 45
so shop around to find 93
so soon depart the hues 78
so soon forgot as pain 51
so soon repent the deed 43
so take plenty of time 51
so there appears to have 232
so there seemed no need 92
so there should be four 87
so there should be less 182
so there should be many 162
so there should be more 285
so there should be none 138
so there should be nothing 230
so there should be only 249
so there should be room 123
so there should be some 1030
so there should be time 41
so there should be very 46
so there should in like 46
so these should be used 149
so those before us have 65
so true sought in your 51
so used myself to think 51
so very anxious to find 40
so very anxious to give 42
so very anxious to have 224
so very anxious to keep 79
so very anxious to know 165
so very anxious to learn 48
so very anxious to leave 80
so very anxious to make 64
so very anxious to take 43
so very curious to know 68
so very freely on these 48
so very heroic in coming 41
so very highly of jane 106
so very highly the love 120
so very jealous of their 94
so very little is left 56
so very little is said 90
so very little of their 52
so very little of what 327
so very little to give 73
so very little to make 53
so very little to tell 43
so very pleased to have 113
so very pleased to meet 194
so very serious in their 56
so very singular to those 84
so very zealous in their 81
so well fitted to draw 45
so well fitted to fill 181
so well fitted to form 44
so well fitted to give 183
so well fitted to help 49
so well fitted to make 138
so well fitted to meet 55
so well fitted to take 110
so well fitted to teach 77
so well fitted to their 340
so well formed as those 87
so well gifted as some 51
so well helped in their 55
so well learned as from 54
so well manned in their 40
so well marked as those 98
so well marked as when 47
so well marked in some 40
so well pleased as when 1284
so well pleased to find 66
so well pleased to have 159
so well pleased to think 53
so well pursue the paths 41
so well reward the pious 150
so well seemed to have 46
so well served as when 77
so well served by their 88
so well shaped as those 50
so well showed the road 67
so well suited to give 46
so well suited to such 113
so well suited to their 800
so well suited to these 76
so well suited to those 146
so well suited to your 74
so well taught in those 68
so well through the years 140
so well treated as those 53
so well treated by their 63
so well versed in such 66
so well versed in their 118
so well versed in these 167
so well without the help 50
so went through the gate 58
so went through the same 57
so were always of their 87
so were dozens of other 57
so were forced to leave 51
so were forced to take 50
so were likely to have 61
so were scores of other 41
so were unable to make 71
so what chance is there 67
so what should be done 312
so will depend in part 49
so will depend on their 62
so will readily be seen 60
so will result in loss 87
so will result in more 44
so will result in some 46
so will result in their 61
so will result in your 111
so your secret is safe 50
