sailing sails 157 sailing below 67
split sects 100 split equal 621
split after 170 split where 140
split which 806 split camps 361
split camps 659 spoke could 180
spoke tongue 42 spongy easily 43
sprang horse 72 sprang brown 49
spread plain 97 spread leaves 42
springing vases 40 springs shining 119
springs after 103 sprung where 43
spurs steed 74 staff leaves 49
stage right 739 stage white 43
stale smoke 43 stand people 41
stand while 325 stand talking 51
stand waiting 52 stand while 48
stand about 124 stand until 55
stand longer 47 stand while 152
stand hands 42 stand alike 40
stand would 77 staring glass 137
start point 225 start agony 40
start about 42 start trivia 43
state world 70 state works 112
state cases 96 state rulings 135
state rules 169 state court 219
state carry 48 state apply 61
state create 67 state place 129
state place 40 state about 64
stating place 55 staying house 58
staying after 94 stays after 230
stays fresh 42 stealing cheek 52
stems words 140 steps armed 72
steps sense 43 steps which 74
steps until 192 still copes 60
still makes 43 still weaker 47
still after 41 still about 122
still about 119 still anything 304
still binds 60 still within 40
still child 163 still miles 124
still miles 56 still miles 79
still miles 90 still costs 42
still under 54 still hills 57
still riven 54 still about 84
still grows 66 still steps 110
still alive 54 still where 140
still later 44 still later 82
still later 44 still place 44
still power 85 still dress 116
still evils 42 still right 319
still about 59 still dress 53
stock months 71 stock falls 72
stock store 49 stole cheek 44
stole laban 143 stole carry 50
stone place 67 stone walks 66
stone ledge 43 stone round 84
stood yards 107 stood thirty 47
stood hands 45 stood daily 112
stool spoke 57 storm doors 49
stout hearts 96 stout hearts 161
stout hands 55 stout hands 59
straw heels 140 straw pants 42
straw brims 367 strong hearts 416
strong hearts 55 strong hearts 464
strong hands 58 strong hearts 221
strong hands 51 strong claws 47
strong claws 45 strong hearts 53
strong force 103 strong claws 57
strong knows 79 strong blowing 61
study again 43 study point 76
sugar trees 50 sugar beets 3319
