sales department and with the 46
still relatively easy for the 44
still relatively low and the 110
still relatively new and in 93
still relatively new and is 72
still relatively new and it 43
still relatively new and the 134
still surrounded with all the 63
stole downstairs and out of 79
stood comparison with that of 60
store information for use in 42
store information that can be 564
store information that may be 114
storing information that can be 155
strong affinities with that of 166
strong attachment for one of 41
strong conclusions can not be 119
strong connections with both the 41
strong convictions one way or 53
strong detachment was put on 109
strong imagination are apt to 75
strong implication was that the 49
strong incentives for them to 158
strong indications that this is 217
strong inducement for him to 106
strong inducement for them to 149
strong likelihood that one of 51
strong preference for any of 44
strong preference for one of 224
strong preference for one or 251
strong preference for use of 46
strong preference for using the 89
strong preference one way or 43
strong preference was for the 52
strong presumption that all the 69
strong presumption that one of 43
strong presumption that this is 172
stuff sufficient for one of 92
style comparable with that of 186
style consistent with that of 143
style contrasted with that of 251
style properties that can be 60
sword scornfully with his toe 54
