sea against the bows and 136
so shocked to find that 131
so shocked to learn that 121
so similar in fact that 343
so similar in form and 336
so similar in form that 244
so similar in meaning that 50
so similar in size and 345
so similar in size that 147
so similar in these two 46
so similar in tone and 97
so similar to mine that 211
so similar to ours that 211
so similar to their own 642
so similar to those for 174
so similar to those that 338
so similar to what had 117
so similar to what has 57
so similar to what she 48
so similar to what was 58
so similar to your own 155
so skilful in dealing with 67
so skilful in their use 70
so softening my heart that 40
so steadily at work that 72
so steeped in evil that 104
so steeped in their own 96
so steeped in vice that 136
so stopped at home and 45
so stopped the leaks for 66
so stringent as those for 40
so strongly at odds with 42
so strongly in fact that 229
so strongly in their own 60
so strongly of musk that 48
so strongly of what has 51
so strongly on those who 58
so strongly the fact that 82
so strongly the need for 231
so strongly the other way 133
so strongly to those who 80
so strongly to vent them 43
so stunned by what had 135
so stunned by what she 71
so stunned by what they 44
so sublime an ideal being 48
so superior to mine that 187
so superior to other men 180
so superior to ours that 232
so superior to their own 351
so superior to what she 189
so superior to what they 81
so tempted to tell him 62
so thankful to have had 81
so thankful to have her 86
so thankful to have him 65
so thankful to have them 54
so thankful to have you 153
so thankful to know that 169
so thankful to think that 120
so threatening to those who 89
so thrilled to have her 58
so thrilled to have him 53
so thrilled to have you 223
so thrilled to know that 120
so thrilled to meet you 118
so thrilled to think that 100
so tightly in hers that 45
so tightly it hurt her 40
so totally at odds with 212
so totally in love with 111
so touched my heart that 106
so trained in youth that 1871
so typical of those who 65
so unaware of their own 108
so unaware of what was 148
so unequal in size and 57
so unfeeling as other men 47
so unhappy at home that 164
so unhappy to leave her 50
so uniform in size and 114
so uniform in size that 167
so unusual an hour for 78
so unusual in form and 41
so unusual to find one 168
so unwilling to give him 40
so unwilling to have any 52
so unwilling to leave any 47
so unwilling to make any 46
so unwilling to part with 577
so unworthy to hold you 46
so utterly at odds with 227
so utterly in love with 86
so variable in form and 55
so variable in form that 142
so variable in size and 109
so variable in time and 52
so visible to some men 111
so visible to those who 61
so vividly to life that 128
so vividly to mind that 119
so welcome to those who 78
so wrapped in furs and 43
so wrapped in their own 87
so wrapped up were they 68
so wrought up over this 42
