sabbatical year and the year 171
supposition than that of his 85
supposition than that of its 96
supposition that all of them 44
supposition that all the heat 48
supposition that any of them 94
supposition that each of them 44
supposition that god is not 55
supposition that man is not 40
supposition that one of them 68
supposition that they do not 195
supposition that this is its 40
supposition that this is not 79
supposition that war is not 57
supposition that you do not 71
supposition was that he had 306
supposition was that he was 79
supposition was that it had 43
supposition was that it was 232
surrounded and put to death 143
surrounded him and he was 142
surrounded him for so long 173
surrounded him that he was 57
surrounded them for so long 47
surrounded with men of mean 73
surrounded with one or two 90
surroundings that they do not 60
sustenance and that of his 168
sympathetic and not at all 64
sympathetic one may be with 50
sympathetic than that of her 55
sympathetic than that of his 48
sympathetic with him in his 72
sympathized with both of them 44
sympathized with her in all 61
sympathized with her in her 1257
sympathized with her in this 65
sympathized with him in all 247
sympathized with him in her 48
sympathized with him in his 4971
sympathized with him in this 150
sympathized with him on his 105
sympathized with them in all 134
sympathizes with her in her 95
sympathizes with him in his 205
sympathizes with them in all 57
synonymous with his or her 59
synonymous with man in his 41
synonymous with that of his 92
synonymous with that of its 47
systematic than that of any 135
systematic than that of his 69
