sad the 50 sad to 508
sum the 107 sum in 95
sum the 350 sum the 48
sum the 40 sum by 147
sum in 143 sum on 41
sum of 194 sum as 44
sum in 41 sum on 44
sum as 107 sum in 444
sum so 67 sum of 298
sum by 291 sum in 85
sum on 165 sum of 168
sum of 40 sum to 55
sun the 51 sun to 56
sun in 57 sung the 101
sung in 111 sung by 81
sung by 168 sung in 49
sung is 109 sun is 152
sun to 117 sun to 109
sun of 46 sun by 54
sun by 51 sun in 77
sun at 95 sun in 58
sun to 76 sun it 86
