said feast of pentecost next 148
some kind of influence upon 97
some kind of insurance scam 47
some kind of invisible hand 53
some kind of invisible line 46
some kind of invisible wall 51
some kind of irrational hope 81
some kind of knowledge base 54
some kind of knowledge from 63
some kind of leadership role 152
some kind of liberation from 91
some kind of miserable good 44
some kind of missionary work 157
some kind of narrative form 50
some kind of necessary evil 96
some kind of negotiated peace 78
some kind of numerical test 141
some kind of objective test 56
some kind of objective truth 127
some kind of permanent form 71
some kind of permission from 55
some kind of political life 41
some kind of political union 239
some kind of practical joke 788
some kind of practical work 79
some kind of protection from 499
some kind of psychotic break 143
some kind of removable media 52
some kind of restraint upon 57
some kind of retaliation from 40
some kind of revelation from 60
some kind of separation from 109
some kind of spiritual life 99
some kind of spiritual meaning 44
some kind of statement from 168
some kind of supremacy over 103
some kind of temporary work 47
some kind of transition from 107
some kind of universal health 44
some kind of universal truth 83
some kind of voluntary work 106
some kind of volunteer work 282
some kind of withdrawal from 70
some lack of agreement among 114
some leading or principal stag 289
some mass is converted into 53
some means of controlling their 60
some means of determining their 55
some means of determining what 187
some means of determining when 145
some means of identifying their 42
some means of identifying those 77
some means of maintaining life 67
some means of protection from 141
some means of reconciling these 74
some means of transport will 57
some must of necessity rule 78
some other thing different from 43
some part in determining their 74
some part in determining what 54
some part in political life 90
some part of themselves into 79
some play an important role 50
some role in determining what 74
some rule or principle must 42
some single or occasional acts 211
some sons of sophistry have 85
some sort of absolution from 41
some sort of absorption into 72
some sort of advantage from 62
some sort of advantage over 170
some sort of agreement among 213
some sort of agreement from 63
some sort of agreement must 64
some sort of agreement over 60
some sort of agreement will 54
some sort of apparatus from 49
some sort of association among 48
some sort of assurance from 134
some sort of ceremonial form 94
some sort of character flaw 66
some sort of commission from 69
some sort of community life 128
some sort of concession from 75
some sort of conclusion from 60
some sort of confession from 63
some sort of connection there 83
some sort of consensus among 163
some sort of contingency plan 113
some sort of corporate life 56
some sort of curtained booth 57
some sort of defensive line 62
some sort of departure from 95
some sort of domination over 60
some sort of elaborate hoax 67
some sort of elaborate joke 54
some sort of empirical test 58
some sort of exclusive club 91
some sort of fertility cult 42
some sort of fertility rite 134
some sort of guarantee from 130
some sort of happiness here 52
some sort of hierarchy among 43
some sort of identifying mark 85
some sort of impression upon 62
some sort of incentive plan 46
some sort of inference from 57
some sort of influence from 91
some sort of influence over 396
some sort of influence upon 78
some sort of invisible hand 44
some sort of knowledge worth 53
some sort of leadership role 106
some sort of liberation from 60
some sort of limitation upon 43
some sort of machinery like 54
some sort of negotiated peace 57
some sort of objective test 48
some sort of objective truth 72
some sort of oppression like 58
some sort of organized form 42
some sort of ownership over 45
some sort of permanent form 42
some sort of permission from 64
some sort of political role 44
some sort of political union 237
some sort of practical arts 50
some sort of practical joke 490
some sort of practical test 53
some sort of projection from 45
some sort of protection from 599
some sort of psychotic break 41
some sort of removable media 67
some sort of resonance among 44
some sort of restraint upon 85
some sort of retaliation from 75
some sort of revelation from 49
some sort of separation from 111
some sort of spiritual life 103
some sort of statement from 92
some sort of supremacy over 115
some sort of transition from 81
some sort of universal health 49
some sort of universal truth 42
some sort of volunteer work 116
some sort of withdrawal from 76
some tears of gratitude when 111
some theory of political duty 40
some think the spectator writ 79
some time he refrained from 44
some time in ignorance even 66
some time in intensive care 45
some time in september last 89
some time in september next 52
some time on artificial media 117
some time to appreciate their 44
some time to appreciate what 42
some time to ascertain what 47
some time to determine what 166
some time to establish their 50
some time to penetrate into 74
some tins of condensed milk 81
some type of insurance plan 47
some type of leadership role 46
some type of protection from 61
some type of removable media 71
some type of universal health 41
some type of volunteer work 124
some want to introduce into 40
some ways as different from 73
some ways be different from 52
some ways no different from 97
some ways so different from 89
some were my excellent good 44
some will be reflected back 76
some will be reflected from 68
songs play an important part 47
songs play an important role 74
songs were an important part 102
soon came to appreciate their 44
soon come to disregard rain 40
soon come to recognize their 61
soon have the advantage over 43
soon into the incidents leading 58
soon learn to distinguish these 46
soon learn to distinguish what 49
soon learn to recognize their 100
soon learn to recognize these 54
soon learn to recognize what 50
soon learn to recognize when 46
soon made an impression upon 52
soon play an important part 100
soon play an important role 194
soon sunk in reputation among 45
soon think of introducing into 42
soon threw the knighthood into 111
soon took the ascendant over 42
soon upon the christians fell 73
sort play an important part 75
sort play an important role 50
soul even in childhood into 130
soul from the nethermost hell 120
soul into the universal soul 70
soul must be delivered from 52
soul must be liberated from 41
soul must be separated from 50
soul over the sovereign body 42
soul will be delivered from 44
soul will be separated from 95
south along the salisbury road 79
south many an uncounted mile 73
spring from an allowable range 217
spring from the boundless depth 41
stay there the appointed time 45
steam from the cylinders into 96
steam will be condensed into 53
stem from the different ways 147
step ahead of everybody else 345
step into the leadership role 133
step over an invisible line 45
step over the invisible line 109
step over the prostrate body 40
stop taking the medication when 42
such acts of contumacy will 57
such acts of ownership over 59
such bond of political union 61
such case is presented here 132
such case the defendant must 61
such case the plaintiff must 87
such case to recommend what 80
such debt or performed such 116
such duty or obligation must 53
such laws as determine nothing 97
such laws is incumbent upon 398
such lease or timeshare plan 166
such lost or destroyed bill 81
such means of knowledge more 40
such only as perfectly knew 110
such only as proceeded from 49
such play an important role 82
such sort be presented unto 49
such sort of christians much 46
such want of unanimity among 81
such work is dependent upon 41
sunk into the saturated soil 89
sure hope of everlasting life 61
sure sign of approaching rain 57
sway over the important city 51
swim from the continent into 87
