sable cloth and snowy lawn 201
still think you would have 106
still those who would have 63
still those who would like 53
still walk with earthly feet 79
still want his mummy more 40
still warm and moist from 86
still wearing her wedding band 40
still wearing her wedding gown 52
still wearing his white coat 68
still were not quite sure 101
still what you might call 59
still when she would have 75
still wore her wedding band 48
still wore his dirty rags 81
still wore his wedding band 45
still young and could hope 66
still young and still have 51
still young his father fell 55
stole away that night from 44
stole early this evening from 79
stole into his voice when 51
stole what they could find 72
stole what they could from 71
stone from its grave away 585
stone there are seven eyes 57
stone wall was built along 41
stone well and truly laid 168
stone work and cedar wood 89
stood along this coast till 333
stood during his whole life 48
stood fixing his glowing eyes 45
stood more than seven feet 115
stood next him could hold 67
stood only one short hour 49
stood open for seven days 93
stood over him looking down 59
stood there and cried like 123
stood there and gazed upon 53
stood there and stood there 420
stood there for about five 186
stood there for about half 155
stood there for about three 139
stood there for anything more 44
stood there for quite some 213
stood there not knowing what 2059
stood there with bated breath 50
stood there with bowed heads 67
stood there with staring eyes 42
stood upon her right foot 83
stood upon this earthly ball 51
stood wringing his hands upon 56
storm will not abate till 79
story like that would have 48
story like this would have 43
story more than anything else 104
story more than fifty years 42
story more than forty years 40
stout heart and strong hand 168
stout heart set about earning 64
stout heart that comes from 277
stove boat and stove body 111
strong acid and strong base 1497
strong acid with strong base 114
strong arms and stout heart 52
strong arms and strong legs 43
strong arms get within reach 42
strong base and strong acid 171
strong gale was blowing from 67
strong jaws and sharp teeth 248
strong legs and large feet 51
strong mast that lived upon 89
strong race all races here 93
strong teeth and healthy gums 46
strong will she would shut 66
strong wind and driving rain 50
strong wind had blown down 40
strong wind had swept over 64
strong wind was blowing down 188
strong wind was blowing from 1038
stuck into his flesh like 43
study done for trans union 50
study door was thrown open 49
study during his whole life 41
study less and trust more 53
study more than anything else 131
study time for every hour 232
style more than anything else 269
sugar beet and sugar cane 648
sugar cane and indian corn 67
sugar cane and sugar beet 2310
sunny days and rainy days 79
sunny eyes does basking play 62
sunny hour for leigh hunt 86
sunny rays that point their 42
sunny rest for every dark 124
sweep from its banks when 75
sweet cake her daily bread 41
sweet corn and field corn 196
sweet corn and green beans 80
sweet food and strong wine 211
sweet upon its thorny tree 124
swept away far below their 51
sword from his right hand 54
sword from his right thigh 121
sword from its black sheath 59
