sadly battered by years of 49
shall continue to live at 50
shall continue to live in 1419
shall continue to live on 246
shall continue to look at 91
shall continue to look to 106
shall continue to make it 134
shall continue to make the 358
shall continue to meet the 79
shall continue to move in 136
shall continue to name the 104
shall continue to need the 53
shall continue to obey the 59
shall continue to play an 50
shall continue to play the 75
shall continue to pray to 73
shall continue to push it 42
shall continue to rely on 403
shall continue to roll on 42
shall continue to roll the 73
shall continue to rule the 42
shall continue to seek the 70
shall continue to seek to 389
shall continue to send the 101
shall continue to send to 54
shall continue to speak as 43
shall continue to speak in 116
shall continue to speak of 966
shall continue to speak to 58
shall continue to take it 48
shall continue to take the 227
shall continue to talk in 40
shall continue to talk of 96
shall continue to teach in 70
shall continue to think as 72
shall continue to think in 56
shall continue to think it 117
shall continue to think of 313
shall continue to think so 160
shall continue to think the 85
shall continue to treat as 161
shall continue to treat of 40
shall continue to treat the 220
shall continue to urge the 52
shall continue to vest in 649
shall continue to warm the 57
shall continue to work as 200
shall continue to work at 51
shall continue to work in 522
shall continue to work on 433
shall continue to work to 54
shall contrive to keep the 77
shall dedicate my life to 97
shall describe as well as 40
shall describe at length in 59
shall describe it here in 57
shall describe the case of 62
shall describe the form of 50
shall describe the kind of 79
shall describe the land to 51
shall describe the mode of 96
shall describe the role of 66
shall describe the theory of 42
shall describe the type of 62
shall describe the ways in 73
shall describe the work of 81
shall disburse the same in 121
shall disburse the same to 70
shall disclose so much of 42
shall disclose the date of 40
shall disclose the fact to 192
shall disclose the name of 135
shall discover if there be 61
shall discover the laws of 88
shall discover the meaning of 59
shall discover the means of 71
shall discover the truth of 50
shall displace the rule of 74
shall estimate the cost of 156
shall evacuate the city of 57
shall exercise the same in 182
shall foredoom the fate of 141
shall hereafter be able to 461
shall hereafter be born of 74
shall hereafter be done by 43
shall hereafter be held at 125
shall hereafter be held in 112
shall hereafter be held on 247
shall hereafter be held to 57
shall hereafter be kept in 126
shall hereafter be laid or 47
shall hereafter be made by 698
shall hereafter be made in 364
shall hereafter be made of 88
shall hereafter be made on 99
shall hereafter be made or 166
shall hereafter be made to 448
shall hereafter be paid by 46
shall hereafter be paid in 113
shall hereafter be paid to 68
shall hereafter be sent to 58
shall hereafter be sold by 64
shall hereafter be sold on 69
shall hereafter be sold or 190
shall hereafter be upon the 45
shall hereafter be used as 40
shall hereafter be used in 107
shall hereafter be used or 116
shall indicate by means of 74
shall indicate the date of 160
shall indicate the date on 167
shall indicate the kind of 84
shall indicate the name of 434
shall indicate the type of 81
shall indicate the ways in 44
shall initially be paid by 150
shall instance in some of 54
shall instruct the jury as 107
shall instruct the jury in 75
shall instruct the jury on 48
shall instruct the jury to 1503
shall intimate the fact to 180
shall intimate the same to 82
shall likewise be able to 164
shall likewise be free of 51
shall likewise be kept in 65
shall likewise be made by 45
shall likewise be made in 60
shall likewise be paid by 94
shall likewise be paid to 58
shall likewise be sent to 150
shall maintain on file in 65
shall maintain on file the 43
shall maintain the rule of 136
shall maintain the same in 138
shall multiply my days as 441
shall normally be held at 1100
shall organize the work of 167
shall outweigh by means of 79
shall perceive at once the 95
shall persuade to love me 81
shall possibly be able to 82
shall postpone the hearing of 43
shall preclude or deny the 178
shall preclude or deny to 52
shall preclude the taking of 135
shall preserve the faith in 63
shall preserve the same in 337
shall probably be able by 58
shall probably be able to 2992
shall probably be back at 41
shall probably be back by 40
shall probably be back in 126
shall probably be glad to 65
shall probably be much at 87
shall probably be ready to 45
shall probably be safe in 412
shall probably be sent to 98
shall probably be told by 52
shall probably be wise to 65
shall probably do best to 84
shall probably do well to 163
shall probably go back to 255
shall probably go down to 206
shall probably go into the 60
shall probably go over to 49
shall prohibit the making of 96
shall prohibit the sale of 180
shall prohibit the taking of 62
shall purchase or rent an 145
shall purchase the same in 93
shall register the name of 191
shall register the same as 68
shall register the same in 475
shall regulate the mode of 137
shall remember it when the 49
shall remember me among the 104
shall remember the length of 44
shall remember the lord thy 72
shall restrict the meaning of 74
shall restrict the term to 95
shall scarcely be able to 1761
shall scarcely be felt in 70
shall scarcely be wrong in 72
shall separate it from the 47
shall separate me from my 154
shall separate me from the 804
shall separate us from the 10779
shall speedily be able to 66
shall sprinkle it upon the 64
shall strengthen the wall at 55
shall thereafter be done by 68
shall thereafter be held by 56
shall thereafter be held in 86
shall thereafter be held on 44
shall thereafter be held to 70
shall thereafter be kept in 81
shall thereafter be made by 87
shall thereafter be made in 60
shall thereafter be made to 56
shall thereafter be paid to 135
shall thereafter be upon the 155
shall therefore as soon as 57
shall therefore be able to 775
shall therefore be done in 43
shall therefore be glad if 139
shall therefore be glad to 286
shall therefore be safe in 93
shall therefore do well to 339
shall therefore go back to 43
shall therefore the lord of 252
shall thereupon be held to 97
shall thereupon be made by 126
shall thereupon be paid by 56
shall thereupon be paid to 96
shall transfer the case to 271
shall transfer the same to 124
shall transmit as soon as 91
shall transmit by mail to 63
shall transmit the file to 100
shall transmit the list of 133
shall transmit the same by 53
shall transmit the same in 79
shall transmit the same to 1698
shall verbally be made by 158
shall withstand the wind of 43
shalt remember the lord thy 2346
shape increases the risk of 43
share whatever in bringing the 52
sharp comments to make on 40
sharp conflict of half an 50
sharp contrast to life in 81
sharp contrast to many of 430
sharp contrast to most of 681
sharp contrast to much of 276
sharp contrast to some of 411
sharp contrast to those in 453
sharp contrast to those of 3256
sharp contrast to what he 220
sharp contrast to what is 425
sharp contrast to what it 87
sharp contrast to what the 275
sharp contrast to what we 287
sharp medicine to cure me 43
sharp scissors to trim the 45
shearing stresses as well as 112
sheer nonsense to speak of 152
sheer nonsense to talk of 331
sheer pressure of work on 44
sheer quantity as well as 62
sheet provided in lieu of 78
shell composed of dirt or 131
shell confines the flow of 59
shell increases the size of 63
shift register is used as 222
shift register is used in 44
shift register is used to 527
shift required to make the 67
shining examples of what the 46
ships ventured to come up 45
shock absorber as well as 49
shock absorber in case of 40
shone foremost at most of 76
shoot straight up from the 137
shoot straight up into the 444
shore opposite the mouth of 325
shore opposite the wall is 117
short abstract of some of 76
short abstract of what he 47
short accounts of some of 93
short accounts we have of 50
short analysis of some of 75
short articles as well as 41
short circuits by means of 42
short compared to those in 103
short compared to those of 482
short distance as well as 146
short distance by means of 166
short distance by some of 90
short distance he came to 69
short distance in back of 67
short distance in from the 439
short distance of five or 46
short distance to form the 66
short distance to join the 67
short distance to make the 40
short distance to meet the 123
short distance to pick up 87
short distance to reach the 293
short distance to walk to 85
short distance up from the 340
short distance up into the 128
short distance we came in 96
short distance we came to 249
short distance we come to 73
short glossary of some of 57
short interval of paying in 109
short interval of peace in 77
short interval of rest is 51
short interval of three or 73
short interval of time as 238
short interval of time at 480
short interval of time by 153
short interval of time in 345
short interval of time is 514
short interval of time it 92
short interval of time of 63
short interval of time or 52
short interval of time the 488
short interval of time to 230
short overview of some of 263
short reserves of time in 43
short selection of some of 64
short sketches of some of 63
shout drowsily the hour to 57
showing direction of flow of 43
showing examples of some of 48
showing hardness of heart or 48
showing interest in what he 55
showing interest in what the 177
showing reduction in size of 45
shown interest in buying the 41
shown opposite the name of 76
shown patience as well as 50
shown shortens the time or 107
shows evidence of past or 153
shows examples of some of 704
shows increased to such an 43
shows interest in what is 48
shows interest in what the 68
shows judgment as well as 82
shrub concealed it from the 40
sides examples of acts of 63
sides extended by means of 52
sides parallel to those of 288
sides stressed the need to 69
sighs reproach the faith of 246
sight promises so much to 43
sight surprising in view of 61
signs indicate the sign of 60
signs indicating the name of 107
signs opposite to those in 84
signs opposite to those of 117
since acquired the name of 234
since concluding the peace of 46
since elocution is only an 78
since employed the boys to 82
since everyone is free to 71
since fattened the cubs of 54
since increased to such an 57
since obtained the name of 194
since otherwise he must be 42
since otherwise he will be 112
since otherwise it will be 184
since procured the work of 70
since received the name of 652
since regained it only at 42
since retained the name of 285
since solitude as well as 120
since whatever is done in 44
since whatever is said in 51
sinking thousands of tons of 133
sinus occupies the body of 54
sitting opposite the boys in 49
sizes continue to grow as 62
skies proclaim the work of 1257
skill acquired by years of 66
skill attempts no task it 113
skill deficits as well as 50
skill improves in making the 68
skill probably in mining or 40
skill required to make it 79
skill required to make the 191
skill required to play the 48
slave property as well as 86
slave quarters as well as 40
sleep afforded me during the 86
sleep patterns as well as 144
sleep problems as well as 52
sleep relieved me from the 147
slept fitfully the rest of 103
small additions of acid or 98
small aperture be made in 62
small aperture is left at 40
small aperture is left in 47
small aperture is made in 93
small aperture is seen in 41
small armament to take it 52
small arteries as well as 92
small attention is paid to 89
small beginnings of what is 56
small bracelet of beads on 45
small business as well as 446
small business is able to 82
small business or some of 137
small children as well as 1303
small children at home in 63
small children at home or 113
small children at home to 90
small children by means of 40
small children in need of 71
small children in whom the 133
small children to live in 83
small children to play in 136
small children to think of 42
small children to work in 82
small children we used to 61
small churches as well as 41
small clusters of four or 40
small clusters of three or 68
small clusters of three to 63
small colleges as well as 216
small compared to even the 40
small compared to many of 84
small compared to most of 122
small compared to some of 346
small compared to those at 110
small compared to those in 2151
small compared to those of 3074
small compared to those on 267
small compared to what he 125
small compared to what is 247
small compared to what it 602
small compared to what the 175
small compared to what we 162
small computer is used to 60
small concerns as well as 73
small creatures as well as 46
small distance of time in 70
small distance to feel in 61
small distress by laying the 40
small families as well as 55
small fragment of bone at 46
small fragment of bone is 145
small fragment of sand as 51
small fragment of what is 66
small garrison of land or 62
small garrison to hold it 55
small garrison to hold the 139
small hemostat is used to 52
small industry as well as 70
small interval of time at 398
small interval of time by 41
small interval of time in 108
small interval of time is 293
small interval of time the 225
small interval of time to 50
small investor as well as 66
small investor is able to 40
small minority in most of 58
small minority is able to 55
small minority of even the 85
small minority of jews in 60
small minority of those in 173
small minority to live on 47
small particle of dust or 40
small peptides as well as 60
small presents to gain the 68
small problems as well as 82
small projects as well as 110
small property as well as 44
small puncture is made in 139
small quantity in some of 56
small quantity is sent to 55
small quantity is used in 134
small quantity of acid in 71
small quantity of acid is 235
small quantity of acid or 151
small quantity of acid to 133
small quantity of alum is 51
small quantity of alum or 48
small quantity of beef or 42
small quantity of beef tea 87
small quantity of bile in 85
small quantity of bread in 49
small quantity of bread to 50
small quantity of clay is 64
small quantity of clay or 56
small quantity of cloth or 51
small quantity of coal at 55
small quantity of coal is 111
small quantity of coal to 47
small quantity of corn he 96
small quantity of corn in 57
small quantity of corn is 58
small quantity of cream of 136
small quantity of ether be 70
small quantity of ether in 43
small quantity of ether is 171
small quantity of ether or 56
small quantity of food at 173
small quantity of food he 45
small quantity of food in 118
small quantity of food is 162
small quantity of food or 124
small quantity of food to 98
small quantity of fuel in 63
small quantity of fuel is 254
small quantity of fuel to 77
small quantity of gold in 494
small quantity of gold is 211
small quantity of gold to 60
small quantity of iron in 199
small quantity of iron is 258
small quantity of iron or 136
small quantity of land at 47
small quantity of land in 144
small quantity of land is 41
small quantity of land to 45
small quantity of lard or 44
small quantity of lime by 150
small quantity of lime in 102
small quantity of lime is 239
small quantity of lime or 130
small quantity of lime to 69
small quantity of milk at 43
small quantity of milk in 138
small quantity of milk is 231
small quantity of milk of 160
small quantity of milk or 140
small quantity of milk to 88
small quantity of oats or 58
small quantity of rice in 259
small quantity of rice is 141
small quantity of rice or 56
small quantity of rice to 73
small quantity of sail he 52
small quantity of salt in 234
small quantity of salt is 322
small quantity of salt of 42
small quantity of salt or 101
small quantity of salt to 133
small quantity of sand in 44
small quantity of sand is 90
small quantity of sand or 84
small quantity of seed in 44
small quantity of seed is 149
small quantity of seed of 72
small quantity of soap is 84
small quantity of soda in 48
small quantity of soil in 77
small quantity of soil is 140
small quantity of some of 59
small quantity of steam in 43
small quantity of steam is 118
small quantity of steam to 88
small quantity of what is 59
small quantity of wheat is 69
small quantity of wine in 71
small quantity of wine is 115
small quantity of wine or 141
small quantity of wine to 92
small quantity of wood in 72
small quantity of wool is 66
small quantity of yeast is 115
small quantity of yeast to 59
small quantity of zinc is 103
small relative to size of 45
small relative to those in 201
small relative to those of 539
small relative to what is 55
small security we have in 46
small selection of some of 226
small selection of these is 45
small selection of what is 89
small subjects as well as 135
small surprise to find the 104
small vesicles the size of 47
small villages as well as 579
smile crinkled the skin at 88
smile vanished as soon as 65
smiling outright at seeing the 115
smoke billowed up from it 247
smoke billowed up from the 747
smoke billowed up into the 405
smoke increases the risk of 613
smoke spiraled up from the 172
smoke spiraled up into the 43
smoke straight up into the 302
smoking cabbages by break of 132
smoking cessation as part of 126
smoking cessation as well as 150
smoking decreases the risk of 62
smoking depletes the body of 56
smoking increased the risk of 219
smoking increases the rate of 75
smoking increases the risk of 4476
smooth surfaces as well as 127
smooth surfaces by means of 190
sober judgment as well as 41
social activism as well as 85
social activist as well as 69
social activity as much as 40
social activity as well as 584
social agencies as part of 44
social agencies as well as 258
social agencies to help the 45
social analysis as part of 43
social analysis as well as 329
social approval as well as 99
social authority as well as 51
social authority of some of 47
social barriers as well as 58
social behaviors as well as 143
social benefits as part of 50
social benefits as well as 1247
social benefits of living in 133
social benefits of such an 48
social breakdown as well as 52
social category as well as 51
social cognition as well as 65
social concerns as well as 487
social condition as much as 51
social condition as well as 154
social condition at least as 43
social condition of india in 66
social condition of many of 45
social conflict as well as 465
social contacts as much as 76
social contacts as well as 394
social contexts as well as 571
social contract as well as 274
social contract by means of 51
social controls as well as 65
social controls by means of 62
social critique as well as 73
social dimension as well as 165
social disorder as well as 68
social distance as well as 163
social distance by means of 55
social divisions as well as 143
social doctrine as well as 148
social document as well as 129
social dynamics as well as 89
social dynamics at work in 149
social education as well as 122
social elements as well as 144
social elevation is upon the 86
social engineering as well as 95
social engineering by means of 98
social engineers as well as 42
social entities as well as 51
social equality as well as 318
social equality by means of 64
social evolution as well as 192
social evolution by means of 49
social exchanges as well as 43
social exclusion as well as 350
social exclusion is seen as 54
social formation as well as 121
social functioning as well as 575
social functions as well as 981
social heritage as well as 50
social historian as well as 128
social identity as part of 86
social identity as well as 750
social identity by means of 52
social inclusion as well as 84
social inferiors as well as 97
social interest as well as 143
social isolation as well as 208
social isolation of many of 74
social isolation or lack of 102
social maturity as well as 101
social maturity by means of 44
social mobility as well as 643
social mobility by means of 130
social mobility is meant the 43
social morality as well as 111
social movement as well as 238
social movement is able to 44
social networks as well as 496
social occasions as much as 45
social occasions as well as 215
social organism as well as 69
social organism is like an 69
social organism is made up 91
social outcomes as well as 98
social partners as well as 255
social pathology as well as 47
social patterns as well as 164
social patterns of life in 48
social policies as well as 820
social policies to meet the 59
social positions as well as 110
social practice as much as 41
social practice as well as 601
social practice by means of 67
social pressure as well as 165
social pressure is used to 52
social pressure to give up 53
social pressure to join the 60
social pressure to keep the 84
social pressure to keep up 67
social pressure to stay in 41
social prestige as well as 402
social problems as much as 59
social problems as part of 88
social problems as those of 55
social problems as well as 4020
social problems by means of 301
social problems in need of 132
social problems of life in 59
social problems we face in 42
social programs as part of 75
social programs as well as 691
social programs to help the 210
social programs to meet the 86
social progress as well as 529
social progress by means of 126
social progress go hand in 63
social purposes as well as 238
social questions as well as 477
social realities as well as 557
social realities of life in 179
social reformer as well as 270
social rejection or loss of 43
social relations as much as 128
social relations as part of 95
social relations as those of 47
social relations as well as 4044
social relations at work in 77
social relations by acts of 112
social relations by means of 248
social relations is part of 43
social relations of work in 116
social relations or open to 49
social relations to such an 54
social relations to those of 50
social salvation as well as 42
social sanctions as well as 58
social sciences as much as 136
social sciences as part of 175
social sciences as well as 9560
social sciences by means of 71
social sciences is full of 43
social sciences the task of 52
social sciences to meet the 47
social sciences we have to 80
social security as part of 125
social security as well as 1435
social security by means of 163
social security in case of 155
social security is seen as 87
social services as much as 61
social services as part of 248
social services as well as 4191
social services by means of 56
social services is seen as 99
social services to help the 132
social services to meet the 409
social services to those in 305
social situation as well as 1142
social situation by means of 41
social situation is just if 178
social sketches as well as 84
social subjects as well as 61
social supports as well as 145
social tradition as well as 64
social variables as well as 114
soils containing as much as 59
solar activity as well as 80
solar eclipses as well as 44
solar parallax by means of 71
solar spectrum by means of 85
solar spectrum is made to 46
solar spectrum is made up 90
solid evidence to back it 69
solid evidence to back up 223
solid majority of seats in 42
solid materials as well as 62
solid solutions as well as 271
solid solutions of zinc in 91
solid spheroid in having no 69
solid surfaces as well as 140
solid surfaces by means of 79
solve problems as part of 79
solve problems as soon as 65
solve problems as well as 445
solve problems by means of 453
solve problems in areas of 44
solve problems in much the 105
solve problems of life in 54
solve problems or even to 49
solve problems so much as 46
solving approach is used in 97
solving approach is used to 124
solving problems as well as 441
solving problems by means of 272
sorting algorithm is said to 50
sound business as well as 53
sound economic as well as 291
sound judgment as well as 553
sound judgment of some of 42
sound judgment of what is 83
sound morality as well as 91
sound patterns as well as 96
sound patterns by means of 46
sound practice to have the 63
sound produced by means of 124
sound produced by some of 51
sound recordings as well as 227
sound recordings by means of 830
sound resembling the roar of 59
sound surprising in view of 131
space concealed the form of 42
space containing the name of 150
space occupied by even the 57
space opposite the name of 307
space prevents my having the 175
space programs as well as 177
space provided in part ii 63
space provided the type of 117
space required as well as 81
space required to hold the 200
space separating it from the 360
space separating us from the 61
space variables as well as 43
space vehicles as well as 88
spare yourself as much as 116
spare yourself the pain of 415
spark happened to fall the 49
speaking children as well as 126
speaking children as young as 45
speaking students as well as 107
speaks contrary to what he 70
speaks contrary to what is 64
speaks directly to many of 48
speaks directly to some of 42
speed controls the length of 47
speed increases the rate of 80
speed required to keep the 53
speed required to make the 41
speed required to meet the 45
spend eternity in hell if 42
spend thousands of years in 56
spend whatever it took to 339
spent hundreds of years in 110
spent thousands of years in 326
sperm motility as well as 144
spoil inclined the mind of 40
spoke bitterly of what he 41
spoke directly to many of 55
sprang straight up into the 101
sprang suddenly to life at 103
spread hardness as well as 61
springing straight up from the 61
staff functions as well as 117
staff involved as well as 41
staff officers as well as 188
staff positions as well as 78
staff required to meet the 64
staff salaries as well as 131
staff turnover as well as 96
stage designer as well as 40
stage direction as well as 43
stage director as well as 124
stage presence as well as 59
stand alongside the best of 48
stand prepared to meet the 85
stand straight up from the 87
stand urgently in need of 66
stare straight up into the 109
staring straight up into the 351
staring stupidly up into the 121
stark contrast to life in 54
stark contrast to many of 289
stark contrast to most of 295
stark contrast to much of 223
stark contrast to some of 245
stark contrast to those in 338
stark contrast to those of 1256
stark contrast to what he 113
stark contrast to what is 225
stark contrast to what the 166
stark contrast to what we 179
stark realities of life in 131
start exercising as soon as 43
start functioning as soon as 130
start treatment as early as 84
start treatment as soon as 265
state acceptor to give the 60
state agencies as part of 113
state agencies as well as 1946
state agencies to meet the 92
state archives as well as 80
state authority as well as 213
state capitals as well as 364
state colleges as well as 112
state compared to those of 161
state concerning the fact in 71
state consists of three up 61
state controls the means of 142
state destined to join the 58
state elections as well as 189
state formation as well as 151
state functions as well as 98
state hospital in what is 149
state increases the risk of 52
state interest in having the 56
state occasions as well as 89
state officers as well as 134
state officers is held at 42
state officers to take an 52
state officials as well as 1216
state officials to make the 145
state officials to take an 99
state officials to take the 42
state operates as well as 51
state policies as well as 316
state politics as well as 326
state practice as well as 267
state precedes the other in 68
state programs as well as 82
state property as well as 145
state provides the means of 50
state received the name of 44
state relations as well as 210
state requires the filing of 42
state revenues as well as 59
state security as well as 128
state services as well as 160
state socialism as well as 182
state statutes as well as 493
state statutes at date of 78
state variables as well as 462
state variables by means of 97
state whatever is upon us 165
steady attention to what is 74
steady fidelity to what is 89
steady progress is made in 59
steady selection to keep the 147
stealing children to wait on 48
steel containing as much as 59
steel industry as well as 1017
steel industry by means of 52
steel industry in india is 110
steel industry is able to 59
steel industry is said to 46
steel industry to meet the 115
steel products as well as 427
steps backward as well as 101
steps designed to help the 48
steps designed to make the 100
steps followed in making the 41
steps involved in making an 129
steps involved in making the 308
steps involved in such an 70
steps involved in taking an 47
steps required to find the 160
steps required to form an 41
steps required to make an 73
steps required to make it 94
steps required to make the 385
steps required to meet the 101
steps required to move the 88
steps required to reach an 48
steps required to reach it 48
steps required to reach the 872
steps required to turn the 42
stern exercise of faith to 67
stern realities of life as 81
stern realities of life by 52
stern realities of life in 90
stern realities of life on 78
stern realities of life to 70
stick containing the length of 43
stick employed to heave up 44
stick straight up from the 107
stick whenever we like to 44
still absorbed in what he 44
still abundant in many of 64
still accepted as part of 86
still accepted by many as 97
still accepted the theory of 52
still actively at work in 155
still actively at work on 51
still addressing the body of 52
still adequate to meet the 49
still affected by some of 41
still affected the name of 72
still apparent as late as 60
still apparent in many of 65
still apparent in some of 70
still ascribed it unto the 59
still attached by means of 48
still attached to life at 270
still attached to many of 84
still attached to part of 106
still attached to some of 137
still attempting to come to 133
still attempting to keep the 61
still attempting to make the 56
still attempting to reach the 41
still attended by julia in 90
still attended the arms of 74
still beautiful to look at 59
still believed as late as 56
still believed by many in 170
still believed by many of 45
still believed by many to 424
still believed by some to 216
still believed in many of 80
still believed in what he 125
still believed it void of 61
still believed to have the 62
still believes in what he 52
still cherishing the hope of 247
still clutched the face of 41
still clutched the hilt of 48
still comprise the bulk of 133
still consider the body as 73
still continue in much the 49
still continue to call by 60
still continue to call in 121
still continue to call it 153
still continue to call the 117
still continue to come in 146
still continue to come to 79
still continue to fall in 265
still continue to feel the 83
still continue to find it 89
still continue to find the 41
still continue to flow in 57
still continue to form the 75
still continue to give me 47
still continue to give the 85
still continue to give to 77
still continue to grow in 76
still continue to have an 85
still continue to have the 227
