salutary optimism as to the 40
suddenly elevated to be the 51
suddenly occurred to me as 285
suddenly occurred to me at 52
suddenly occurred to me he 46
suddenly occurred to me it 45
suddenly occurred to me of 42
suddenly occurred to me the 292
suddenly occurred to me to 1291
suddenly occurred to us to 63
suddenly recalled to me the 45
suddenly reminded me of my 113
suddenly reminded me of the 253
suddenly resolved to go to 85
suddenly snatched up by king 106
suddenly switched on to the 57
suffered judgment to go by 380
sufferings foretold to me by 40
suggesting subjects to me on 52
suggests questions as to the 43
suitable provision is to be 45
suitably adjusted so as to 57
suitably modified so as to 202
sullenly preceded me up the 61
supporting evidence as to the 211
supporting evidence is to be 128
supposed actually to be the 42
supposed frederic to be the 89
surgical approach is to be 55
surgical operation is to be 152
surgical treatment if it is 99
surgical treatment is of no 40
surgical treatment is to be 225
suspending judgment as to the 49
suspicion attached to the king 75
sustaining treatment is to be 129
switched directly on to the 159
switched straight on to the 123
syllable concerning it in the 209
symphony concerts up to the 77
symptoms referred to as the 108
symptoms referred to in the 80
symptoms reminded me of the 74
syndrome referred to as the 55
