sea and land excluded all 60
so that your opponent does 43
so that your opponent has 144
so that your opponent may 83
so that your physician can 107
so that your programs can 156
so that your progress may 143
so that your struggle for 99
so that your students are 165
so that your students can 888
so that your visitors can 259
so they were arrested and 57
so they were equipped with 51
so they were prepared for 199
so they were probably not 100
so they were provided with 106
so they were replaced with 84
so they will probably not 63
so they will remember you 51
so weak from exposure and 41
so with great curiosity and 45
so with great enthusiasm and 76
so with great vivacity for 74
so with more enthusiasm than 44
so with such accuracy that 41
so with such enthusiasm that 242
so with such rapidity that 148
so with their devilish singing 47
so you must consider this 44
so you must remember that 172
so you will discover that 57
so you will perceive that 142
so you will probably get 87
so you will probably not 231
so you will probably see 257
so you will probably use 53
so you will remember all 92
so you will remember how 43
so you will remember that 107
so you will remember them 101
st thou dost overthrow die 45
