sap from maple trees to 113
she kept quiet about it 290
she kept quiet about the 104
she kept quite close to 41
she kept still praying on 46
she kept talking about it 91
she kept talking about the 141
she kept thinking about it 141
she kept thinking about the 439
she knew anything about it 945
she knew anything about me 68
she knew anything about my 101
she knew anything about the 1464
she knew could never be 239
she knew right where to 77
she knew sleep would be 50
she knew would appeal to 92
she knew would never be 384
she knew would never go 55
she know anything about it 237
she know anything about me 60
she know anything about my 41
she know anything about the 321
she made phone calls to 56
she meant could cleave the 57
she meant every twist of 83
she must begin again at 41
she must begin again to 85
she must never allow the 42
she need never again be 43
she once again began to 249
she once again tried to 169
she only cared about the 47
she only stood looking at 75
she rose every morning at 72
she said after looking at 78
she said anything about it 248
she said anything about me 92
she said anything about the 166
she said julian could at 104
she said while looking at 101
she sate playing cards at 83
she says anything about it 47
she sent round begging me 42
she soon found reason to 87
she soon grows tired of 41
she stop thinking about it 42
she told people about the 45
she took every pains to 44
she took first place in 115
she took first prize in 46
she took large doses of 64
she took pains never to 71
she used every ounce of 118
she used every reason to 72
she vows never again to 40
she wait until after the 42
she went about cleaning the 40
she went about cleaning up 108
she went about getting the 60
she went about picking up 104
she went about setting the 60
she went about setting up 49
she went every evening to 64
she went every morning to 107
she went every night to 40
she were again talking to 95
she were fully aware of 95
she were getting tired of 103
she were quite alone in 40
she were quite willing to 42
she were sinking under the 221
she were still alive in 55
she were still alive to 46
she were still sitting in 118
she were still under the 55
she were talking about an 58
she were talking about me 42
she were talking about the 313
she were thinking about it 73
she will catch sight of 49
she will never admit it 82
she will never admit to 94
she will never again be 806
she will never again go 42
she will never agree to 118
she will never allow the 51
she will never appear in 48
she will never belong to 93
she will never catch up 102
she will never fetch the 47
she will never laugh at 61
she will never marry at 50
she will never marry me 119
she will never marry the 82
she will never really be 76
she will never stand it 106
she will never trust me 53
she will never write to 45
she will never yield to 60
she will prove worthy of 62
she wore short round on 43
sit down again until he 65
sit down again until the 105
sit down every morning at 47
sit down until after the 56
sit here talking about it 78
sit here thinking about it 72
sit here thinking about the 40
sit there talking about the 177
sit there thinking about it 52
sit there thinking about the 51
six days after onset of 59
six days after writing the 46
six days within which to 60
six full months after the 54
six month period after the 266
six other vices yoked in 74
six years after cause of 57
six years after joining the 93
six years after which he 72
six years after which it 50
six years later after the 72
six years later moved to 75
six years later under the 131
six years later would be 52
six years within which to 109
son must never claim the 71
son will never share in 167
sow their tares while it 40
sum very nearly equal to 67
sun having never shone on 219
sun just peeping above the 52
sun just rises above the 97
sun must never shine on 46
sun rising while nearly the 114
sun will appear above the 55
sun will laugh above the 60
sun will shine again on 41
