factions an advantage over the 211
freedom so different from the 73
freedom to criticize those in 43
freedom to determine what is 69
freeman is different from the 74
freight or passengers over the 99
friction is dependent upon the 110
friends of democracy seek to 88
friends or relatives among the 161
friends or relatives came to 73
friends or relatives come to 69
friends or relatives during the 140
friends or relatives from the 114
friends or relatives living in 255
friends or relatives will be 128
friends the cavaliers look on 40
friends the merchants think it 52
fulfill an important need in 78
fulfill an important part of 74
fulfill an important role as 151
fulfill an important role in 647
fulfill my childhood dream of 45
fulfill the important role of 89
fulfill the important task of 55
fulness of perfection lies in 164
function be separated from the 62
function in conditions such as 41
function in different areas of 125
function in different ways as 60
function in different ways at 65
function in different ways in 514
function in different ways to 143
function is available from the 91
function is available only in 180
function is available only on 174
function is dependent only on 121
function is dependent upon an 76
function is dependent upon the 835
function is different from the 1342
function is estimated from the 95
function is evaluated from the 42
function is fulfilled when the 49
function is generally used to 108
function is generated from the 42
function is inherited from the 64
function is performed only by 40
function is performed when the 106
function is primarily used to 54
function is separated from the 855
function is sometimes said to 41
function is sometimes used to 53
function is typically used in 67
function is typically used to 162
function of determining what is 52
function of determining what the 49
function of different areas of 72
function of frequency from the 79
function of frequency must be 48
function of frequency over the 243
function of frequency when the 88
function of frequency will be 87
function of incubation time at 81
function of incubation time in 97
function of irradiation time at 49
function of irradiation time in 61
function of political theory is 50
function of residence time in 135
function or structure such as 92
function to determine what is 42
function to determine what the 192
function to determine when the 178
furnace is separated from the 52
furnish an additional means of 41
furnish an admirable means of 68
furnish an effective means of 148
furnish an excellent means of 438
furnish an excellent test of 95
furnish an important clue to 168
furnish an important link in 48
furnish an important means of 92
furnish an important part of 440
furnish an indemnity bond to 49
furnish the necessary data to 63
furnish the necessary means of 100
furnish the necessary means to 88
furnish the principal food of 150
furnish the principal means of 202
furnish the principal part of 198
