faces cast up sharply from 111
first time in history jews 49
first time in history made 276
first time in history many 71
first time in history more 317
first time in history most 144
first time in history only 49
first time in history over 76
first time in history some 53
first time in history such 326
first time in history their 117
first time in history there 3197
first time in history these 136
first time in history those 69
first time in history three 41
first time in history took 47
first time in history upon 49
first time in history were 227
first time in history what 173
first time in history when 734
first time in history will 126
first time in postwar years 68
first time in printed form 122
first time in seventy years 718
first time in several days 2440
first time in several years 7197
first time in sixteen days 57
first time in sixteen years 2484
first time in thirteen years 1549
first time in written form 169
first time it becomes clear 47
first time it entered into 106
first time it flashed upon 83
first time my parents took 50
first time on african soil 112
first time on british soil 74
first time on european soil 123
first time on foreign soil 109
first time the british army 112
first time the british were 87
first time the chinese were 51
first time the following spring 42
first time the following week 48
first time the germans have 41
first time the germans used 77
first time the germans were 89
first time the pacific ocean 77
first time the peasants made 50
first time the program runs 124
first time the question came 80
first time the russians were 68
first time the soviets have 49
first time the subject came 47
first time to discuss their 112
first time to discuss these 63
first time to express their 77
first time to observe those 44
first time we realized what 58
first tips the highest peaks 67
first took the present work 100
first trying to collect from 167
first type is derived from 47
first wave of southeast asian 56
first week in january next 42
first week in january when 65
first week in october when 79
first week of january there 158
first week of january were 42
first week of january when 96
first week of married life 107
first week of neonatal life 75
first week of october there 90
first week of october were 62
first week of october when 131
first when the paladin heard 60
first wife he married mary 45
first wife he married miss 83
first word is derived from 87
first years in america were 160
first years of british rule 373
first years of colonial rule 154
first years of marriage were 185
first years of marriage when 76
first years of married life 1128
first years of spanish rule 60
fixed cost to variable cost 162
fixed duty on foreign corn 187
fixed from the earliest time 118
fixed ideas of mordant hate 43
fixed length or variable length 442
fixed rate or variable rate 190
fixed upon the present gain 106
fixed upon the printed page 40
fixed upon the remaining fire 96
flags will be removed from 46
flame from an alcohol lamp 94
flies over the sprouting corn 40
float upon the northern ocean 81
flock even as regards good 52
flood tide at florida when 40
floor plan is divided into 160
floor will be divided into 70
flowing from the country into 62
flowing from the pierced side 71
flowing from the smitten rock 61
flowing from the southern side 43
flowing from the thoracic duct 363
flowing from the wounded side 50
flowing into the columbia from 83
flowing into the country from 322
flowing into the pacific from 144
flowing into the pacific ocean 742
flowing into the potomac from 49
flowing into the treasury from 57
flowing into the western ocean 40
flows along the northern base 51
flows along the northern edge 160
flows along the northern side 174
flows along the southern base 44
flows along the southern edge 153
flows along the southern side 186
flows along the western base 103
flows along the western edge 222
flows along the western side 212
flows down the hepatic duct 49
flows down the western side 41
flows from the auricle into 85
flows from the battery into 145
flows from the furnace into 217
flows from the northeast into 43
flows from the pancreas into 58
flows from the project will 54
flows from the storage tank 156
flows into the country from 80
flows into the natural mind 106
flows into the northern part 151
flows into the pacific ocean 1756
flows into the southern part 58
flows into the storage tank 63
flows into the thoracic duct 166
flows over the horizon from 319
flows over the remaining life 48
flows over the surface into 64
fluid from the stomach into 88
fluid from the thoracic duct 184
fluid from the tissues back 53
fluid from the tissues into 478
fluid from the vaginal pool 42
fluid from the vessels into 144
fluid from the vitreous body 82
fluid leaving the ascending limb 178
fluid must be removed from 92
focal length is measured from 168
focal length to diameter ratio 86
focus must be shifted from 125
focus will be shifted from 42
folding back the decision tree 66
folks from the village will 41
fonts used to display text 46
foods from the following list 54
foods high in calcium such 43
foods high in protein such 54
foods such as granola bars 50
foods such as luncheon meats 50
force along the borders from 59
force among the sprouting corn 46
force iraq to withdraw from 322
force must be applied over 159
force must be brought into 275
force must be derived from 94
force must be exerted over 51
force must be exerted upon 131
force used in resisting such 52
force when it departs from 256
force will be brought into 180
force will be derived from 46
force will be divided into 92
force will be exerted upon 190
forcing iraq to withdraw from 90
forming part of british india 98
forms much the largest part 43
forms must be derived from 65
forms part of british india 66
forms used to collect data 83
forty days of precious time 40
forty days of service were 67
forty days the sheeted rain 70
forty days to solicit peace 52
forty feet or perhaps more 49
forty years of british rule 465
forty years of colonial rule 92
forty years of european peace 68
forty years of married life 1269
forty years of national life 199
forty years of research have 43
forty years of research into 94
forty years of spanish rule 68
forty years to compile their 247
forty years to recover from 40
found along the central axis 40
found along the coastal areas 123
found along the coastal belt 41
found along the northern edge 130
found along the northern side 45
found along the southern edge 103
found along the southern part 56
found along the southern side 51
found along the southern wall 43
found along the western edge 166
found along the western side 139
found also in several other 128
found among the crowded cots 63
found among the foreign born 56
found among the hardier sons 46
found among the material from 47
found from the earliest days 60
found from the equation from 66
found from the following data 64
found from the following rule 93
found from the southern part 67
found from the surface down 220
found mary in perfect health 67
found means of indulging their 51
found means of rendering some 75
found means to debauch their 45
found means to express such 105
found means to express their 48
found means to prevail upon 72
found means to prevent their 43
found means to procure some 67
found means to satisfy their 107
found much to support their 43
found nothing to justify such 62
found nothing to justify their 45
found nothing to justify these 73
found only in certain areas 413
found only in limited areas 275
found only in pyramid lake 67
found only in rational beings 308
found only in samples from 54
found only in western north 139
found time to compose many 60
found time to compose some 56
found time to examine more 103
found time to indulge such 116
found time to preside over 66
found time to recover from 88
found time to reflect upon 111
found upon the printed page 56
found upon the statute book 75
found ways to benefit from 71
found ways to control their 48
found ways to enhance their 44
found ways to express their 366
found ways to improve their 139
found ways to increase their 95
found ways to justify their 93
found ways to protect their 162
found when he arrived there 122
found when the animals were 99
found when the samples were 45
frail bond of national union 45
frail pile of painted wood 122
fraud upon the noblest band 127
freed from the austrian yoke 194
freed from the british yoke 64
freed from the colonial yoke 139
freed from the foreign yoke 182
freed from the greatest part 101
freed from the hateful laws 48
freed from the marriage bond 45
freed from the material body 68
freed from the monkish cowl 68
freed from the ottoman yoke 75
freed from the overlying skin 65
freed from the spanish yoke 281
freed from the turkish yoke 370
fresh breath of leafless spring 59
fresh fish of british taking 109
fresh from the creative hand 72
fresh from the emerald isle 96
fresh from the operating room 69
fresh from the spanish main 64
fresh from the victory over 63
fresh life is infused into 48
fresh range of pasture over 170
front line of medical care 45
front line of patient care 45
frost line to prevent heaving 154
fruit from the withered tree 82
fruit will be brought forth 45
fruit will be chopped down 57
fruit will be corrupt also 59
fully able to protect their 140
fully into the national life 51
fully into the subject here 99
fumes from the deepest hell 47
fumes from the exhaust pipe 67
fumes from the stables made 86
fumes from the stomach into 191
funding from the european union 1311
funding from the national health 50
funding from the national park 50
funding from the russell sage 145
funds from the central bank 551
funds from the european union 697
funds from the general fund 217
funds from the national bank 237
funds from the national heart 113
funds from the national park 87
funds from the reserve bank 272
funds must be derived from 57
funds must be secured from 41
funds will be derived from 81
funds will be shifted from 43
