fan spread and her streamers 194
for which they are adjusted 64
for which they are admitted 143
for which they are advanced 112
for which they are allotted 80
for which they are amenable 50
for which they are approved 184
for which they are arrested 185
for which they are assessed 407
for which they are assigned 266
for which they are attempting 50
for which they are avowedly 45
for which they are banished 81
for which they are bargaining 64
for which they are believed 98
for which they are bestowed 154
for which they are borrowed 84
for which they are censured 54
for which they are collecting 55
for which they are commonly 587
for which they are compiled 97
for which they are composed 119
for which they are computed 183
for which they are confined 65
for which they are contending 528
for which they are convened 182
for which they are credited 134
for which they are declared 70
for which they are demanded 104
for which they are deployed 74
for which they are designed 11965
for which they are destined 3500
for which they are detained 77
for which they are developing 83
for which they are directed 51
for which they are directly 640
for which they are disposed 92
for which they are earmarked 102
for which they are educated 95
for which they are eligible 2824
for which they are employed 3653
for which they are enlisted 55
for which they are enrolled 213
for which they are entirely 384
for which they are entitled 1155
for which they are equipped 256
for which they are essential 123
for which they are esteemed 162
for which they are evidence 88
for which they are exchanged 590
for which they are excluded 41
for which they are executed 80
for which they are exempted 41
for which they are expected 460
for which they are expended 92
for which they are formally 75
for which they are grateful 390
for which they are imported 86
for which they are inclined 44
for which they are included 52
for which they are incurred 357
for which they are indebted 867
for which they are indicted 98
for which they are initially 57
for which they are inserted 149
for which they are intended 51304
for which they are invented 54
for which they are licensed 351
for which they are mentally 104
for which they are mistaken 46
for which they are mutually 93
for which they are normally 302
for which they are notorious 177
for which they are obtained 93
for which they are obviously 197
for which they are ordained 211
for which they are otherwise 437
for which they are partially 42
for which they are performing 76
for which they are prepared 5332
for which they are presumed 88
for which they are probably 157
for which they are produced 1802
for which they are promised 67
for which they are properly 281
for which they are proposed 270
for which they are provided 889
for which they are punished 622
for which they are received 104
for which they are recorded 87
for which they are recruiting 89
for which they are referred 76
for which they are regarded 55
for which they are relevant 352
for which they are rendered 88
for which they are renowned 1284
for which they are reported 121
for which they are requesting 85
for which they are required 8241
for which they are reserved 103
for which they are retained 200
for which they are returned 125
for which they are rewarded 1679
for which they are salaried 108
for which they are scarcely 50
for which they are selected 482
for which they are severely 68
for which they are singularly 143
for which they are specially 1042
for which they are specific 491
for which they are strictly 70
for which they are struggling 217
for which they are suitable 1043
for which they are suitably 49
for which they are summoned 184
for which they are supplied 240
for which they are supposed 1102
for which they are targeted 83
for which they are therefore 70
for which they are trustees 233
for which they are unfitted 703
for which they are uniquely 621
for which they are unlikely 77
for which they are unsuited 814
for which they are utilized 112
for which they are valuable 58
for which they can scarcely 68
for which they did disburse 45
for which they each received 86
for which they had accepted 89
for which they had acquired 289
for which they had actually 92
for which they had adequate 40
for which they had advanced 81
for which they had agitated 70
for which they had bartered 131
for which they had clamored 71
for which they had convened 110
for which they had declared 51
for which they had depended 46
for which they had enlisted 604
for which they had enrolled 77
for which they had exchanged 337
for which they had expended 67
for which they had formerly 374
for which they had forsaken 57
for which they had incurred 99
for which they had initially 94
for which they had intended 49
for which they had obtained 413
for which they had obviously 48
for which they had prepared 775
for which they had probably 52
for which they had promised 74
for which they had provided 231
for which they had received 1505
for which they had recently 128
for which they had rendered 42
for which they had resolved 48
for which they had scarcely 44
for which they had suffered 1126
for which they had traveled 51
for which they had ventured 45
for which they may lawfully 74
for which they pay interest 54
for which this was intended 49
for which this was possible 44
for which war was declared 62
for which you are attempting 58
for which you are auditioning 81
for which you are collecting 45
for which you are contending 234
for which you are destined 191
for which you are developing 177
for which you are directly 81
for which you are eligible 820
for which you are employed 77
for which you are entirely 50
for which you are entitled 213
for which you are expected 108
for which you are grateful 782
for which you are inclined 116
for which you are indebted 375
for which you are prepared 729
for which you are probably 61
for which you are recruiting 97
for which you are referred 58
for which you are renowned 144
for which you are requesting 733
for which you are required 232
for which you are specially 66
for which you are specifying 65
for which you are struggling 41
for which you are submitting 61
for which you are supposed 56
for which you are uniquely 51
for which you are unsuited 49
for which you can identify 50
for which you can purchase 56
for which you may consider 55
for while that may disclose 89
for white than for nonwhite 173
for wives and for husbands 93
for wives than for husbands 570
for women and for children 553
for women and for feminism 69
for women and for minority 86
for women and men students 55
for women but for everyone 55
for women who are allergic 49
for women who are attempting 56
for women who are battered 270
for women who are divorced 97
for women who are employed 202
for women who are expected 51
for women who are homeless 64
for women who are involved 107
for women who are otherwise 50
for women who are pregnant 1651
for women who are sexually 153
for women who are struggling 104
for women who are undergoing 66
for women who bear children 65
for women who had abortions 57
for women who had children 101
for women who had received 42
for women who had recently 79
for women who had suffered 115
for women with hiv infection 229
for women with this condition 61
for women with two children 120
for words can not describe 112
for words than for pictures 44
for words that are commonly 49
for working ore and extracting 81
for working out his salvation 84
for working out our salvation 163
for working with all students 45
fro about her own business 41
fur trade had two immediate 45
