net positive and net negative 46
not surprising that they reported 45
not surprising that they resented 50
not surprising that they suffered 43
not surprising that they welcomed 43
not surprising that this approach 274
not surprising that this argument 57
not surprising that this attitude 123
not surprising that this category 44
not surprising that this compound 42
not surprising that this condition 74
not surprising that this confusion 40
not surprising that this doctrine 75
not surprising that this happened 64
not surprising that this industry 50
not surprising that this interest 41
not surprising that this movement 78
not surprising that this practice 61
not surprising that this proposal 57
not surprising that this situation 193
not surprising that this strategy 40
not surprising that this tendency 93
not surprising that this tradition 62
not surprising then that children 46
not thousands and ten thousands 115
not troubled with any religious 128
not troubled with any scruples 63
not unlikely that they invented 58
now acquaint you that formerly 49
now acquired and was augmenting 61
now directed all his energies 102
now dispense with his services 40
now dwindled with her greatness 71
now employed all his attention 46
now employed all his counsels 117
now finished all our business 82
now mentioned for its authority 105
now overcome all his domestic 60
now remained but his wardrobe 59
now remained but its execution 43
now resigned all his authority 61
now therefore ease thou somewhat 41
