net loss through migration of 68
not have enough officers to 137
not have enough patience to 322
not have enough patients to 117
not have enough practice in 48
not have enough precision to 50
not have enough presence of 59
not have enough pressure to 125
not have enough prestige to 64
not have enough problems in 80
not have enough problems of 107
not have enough problems to 88
not have enough property to 277
not have enough quarters of 58
not have enough reserves to 295
not have enough security to 51
not have enough seniority to 204
not have enough soldiers to 380
not have enough students to 234
not have enough subjects to 58
not have enough supplies to 267
not have enough symptoms to 42
not have enough troubles of 58
not have enough vehicles to 68
not have enough velocity to 121
not have enough vitality to 60
not have enough warships to 42
not have formal authority to 99
not have formal education in 70
not have gained admission to 92
not have gotten involved in 351
not have gotten pregnant in 59
not have greatly affected the 176
not have greatly exceeded the 48
not have greatly increased the 88
not have greatly objected to 59
not have mental capacity to 66
not have proper authority to 74
not have readily occurred to 48
not have seemed credible to 42
not have seemed possible in 63
not have seemed possible to 159
not have seemed relevant to 76
not have seemed surprising to 40
not have serious problems in 69
not have sexual relations at 41
not have sexual relations in 47
not have something positive to 66
not have thought possible if 45
not have thought possible in 335
not have thought possible to 88
not have values assigned to 48
not having always business to 202
not having become citizens of 47
not having enough children to 133
not having enough evidence to 49
not having sooner detected the 54
not having sooner tendered my 49
not help accusing augustus of 125
not help becoming attached to 59
not help becoming conscious of 43
not help becoming involved in 121
not help fancying somebody is 75
not help glancing sideways at 54
not help laughing outright at 150
not here forbear reflecting on 55
not high enough relative to 43
not high enough seriously to 41
not hold enough moisture to 51
not hold formal positions of 58
not hold myself innocent of 50
not just another exercise in 55
not just another instance of 209
not just random products of 43
not keep proper accounts of 46
not know anyone involved in 49
not know enough concerning the 51
not leave enough property to 45
not lend itself directly to 182
not lend itself entirely to 43
not less firmly attached to 98
not less strange tradition on 47
not less zealous admirers of 117
not less zealous exertions in 49
not like public displays of 77
not live without scratching it 47
not look anyone straight in 53
not made enough progress in 114
not made enough progress to 64
not made greater progress in 118
not made serious attempts to 84
not make better progress in 62
not make enough progress to 43
not make faster progress in 66
not make findings pursuant to 45
not make further attempts to 66
not make further progress in 131
not make futile attempts to 45
not make greater progress in 56
not make itself apparent in 108
not make itself apparent to 78
not make itself manifest by 67
not make itself manifest in 68
not make itself manifest to 54
not make myself agreeable to 72
not make normal progress in 110
not make public business of 97
not make serious attempts to 155
not make sexual advances to 62
not making enough progress in 80
not making enough progress to 41
not making normal progress in 46
not more clearly bestowed on 55
not more deeply deplored by 41
not more justly entitled to 52
not more surely followed by 63
not move without disturbing the 45
not much better equipped to 81
not much better esteemed or 89
not much better informed as 81
not much better informed on 106
not much better prepared to 99
not much direct evidence of 82
not much direct evidence on 40
not much direct evidence to 49
not much further advanced in 98
not much public interest in 53
not name without expressing my 62
not need another reminder of 46
not need special software to 80
not omit another auxiliary of 73
not once looked directly at 53
not only allows children to 51
not only allows students to 181
not only always occupied the 43
not only always possible to 51
not only another instance of 44
not only became involved in 126
not only become attached to 70
not only become conscious of 135
not only become involved in 177
not only better equipped to 88
not only better prepared to 57
not only called attention to 600
not only caused problems in 46
not only created problems of 47
not only creates problems in 49
not only creates problems of 43
not only deeply affected the 44
not only deeply attached to 42
not only deeply embedded in 88
not only deeply involved in 171
not only define behaviors as 55
not only demand supplies of 75
not only denote miracles as 49
not only direct attention to 68
not only direct evidence of 41
not only enable children to 46
not only enable students to 117
not only firmly believed in 57
not only further evidence of 66
not only grants equality to 87
not only greatly decreases the 44
not only greatly diminish the 63
not only greatly enhanced the 98
not only greatly enhances the 72
not only greatly enlarged the 53
not only greatly enriched the 47
not only greatly expanded the 72
not only greatly extended the 93
not only greatly improved in 42
not only greatly improved the 195
not only greatly improves the 63
not only greatly increased in 109
not only greatly increased the 657
not only greatly increases the 292
not only greatly strengthen the 45
not only greatly valuable in 44
not only heavily involved in 57
not only helped maintain the 47
not only helped organize the 67
not only helped preserve the 51
not only highly critical of 80
not only highly esteemed by 77
not only highly gratifying to 69
not only highly injurious to 95
not only highly regarded by 47
not only highly relevant to 44
not only impair treatment of 66
not only killed thousands of 62
not only lately received by 45
not only passed statutes of 47
not only raised questions of 54
not only raises questions of 88
not only report concerning the 81
not only served valiantly as 42
not only should children be 41
not only showed interest in 60
not only through expansion of 49
not only through increases in 61
not only vastly increased the 142
not only wholly ignorant of 56
not only widely accepted in 64
not only widely regarded as 41
not only without attempting to 41
not only without authority of 74
not only without authority or 40
not only without consulting the 133
not only without evidence of 41
not only without parallel in 73
not only without reproach or 74
not only without symptoms of 57
not other opposing agencies at 50
not paid closer attention to 67
not paid enough attention in 50
not paid enough attention to 5129
not paid greater attention to 76
not paid proper attention to 505
not paid serious attention to 199
not paid special attention to 363
not paid strict attention to 60
not pass without attempts to 45
not pass without attracting the 48
not pass without objection in 97
not pass without witnessing an 100
not paying better attention to 52
not paying closer attention to 219
not paying enough attention to 6499
not paying greater attention to 42
not paying proper attention to 734
not paying serious attention to 94
not paying special attention to 87
not paying strict attention to 166
not peep through lattices of 87
not pose serious problems in 78
not pose serious problems of 43
not reach sexual maturity in 64
not rest without attempting to 71
not seem greatly affected by 78
not seem overly troubled by 41
not seem unduly troubled by 41
not seen already hundreds on 46
not seen another instance of 107
not seen enough evidence to 49
not send another minister to 58
not show direct evidence of 64
not show enough interest in 283
not show enough interest to 42
not show myself grateful to 92
not show obvious evidence of 42
not show special interest in 50
not speak english fluently or 46
not stay broiling yourself in 97
not such another medicine as 90
not such thought prompted the 49
not take active interest in 145
not take enough exercise to 57
not take enough interest in 1178
not take enough interest to 71
not take greater interest in 49
not take myself seriously as 166
not take public positions on 44
not take serious interest in 42
not taking enough interest in 193
not talk wicked nonsense if 87
not their shabby villages of 56
not there little chapters in 49
not these states resemble the 92
not think anyone believed me 45
not think anyone followed me 48
not think myself confined to 88
not think myself degraded by 62
not think myself entitled to 222
not think should confound in 49
not think without shuddering of 70
not those mutual relations of 53
not very deeply affected by 61
not very deeply involved in 88
not very exciting compared to 45
not very firmly attached to 133
not very greatly affected by 135
not very highly esteemed by 174
not very highly esteemed in 60
not very highly regarded at 40
not very highly regarded by 164
not very highly regarded in 93
not very kindly disposed to 49
not very severe treatment in 52
not want anyone involved in 43
not want casual strangers to 47
not want marble churches at 99
not well enough advanced to 45
not well enough educated to 360
not well enough equipped to 260
not well enough grounded in 70
not well enough informed as 42
not well enough informed in 40
not well enough informed of 69
not well enough informed on 149
not well enough informed or 49
not well enough informed to 804
not well enough prepared to 198
not what partial reverses we 111
not will depend entirely on 100
not worth solemn treatment at 57
now been almost replaced by 48
now been greatly increased by 46
now been mostly replaced by 92
now been partly replaced by 44
now been stated respecting the 47
now been widely accepted as 136
now been widely accepted by 74
now been widely accepted in 96
now been widely replaced by 42
now done almost entirely by 104
now find myself disposed to 60
now find myself inspired to 64
now find myself involved in 112
now free church minister of 41
now give another instance of 57
now give further attention to 63
now give greater emphasis to 59
now give serious attention to 41
now give special attention to 111
now giving greater attention to 67
now giving serious attention to 59
now giving special attention to 145
now gone almost entirely to 131
now have become apparent to 59
now have direct evidence of 40
now have enough evidence to 191
now have excess reserves of 48
now have little interest in 46
now left almost entirely to 73
now lost beyond recovery the 49
now made almost entirely by 74
now made almost entirely of 81
now made itself apparent in 44
now more deeply involved in 42
now more english soldiers on 79
now more openly enlisted by 58
now more widely accepted as 85
now much better equipped to 119
now much better prepared to 141
now much greater emphasis on 65
now much larger relative to 46
now paid little attention to 120
now paying closer attention to 91
now paying greater attention to 146
now paying serious attention to 41
now paying special attention to 108
now pays greater attention to 47
now pays little attention to 43
now rely almost entirely on 69
now show little interest in 50
now think myself entitled to 54
now took little interest in 70
now used almost entirely as 40
now used almost entirely in 56
now very busily employed in 57
now very rarely resorted to 60
