nature is constantly changing and 52
number of phosphorus atoms per 58
number of predictions about how 48
number of predictions which are 46
number of principles which are 399
number of principles which can 119
number of principles which may 99
number of privileges which are 65
number of procedural steps that 47
number of procedures exist for 83
number of procedures which are 151
number of procedures which can 90
number of procedures which may 64
number of processors which are 50
number of processors which can 144
number of productive hours per 80
number of professions which are 48
number of properties which are 521
number of properties which can 123
number of properties which had 42
number of properties which may 61
number of punctuation marks and 41
number of quantities which are 128
number of quantities would thus 45
number of radioactive atoms and 86
number of radioactive atoms per 53
number of radioactive atoms that 89
number of radiocarbon dates and 60
number of radiocarbon dates are 56
number of radiocarbon dates for 114
number of recognition sites for 64
number of references which are 77
number of references which can 57
number of reflections which can 64
number of registered births and 66
number of registered users and 42
number of regulations which are 80
number of reinforced trials and 60
number of relatively large and 78
number of relatively short and 42
number of relatively small and 323
number of relatively small but 107
number of repetitions rather than 52
number of repetitions until you 87
number of repetitions which are 74
number of researchers agree that 41
number of researchers argue that 304
number of researchers claim that 129
number of researchers found that 129
number of researchers point out 68
number of researchers working with 62
number of residential units and 51
number of residential units per 47
number of residential units that 148
number of resolutions calling for 190
number of resolutions which they 46
number of resolvable ports and 62
number of restriction sites and 47
number of restriction sites for 70
number of scientific books and 99
number of scientific works and 60
number of scientists argue that 108
number of securities which may 91
number of shortcomings which are 73
number of signatures could not 46
number of specialized terms that 89
number of statements about his 52
number of statements about how 56
number of statements about things 62
number of statements which are 476
number of statements which can 88
number of statements which may 66
number of statements which they 40
number of strategies exist for 93
number of strategies which are 75
number of strategies which can 171
number of strategies which may 53
number of structural units per 100
number of structures which are 182
number of structures which can 80
number of structures which may 54
number of substances which act 78
number of substances which are 1084
number of substances which can 314
number of substances which had 45
number of substances which may 285
number of subsystems which are 86
number of successful cases are 50
number of successive hours not 42
number of successive lines can 95
number of suggestions about how 348
number of suggestions which are 86
number of suggestions which may 87
number of techniques exist for 382
number of techniques which are 366
number of techniques which can 437
number of techniques which may 127
number of tendencies which are 51
number of transitions which are 44
number of transports laden with 123
number of undertakings which are 63
number of unemployed people and 140
number of unemployed people has 88
number of unemployed people was 95
number of unemployed people who 162
number of unemployed women and 40
number of unemployed women was 44
number of vibrational modes and 49
number of vibrational modes that 100
number of vocabulary items and 53
number of vocabulary items that 43
number so discharged would not 78
