of age when his grandfather 91
of both theory and observation 163
of both time and importance 70
of both union and management 658
of both whig and democratic 115
of both wild and cultivated 1233
of both wild and laboratory 116
of both york and canterbury 58
of but half his countrymen 77
of death from his conquerors 48
of dna from each individual 53
of dna from one chromosome 79
of doing away with capitalism 60
of doing away with competition 52
of doing away with government 40
of doing good and charitable 124
of doing what they considered 46
of don john not understood 61
of due care and preparation 46
of each band was determined 50
of each book and arrangement 42
of each case are considered 111
of each cell are determined 47
of each cell was determined 68
of each city being determined 45
of each fish was determined 57
of each item was calculated 72
of each item was determined 121
of each line was determined 60
of each month was determined 43
of each other and apparently 57
of each other and constantly 56
of each other and eventually 64
of each other and frequently 85
of each other and interested 42
of each other are considered 79
of each other with relatively 66
of each pair are accurately 43
of each pair are homologous 45
of each part was determined 42
of each plot was determined 68
of each test was determined 44
of each tube was determined 72
of each type are considered 51
of each type are summarized 128
of each unit was determined 69
of each well was determined 52
of each word was determined 53
of east anglia and university 335
of eating nothing but vegetables 47
of egg load and experience 47
of far less real importance 42
of far more real importance 96
of far more than antiquarian 60
of far more than historical 74
of for their own reputations 61
of god from this punishment 82
of god grew and flourished 46
of god grew and multiplied 1786
of god have this peculiarity 51
of god more than holocausts 42
of god moving that inclination 119
of god were not sufficient 40
of going wrong with confidence 280
of heat from any individual 46
of heat from its surroundings 200
of heat used for evaporation 61
of her anger and bitterness 44
of her anger and frustration 350
of her anger and resentment 199
of her anger had dissipated 40
of her arts and industries 54
of her arts and literature 51
of her aunt and grandmother 84
of her body being protestant 47
of her body was completely 105
of her care and tenderness 56
of her chin was distinctly 58
of her eyes was extinguished 46
of her face was completely 74
of her face was disfigured 55
of her face was heightened 53
of her fair and legitimate 57
of her fame and popularity 142
of her good and charitable 45
of her gown and petticoats 80
of her hair was intoxicating 41
of her health and contribute 73
of her heart and conscience 60
of her heart and disposition 46
of her laws and government 145
of her laws and privileges 48
of her life and activities 173
of her life and adventures 287
of her life and background 68
of her life and eventually 43
of her life and experience 316
of her life and government 71
of her life and surroundings 127
of her life had disappeared 68
of her life she accustomed 85
of her life she considered 64
of her life she maintained 91
of her life she remembered 88
of her life was constantly 57
of her love and attachment 48
of her love and commitment 78
of her love and confidence 141
of her love and friendship 81
of her love and generosity 51
of her love and tenderness 89
of her mind and disposition 154
of her mind and imagination 65
of her mind she controlled 78
of her mind she recognized 68
of her mind she registered 52
of her mind she remembered 219
of her mind with excitement 95
of her nose and cheekbones 47
of her pain and discomfort 55
of her palm was reproduced 46
of her peace and prosperity 59
of her poems for publication 91
of her rank and importance 71
of her rank and privileges 76
of her rich and delightful 119
of her role and competence 79
of her skin with excitement 53
of her soil and territorial 42
of her soul was intimately 44
of her time and background 81
of her time and experience 82
of her want and degradation 120
of her wealth and prosperity 140
of her whom all generations 53
of her womb and submissive 73
of her work for publication 50
of her work was recognized 49
of her years and experience 116
of her youth and loveliness 158
of her youth and prosperity 61
of her youth and simplicity 62
of him during this concealment 44
of him whom her imagination 69
of him whom she considered 49
of him whom they considered 121
of him whom they ignorantly 64
of his able and successful 42
of his acts and statements 49
of his acts and utterances 64
of his aids was discharged 43
of his aims and aspirations 98
of his aims and objectives 81
of his aims and principles 72
of his anger and bitterness 86
of his anger and frustration 564
of his anger and indignation 70
of his anger and resentment 281
of his arming and prosecution 60
of his arms and disordered 68
of his army and government 79
of his aunt and grandmother 47
of his beams was oppressive 41
of his birth and adventures 70
of his birth and background 69
of his birth and connections 231
of his birth being discovered 166
of his birth was celebrated 1364
of his body and surroundings 43
of his body are constantly 49
of his body had disappeared 60
of his body was completely 155
of his bold and impressive 111
of his bold and successful 50
of his book for publication 72
of his book was translated 40
of his busy and successful 59
of his calm and politeness 45
of his care and providence 128
of his care and solicitude 181
of his case being frequently 54
of his coat was ornamented 64
of his cold and implacable 48
of his coming off triumphant 78
of his dark and impressive 77
of his dark and profoundly 86
of his data and conclusions 46
of his data are reproduced 41
of his data are summarized 43
of his days and usefulness 112
of his door was everywhere 95
of his duty and conscience 74
of his duty and inclination 45
of his duty and obligations 103
of his early and successful 41
of his ending his exhortation 76
of his eyes had disappeared 51
of his eyes was completely 79
of his eyes was surrounded 48
of his face are distinctly 47
of his face being expressive 57
of his face had disappeared 91
of his face was completely 128
of his face was disfigured 215
of his face was emphasized 51
of his face was expressive 50
of his face was remarkably 42
of his face was sufficient 43
of his faith and confidence 136
of his faith and conscience 181
of his faith and experience 42
of his faith and generosity 69
of his faith and philosophy 67
of his faith and principles 155
of his faith and repentance 129
of his fame and popularity 833
of his fame and prosperity 297
of his fame and usefulness 159
of his giving his infinitely 101
of his giving two afternoons 40
of his good old grandmother 102
of his great and beneficent 68
of his great and meritorious 47
of his great and successful 71
of his great and unexpected 58
of his hand and disappeared 131
of his hand was sufficient 50
of his health and efficiency 40
of his health and prosperity 126
of his heart and conscience 435
of his heart and disposition 55
of his heart and generosity 46
of his heart and imagination 166
of his heart and simplicity 75
of his heart but fortifiers 64
of his heart was discovered 46
of his holy and benevolent 43
of his home and possessions 188
of his home and surroundings 57
of his hope and confidence 70
of his hope and expectation 69
of his hope that melancholy 676
of his ideas and activities 129
of his ideas and aspirations 64
of his ideas and conceptions 41
of his ideas and conclusions 63
of his ideas and convictions 98
of his ideas and experience 53
of his ideas and expressions 89
of his ideas and philosophy 63
of his ideas and principles 156
of his ideas and sentiments 116
of his ideas and statements 41
of his ideas and suggestions 116
of his ideas and techniques 99
of his kind and benevolent 40
of his land was unoccupied 79
of his laws and government 290
of his laws and ordinances 107
of his laws and regulations 60
of his leaving his employment 45
of his life and activities 1039
of his life and adventures 2131
of his life and apparently 48
of his life and background 163
of his life and conscience 72
of his life and considered 50
of his life and determined 53
of his life and enterprise 80
of his life and eventually 220
of his life and experience 1306
of his life and frequently 53
of his life and government 196
of his life and imagination 201
of his life and immediately 62
of his life and influenced 63
of his life and literature 77
of his life and livelihood 86
of his life and occupations 40
of his life and philosophy 1790
of his life and possessions 82
of his life and presidency 52
of his life and principles 197
of his life and scientific 128
of his life and surroundings 249
of his life and ultimately 127
of his life and usefulness 187
of his life are considered 86
of his life are determined 62
of his life are relatively 43
of his life for publication 85
of his life had disappeared 51
of his life had introduced 42
of his life his conscience 82
of his life was accustomed 94
of his life was apparently 69
of his life was calculated 124
of his life was completely 77
of his life was considered 66
of his life was consistent 52
of his life was constantly 67
of his life was controlled 40
of his life was definitely 68
of his life was determined 335
of his life was embittered 342
of his life was essentially 54
of his life was extinguished 65
of his life was frequently 40
of his life was frustrated 46
of his life was identified 88
of his life was influenced 84
of his life was melancholy 41
of his life was remarkable 85
of his life was sufficient 48
of his life was superseded 46
of his life was uneventful 112
of his life with inadequate 68
of his life with scrupulous 42
of his love and acceptance 145
of his love and appreciation 96
of his love and approbation 69
of his love and attachment 129
of his love and commitment 159
of his love and confidence 182
of his love and friendship 304
of his love and generosity 81
of his love and repentance 61
of his love and solicitude 84
of his love and tenderness 205
of his love for literature 128
of his many and voluminous 46
of his mind and conscience 409
of his mind and disposition 348
of his mind and experience 248
of his mind and imagination 479
of his mind and inclination 62
of his mind and information 64
of his mind and sentiments 41
of his mind his reflections 44
of his mind was completely 52
of his mind was constantly 65
of his mind was essentially 162
of his mind was invincible 41
of his mind was manifested 70
of his mind was scientific 45
of his mind was unimpaired 178
of his mind with excitement 127
of his mind with frustration 78
of his mind with impatience 53
of his mouth are unrighteous 66
of his name and connections 68
of his name and photograph 132
of his name and popularity 49
of his name and principles 41
of his name was sufficient 266
of his need for assistance 76
of his need for dependence 48
of his need for information 54
of his need for punishment 110
of his need for reassurance 63
of his need for recognition 41
of his nose and cheekbones 80
of his nose and disappeared 43
of his only real excitement 58
of his pain and discomfort 73
of his pain and frustration 40
of his piano and orchestral 43
of his pious and benevolent 44
of his pious and charitable 66
of his plan and arrangement 53
of his plan for establishing 64
of his plan was dislocated 266
of his pleas and rejoinders 145
of his plot and characters 115
of his poems and predictions 60
of his poems are translated 67
of his poems for publication 163
of his post for effeminacy 66
of his race and persistent 48
of his rage and frustration 75
of his rank and decorations 88
of his rank and distinction 49
of his rank and experience 245
of his rank and importance 152
of his rank and imprisoned 55
of his rank and pretensions 40
of his rank and privileges 173
of his reading and experience 375
of his reading and observation 108
of his rich and influential 54
of his rich and tyrannical 57
of his sins and iniquities 41
of his sins and shortcomings 93
of his sins and trespasses 123
of his skin with excitement 87
of his slim and treacherous 52
of his sons and successors 205
of his sons with illiterate 60
of his soul and conscience 123
of his soul was deflowered 41
of his teeth had penetrated 40
of his time and activities 64
of his time and assistance 86
of his time and background 121
of his time and considered 41
of his time and eventually 41
of his time and experience 719
of his time and information 40
of his time and surroundings 193
of his time who understood 101
of his trial and crucifixion 289
of his trial and punishment 70
of his trial and subsequent 47
of his trial now approached 66
of his true and substantial 42
of his very few references 55
of his wealth and connections 70
of his wealth and generosity 71
of his wealth and importance 215
of his wealth and liberality 60
of his wealth and possessions 302
of his wealth and prominence 76
of his wealth and prosperity 77
of his wife and concubines 55
of his wife and eventually 40
of his wild and melancholy 62
of his wild and ridiculous 43
of his will and conscience 45
of his will and government 97
of his will and imagination 79
of his will and inclination 41
of his wise and beneficent 114
of his wise and benevolent 111
of his wish and expectation 45
of his word and ordinances 208
of his word and providence 94
of his word and sacraments 452
of his work and activities 44
of his work and conclusions 47
of his work and considered 50
of his work and experience 182
of his work and philosophy 83
of his work are acceptable 55
of his work are influenced 55
of his work are reproduced 49
of his work for publication 168
of his work for sympathetic 44
of his work has disappeared 62
of his work may illustrate 62
of his work was appreciated 71
of his work was completely 40
of his work was contracted 42
of his work was determined 77
of his work was discovered 46
of his work was essentially 92
of his work was immediately 190
of his work was influenced 84
of his work was recognized 377
of his work was translated 186
of his work was undertaken 68
of his worth and excellence 89
of his worth and importance 65
of his worth and usefulness 49
of his wrath and bitterness 41
of his wrath and displeasure 131
of his wrath and indignation 257
of his years and experience 863
of his years and pretensions 58
of his years and usefulness 69
of his young and attractive 43
of his young son telemachus 109
of his youth and immaturity 74
of his youth and popularity 47
of his youth and prosperity 101
of his youth had disappeared 74
of hot dogs and hamburgers 769
of hot dogs and sauerkraut 99
of how data and information 72
of how much each individual 338
of how much new information 43
of how much they contribute 256
of how much they understand 45
of how much you understand 45
of how these two approaches 68
of how well each individual 59
of how well they accomplish 51
of how well they contribute 72
of how well they correspond 57
of how well they understand 194
of how well they understood 89
of how well you understand 320
of ill health and disability 239
of ill health and incapacity 61
of ill will and resentment 47
of its aims and activities 158
of its aims and aspirations 93
of its aims and objectives 772
of its aims and principles 98
of its arms was dislocated 78
of its arts and industries 47
of its arts and literature 42
of its care and solicitude 155
of its cash and securities 41
of its coming was incredible 45
of its cost and complexity 131
of its data and information 42
of its depth and complexity 63
of its ever being discharged 56
of its ever being discovered 657
of its fair and legitimate 70
of its faith and conscience 72
of its faith and principles 46
of its fame and importance 49
of its fame and popularity 78
of its fame and prosperity 106
of its form and proportions 103
of its hard and oppressive 40
of its high heat resistance 46
of its ideas and aspirations 51
of its ideas and principles 129
of its ideas and sentiments 54
of its kind and represents 68
of its kind yet discovered 139
of its kind yet undertaken 75
of its laws and government 225
of its laws and ordinances 108
of its laws and principles 207
of its laws and properties 59
of its laws and regularity 83
of its laws and regulations 1216
of its leading and influential 88
of its length and complexity 387
of its length and difficulty 81
of its length and importance 67
of its life and activities 170
of its making was unilateral 46
of its meaning and application 293
of its meaning and importance 281
of its meaning and measurement 54
of its news and information 127
of its peace and prosperity 190
of its peace and subversive 46
of its plot and characters 163
of its pure and beneficent 54
of its rise and termination 46
of its role and activities 64
of its role and importance 222
of its size and complexity 1026
of its size and composition 201
of its size and consequent 64
of its size and experience 136
of its size and importance 1347
of its size and prominence 182
of its size and proportions 75
of its size and prosperity 53
of its size and relatively 45
of its size and visibility 42
of its theory and methodology 50
of its true and legitimate 52
of its truth and excellence 120
of its truth and importance 396
of its truth and legitimacy 50
of its truth and simplicity 48
of its truth and usefulness 51
of its type and identifies 101
of its type and orthography 180
of its uses and advantages 48
of its uses and limitations 247
of its very low coefficient 70
of its very low solubility 204
of its wealth and importance 338
of its wealth and privileges 54
of its wealth and prosperity 445
of its wild and tumultuous 87
of its work and activities 109
of its worth and excellence 51
of its worth and importance 59
of its worth and usefulness 41
of jim crow and segregation 99
of joy having its bitterness 98
of kings from his translation 48
of law means that government 53
of long life and prosperity 413
of low cost and simplicity 175
of man from his surroundings 71
of mean flow and turbulence 100
of men eager for individual 62
of men from one department 53
of men from one proprietor 46
of men whom they absolutely 55
of men whom they considered 99
of net saving and investment 52
of new areas for cultivation 109
of new areas for settlement 122
of new dams and reservoirs 51
of new data and information 150
of new hope and confidence 44
of new ideas and activities 80
of new ideas and approaches 1444
of new ideas and aspirations 138
of new ideas and conceptions 46
of new ideas and impressions 67
of new ideas and influences 184
of new ideas and information 1397
of new ideas and initiatives 153
of new ideas and innovations 407
of new ideas and innovative 82
of new ideas and inspiration 76
of new ideas and objectives 64
of new ideas and perceptions 43
of new ideas and principles 170
of new ideas and procedures 155
of new ideas and scientific 75
of new ideas and sentiments 67
of new ideas and strategies 140
of new ideas and suggestions 228
of new ideas and techniques 1467
of new ideas and technology 343
of new land for cultivation 430
of new land for settlement 183
of new laws and amendments 92
of new laws and ordinances 109
of new laws and principles 84
of new laws and procedures 42
of new laws and regulations 1618
of new life and prosperity 42
of new media and information 146
of new media and techniques 66
of new media and technology 160
of new ones are discovered 42
of new ones was prohibited 40
of new ties and associations 56
of new wars and imperialist 129
of new york and accredited 77
of new york and archbishop 189
of new york and charleston 473
of new york and cincinnati 454
of new york and congressman 139
of new york and democratic 178
of new york and distribute 82
of new york and eventually 110
of new york and maintained 41
of new york and pittsburgh 148
of new york and providence 84
of new york and republican 328
of new york and southampton 44
of new york and university 111
of new york for assistance 109
of new york for charleston 44
of new york for information 45
of new york for publication 50
of new york had introduced 127
of new york had originally 63
of new york had undertaken 65
of new york has determined 61
of new york has introduced 109
of new york has maintained 48
of new york has manifested 49
of new york has recognized 46
of new york has undertaken 81
of new york was considered 178
of new york was designated 59
of new york was determined 44
of new york was essentially 40
of new york was instituted 58
of new york was instructed 84
of new york was interested 140
of new york was introduced 59
of new york was originally 152
of new york was recognized 89
of new york was reorganized 40
of new york was undertaken 44
of new york with suggestions 68
of not dealing with terrorists 67
of not having had advantages 45
of not having had sufficient 57
of not only this particular 66
of oil used for lubrication 68
of old make and consecrate 50
of old ones are constantly 72
of old poets and dramatists 56
of old ties and associations 55
of old wine and remarkable 45
of one born and accustomed 47
of one fact not discovered 47
of one great and continuous 59
of one mace per registered 89
of one mind are inevitably 106
of one size and importance 48
of one volt per centimeter 238
of one whom she considered 57
of one whom they considered 256
of one whom they discovered 52
of our acts and utterances 96
of our aims and aspirations 71
of our aims and objectives 169
of our ally was celebrated 126
of our anger and frustration 76
of our anger and resentment 49
of our arts and industries 57
of our arts and literature 48
of our body are adaptations 49
of our body are constantly 43
of our care and solicitude 48
of our case law interpreting 55
of our duty and attachment 74
of our duty and obligations 45
of our faith and confidence 178
of our faith and discipline 48
of our faith and principles 52
of our faith and repentance 268
of our fears and prejudices 82
of our free and beneficent 43
of our free and deliberate 41
of our free and democratic 227
of our free and invaluable 52
of our great and illustrious 41
of our great and prosperous 60
of our great old grandmother 83
of our health and prosperity 51
of our heart and conscience 53
of our hero with unspeakable 46
of our hope and confidence 204
of our hope and expectation 61
of our ideas and conceptions 90
of our ideas and impressions 90
of our ideas and perceptions 77
of our ideas and principles 72
of our ideas and sentiments 63
of our kind and hospitable 125
of our laws and government 240
of our laws and ordinances 71
of our laws and principles 66
of our laws and regulations 240
of our laws are frequently 75
of our life and activities 62
of our life and experience 377
of our life and literature 79
of our life and occupations 42
of our life and surroundings 53
of our life are determined 58
of our life are presumably 55
of our lord was celebrated 109
of our love and acceptance 40
of our love and appreciation 140
of our love and commitment 168
of our love and confidence 79
of our love and friendship 156
of our mind and disposition 75
of our more set discourses 69
of our navy being sacrificed 63
of our need for repentance 44
of our oaths and engagements 60
of our peace and friendship 42
of our peace and neutrality 43
of our peace and prosperity 98
of our pure and spontaneous 55
of our rude and boisterous 56
of our side had discovered 73
of our sins and acceptance 49
of our sins and iniquities 68
of our sins and shortcomings 117
of our size and complexity 55
of our theory for hedonistic 42
of our time and government 44
of our time are essentially 41
of our time are tremendous 58
of our time for accelerating 43
of our time for legislation 55
of our trip was uneventful 49
of our wealth and prosperity 167
of our wealth and technology 48
of our wild and cultivated 87
of our will and imagination 90
of our wise and munificent 56
of our youth are remembered 53
of raw data and information 43
of raw fish and vegetables 46
of real life and experience 47
of real saving and investment 62
of real worth and excellence 107
of real worth and importance 42
of red cell and hemoglobin 61
of red tape and bureaucracy 421
of red tape and regulations 97
of san jose and surroundings 169
of sap into them diminished 43
of set theory and mathematics 143
of sin upon his conscience 54
of tax laws and procedures 44
of tax laws and regulations 294
of team work and cooperation 89
of ten days for recantation 85
of that able and enterprising 66
of that base and degenerate 48
of that bold and enterprising 79
of that book are censurable 60
of that city and vindicated 55
of that date they instructed 41
of that faith and repentance 68
of that firm but deliberate 43
of that full and heightened 365
of that full and particular 53
of that great and abominable 67
of that great and beneficent 107
of that great and celebrated 41
of that great and illustrious 181
of that great and influential 44
of that great and tremendous 144
of that hearing are sufficient 62
of that holy and charitable 45
of that holy and omnipotent 41
of that kind are improperly 44
of that kind was considered 85
of that living but indefinite 101
of that look was disputable 158
of that love and confidence 58
of that love and friendship 53
of that love and tenderness 58
of that made any difference 261
of that made that difference 62
of that name and description 83
of that name who flourished 170
of that other and unconscious 58
of that peace and prosperity 123
of that play was sufficient 51
of that rich and industrious 74
of that size and complexity 90
of that size and description 85
of that size and importance 67
of that time all indulgence 62
of that time was considered 56
of that time was sufficient 67
of that wily and formidable 57
of that wise and beneficent 73
of that wish and expectation 47
of them from any experiment 51
of them from doing disservice 115
of them from his iniquities 92
of them great and celebrated 65
of them have any application 45
of them have any experience 80
of them have any particular 64
of them have any pretensions 120
of them have had difficulty 49
of them have had experience 395
of them have had sufficient 88
of them have not considered 48
of them have not sufficient 79
of them have not understood 79
of them have now disappeared 197
of them into any particular 62
of them into his confidence 150
of them knew him personally 177
of them learn with reluctance 70
of them made any difference 99
of them made any resistance 50
of them poor and illiterate 52
of them poor and uneducated 74
of them rare and antiquated 177
of them rich and influential 43
of them speak and understand 82
of them their own particular 55
of them there are indications 45
of them were new immigrants 51
of them were new spectators 47
of them were not accustomed 171
of them were not acquainted 43
of them were not adequately 53
of them were not communists 126
of them were not completely 113
of them were not considered 139
of them were not discovered 44
of them were not enthusiastic 73
of them were not foreigners 56
of them were not identified 45
of them were not immediately 56
of them were not interested 1061
of them were not originally 126
of them were not physically 54
of them were not recognized 59
of them were not registered 97
of them were not successful 148
of them were real characters 42
of them were too bewildered 50
of them were too frightened 173
of them were too preoccupied 98
of them were with difficulty 56
of them when they approached 41
of them will bear comparison 100
of them will bear examination 143
of them will not understand 151
of them work for government 45
of them young and attractive 62
of things into ten categories 57
of things seen and remembered 52
of things show that government 171
of things were not originally 43
of this able and exhaustive 44
of this able and industrious 48
of this anger and frustration 57
of this army and department 43
of this bill was discharged 179
of this bird are ornamented 47
of this body was immediately 43
of this bold and successful 80
of this book and accompanying 69
of this book and distribute 73
of this book and encouraged 115
of this book and generously 57
of this book and interested 72
of this book and references 61
of this book are accustomed 43
of this book are applicable 137
of this book are appropriate 52
of this book are considered 65
of this book are consistent 45
of this book are encouraged 169
of this book are essentially 95
of this book are gratefully 82
of this book are identified 40
of this book are interested 204
of this book are introduced 64
of this book are relatively 43
of this book are reproduced 150
of this book are structured 61
of this book are sufficient 42
of this book are summarized 145
of this book for definitions 66
of this book for discussions 44
of this book for educational 976
of this book for information 803
of this book for publication 838
of this book for references 49
of this book for suggestions 170
of this book has emphasized 117
of this book has encouraged 77
of this book has introduced 55
of this book has undertaken 61
of this book may reproduced 119
of this book was apparently 40
of this book was circulated 48
of this book was considered 42
of this book was determined 62
of this book was discovered 47
of this book was erroneously 67
of this book was essentially 55
of this book was financially 218
of this book was generously 326
of this book was influenced 60
of this book was introduced 60
of this book was invaluable 108
of this book was originally 1336
of this book was stimulated 62
of this book was translated 164
of this book was undertaken 555
of this bringing his attendants 62
of this case are considered 85
of this case are essentially 76
of this case are sufficient 62
of this case are summarized 56
of this case are undisputed 111
of this case was considered 56
of this case was recognized 52
of this cheap and convenient 78
of this city and commonwealth 78
of this city are ornamented 44
of this city had terminated 47
of this clear and consistent 49
of this code are applicable 63
of this cold and passionless 52
of this daring and successful 60
of this data and information 130
of this debt was contracted 119
of this duty was considered 41
of this fact has stimulated 63
of this form and understand 93
of this form are acceptable 110
of this form are frequently 94
of this great and abominable 52
of this great and beneficent 188
of this great and benevolent 44
of this great and celebrated 49
of this great and illustrious 454
of this great and influential 132
of this great and melancholy 164
of this great and prosperous 181
of this great and remarkable 93
of this great and successful 170
of this great and unexpected 68
of this great man unattended 62
of this hope and expectation 40
of this ideal that philosophy 40
of this kind and benevolent 46
of this kind are absolutely 182
of this kind are acceptable 72
of this kind are admissible 45
of this kind are admittedly 40
of this kind are apparently 89
of this kind are applicable 84
of this kind are appropriate 63
of this kind are attractive 49
of this kind are attributed 70
of this kind are calculated 139
of this kind are circulated 111
of this kind are classified 97
of this kind are compatible 49
of this kind are completely 202
of this kind are considered 704
of this kind are consistent 69
of this kind are constantly 453
of this kind are convenient 42
of this kind are designated 125
of this kind are determined 74
of this kind are discovered 108
of this kind are documented 46
of this kind are eliminated 41
of this kind are encouraged 45
of this kind are enumerated 119
of this kind are equivalent 56
of this kind are essentially 287
of this kind are everywhere 128
of this kind are exceptional 237
of this kind are formulated 43
of this kind are frequently 2040
of this kind are habitually 99
of this kind are identified 48
of this kind are impossible 190
of this kind are inadequate 58
of this kind are indefinite 62
of this kind are indicative 68
of this kind are inevitable 347
of this kind are inevitably 151
of this kind are infinitely 43
of this kind are influenced 42
of this kind are infrequent 88
of this kind are inherently 161
of this kind are introduced 228
of this kind are invaluable 115
of this kind are irrelevant 110
of this kind are judiciously 292
of this kind are legitimate 77
of this kind are maintained 62
of this kind are mechanical 42
of this kind are multiplied 86
of this kind are notoriously 185
of this kind are numberless 66
of this kind are observable 40
of this kind are ordinarily 133
of this kind are potentially 51
of this kind are presumably 49
of this kind are prohibited 43
of this kind are recognized 102
of this kind are relatively 558
of this kind are remarkable 59
of this kind are reproduced 44
of this kind are restricted 47
of this kind are successful 59
of this kind are sufficient 191
of this kind are summarized 115
of this kind are surprisingly 44
of this kind are transitory 141
of this kind are ultimately 103
of this kind are understood 41
of this kind are undertaken 131
of this kind are vulnerable 42
of this kind can constitute 51
of this kind can contribute 128
of this kind can frequently 69
of this kind does presuppose 47
of this kind has disappeared 42
of this kind has frequently 113
of this kind may constitute 61
of this kind may contribute 78
of this kind may eventually 178
of this kind may frequently 60
of this kind may ultimately 71
of this kind that philosophy 160
of this kind was absolutely 174
of this kind was apparently 84
of this kind was calculated 133
of this kind was completely 52
of this kind was considered 387
of this kind was designated 49
of this kind was discovered 335
of this kind was encouraged 44
of this kind was exceptional 43
of this kind was formulated 58
of this kind was frequently 56
of this kind was immediately 50
of this kind was impossible 161
of this kind was inevitable 132
of this kind was infallible 91
