of abe lincoln in illinois 472
of all systems of religious 58
of all teachers by promotion 47
of all victims of domestic 42
of all wherein it consists 115
of all workers in industry 296
of all workers in selected 57
of all workers to organize 141
of all writers of authority 77
of and ability to identify 45
of and against the authority 43
of and against the proposal 44
of and against the proposed 51
of and applied in objection 50
of and brought to precision 88
of and delight in somewhat 77
of and devotion to american 76
of and including the counties 203
of and recover the property 44
of and relaxed the practice 85
of and respect the cultural 46
of and returns to education 41
of and seizure of property 41
of and solution to problems 54
of and subject to relations 77
of and testify the transfer 63
of and utilize in completing 64
of any alliance or military 229
of any amorous or ambitious 58
of any annuity or interest 56
of any anterior or posterior 41
of any article in commerce 68
of any article is therefore 48
of any article of commerce 658
of any article of property 82
of any article of purchase 134
of any article of religious 77
of any article or articles 700
of any article or doctrine 85
of any article or property 48
of any atrophy or abnormal 109
of any attempt at burglary 44
of any attempt at ornament 161
of any attempt to alienate 207
of any attempt to approach 47
of any attempt to challenge 53
of any attempt to classify 94
of any attempt to consider 50
of any attempt to describe 347
of any attempt to diminish 70
of any attempt to discover 150
of any attempt to encroach 81
of any attempt to estimate 91
of any attempt to evaluate 146
of any attempt to exercise 158
of any attempt to identify 176
of any attempt to maintain 178
of any attempt to negotiate 48
of any attempt to organize 186
of any attempt to overcome 62
of any attempt to overthrow 116
of any attempt to persuade 59
of any attempt to preserve 43
of any attempt to quantify 49
of any attempt to regulate 128
of any attempt to restrain 54
of any attempt to restrict 130
of any attempt to separate 311
of any attempt to suppress 109
of any attempt to withstand 67
of any balance of payments 99
of any balance or balances 106
of any benefit in preventing 43
of any borough or district 64
of any bridges or culverts 54
of any british or american 308
of any carrier or carriers 157
of any chamber of commerce 111
of any chinese or japanese 148
of any chinese to property 44
of any circuit or district 180
of any citizen or citizens 255
of any citizen or merchant 159
of any citizen or resident 111
of any college of medicine 52
of any college or cathedral 81
of any college or seminary 67
of any company or business 87
of any company or industry 47
of any company or proposed 63
of any conduct as criminal 100
of any consent or approval 49
of any context of situation 113
of any control or direction 40
of any country is increased 240
of any country or district 165
of any country to regulate 84
of any creature be expanded 55
of any current or proposed 56
of any decision is emotional 147
of any decision or decisions 68
of any default or defaults 76
of any deposit or accretion 50
of any display of affection 42
of any dispute or situation 1309
of any element of personal 46
of any element of surprise 351
of any element or compound 765
of any european or american 1478
of any factory or workshop 382
of any failure of proceeding 57
of any failure to maintain 97
of any foreign or despotic 45
of any foreign or domestic 203
of any freedom of movement 45
of any function as officers 50
of any function or functions 55
of any general or specific 201
of any grammar of rhetoric 47
of any history or tradition 133
of any husband or husbands 49
of any illegal or improper 86
of any illegal or unethical 126
of any illness or accident 94
of any increase in benefits 142
of any increase in deposits 90
of any increase in domestic 85
of any increase in interest 57
of any increase in reserves 69
of any increase or reduction 87
of any justice or justices 539
of any language or languages 45
of any language to describe 46
of any machine or invention 59
of any material or relevant 172
of any measures of severity 50
of any medical or surgical 245
of any national or religious 77
of any national or resident 42
of any natural or acquired 68
of any natural or synthetic 55
of any nervous or hormonal 82
of any neutral or friendly 92
of any nominee or nominees 54
of any notable thing recorded 183
of any objects of interest 55
of any obscene or indecent 64
of any occasion of testifying 50
of any officer or authority 83
of any officer or director 179
of any officer or employee 3734
of any officer or enlisted 375
of any officer or officers 1037
of any official or employee 569
of any outbreak of dangerous 54
of any package or packages 255
of any parcels so assigned 132
of any partner or partners 134
of any payment of interest 151
of any payment or payments 324
of any payment or transfer 215
of any peculiar or acquired 141
of any penalty or interest 87
of any persons or property 53
of any position of authority 62
of any preceding or succeeding 219
of any premium or discount 559
of any premium or premiums 56
of any present or potential 53
of any private or sectarian 108
of any problem is possible 41
of any problem or situation 77
of any process of cognition 57
of any process of economic 49
of any process of evolution 93
of any process or activity 83
of any process or operation 72
of any process or proceeding 59
of any program of economic 53
of any program of education 93
of any program or activity 248
of any project or activity 83
of any project or projects 186
of any promise or contract 433
of any promise or warranty 577
of any proviso or covenant 70
of any purpose of intrusion 55
of any quality of essential 45
of any quality or condition 95
of any question of politics 53
of any question or questions 46
of any railway or railways 53
of any relation to external 84
of any religion or religious 175
of any renewal or extension 248
of any renewal or renewals 107
of any service or facility 65
of any service or property 48
of any service to humanity 55
of any service to yourself 58
of any species of apparent 52
of any species of authority 157
of any species of capsicum 75
of any species of industry 93
of any species of literary 52
of any species of organism 93
of any species of property 381
of any species of sensation 262
of any species to describe 44
of any statute as intended 102
of any statute or otherwise 200
of any statute or statutes 161
of any stranger of agreeable 83
of any student or articled 44
of any student or students 63
of any subject of interest 110
of any subject or subjects 71
of any suffering or disgrace 52
of any surplus or shortage 65
of any trainer or physician 225
of any trustee or examiner 120
of any trustee or trustees 580
of any variable is composed 40
of any village or district 143
of any warrant of attorney 60
of any warrant of distress 82
of any warrant or authority 45
of any warrant or warrants 84
of any weighting or estimating 76
of any witness is required 110
of any witness or document 65
of arc herself is invested 43
of arc refused to renounce 51
of art applied to industry 509
of art history is helpless 73
of art unknown to elegance 72
of atp coupled to electron 48
of being accused of abandoning 130
of being accused of adultery 84
of being accused of attempting 45
of being accused of committing 64
of being accused of neglecting 45
of being accused of nepotism 161
of being accused of pedantry 41
of being accused of possessing 45
of being accused of practicing 71
of being accused of sabotage 57
of being accused of supporting 70
of being accused of treachery 48
of being admired by crawford 110
of being allowed to associate 40
of being allowed to complete 104
of being allowed to continue 447
of being allowed to dedicate 55
of being allowed to disappear 86
of being allowed to emigrate 52
of being allowed to exercise 189
of being allowed to maintain 58
of being allowed to practice 110
of being allowed to purchase 227
of being altered or modified 42
of being applied in practice 142
of being applied to economic 62
of being applied to practice 95
of being applied to purposes 44
of being arranged in parallel 63
of being awarded an honorary 44
of being awarded the contract 309
of being branded as dastards 43
of being branded as heretics 58
of being branded as traitors 100
of being brought to maturity 49
of being brought up suitably 51
of being capable of delivering 42
of being capable of extension 53
of being capable of generating 49
of being capable of operation 41
of being capable of performing 79
of being capable of responding 40
of being chanted in immortal 85
of being content in whatever 50
of being covered in presence 86
of being crushed by carriages 76
of being dazzled or frighted 79
of being decided on economic 40
of being defeated or modified 84
of being defined as criminal 513
of being devised or bequeathed 109
of being devoted to religious 79
of being elected an honorary 116
of being elected or returned 107
of being enabled to complete 42
of being enabled to maintain 41
of being enabled to preserve 49
of being equaled or exceeded 251
of being everything to everyone 64
of being excited by external 61
of being exerted at critical 93
of being exposed to infection 46
of being exposed to ridicule 250
of being exposed to strangers 57
of being familiar in everyday 61
of being friends to monarchy 93
of being granted an audience 59
of being guarded by positive 52
of being himself the outraged 70
of being himself the restorer 57
of being ignored or rejected 61
of being invited to breakfast 48
of being jesuits in disguise 44
of being labeled as mentally 61
of being obliged to maintain 148
of being obliged to postpone 41
of being obliged to preserve 122
of being obliged to purchase 72
of being obliged to struggle 89
of being papists in disguise 43
of being realized in practice 110
of being reduced to absolute 50
of being reduced to definite 48
of being reduced to nothingness 96
of being reduced to practice 566
of being removed by drainage 68
of being reputed the cemetery 107
of being secured on december 104
of being stirred by memories 108
of being subject to constant 53
of being subject to personal 54
of being tainted or infected 47
of being tricked is mortifying 257
of being watched by somebody 41
of being watched or followed 98
of being watched or listened 49
of being watered by numerous 72
of being weakened by internal 157
of being weakened or modified 213
of being widowed or divorced 129
of being withheld by prudence 109
of being wrested to purposes 47
of being written by scholars 43
of both classes of children 92
of both classes of materials 41
of both classes of products 44
of both classes of property 45
of both classes of students 42
of both classes the precepts 84
of both parents is essential 42
of both parents is required 230
of both parties in interest 95
of both parties in politics 46
of both parties in washington 88
of both parties is essential 174
of both parties is obtained 74
of both parties is required 329
of both parties is solemnly 42
of both parties to conclude 45
of both parties to consider 45
of both parties to continue 143
of both parties to maintain 188
of both parties to negotiate 188
of both parties to preserve 93
of both parties to socialism 50
of both parties to strengthen 40
of both perhaps to infinity 87
of both schools of medicine 91
of both species is prolonged 53
of both spouses is required 209
of both treaties of partition 50
of cat removal on allergen 69
of death against the murderer 42
of doing exactly the contrary 137
of doing exactly the opposite 364
of due process by authorizing 64
of due process in criminal 420
of due process in juvenile 279
of due process is flexible 41
of due process is involved 44
of due process is required 139
of due process to property 108
of each article is compared 53
of each chapter is designed 164
of each chapter is followed 96
of each chapter is included 82
of each chapter is intended 149
of each chapter is provided 132
of each chapter to identify 47
of each chapter to indicate 63
of each citizen or resident 40
of each cottage the children 181
of each country to maintain 40
of each country to mitigate 56
of each country to regulate 155
of each creature is directed 45
of each decision to allocate 50
of each element is affected 45
of each element is computed 69
of each element is constant 45
of each element is obtained 60
of each element is required 49
of each element it contains 55
of each element of interest 99
of each element or compound 263
of each foreign or domestic 74
of each officer or director 66
of each officer or employee 67
of each patient is essential 65
of each payment is excluded 44
of each payment is interest 184
of each payment is reported 52
of each process or operation 52
of each product is produced 146
of each quarter or semester 249
of each regional or minority 82
of each species is constant 96
of each species is included 43
of each species is recorded 59
of each species of interest 57
of each species of organism 275
of each student is required 52
of each variable in explaining 120
of each variable in isolation 41
of each variable in predicting 77
of each variable is provided 40
of each variable of interest 211
of each variable or constant 89
of each village or district 91
of earl richard of cornwall 265
of end results of surgical 95
of eye trouble in children 47
of fat between the muscular 101
of fear arousal on attitude 499
of fez capable of outwitting 41
of fit between the expected 86
of fit between the observed 621
of fit between the original 47
of fit between the proposed 107
of gas evolved or absorbed 70
of gas measured at standard 58
of gdp devoted to education 107
of gnp devoted to education 188
of gnp devoted to military 179
of god against the children 56
of god against the virtuous 54
of god because he believed 43
of god blessed the children 251
of god duchess of burgundy 40
of god outside the christian 108
of god pervading the universe 52
of god revealed to muhammad 207
of god towards the children 125
of god towards the gentiles 41
of god whereby he declares 107
of going forward or backward 72
of heat addition at constant 47
of heat emitted or absorbed 95
of heat evolved or absorbed 1169
of heat illness in football 55
of heat measured in calories 93
of heat released or absorbed 215
of her ability to conceive 44
of her ability to continue 97
of her ability to describe 43
of her ability to exercise 58
of her ability to identify 79
of her ability to maintain 279
of her ability to negotiate 53
of her ability to organize 48
of her ability to overcome 80
of her ability to perceive 55
of her ability to persuade 42
of her ability to purchase 52
of her ability to remember 56
of her ability to withstand 107
of her answers to questions 57
of her arrival in australia 40
of her arrival in scotland 140
of her arrival in washington 55
of her attempt to maintain 41
of her balance of payments 495
of her chamber of deputies 47
of her chances of recovery 57
of her chances of survival 49
of her decision to continue 47
of her designs he returned 83
of her efforts to maintain 114
of her efforts to organize 55
of her efforts to overcome 76
of her efforts to persuade 50
of her efforts to preserve 48
of her efforts to restrain 175
of her efforts to suppress 119
of her emotions is expected 50
of her enemies by forcibly 209
of her estates in normandy 102
of her failure to conceive 49
of her failure to exercise 52
of her failure to maintain 43
of her features to resemble 48
of her freedom of movement 165
of her friends as possible 44
of her friends in scotland 69
of her friends or relations 106
of her husband in december 61
of her husband in education 80
of her husband in february 69
of her husband in november 50
of her husband is supposed 45
of her husband or children 259
of her husband or husbands 74
of her husband the regicide 41
of her husband to maintain 47
of her journey to scotland 47
of her letters to elizabeth 49
of her letters to nicholas 41
of her letters to voltaire 125
of her library at richmond 86
of her license to practice 53
of her majesty at washington 61
of her majesty so wickedly 70
of her marriage in australia 53
of her marriage or acquired 99
of her marriage to augustus 94
of her marriage to benjamin 43
of her marriage to franklin 44
of her marriage to muhammad 48
of her marriage to nicholas 44
of her parents or guardians 524
of her parents or kinsfolk 109
of her parents or relations 64
of her pleasure in swallowing 56
of her position as daughter 42
of her position as director 57
of her position as mistress 148
of her position in manchuria 89
of her position of authority 81
of her purpose so forcibly 138
of her refusal to continue 40
of her remaining in personal 64
of her service to humanity 41
of her success in business 111
of her success in domestic 55
of her treasure in endeavoring 40
of her treatise on domestic 95
of him because he followed 45
of him letters to damascus 1530
of his ability in business 113
of his ability to abstract 64
of his ability to complete 306
of his ability to conceive 75
of his ability to confront 61
of his ability to continue 243
of his ability to contract 42
of his ability to converse 90
of his ability to convince 238
of his ability to describe 123
of his ability to discover 126
of his ability to dispense 53
of his ability to dominate 188
of his ability to empathize 42
of his ability to estimate 77
of his ability to evaluate 57
of his ability to exercise 247
of his ability to generate 123
of his ability to identify 301
of his ability to instruct 69
of his ability to interact 50
of his ability to interest 90
of his ability to maintain 889
of his ability to maneuver 87
of his ability to mobilize 108
of his ability to motivate 60
of his ability to negotiate 123
of his ability to organize 275
of his ability to overcome 443
of his ability to perceive 277
of his ability to persuade 334
of his ability to practice 73
of his ability to preserve 229
of his ability to purchase 90
of his ability to remember 210
of his ability to restrain 65
of his ability to separate 150
of his ability to tolerate 87
of his ability to transfer 75
of his ability to transmit 57
of his ability to withstand 297
of his absence in discussing 66
of his absence on business 110
of his absence or sickness 107
of his absence to ridicule 80
of his accepting the challenge 150
of his account as provided 55
of his account is entirely 64
of his address he referred 75
of his address he remarked 47
of his address the audience 40
of his affairs as personal 66
of his affairs in scotland 243
of his ambition as minister 50
of his analogy the taxpayer 61
of his answers to questions 356
of his anxiety to discover 50
of his arrival at brussels 42
of his arrival at calcutta 84
of his arrival at khartoum 50
of his arrival at washington 52
of his arrival he attended 45
of his arrival he received 99
of his arrival in australia 217
of his arrival in brussels 44
of his arrival in calcutta 183
of his arrival in florence 116
of his arrival in kentucky 42
of his arrival in portugal 86
of his arrival in richmond 125
of his arrival in scotland 160
of his arrival in washington 661
of his arrival the governor 51
of his attacking the sicilians 49
of his attacks of delirium 161
of his attacks of insanity 42
of his attempt to classify 44
of his attempt to convince 77
of his attempt to describe 62
of his attempt to discover 117
of his attempt to dominate 42
of his attempt to identify 60
of his attempt to maintain 111
of his attempt to negotiate 44
of his attempt to organize 73
of his attempt to overcome 127
of his attempt to overthrow 76
of his attempt to persuade 174
of his attempt to preserve 77
of his attempt to redefine 41
of his attempt to restrain 45
of his attempt to strengthen 46
of his attempt to suppress 48
of his aversion or contempt 68
of his battery of remedies 57
of his behavior is directed 44
of his boyhood in hannibal 50
of his boyhood in kentucky 46
of his brethren at washington 44
of his brethren in religious 59
of his brethren in scotland 75
of his brethren the prophets 93
of his brigade in readiness 52
of his british or american 41
of his brothers as zealously 69
of his capital as possible 68
of his capital in business 56
of his capital in constant 141
of his capital in disguise 118
of his capital is invested 53
of his captors to physical 53
of his capture by powhatan 59
of his chamber of commerce 54
of his chances of recovery 129
of his chances of survival 89
of his chattel is afforded 76
of his command in december 64
of his command in kentucky 61
of his command in missouri 78
of his command in november 73
of his command in scotland 67
of his command of languages 62
of his command on december 60
of his command on november 54
of his company as hostages 55
of his company as initiates 86
of his company as possible 52
of his company at banquets 53
of his company at breakfast 153
of his company he disturbs 56
of his company or regiment 109
of his company the frequent 82
of his company to breakfast 110
of his concept of education 42
of his concept of evolution 62
of his concept of socialism 67
of his concern or interest 51
of his concern to maintain 44
of his conduct as governor 211
of his conduct as minister 71
of his conduct in attempting 44
of his conduct in publishing 42
of his conduct the morality 51
of his conduct to isabella 64
of his contest of courtesy 98
of his council in scotland 52
of his council of economic 1172
of his council of officers 294
of his counsel or otherwise 49
of his country as consisting 46
of his country by publishing 52
of his country in distress 63
of his country is employed 205
of his country is entitled 139
of his country is threatened 43
of his country so untimely 47
of his country to maintain 46
of his courses of lectures 254
of his decision he believes 129
of his decision to abdicate 89
of his decision to challenge 47
of his decision to continue 174
of his decision to dissolve 54
of his decision to emigrate 77
of his decision to postpone 60
of his decision to purchase 56
of his decision to renounce 107
of his decrees of december 76
of his delusion he supposes 246
of his devotion to buddhism 74
of his devotion to business 70
of his division he occupied 53
of his efforts to complete 99
of his efforts to convince 197
of his efforts to discover 147
of his efforts to dissuade 76
of his efforts to identify 56
of his efforts to instruct 41
of his efforts to interest 136
of his efforts to maintain 397
of his efforts to negotiate 62
of his efforts to organize 229
of his efforts to overcome 168
of his efforts to overthrow 43
of his efforts to persuade 339
of his efforts to preserve 301
of his efforts to restrain 186
of his efforts to retrieve 46
of his efforts to separate 48
of his efforts to strengthen 159
of his efforts to suppress 536
of his election as chairman 88
of his election as governor 582
of his election as honorary 52
of his election in december 43
of his election in november 96
of his election or selection 238
of his election to exercise 93
of his election to honorary 102
of his election to purchase 56
of his embassy to abyssinia 45
of his enemies an accession 63
of his enemies as possible 65
of his estates in carolina 56
of his estates in normandy 128
of his estates in scotland 62
of his faculty of judgment 86
of his faculty of versifying 44
of his failure in business 112
of his failure to complete 648
of his failure to consider 126
of his failure to continue 43
of his failure to convince 128
of his failure to disclose 181
of his failure to discover 178
of his failure to exercise 251
of his failure to identify 54
of his failure to maintain 274
of his failure to negotiate 71
of his failure to overcome 62
of his failure to perceive 97
of his failure to persuade 112
of his failure to properly 87
of his failure to register 88
of his features as accident 45
of his fellows as possible 183
of his fellows in seclusion 42
of his fortune he bequeathed 69
of his fortune on childish 175
of his fortune to purchase 109
of his freedom of assembly 295
of his freedom of contract 69
of his freedom of movement 884
of his friends an implicit 54
of his friends as hostages 102
of his friends as possible 209
of his friends at washington 56
of his friends by explaining 81
of his friends he obtained 75
of his friends he returned 55
of his friends in birmingham 44
of his friends in business 49
of his friends in calcutta 54
of his friends in distress 52
of his friends in florence 91
of his friends in illinois 83
of his friends in kentucky 81
of his friends in richmond 47
of his friends in scotland 494
of his friends in washington 285
of his friends or business 67
of his friends or relations 494
of his friends or servants 76
of his friends so accurate 111
of his friends to announce 43
of his friends to continue 49
of his friends to convince 41
of his friends to describe 42
of his friends to dissuade 97
of his friends to minister 53
of his friends to nominate 45
of his friends to persuade 74
of his friends to preserve 115
of his friends to purchase 41
of his glories in presence 106
of his handful of spaniards 60
of his harpies to describe 93
of his history is entirely 44
of his history of american 248
of his history of australia 50
of his history of economic 85
of his history of florence 307
of his history of gustavus 101
of his history of louisiana 46
of his history of medicine 64
of his history of scotland 752
of his illness he suffered 49
of his infancy is confided 45
of his journey he received 40
of his journey in scotland 109
of his journey to australia 56
of his journey to damascus 265
of his journey to flanders 41
of his journey to richmond 48
of his journey to scotland 426
of his journey to washington 261
of his leisure to instruct 324
of his lessons or lectures 103
of his letters he compares 56
of his letters he declares 70
of his letters he explains 48
of his letters he mentioned 126
of his letters he observes 126
of his letters he referred 70
of his letters he remarked 56
of his letters of credence 340
of his letters or speeches 46
of his letters to buckingham 49
of his letters to cardinal 64
of his letters to catherine 70
of his letters to cromwell 118
of his letters to elizabeth 115
of his letters to franklin 46
of his letters to governor 127
of his letters to hamilton 45
of his letters to hawthorne 75
of his letters to margaret 64
of his letters to sheridan 42
of his letters to voltaire 145
of his letters to washington 197
of his liberty is entitled 372
of his liberty of movement 84
of his liberty or property 2081
of his liberty to contract 84
of his license to practice 957
of his majesty the japanese 87
of his majesty to disallow 168
of his majesty to discover 54
of his majesty to preserve 64
of his manhood in flanders 110
of his marriage to caroline 121
of his marriage to catherine 2271
of his marriage to elizabeth 625
of his marriage to gertrude 44
of his marriage to isabella 227
of his marriage to katharine 111
of his marriage to katherine 399
of his marriage to margaret 332
of his marriage to princess 498
of his masters in describing 48
of his message of december 82
of his message of salvation 185
of his millions of subjects 85
of his moments of enthusiasm 41
of his moments of lucidity 47
of his national or cultural 40
of his natural or acquired 106
of his natural or external 51
of his nephews to brussels 84
of his network of contacts 50
of his numbers is suitable 77
of his obtaining the required 179
of his opinions in religious 50
of his opinions on literary 54
of his opinions on questions 75
of his opinions on religious 93
of his opinions on subjects 108
of his outrage the apostasy 60
of his parents he returned 45
of his parents he wandered 50
of his parents in scotland 42
of his parents or children 62
of his parents or guardians 1066
of his partner in business 85
of his partner or associate 693
of his partner or partners 104
of his perfidy to withstand 94
of his phalanx of infantry 52
of his pockets he produced 66
of his polemic is directed 45
of his position as chairman 892
of his position as commanding 95
of his position as compared 46
of his position as director 514
of his position as governor 508
of his position as military 73
of his position as minister 348
of his position as regarded 51
of his position in american 152
of his position in denouncing 46
of his position in politics 60
of his position is apparent 51
of his position of authority 593
of his position to maintain 42
of his position to persuade 44
of his private or personal 58
of his problem of autonomy 42
of his produce to strangers 43
of his product as possible 49
of his product or products 50
of his program of economic 59
of his program of education 50
of his project to preserve 67
of his promise to maintain 80
of his purpose in withdrawing 57
of his purpose to exercise 67
of his purpose to maintain 92
of his pursuit of visionary 55
of his receiving an honorary 146
of his receiving the communion 105
of his refusal to consider 152
of his refusal to continue 54
of his refusal to disclose 52
of his refusal to identify 47
of his refusal to negotiate 53
of his refusal to register 92
of his refusal to renounce 44
of his relation to american 40
of his relation to humanity 57
of his religion of humanity 169
of his remarks as reported 48
of his remarks he declared 43
of his remarks he mentioned 89
of his remarks he referred 144
of his removal or retention 451
of his replies to questions 97
of his reports to washington 56
of his resisting the receiver 58
of his resolve to maintain 55
of his restoring the bourbons 51
of his revenue in purchasing 316
of his sailors by desertion 49
of his schemes in scotland 53
of his schemes of conquest 184
of his secrets to europeans 49
of his sermons he declared 120
of his sermons he suddenly 50
of his servant in sickness 59
of his servant or employee 58
of his service as chairman 79
of his service as director 40
of his service as governor 249
of his service as minister 97
of his service he proposed 65
of his service he received 60
of his service he returned 61
of his service in scotland 62
of his service in washington 106
of his service to humanity 147
of his sojourn in brittany 57
of his sojourn in florence 49
of his sojourn in scotland 50
of his studies he received 41
of his studies he returned 121
of his studies in medicine 53
of his studies of american 67
of his studies of children 49
of his subject he improved 79
of his subject is vigorous 87
of his subject or suitable 117
of his subject to restrain 50
of his success he received 41
of his success in attracting 69
of his success in business 499
of his success in converting 45
of his success in convincing 45
of his success in describing 40
of his success in developing 77
of his success in flanders 65
of his success in fulfilling 107
of his success in humiliating 78
of his success in negotiating 54
of his success in organizing 97
of his success in overcoming 84
of his success in performing 88
of his success in persuading 137
of his success in politics 73
of his success in practice 40
of his success in whatever 44
of his success or otherwise 50
of his systems is invented 40
of his talents by expressing 104
of his talents the conquest 47
of his tenants in chivalry 59
of his tenants or servants 218
of his thoughts on education 66
of his travels in abyssinia 76
of his travels in australia 57
of his travels in scotland 107
of his treatise is occupied 92
of his treatise on christian 224
of his treatise on education 81
of his treatise on politics 42
of his treatise on rhetoric 42
of his vassals or subjects 157
of his venture in publishing 82
of his victory at waterloo 46
of his village or district 124
of his worship is attested 44
of how broadly or narrowly 179
of how complex the situation 53
of how general or specific 52
of how language is acquired 495
of how language is actually 147
of how language is produced 43
of how plastic the materials 48
of how research is actually 50
of how science is actually 87
of how society is possible 99
of ice allowed to dissolve 47
of ill manners as flattery 56
of iowa college of business 76
of iowa college of education 72
of iowa college of medicine 5490
of iowa college of pharmacy 415
of iowa studies in education 1586
of iowa studies in engineering 553
of iowa studies in sociology 58
of its ability to activate 263
of its ability to alleviate 77
of its ability to allocate 52
of its ability to catalyze 102
of its ability to challenge 60
of its ability to colonize 44
of its ability to complete 128
of its ability to conserve 41
of its ability to continue 240
of its ability to contract 214
of its ability to convince 55
of its ability to describe 183
of its ability to directly 96
of its ability to discover 50
of its ability to displace 96
of its ability to dissolve 353
of its ability to dominate 88
of its ability to estimate 44
of its ability to evaluate 114
of its ability to exercise 135
of its ability to forecast 54
of its ability to generate 1077
of its ability to identify 391
of its ability to indicate 45
of its ability to innovate 133
of its ability to interact 345
of its ability to localize 53
of its ability to maintain 1106
of its ability to maximize 50
of its ability to minimize 98
of its ability to mobilize 313
of its ability to modulate 58
of its ability to motivate 45
of its ability to multiply 59
of its ability to negotiate 66
of its ability to organize 146
of its ability to overcome 203
of its ability to perceive 66
of its ability to persuade 105
of its ability to preserve 190
of its ability to purchase 120
of its ability to regulate 395
of its ability to restrict 44
of its ability to separate 654
of its ability to simulate 119
of its ability to strengthen 80
of its ability to suppress 237
of its ability to tolerate 113
of its ability to transfer 193
of its ability to transmit 360
of its ability to withstand 1305
of its absence or presence 94
of its academy of sciences 55
of its account of whatever 40
of its acquiring the quantity 73
of its adoption in practice 49
of its adoption or rejection 120
of its affairs is situated 265
of its affairs or pecuniary 82
of its ambition of dominating 64
of its anterior or posterior 129
of its aspects is oriented 48
of its aspects or products 103
of its attempt to maintain 50
of its balance of payments 2650
of its capital as computed 46
of its capital is directly 40
of its capital is invested 67
of its chamber of commerce 410
of its chances of survival 144
