of abuses now existing would 40
of energy and matter flows 162
of energy and matter which 157
of energy and matter within 149
of energy and nuclear power 63
of energy and reducing power 191
of energy and spirit which 64
of energy and strength which 66
of energy and talent which 44
of energy and thought which 42
of energy per square meter 169
of energy than fossil fuels 51
of england and became known 45
of england and common sense 82
of england and english people 55
of england and europe would 48
of england and france after 102
of england and france alone 67
of england and france began 135
of england and france could 297
of england and france cured 46
of england and france found 76
of england and france might 147
of england and france shall 71
of england and france since 68
of england and france still 63
of england and france under 223
of england and france where 71
of england and france which 316
of england and france would 825
of england and joseph henry 85
of england and placed under 51
of england can hardly boast 46
of england had already begun 89
of england had already given 48
of england had changed hands 51
of england had entire power 97
of england may always trade 125
of england was already gaining 73
of england was always dense 46
of england was placed under 42
of england was thought either 73
of english and arabic prose 79
of english and english teaching 71
of english and french blood 47
of english and french books 313
of english and french drama 53
of english and french goods 148
of english and french gothic 106
of english and french money 97
of english and french names 49
of english and french naval 45
of english and french plays 62
of english and french poetry 123
of english and french ships 225
of english and french speaking 140
of english and french texts 52
of english and french trade 56
of english and french verse 48
of english and french which 88
of english and french women 69
of english and french words 214
of english and french works 299
of english and french would 46
of english and german books 51
of english and german names 53
of english and german poetry 75
of english and german stock 50
of english and german words 83
of english and german works 46
of english and hebrew first 88
of english and italian words 55
of english and metric units 107
of english and modern rather 46
of english and public speaking 241
of english and scotch blood 61
of english and scotch people 47
of engraving and printing bonds 57
of engraving and printing bureau 132
of engraving and printing makes 48
of engraving and printing under 53
of enjoying our friend again 75
of entering and quitting farms 1144
of equity and common sense 329
of equity with serious faces 167
of errors and twelfth night 614
of estate and income taxes 110
of esteem and regard which 227
of europe and africa could 41
of europe and africa which 59
of europe and africa would 42
of europe and almost every 49
of europe and asiatic russia 67
of europe are already fixed 51
of europe for almost fifty 40
of europe had already begun 113
of europe had fallen under 46
of europe has changed since 52
of events and actions which 144
of events and changes which 84
of events and feelings which 74
of events and forces which 82
of events and scenes which 84
of events had already begun 42
of events that became known 54
of events that occurs after 100
of events that occurs within 142
of events that should occur 82
of evincing that spirit which 62
of excise and income taxes 42
of exerting its utmost power 66
of existing and future needs 48
of expert and layman alike 40
of export and import cargo 83
of export and import firms 51
of export and import flows 176
of export and import goods 537
of export and import growth 88
of export and import items 80
of export and import plans 42
of export and import price 146
of export and import rates 127
of export and import taxes 188
of export and import trade 2247
of fallen and decaying trees 60
of family and estate ought 90
of family and gender roles 274
of famine and disease which 54
of fashion and luxury goods 47
of faster and slower growth 141
of fathers and mothers whose 87
of feeder and access roads 49
of feelings and actions which 79
of feelings and habits which 67
of ferric and cupric salts 43
of fierce and headlong haste 68
of fighting for market share 41
of flaked and ground stone 80
of flight his brother david 85
of flirting with another woman 41
of floats and marching bands 69
of fodder and drinking water 221
of forced and unpaid labor 54
of forces and events which 63
of forces and motions which 45
of forces and powers which 73
of forest and morass which 43
of former and better times 130
of former and latter times 117
of former and modern times 71
of former and recent times 61
of formic and acetic acids 859
of formic and oxalic acids 53
of fossil and biomass fuels 59
of fossil and nuclear fuels 475
of fossil and nuclear power 62
of fossil and recent forms 61
of france and austria would 80
of france and england about 47
of france and england after 92
of france and england alone 40
of france and england began 156
of france and england could 267
of france and england found 72
of france and england looking 66
of france and england might 167
of france and england shall 53
of france and england since 50
of france and england still 115
of france and england stood 59
of france and england under 232
of france and england until 56
of france and england where 65
of france and england which 356
of france and england within 47
of france and england would 886
of france and europe which 46
of france and soviet russia 44
of france and united kingdom 63
of france had already begun 81
of france had already given 70
of france had itself given 55
of france has eleven times 68
of france was placed under 77
of french and belgian towns 62
of french and belgian women 79
of french and english alike 125
of french and english blood 112
of french and english books 216
of french and english child 233
of french and english drama 70
of french and english goods 54
of french and english gothic 175
of french and english maids 71
of french and english people 81
of french and english plays 67
of french and english poetry 141
of french and english ships 150
of french and english social 51
of french and english speaking 176
of french and english taste 54
of french and english terms 182
of french and english texts 58
of french and english which 195
of french and english women 111
of french and english words 270
of french and english works 234
of french and german blood 70
of french and german books 276
of french and german firms 97
of french and german goods 75
of french and german might 133
of french and german music 63
of french and german people 40
of french and german plays 168
of french and german poetry 69
of french and german steel 82
of french and german terms 53
of french and german texts 67
of french and german which 62
of french and german wines 153
of french and german words 84
of french and german works 234
of french and german would 66
of french and indians alike 44
of french and indians looking 60
of french and indians under 307
of french and indians which 75
of french and italian books 100
of french and italian cooking 47
of french and italian music 648
of french and italian opera 380
of french and italian plays 54
of french and italian poetry 125
of french and italian trade 75
of french and italian wines 98
of french and italian words 308
of french and italian works 129
of french and russian music 71
of frigid and torrid zones 65
of frozen and canned foods 92
of gaiety that played under 50
of gandhi and gandhi alone 80
of gandhi and martin luther 756
of garden and flower seeds 80
of garlic and tomato sauce 235
of gaseous and liquid fuels 432
of gender and family roles 114
of gender and gender roles 541
of gender and sexual norms 161
of gender and sexual roles 168
of genius and common sense 85
of genius and talent which 156
of genius are rarely either 83
of genius had already begun 50
of genius has greater pains 40
of gentle and simple alike 125
of german and english books 87
of german and english poetry 66
of german and english trade 42
of german and english words 126
of german and french books 82
of german and french ditto 57
of german and french jewry 52
of german and french plays 41
of german and french poetry 42
of german and french taste 56
of german and french wines 42
of german and french works 165
of german and italian music 206
of german and italian opera 59
of german and italian poetry 60
of german and italian ships 92
of german and italian stock 55
of german and italian tanks 52
of german and italian units 47
of german and italian unity 145
of german and russian power 74
of german east africa under 83
of german east africa until 98
of german east africa which 155
of german east africa would 76
of glands and goblet cells 46
of golden and silver sands 52
of goodly and gentle tenor 66
of grades and report cards 45
of grades one through eight 105
of grades six through eight 75
of grains and forage crops 65
of grains and staple crops 69
of gravel and broken stone 272
of gravel and stones which 63
of graver and higher beauty 44
of greater and greater light 41
of greater and greater power 509
of greater and greater social 41
of greater and greater value 119
of greater and lesser lords 50
of greater and lesser power 90
of greater and lesser social 40
of greater and lesser value 101
of greece and turkey under 56
of greece and turkey would 125
of greece was placed under 78
of greeks and romans alike 41
of ground and drinking water 59
of ground and flight tests 42
of ground and pecked stone 88
of groups that already exist 52
of groups with finite order 57
of groups with special needs 93
of habits and skills which 73
of hacked and broken fence 40
of hamlet and julius caesar 100
of hamlet and twelfth night 47
of handel than martin luther 108
of harden had become liable 40
of harder and softer rocks 75
of hatred and malice which 53
of hatred and revenge which 240
of hatred that burned within 83
of hebrew and arabic names 45
of hebrew and english words 76
of height and weight alone 51
of height and weight growth 57
of height and weight which 65
of herald and weekly times 104
of heresy and schism which 70
of heresy with becoming vigor 43
of hidden and output units 60
of higher and higher forms 434
of higher and higher grade 68
of higher and higher kinds 61
of higher and higher level 40
of higher and higher order 369
of higher and higher pitch 46
of higher and higher power 91
of higher and higher taxes 68
of higher and higher types 216
of higher and higher value 143
of higher and higher wages 64
of higher and nobler stamp 61
of higher than second order 529
of hisses and curses broke 106
of hoisting and lowering cages 52
of horror and anguish burst 68
of horror and dismay which 58
of horror and misery which 40
of horses and cattle feeding 48
of horses and cattle grazing 53
of horses and cattle which 325
of hourly and weekly earnings 91
of houses and cities after 95
of houses and lodgings rises 41
of houses and mobile homes 40
of houses they should build 40
of humbling this common enemy 52
of hungary and bohemia since 97
of hungering and thirsting after 345
of igneous and aqueous action 57
of igneous and aqueous rocks 72
of images and feelings which 51
of images and images alone 47
of images and motifs which 40
of images and sounds which 106
of import and export cargo 153
of import and export flows 109
of import and export goods 544
of import and export growth 54
of import and export items 68
of import and export price 298
of import and export rates 100
of import and export taxes 377
of import and export trade 3404
of import and export which 94
of inbred and hybrid maize 112
of incest and sexual abuse 868
of income and assets within 47
of income and estate taxes 295
of income and excise taxes 118
of income and profit taxes 145
of income and spending power 49
of income may select either 43
of income tax levied under 86
of incoming and outgoing calls 827
of incoming and outgoing cargo 72
of incoming and outgoing edges 100
of incoming and outgoing flows 57
of incoming and outgoing goods 221
of incoming and outgoing items 43
of incoming and outgoing lines 85
of incoming and outgoing links 134
of incoming and outgoing phone 65
of incoming and outgoing ships 144
of incoming and outgoing tides 57
of incoming and outgoing water 170
of incoming and outgoing waves 184
of indians and tories under 53
of indians and whites alike 103
of indians are slowly sinking 49
of indians for forced labor 51
of indians now residing within 68
of ingenious and subtle minds 49
of injuring him without getting 83
of insect and animal pests 68
of insect and disease pests 483
of insect and fungoid pests 93
of insect and fungous pests 74
of insect and rodent pests 112
of insult and injury which 86
of islets and island rocks 50
of issues and events which 44
of issues that affect people 42
of issues that affect women 100
of italian and french music 183
of italian and french opera 368
of italian and french works 114
of italian and german music 147
of italian and german opera 111
of jangled and rattling metal 93
of jewish and italian women 234
of jitter and wander within 95
of joints and tendon sheaths 450
of joseph and michael haydn 48
of joules per square meter 45
of judges and police would 59
of kansas and kansas state 89
of kepler and newton could 59
of kingdoms and tribes about 108
of lactic and acetic acids 606
of lactic and citric acids 63
of ladies and little girls 51
of larger and better crops 43
of larger and faster ships 105
of larger and larger doses 80
of larger and larger firms 47
of larger and larger parts 67
of larger and larger scale 108
of larger and larger ships 79
of larger and larger sizes 62
of larger and larger social 59
of larger and larger units 376
of latter day saints which 42
of learned and vulgar alike 50
of lesser and larger scope 47
of lesser and larger waves 102
of lighting and camera angles 133
of lights and shades which 47
of liquid and frozen water 61
of liquid and gaseous fuels 1070
of liquid and gaseous phase 52
of liquid and gaseous waste 46
of liquid and gaseous water 113
of little things therein gazed 40
of little use unless people 47
of loaves and fishes which 41
of london with gloomy looks 118
of lovely and stupid venus 42
of lovers are jarred apart 42
of lumbar and sacral nerve 135
of luxury and murder about 54
of luxury that sunday night 46
of macbeth and julius caesar 57
of madras and bombay still 44
of madras and bombay under 51
of madras and bombay which 43
of madras and bombay would 60
of malaria and yellow fever 2998
of malice and hatred which 67
of managing his slaves either 91
of mangled and broken limbs 55
of manner and matter which 58
of manner and speech which 231
of manner and temper which 42
of manner that caused every 46
of manual and mental labor 304
of marching and fighting which 81
of marius and julius caesar 50
of market and credit risks 139
of marrying one person while 57
of matter and energy alone 71
of matter and energy could 51
of matter and energy flows 217
of matter and energy forms 56
of matter and energy under 138
of matter and energy which 777
of matter and energy within 379
of matter and energy would 104
of matter and manner which 168
of matter and spirit alike 104
of matter and spirit which 234
of matter are called atoms 43
of matter for future books 59
of matter for thought which 68
of meadows and fields which 91
of meadows and forest lawns 90
of measles and whooping cough 658
of measure for measure which 99
of measure for measure would 63
of meetings and public hearings 44
of memory and mental power 42
of memory for events after 54
of memory for events which 70
of menace and coercion pending 43
of mental and bodily action 53
of mental and bodily agony 97
of mental and bodily growth 73
of mental and bodily power 70
of mental and bodily vigor 189
of mental and manual labor 2157
of merlin and michael scott 53
of metals and alloys under 294
of metals and alloys which 206
of metals and fossil fuels 65
of meteors and shooting stars 114
of methods for measuring blood 57
of methods for measuring social 149
of metric and english units 116
of mickey and minnie mouse 475
of middle and distal thirds 143
of middle and higher level 97
of middle and higher ranks 42
of misery and horror which 61
of misery that laurie asked 72
of modern and recent times 53
of monday and monday night 48
of morale and family unity 43
of morals and public order 58
of mortal than divine about 98
of mortar and broken glass 314
of mortar and broken stone 45
of moscow and moscow region 129
of mothers and fathers whose 74
of mothers and fathers within 54
of mothers and fathers would 48
of motions and actions which 40
of mucous and serous cells 118
of murder and rapine which 76
of murder and violent crime 91
of muscle and tendon growth 106
of muscle and tendon which 41
of musket and cannon balls 56
of mutual and pension funds 151
of myself and wonder where 68
of naples and sicily either 246
of naples and sicily under 97
of naples and sicily which 54
of naples and sicily would 82
of narrow and partial views 89
of narrow and uneven steps 67
of nations and peoples under 45
of nations and peoples which 59
of nations has already taken 45
of nations was created after 52
of nations was formed after 63
of native and exotic birds 52
of native and exotic plant 68
of native and exotic trees 309
of nature and common reason 137
of nature and common sense 1542
of nature and nations gives 56
of nature and nations which 179
of nature and spirit which 91
of nature and virtue seems 155
of nature are allied under 48
of nature are always found 120
of nature are always right 553
of nature does highly value 188
of nature for little folks 159
of nature had broken loose 41
of nature now freely working 55
of nearest and dearest grows 43
of nebulae and double stars 81
of nebulae are regions where 46
of negroes and whites alike 219
of negroes and whites working 48
of newton and harvey could 49
of nickel and cobalt salts 74
of nickel and cobalt which 83
of nickel and copper coins 77
of nickel and copper which 49
of nickel and nickel alloy 61
of nickel and nickel oxide 144
of nickel and silver filings 104
of nitric and acetic acids 123
of nitric and oxalic acids 57
of nobles and common people 129
of normal and cancer cells 498
of normal and carious human 55
of normal and immune serum 108
of normal and mutant cells 107
of normal and mutant genes 45
of normal and mutant human 109
of normal and mutant mouse 53
of normal and spinal chick 84
of normal rat kidney cells 157
of normal real estate sales 49
of norman and angevin times 40
of norman and english feeling 87
of norway and sweden under 66
of norway and sweden which 56
of norway and sweden would 52
of notice and demand under 254
of notions and feelings which 65
of novels and travel books 128
of noxious and exotic weeds 363
of nuclear and fossil fuels 61
of nuclear and thermal power 46
of nymphs and satyrs dancing 40
of office and public place 42
of office and retail space 362
of ontario and quebec shall 51
of ontario and quebec where 71
of ontario and quebec which 55
of ontario and quebec would 61
of operas and church music 105
of operas and talked about 50
of opinion and belief which 88
of opinion and common sense 53
of opinion and policy which 55
of opinion are always liable 45
of opinion had already begun 59
of opinion has changed since 50
of opinion may fairly exist 132
of opinion that another state 50
of opinion that eleanor would 41
of opinion that england would 53
of opinion that nobody could 43
of opinion that something might 62
of oranges and lemons which 69
of ordering and carrying costs 136
of oregon and oregon state 341
of osiers and wooden hoops 41
of outgoing and incoming calls 50
of outgoing and incoming waves 67
of output and income which 51
of output per dollar spent 57
of oxalic and acetic acids 84
of oxalic and citric acids 87
of oxalic and formic acids 43
of oxford and rivers knelt 53
of oxygen and carbon atoms 120
of oxygen and carbon which 71
of oxygen and nitric oxide 388
of oxygen per million parts 140
of oxygen per square meter 95
of papers and copies which 41
of pardon and reward which 77
of pardon for myself could 46
of parent and teacher ratings 218
of parent and teacher roles 45
of passion and emotion which 87
of passion and energy which 41
of passion and motive which 50
of patron and client which 55
of pecked and ground stone 153
of pelvic and inguinal lymph 132
of pelvic and sacral bones 45
of pelvis and lumbar spine 104
of pension and mutual funds 329
of pension and profit sharing 263
of peoples and nations under 44
of peoples and nations which 189
of persian and arabic books 44
of persian and arabic poetry 112
of persian and arabic terms 62
of persian and arabic words 992
of persian and russian brass 40
of person and manner which 239
of person and manner would 73
of person and number marking 68
of person who always makes 40
of person who always seems 40
of person who always wants 71
of person who should never 111
of petrol and diesel fuels 135
of phidias and clarke mills 42
of phidias and michael angelo 76
of philip and matthew henry 68
of phobos and deimos showing 59
of photon and focusing laser 130
of photos and drawings guide 125
of phrase and thought which 54
of pilots and ground crews 84
of pilots and ground staff 48
of pioneer new england stock 60
of piracy all states shall 86
of places and events which 51
of places and public money 54
of plague and famine which 55
of plague and yellow fever 128
of planning and budget shall 963
of planning and design which 43
of planning and managing change 177
of planning and record keeping 46
of planning for future growth 63
of planning for future needs 44
of plants and animal parts 43
of plants and shrubs which 52
of plants per square meter 162
of plants that hourly change 56
of plants with clonal growth 102
of plants with edible roots 48
of plants with floating leaves 124
of plasma and tissue fluid 83
of plates and dishes which 46
of plates and shapes shall 98
of plural and singular forms 48
of poland and little russia 54
of poland and soviet russia 45
of poland was placed under 55
of police and public order 83
of policy and common sense 106
of policy and higher ideals 57
of policy and wisdom would 87
of polish and russian jewry 76
of polite and useful learning 80
of pollen and pollen tubes 141
of pompey and julius caesar 128
of poorer and poorer lands 45
of poplar and willow trees 201
of powder and musket balls 42
of powers and duties under 101
of powers and duties which 131
of praise and prayer which 77
of prayer and manual labor 73
of prayer and praise arose 57
of prayer and praise which 345
of prices for various goods 52
of priest and layman alike 46
of prince and peasant alike 87
of printing had become known 49
of printing was already known 96
of prints and drawings which 82
of prizes and cargoes taken 49
of profit and market share 157
of proper and common names 51
of proper and common nouns 252
of prussia and austria would 71
of prussia and prince louis 68
of pulses per second which 46
of pupils with severe learning 450
of pupils with special needs 2487
of purest ray serene which 41
of purity and talent spread 47
of purple with various green 83
of pursuing that system which 59
of pursuing this charming study 55
of quaint old houses whose 52
of quarks with masses running 60
of racism and sexism which 106
of racism and sexism within 171
of ragged and broken woods 95
of raphael and michael angelo 2319
of raphael and michel angelo 277
of rapine and murder which 67
of readers his secret hopes 59
of realism and common sense 219
of reality and common sense 207
of reality and reality testing 133
of reality but always seeks 61
of reasoning and common sense 73
of reasons why someone might 161
of reasons why someone would 57
of recent and fossil forms 69
of recent with former times 45
of record and report forms 179
of refuge for fallen women 57
of regard and esteem which 97
of regard for edward since 80
of regions and cities which 70
of relays and vacuum tubes 52
of release and pledge under 66
of relief and public works 339
of relief that marius found 50
of removing them without cause 42
of retail and office space 201
of return for common stock 102
of revenge and hatred which 44
of review for actions under 97
of revolt and revenge which 82
of ribbon and wrapping paper 53
of riches and finery either 56
of rights and claims which 51
of rights and duties arising 208
of rights and duties based 107
of rights and duties rather 54
of rights and duties resting 42
of rights and duties under 675
of rights and duties which 1799
of rights and duties within 330
of rights and duties would 135
of rights and powers which 251
of ripple that milton liked 48
of ritual and belief which 40
of rivers and canals which 106
of rivers and creeks which 123
of rivers and ground water 52
of rivers and inland lakes 136
of rivers and streams flowing 160
of rivers and streams where 101
of rivers and streams which 301
of rivers that boiled round 42
of robert and elinor frost 253
of robust and rugged power 47
of rubber and rubber goods 81
of rubble and broken glass 81
of rumors and gossip about 48
of rumors going around about 261
of rushes and coarse grass 108
of russian and polish jewry 95
of russian and polish social 98
of russian and soviet music 79
of safety and common sense 111
of safety and public order 66
of safety and retreat which 87
of saints and abbots which 57
of saline and alkali lands 65
of saline and alkali soils 5510
of sanity and common sense 354
of saturn and uranus about 40
of scarce and curious books 55
of scared but curious people 52
of scenes and events which 181
of school age residing within 101
of school and public lands 1072
of school and school learning 60
of scotch and english blood 61
of scotch and english paper 138
of scotch and english stock 44
of scotch and english under 56
of scouts for searching blind 82
of searching for stolen goods 98
of second and higher order 981
of securing this result would 49
of seneca and cayuga lakes 326
of sepsis and septic shock 708
of serene and mighty motion 129
of serious and violent crime 125
of serous and mucous cells 230
of sewage and drinking water 115
of sexism and racism within 40
of sexual and gender norms 70
of sexual and gender roles 109
of shapes and colors which 113
of shares that changed hands 49
of sheets and pillow cases 424
of sheets and pillow slips 45
of shells and broken coral 42
of shells and cannon balls 79
of shells and corals which 67
of shells and mortar bombs 153
of shipping and handling costs 109
of shipping off oliver twist 55
of shoals and dangers which 41
of shrubs and forest trees 75
of shrubs and ground cover 85
of shrubs and plants which 42
of siberia and arctic russia 129
of siberia and eastern russia 75
of sights and scenes which 93
of sights and sounds never 41
of sights and sounds which 380
of sights and sounds whose 273
of signet and mentor books 41
of silica and ferric oxide 141
of silver and bronze coins 201
of silver and copper alloy 106
of silver and copper coins 1032
of silver and copper mines 86
of silver and copper money 137
of silver and copper salts 56
of silver and copper which 149
of silver and silver oxide 109
of silver and silver plate 73
of singular and plural forms 512
of singular and plural nouns 390
of singular and plural verbs 134
of singular and plural words 73
of singular and striking beauty 52
of slaves and common people 104
of sleeping with another woman 76
of slower and slower motion 90
of solemn and earnest words 61
of solemn and sacred feeling 286
of solute per million parts 54
of sombre and sordid earthly 53
of sombre and violent grief 49
of someone who already knows 99
of something that should never 75
of sorrow and anguish which 51
of sorrow and regret which 46
of sounds and images which 59
of sounds and rhythms which 50
of source and object files 46
of source and target texts 219
of soviet and russian trade 65
of spares and repair parts 130
of special and electing grace 57
of speech and manner quite 40
of speech and manner which 467
of speech and memory codes 103
of speech and public meeting 87
of speech and thought which 316
of speech and visual forms 83
of speech with greater warmth 50
of spending for public works 48
of spinal and cranial nerve 44
of spirit and matter which 353
of spirit and nature which 44
of spirit and temper which 41
of spirit with spirit which 75
of sports and monday night 40
of sports and wanton freaks 40
of spruce and balsam trees 41
of stacks and remote barns 54
of stamping out yellow fever 68
of starting and stopping times 55
of states all states enjoy 65
of states and changes takes 52
of states and cities which 76
of states and peoples which 41
of states has already given 178
of states was formed under 42
