of abigail adams can ever 64
of ancient times with those 77
of animals after they have 79
of animals could not have 117
of animals feeling that some 99
of animals rather than their 64
of animals slain for food 62
of animals taxed for their 69
of animals which are able 54
of animals which are also 49
of animals which are born 46
of animals which are kept 45
of animals which are more 166
of animals which are most 51
of animals which are only 55
of animals which are used 125
of animals which are very 79
of animals which had been 1752
of animals which had died 793
of animals which had once 48
of animals which has been 166
of animals which may have 82
of animals which may take 52
of animals which they have 159
of animals which they kill 70
of animals which was coming 47
of animals would not have 62
of antigen sites per cell 94
of antique dolls and toys 51
of anxiety about his health 93
of anxiety about his wife 52
of anxiety level and food 109
of anxiety mixed with hope 46
of anxiety since you left 45
of anxiety which had been 88
of anxiety which had come 62
of anxiety which has been 56
of apology which had been 43
of applied force per unit 56
of applied rather than pure 98
of aquatic weeds and algae 204
of archers under sir john 101
of arizona press for their 100
of arsenic which has been 44
of arterial blood has been 85
of assisting people who have 40
of attacks which had been 46
of average costs per unit 73
of average earnings per hour 41
of average hours per week 67
of average value per acre 71
of average yield per acre 249
of babylon shall not come 207
of babylon would not come 54
of babylon would not have 41
of bacteria after they have 50
of bacteria which are able 170
of bacteria which can grow 42
of bacteria which get into 55
of bacteria which had been 111
of bacteria which has been 47
of bacteria which may have 53
of baggage which had been 92
of balance sheet has been 43
of balance which has been 68
of ballads which you like 41
of bankers trust new york 162
of battles within six years 51
of beauties within his view 211
of behavior change has been 69
of behavior rather than from 45
of behavior rather than upon 46
of behavior which are more 299
of behavior which are most 183
of behavior which can only 59
of behavior which had been 174
of behavior which has been 412
of behavior which may have 101
of behavior which not only 60
of behavior which they have 97
of behavior within and among 43
of belgium which had been 67
of beliefs which are held 120
of beliefs which had been 95
of believing which are good 44
of benefit rather than harm 41
of between eight and nine 2999
of between seven and nine 331
of bigness shows how size 46
of biscuit baked and oxen 43
of blacker smoke that hangs 135
of bladder drill and drug 68
of blessed peter and paul 69
of bondage which has been 44
of bondage which men will 68
of borrowing money and paying 49
of borrowing money for their 52
of borrowing money has been 44
of bottled water and soft 56
of brahman which has been 53
of bravely throwing off their 83
of bravery which was most 50
of bribery which had been 82
of bridges which had been 47
of britain could not have 136
of britain which had been 161
of britain which has been 66
of britain would not have 146
of british birds and their 80
of british goods but also 67
of british goods had been 108
of british goods has been 77
of british guiana had been 53
of british guiana has been 118
of british horse and foot 110
of british money had been 101
of british people who have 60
of british people who were 78
of british power and wealth 77
of british power had been 102
of british power has been 58
of british seamen had been 40
of british ships all over 42
of british ships and their 76
of british ships for more 78
of british ships had been 57
of british ships has been 47
of british stock who were 40
of british trade had been 72
of british trade has been 71
of british trade with india 331
of british trade with south 241
of british women are ever 101
of british women who have 40
of british women who were 57
of broader scope than those 128
of broader views and more 97
of bromine water and boil 382
of brownian motion has been 45
of bucolic poetry had been 50
of buffalo humps and ribs 88
of buffalo robes and furs 68
of buffalo robes and other 51
of buffalo which had been 47
of buffalo which they meant 91
of buildings rather than face 92
of buildings which are used 77
of buildings which had been 611
of buildings which had once 61
of buildings which has been 82
of buildings which may have 83
of bullets which had been 108
of butcher paper and have 56
of calcium enter and leave 42
of calcium salts and other 43
of calcium salts has been 91
of calcium which has been 101
of calcium which may have 49
of calumny grows with time 53
of calumny which has been 42
of candles which had been 71
of capital could not have 63
of capital flows and other 45
of capital flows and their 94
of capital flows has been 108
of capital funds has been 64
of capital gains and other 203
of capital gains has been 156
of capital gains tax cuts 62
of capital gains tax from 61
of capital gains tax paid 104
of capital goods and also 62
of capital goods and food 51
of capital goods and heavy 86
of capital goods and high 91
of capital goods and know 49
of capital goods and land 211
of capital goods and more 109
of capital goods and other 938
of capital goods and semi 100
of capital goods and some 58
of capital goods and their 301
of capital goods but also 165
of capital goods for their 46
of capital goods had been 67
of capital goods has also 56
of capital goods has been 455
of capital goods may have 76
of capital goods per unit 86
of capital goods that have 119
of capital goods that were 57
of capital goods that will 115
of capital input and will 43
of capital rather than from 83
of capital rather than those 46
of capital ships had been 47
of capital stock and other 125
of capital stock and paid 116
of capital stock for cash 432
of capital stock had been 118
of capital stock has been 359
of capital stock per unit 62
of capital stock that have 56
of capital stock that will 42
of capital which are also 50
of capital which can only 54
of capital which had been 546
of capital which has been 1056
of capital which has made 52
of capital which may have 72
of capital which they have 254
of capital which was used 54
of capital would not have 120
of captain stone and other 58
of captain thomas and mary 51
of captain trent had been 49
of careful study for some 77
of careful study has been 50
of carthage beneath his feet 74
of castile asked him what 52
of castles which one sees 84
of catholic action and other 46
of catholic action had been 68
of catholic women who have 52
of cavalry which had been 504
of cavalry which had just 58
of cavalry which has been 54
of censure which had been 68
of censure which has been 41
of central banking has been 90
of central banks and other 221
of central banks and their 129
of central banks has been 126
of ceramic floor and wall 53
of certain birds and other 40
of certain debts due from 52
of certain deeds and other 43
of certain drugs and other 102
of certain drugs and their 84
of certain drugs can also 45
of certain drugs has been 137
of certain drugs may also 89
of certain facts and ideas 64
of certain facts and laws 75
of certain facts and their 41
of certain facts has been 49
of certain facts that have 95
of certain foods and food 63
of certain foods and other 54
of certain foods and their 60
of certain foods has been 68
of certain forms has been 40
of certain gales that were 83
of certain goods and their 42
of certain goods has been 44
of certain goods that were 55
of certain herbs and other 72
of certain items has been 49
of certain items that were 47
of certain kinds are made 47
of certain lands and other 200
of certain leaves and heaping 51
of certain metal ions such 43
of certain people and their 52
of certain people who have 238
of certain people who were 285
of certain salts and other 45
of certain shape and size 90
of certain stars with those 59
of certain taxes and fees 63
of certain taxes and other 65
of certain terms that have 46
of certain themes and ideas 43
of certain trees that grow 53
of certain women who were 56
of certain words and ideas 108
of certain words and their 193
of certain words for what 47
of certain words that have 75
of chamber music and piano 48
of chamber music and solo 109
of chamber music and songs 72
of chamber music for wind 145
of chamber music with piano 124
of channel lengths per unit 60
of charges which did very 112
of charges which had been 177
of charity which had been 64
of charity which has been 134
of charity which you have 53
of charles gould had been 71
of charles henry and mary 73
of charles james fox were 66
of charles within any part 49
of charley bates for some 51
of chicago press for their 182
of chicago press has been 87
of chicago where they were 46
of chicago which had been 41
of chicago which has been 50
of chicago would not have 42
of chicken curry and rice 48
of chinese people and their 52
of chinese people who have 53
of chinese people who were 43
of chinese tibet and their 48
of chinese women and their 130
of chinese women and work 88
of chinese women has been 62
of chinese women who have 57
of chinese women who were 98
of chinese writing has been 47
of chipped stone and bone 57
of choices which are made 52
of cholera broke out among 55
of cholera toxin has been 42
of circuit noise that will 48
of classes which had been 71
of classes which has been 44
of climate change and also 42
of climate change and land 171
of climate change and other 323
of climate change and their 98
of climate change are also 43
of climate change are more 50
of climate change but also 109
of climate change has been 322
of climate change may well 44
of climate change that will 67
of climate warming and lake 287
of climate warming and other 69
of climate which has been 41
of coarser grain than tess 74
of coastal georgia and south 86
of cobwebs which had been 84
of coconut palms and other 99
of coconut trees and other 43
of college about ten years 102
of college after two years 190
of college girls and their 46
of college girls who were 42
of college under his belt 114
of college women and their 63
of college women had been 48
of college women who have 85
of college women who were 116
of colluding firms may find 51
of colonel james was such 47
of colonial times had been 74
of colonial trade had been 66
of colored glass set into 61
of colored paper and glue 60
of colored paper cut into 41
of colored paper that were 41
of colored people and other 302
of colored people and their 145
of colored people had been 87
of colored people has been 191
of colored people was born 62
of colored people who have 125
of colored people who make 44
of colored people who were 113
of columbia could not vote 42
of columbia savings and loan 148
of columbia which had been 70
of comfort which are made 41
of comfort which had been 63
of command which had been 88
of comment would you like 160
of commons about this time 48
of commons could not fail 48
of commons could not find 143
of commons could not have 135
of commons could not work 53
of commons nearly ten years 45
of commons pains had been 44
of commons people who deny 78
of commons playing its part 45
of commons really does very 69
of commons which had been 566
of commons which had just 181
of commons which has been 100
of commons which has nothing 73
of commons which they have 51
of commons within any less 60
of commons within one week 250
of commons would not give 62
of commons would not have 360
of commons would not pass 153
of comparing notes with other 46
of composing books for their 110
of computing power and data 110
of computing power and time 99
of computing power has been 71
of concern about his health 84
of concern which has been 55
of concord which you have 80
of conduct based not only 132
of conduct bureau and code 66
of conduct could not fail 54
of conduct could not have 50
of conduct which are felt 71
of conduct which are held 50
of conduct which are more 101
of conduct which are most 117
of conduct which can give 41
of conduct which can only 62
of conduct which had been 593
of conduct which has been 748
of conduct which may give 74
of conduct which may have 116
of conduct which not only 130
of conduct which she must 79
of conduct which they have 289
of conduct which they know 174
of conduct which they must 80
of conduct which they were 97
of conduct which was most 171
of conduct which was there 52
of conduct which you have 204
of conduct within its reach 122
of conduct would not have 52
of congress cards are used 68
of congress civil war desk 97
of congress could not have 136
of congress every two years 92
of congress since that time 76
of congress which had been 393
of congress which had just 57
of congress which has been 518
of congress which has just 42
of congress within ten days 53
of congress within that time 135
of congress would not bind 130
of congress would not have 167
of contact hours per week 191
of contact which has been 63
of contact which they have 54
of content rather than form 753
of content which has been 66
of context clues and word 166
of control rather than cure 45
of control which are used 61
of control which had been 241
of control which has been 431
of control which they have 83
of control women had over 53
of control would not have 46
of convict labor has been 41
of convict labor with free 95
of corpses which had been 95
of correct action all those 78
of council housing has been 88
of council which had been 87
of counsel arguing for their 45
of counsel rather than their 96
of country banks had been 51
of country music and rock 148
of country music has been 60
of country paper was such 43
of country people and their 110
of country people for their 44
of country people who came 68
of country people who have 105
of country people who were 141
of country where they were 76
of country which had been 483
of country which has been 539
of country which was once 167
of courage which all must 50
of courage which had flung 49
of courage which has been 48
of courage which hath been 68
of courage which not only 56
of courage which one reads 51
of courage would not have 63
of cracked rails and cows 60
of creative people and their 58
of creative people who have 87
of creative power and love 82
of creative power has been 48
of creative thinking has been 49
of creative writing has been 62
of creature which they take 45
of criteria which are used 81
of crossed hands and feet 49
of cruelty which had been 86
of cruelty which has been 57
of crushed stone and sand 157
of crushed stone for paving 45
of crystal growth has been 103
of culture change has been 75
of culture could not have 56
of culture prize for best 40
of culture rather than race 89
of culture shock has been 55
of culture which are most 73
of culture which bear more 67
of culture which can only 44
of culture which can rise 60
of culture which had been 325
of culture which has been 352
of culture which not only 45
of culture which our land 40
of culture which they have 106
of culture which they most 153
of culture within our reach 56
of current rather than past 47
of current which can flow 127
of custard comes out clean 131
of customs unions and free 1092
of customs unions and other 47
of customs unions has been 67
of customs which had been 163
of cypress which was held 55
of damages which had been 74
of damages which thou hast 54
of dastard blows that fell 121
of decades rather than years 358
of decayed leaves and other 64
of decision rules for text 73
of decreasing costs per unit 59
of deepest pathos and even 69
of defense rather than upon 63
of defense which had been 94
of defense would not have 56
of defiance which had been 40
of defined shape and size 40
of degrees after his name 114
of delight burst out from 68
of deluded souls that post 103
of delusion which has been 56
of demands which are made 69
of demands which had been 69
of dementia which has been 77
of denmark could not come 41
of denmark would not have 79
of deposit which had been 67
of desired shape and size 160
of despair rather than hope 72
of despair which are very 45
of despair which had been 53
of details about her life 63
of details about his life 112
of details which are well 40
of details which had been 74
of devices which are used 142
of devoted women who have 42
of devotion which had been 149
of devotion which has been 62
of devotion which men have 122
of diamonds about her neck 184
of diamonds round her neck 85
of diamonds tries his wily 163
of diamonds which had been 108
of dietary fiber and other 50
of dietary fiber and risk 64
of dietary fiber has been 151
of differing light and deep 120
of differing shape and size 45
of digital image and video 50
of digital voice and data 97
of dirtier gauze than ever 94
of discord which had been 94
of discord which has been 138
of diseases rather than their 43
of diseases which are more 107
of diseases which are most 41
of diseases which had been 63
of diseases which may have 63
of display which has been 76
of dispute which has been 54
of distant beauty you will 70
of distant lands and other 46
of distant lands and their 46
of diverse people who have 50
of diverse shape and size 62
of division which are most 230
of division which had been 103
of division which has been 116
of divorce which had been 91
of divorce which has been 47
of dollars could not have 64
of dollars every year from 236
of dollars every year into 62
of dollars every year just 49
of dollars every year trying 109
of dollars which are used 47
of dollars which had been 254
of dollars which they have 44
of dollars would not have 61
of dominion steel and coal 79
of dominion would not have 41
of drawers where she kept 57
of dreadful night and other 548
of durable goods and other 63
of durable goods has been 46
of earliest hopes and joys 96
of economy which had been 81
of economy which has been 104
of educating girls and boys 59
of effects which has been 81
of efforts which had been 50
of egyptian roofing than even 42
of elderly people and free 46
of elderly people and their 390
of elderly people and those 63
of elderly people for whom 43
of elderly people has been 133
of elderly people who have 589
of elderly people who live 251
of elderly people who need 131
of elderly people who were 313
of elderly people who will 71
of elderly people with hearing 230
of elderly women who have 94
of elderly women who live 59
of elderly women who were 136
of election which had been 162
of election which has been 112
of elegant people any time 48
of embryos which had been 52
of emerald green and gold 97
of eminent beauty and very 69
of eminent merit was sure 202
of eminent names they have 48
of eminent parts and great 56
of eminent piety and great 94
of emotions cross her face 217
of emotions cross his face 131
of emotions which had been 132
of emotive words and other 46
of employing people who have 48
of endless births and deaths 101
of endless growth and self 402
of endless space and time 125
of endymion could not have 40
of enemies within and during 182
of engravings which had been 51
of entries under each heading 80
of enzymes which are able 50
of estates which had been 275
of eternal beauty and truth 83
of eternal bliss and peace 41
of eternal frost and snow 78
of eternal light and life 99
of eternal light and love 109
of eternal light and truth 49
of eternal right and wrong 114
of ethylene oxide and other 46
of ethylene oxide has been 142
of ethylene oxide per mole 315
of european calls and puts 132
of european goods and ideas 40
of european hates and fears 69
of european jewry and other 41
of european jewry had been 169
of european jewry has been 72
of european labor are heard 60
of european russia had been 88
of european russia has been 53
of european russia lay three 45
of european trade with india 129
of european unity had been 69
of european unity has been 91
of european wares has been 50
of european women and their 45
of european women who were 45
of everything noble and good 52
of everything which can make 40
of everything which had been 518
of everything which has been 513
of everything which has come 54
of everything which has ever 86
of everything which has gone 53
of everything which has made 73
of everything which they have 95
of everything which they hold 48
of everything which was done 47
of everything which was said 59
of everything which you have 63
of everything while you were 62
of everything within his reach 72
of everything within its reach 45
of exactly fifty per cent 56
of exactly where and when 82
of exactly where they were 164
of exactly where you were 41
of exchange rates and other 175
of exchange rates and some 46
of exchange rates and their 166
of exchange rates are used 41
of exchange rates had been 63
of exchange rates has been 263
of exchange rates that were 53
of exchange rates that will 77
of exchange which had been 330
of exchange which has been 482
of exchange which may have 109
of exchange which they were 48
of exchanging error for truth 1260
of excluding world war from 130
of exhaust fumes and dust 43
of expense which has been 62
of experts which had been 66
of exploding bombs was lost 78
of exterior walls and roof 46
of extreme danger was felt 59
of extreme highs and lows 189
of extreme light and dark 41
of extreme right and left 144
of factors rather than from 48
of factors rather than just 136
of factors which are more 139
of factors which are most 211
of factors which are only 51
of factors which are used 65
of factors which are very 61
of factors which bear upon 72
of factors which can have 52
of factors which can make 52
of factors which can only 93
of factors which had been 119
of factors which has been 51
of factors which may call 173
of factors which may have 568
of factors which may help 62
of factors which may make 63
of factors which may play 53
of factors which may vary 70
of factory ships and land 64
of factory space had been 60
of failure modes and their 56
of failure which has been 45
of faithful light and truth 55
of familiar faces that were 72
of fancied bliss and heart 93
of fantasy rather than fact 54
of farmers willing and able 54
of fascist italy and nazi 1869
of fatigue beneath her eyes 142
of fatigue beneath his eyes 67
of fatigue under her eyes 357
of fatigue under his eyes 193
of features which are more 125
of features which are most 335
of features which are very 47
of features which can only 44
of features which had been 53
of features which may have 49
of federal funding for health 160
of federal funding for stem 65
of federal funding for such 58
of federal funding for their 49
of federal funding has been 53
of federal funds being used 55
of federal funds for busing 270
of federal funds for health 139
of federal funds for land 94
of federal funds for such 255
of federal funds for their 58
of federal funds for these 80
of federal funds had been 109
of federal funds has been 135
of federal funds that were 52
of federal funds was made 46
of federal labor law must 52
of federal money for such 40
of federal money had been 63
of federal money has been 77
of federal power had been 53
of federal power has been 127
of federal rules and their 59
of federal savings and loan 1253
of federal taxes and cash 70
of federal trials has made 41
of feigned alarm and anger 44
of females which had been 72
of females which you must 52
of fertile lands and rich 47
of fervent angels sang their 59
of fifteen cents per acre 53
of fifteen cents per copy 44
of fifteen cents per hour 92
of fifteen cents per mile 70
of fifteen dogma has been 68
of fifteen hours per week 370
of fifteen knots per hour 55
of fifteen miles per hour 2747
of fifteen months but prior 43
of fifteen parts for great 257
of figures which had been 124
of finance could not have 123
of finance which had been 161
of finance which has been 198
of financing which has been 49
of firearms since they were 62
of fitness which has been 65
of flannel which has been 55
of flowering judas and other 77
of flowers about his neck 151
of flowers about its brow 136
of flowers round her neck 106
of flowers round his neck 392
of flowers round its neck 99
of flowers round our heads 48
of flowers shining with their 77
of flowers which had been 437
of flowers which had half 52
of flowers which has been 66
of flowers which she held 66
of flowers which they have 47
of flowers which they were 69
of flowers would you like 44
of following rather than leading 135
of foreign banks and other 188
of foreign banks and their 151
of foreign banks are also 66
of foreign banks had been 43
of foreign banks has been 127
of foreign banks that have 61
of foreign boots and shoes 45
of foreign cooks for those 43
of foreign firms and their 208
of foreign firms has been 109
of foreign firms that have 153
of foreign forms and ideas 50
of foreign funds has been 50
of foreign goods and ideas 65
of foreign goods and other 42
of foreign goods and their 44
of foreign goods but also 47
of foreign goods for home 525
of foreign goods had been 79
of foreign goods has been 62
of foreign grain and other 57
of foreign lands and their 117
of foreign lands and those 60
of foreign loans and other 49
of foreign loans had been 53
of foreign loans has been 57
of foreign people and their 58
of foreign races and gaming 43
of foreign savings has been 41
of foreign ships and guns 48
of foreign taste was most 45
of foreign trade and also 60
of foreign trade and home 57
of foreign trade and much 41
of foreign trade and other 576
of foreign trade and pure 73
of foreign trade and their 51
of foreign trade but also 109
of foreign trade had been 283
of foreign trade has also 69
of foreign trade has been 898
of foreign trade may have 56
of foreign trade not only 105
of foreign trade was also 104
of foreign trade was more 55
of foreign trade was only 136
of foreign trade was very 52
of foreign trade with other 69
of foreign words and their 87
of foreign words has been 63
of foreign words that have 73
of foreign words with their 42
of forgery which had been 70
of formula units per cell 130
of formula units per unit 279
of fortune could not fail 77
of fortune could not have 96
of fortune found his part 98
of fortune rather than ever 82
of fortune which had been 45
of fortune which had come 51
of fortune which had ever 52
of fortune which had made 51
of fortune which they have 45
of fortune which this poor 66
of fostering unity and love 57
of foundry grade pig iron 89
of francis bacon and john 198
of francis bacon and rene 190
of francis bacon was anne 82
of francis marion and mary 47
of freedom could not find 96
of freedom could not have 147
of freedom might not have 42
of freedom rises too high 76
of freedom which can only 56
of freedom which had been 546
of freedom which has been 305
of freedom which her care 50
of freedom which they have 186
of freedom which they were 114
of freedom which was left 51
of freedom which you have 61
of freedom would not have 74
of freight moved one mile 332
of freight rates and other 47
of freight rates and their 66
of freight rates has been 77
of freight which has been 52
of fremont would not only 45
of friction which has been 78
of friends which his poems 51
of frizzed curls and bows 92
of function rather than form 275
of function which has been 107
of funeral rites and other 65
of galilee which had been 40
of gallant ships was cast 63
of galloping hoofs was heard 51
of garbage which had been 138
of gastric juice and also 65
of gastric juice and bile 118
of gastric juice and food 208
of gastric juice and other 53
of gastric juice and their 53
of gastric juice has been 174
of gastric ulcer has been 77
of gastric ulcer was made 61
of gelatin which has been 70
of general amity and good 45
of general george van horn 68
of general grant and other 59
of general grant had been 94
of general grant has been 167
of general nguyen chi thanh 65
of general nguyen van thieu 173
of general price and wage 67
of general scott had been 40
of general smuts and lord 41
of general terms are those 56
of general value has been 45
of general wayne had also 43
of genesis could not have 72
of genetic drift and gene 112
of genetic drift has been 47
of genital warts has been 55
of genteel people are lost 113
of geologic units that make 59
of germans began its work 62
of germany could not fail 74
of germany could not have 169
of germany where they were 63
of germany which had been 486
of germany which has been 168
of germany would not have 201
of glacier writhe and flow 88
of glasgow shall lay till 40
of glasgow which had been 43
of glasses which had been 41
of glucose which has been 75
of gradual change has been 45
of grafton shall hear from 133
of granada could not have 78
of granite about two feet 40
of granite heaped one upon 45
of granite house had ever 51
of granite house with thick 50
of granite piled one upon 104
of granite which had been 159
of granite which has been 119
of granule cells and their 48
of graphic power and true 502
of gravity pulling them down 101
of gravity which has been 65
of gravity would not have 74
of greatest growth was from 57
of greatest value and most 160
of greatest value are those 98
of grenada could not have 42
of gyration about any axis 272
of gyration about its axis 140
of gyration about this axis 98
of hammering broke out upon 65
of harmony which can lift 41
of harmony which has been 49
of heartily kissing one whom 60
of heartily wishing thee well 105
of heavenly grace and from 40
of heavenly harps she dies 141
of heavenly light and life 55
of heavenly light and love 201
of heroism which had been 51
of herself which had been 204
of herself which she gave 56
of himself could not have 63
of himself first and last 70
of himself seems not only 47
of himself which had been 309
of himself which has been 129
of himself would not have 69
of history books and learn 93
of history could not have 168
of history knows that great 100
of history might not have 100
of history often far from 53
of history rather than from 80
of history rather than just 43
of history shows that there 118
of history shows that when 47
of history which are most 45
of history which can only 47
of history which had been 425
of history which has been 838
of history which has come 88
of history which has ever 205
of history which has made 73
of history which may have 57
of history which not only 165
of history which they have 61
of history would not have 259
of history would not only 43
of history writing has been 43
of hormone action has been 76
of hundred yards out from 41
of idealism which had been 67
of ideology which has been 59
of illegal drugs and drug 111
of illegal drugs and other 118
of illegal drugs and their 65
of illegal drugs has been 83
of illegal force was such 67
of illegal power not only 40
of illicit drugs and drug 95
of illicit drugs and other 74
of illicit drugs and their 72
of illicit drugs has been 90
of illness rather than health 50
of illness which had been 66
of illness which she felt 75
of imagery which has been 49
of immense power and great 43
of immense power and wealth 133
of immense power has been 52
of immense value and help 43
of immense value has been 89
of immense value not only 278
of imperial power and wealth 65
of imperial power had been 76
of imperial power has been 50
of imperial unity has been 43
of imports which had been 58
of imports which has been 45
of improving social and living 49
of improving working and living 88
of incense smoke than true 150
of incense which had been 48
of incised lines and dots 65
of increase which has been 133
of increase which they were 43
of increasing costs has been 44
of increasing wages for those 41
of increasing yield per acre 55
of infants under one month 200
of infants under ten days 102
of infants under two years 319
of inferior races are more 47
of ingenuity which has been 80
of inhuman crime for three 48
of initials after his name 107
of inquiring about our name 43
of inquiring after her health 44
of inquiry might not have 78
of inquiry shall not give 67
of inquiry which had been 447
of inquiry which had till 44
of inquiry which has been 428
of inquiry which may have 60
of inquiry would not have 70
of insects rather than more 49
of insects which are born 74
of insects which are very 42
of insects which had been 81
of insects which now fill 60
of insider trading and other 136
of insider trading has been 65
of insight which has been 62
of insulin action has been 53
of insured savings and loan 77
of intense agony with mark 43
of intense study for many 108
of invasion which had been 69
of ireland could not have 123
of ireland ought for ever 43
of ireland under sir john 97
of ireland where they were 95
of ireland which had been 282
of ireland which has been 75
of ireland would not have 185
of ireland would now have 107
of isinglass which has been 45
of islands which had been 186
of islands which lie along 86
of jamaica which had been 144
of january still lay like 67
of jealousy which had been 58
of jehovah which had been 52
of jericho which had been 56
of jewelry which had been 59
of jonathan since that last 58
of judaism which had been 53
of judaism which has been 48
of judicial power are more 64
of judicial power has been 94
of justice could not have 78
of justice finds that such 47
of justice first lay down 140
of justice rather than from 101
of justice rather than upon 44
of justice ruled that south 119
of justice ruled that there 44
of justice shall not have 208
of justice springs not from 43
of justice which had been 643
of justice which had sate 73
of justice which has been 470
of justice which has ever 41
of justice which has just 42
of justice which led lord 46
of justice which may have 42
of justice which they have 139
of justice which they were 41
of justice which you have 63
of justice within ten days 44
of justice within this realm 246
of justice would not have 365
of kashmir which has been 49
of keratin genes and their 43
of language change has been 76
of language could not have 176
of language delay for other 52
of language games and their 58
of language learning and their 53
of language learning has been 116
of language might not have 40
of language rather than from 81
of language rather than upon 50
of language shift and loss 64
of language shift has been 70
of language shows that there 40
of language study has been 42
of language teaching has been 113
of language which are most 51
of language which are used 73
of language which can only 115
of language which had been 153
of language which has been 554
of language which has made 50
of language which may have 58
of language which not only 48
of language which they have 74
of language which was part 451
of language which was used 65
of language would not have 115
of lattice sites per unit 111
of leisure rather than work 146
of letters after her name 55
of letters after his name 676
of letters could not have 132
of letters every day from 93
of letters every year from 82
of letters under his care 46
of letters which are seen 45
of letters which had been 891
of letters which had come 114
of letters which had just 95
of letters which has been 104
of letters which they have 47
of letters which you have 73
of letters would not have 74
of lexical items and their 204
of lexical items has been 43
of lexical items that have 73
of liberal minds that were 54
of liberty could not fail 61
of liberty could not have 69
of liberty might long have 102
of liberty might not have 45
of liberty which had been 941
of liberty which has been 400
of liberty which has made 63
of liberty which men call 47
of liberty which they have 163
of liberty which they were 92
of liberty which you have 42
of liberty would not have 66
of library books and other 62
of lifelong learning has been 150
of lightning could not have 104
of limited space and time 81
of limited value and have 51
of limited value and must 53
of limited value and only 41
of limited value and will 66
of limited value for many 74
of limited value for most 171
of limited value for other 71
of limited value for some 43
of limited value for those 63
of lincoln savings and loan 728
of lincoln shall set over 49
of lincoln would not have 54
of lithuania which had been 49
of locusts could not have 71
of loyalty alone are these 100
of loyalty which had been 239
of loyalty which has been 60
of macedon makes war upon 57
of machine labor for hand 45
of machine learning and data 180
of machine learning and rule 60
of machine parts and other 40
of machine tools and other 672
of machine tools and their 121
of machine tools are used 46
of machine tools had been 75
of machine tools has been 193
of machine which has been 104
of madness which had made 58
of magnets repel each other 245
of mahomet about this time 60
of mammals which are most 98
of mankind above all other 48
of mankind could not fail 42
of mankind could not have 477
of mankind exist and find 99
of mankind loves war more 54
of mankind meets with upon 93
of mankind rises with great 94
of mankind shows that such 85
of mankind which had been 161
of mankind which has been 304
of mankind which has ever 134
of mankind which was soon 44
of mankind would not have 279
of manners which had been 86
of manners which has been 225
of marilyn monroe and jane 67
of marilyn monroe and john 41
of marilyn monroe and judy 40
of marilyn monroe and other 67
of marines which had been 61
of marriage could not have 66
of marriage plots and their 81
of marriage until they have 45
of marriage which had been 417
of marriage which has been 268
