of abbey lands granted by 56
of equal value according to 81
of equal value because of 56
of error about matters of 71
of error which adheres to 63
of error which descend in 177
of error which inheres in 63
of ethics which governs the 64
of ethics which relates to 52
of ethnic group members in 119
of ethnic group members to 58
of every action depends on 63
of every action related to 97
of every adult citizen to 56
of every change resides in 57
of every child alleged as 333
of every child between the 261
of every class flocked to 61
of every crime against the 69
of every crime charged in 51
of every curve depends on 53
of every eight persons in 154
of every eight workers in 70
of every fresh article of 45
of every growing society is 354
of every human attempt to 44
of every human creature as 135
of every human creature in 79
of every human creature on 43
of every human creature to 195
of every human society is 135
of every indian citizen to 100
of every irish catholic an 66
of every known species of 226
of every known variety of 172
of every linear equation is 54
of every loyal citizen of 122
of every loyal citizen to 173
of every loyal subject in 62
of every loyal subject of 127
of every loyal subject to 187
of every major country in 61
of every nation appeared at 56
of every nation depends on 90
of every nation extends to 53
of every nation invited to 47
of every organ seventy or 44
of every party accused of 42
of every petty officer to 58
of every right granted or 49
of every roman catholic in 84
of every roman citizen in 62
of every roman citizen to 89
of every seven barrels of 44
of every seven dollars of 83
of every seven members of 54
of every seven persons in 242
of every seven workers in 117
of every small country in 109
of every social problem we 58
of every state depends on 59
of every state extends to 203
of every story depends on 203
of evils which afflict the 62
of extra clearing revealed the 47
of extra mural studies at 59
of extra mural studies of 42
of extra space between the 46
of facial nerve function in 208
of facial nerve function is 187
of facts often repeated in 75
of facts which enables us 46
of facts which existed at 55
of facts which justify the 43
of facts which justify us 106
of facts which support the 162
of facts which testify to 44
of fairy tales according to 58
of falling apart because of 65
of falling below society in 54
of false light invasion of 587
of fatal adult illness in 64
of fatty acids according to 126
of fatty acids between the 167
of fatty acids depends on 89
of fatty acids occurring in 40
of fatty acids present in 511
of fatty acids related to 40
of fatty acids released by 103
of fatty acids results in 160
of fatty acids similar to 46
of fatty liver induced by 158
of feather color pattern by 66
of feeding large amounts of 110
of feeding large numbers of 230
of feeling either pleasure or 72
of feeling which belonged to 92
of feeling which directs it 43
of feeling which exalted me 146
of feeling which existed at 136
of feeling which existed in 216
of fetal cells present in 49
of fetal renal function in 50
of fiber optic sensors in 77
of fiber optic sensors is 66
of fiber optic systems is 42
of fifty miles between the 50
of fifty souls upwards of 43
of filial piety towards the 109
of finding fresh sources of 52
of finding large amounts of 60
of finding large numbers of 128
of firms which compete in 47
of firms which operate in 137
of first grade teachers on 55
of first world congress of 52
of first world congress on 48
of flaming angers against the 46
of floor space between the 62
of floor space devoted to 378
of flour stuck upright in 40
of focus group research in 81
of focus group research is 243
of foods which contain the 76
of force passing between the 90
of force running between the 58
of force which resides in 45
of force which results in 78
of force would produce the 95
of force would suffice to 77
of forcing large numbers of 41
of forging links between the 87
of forming large numbers of 52
of forms which retards the 55
of forms which satiated the 40
of forts which guarded the 41
of forty girls dressed in 95
of forty miles between the 52
of forty paper dollars to 45
of forty shall attempt to 43
of fraud never appeared in 69
of freeing forty millions of 43
of freer trade between the 80
of fresh water because of 66
of fresh water between the 72
of fresh water brought by 48
of fresh water brought in 118
of fried green tomatoes at 56
of fruit drops earliest to 295
of fruit trees against the 71
of fruit trees planted in 173
of gaining naval control of 62
of genes under control of 83
of genes which control the 138
of genes whose function is 127
of george really belonged to 51
of georgia press library of 59
of georgia terry college of 47
of getting evening lessons in 50
of getting large amounts of 90
of getting large numbers of 205
of getting people together in 94
of getting people together to 105
of getting within gunshot of 50
of glass stuck against the 70
of glowing fires kindled in 74
of goods minus imports of 43
of goods still subject to 66
of goods which belonged to 63
of goods which conform to 56
of grade point average in 68
of grain sizes present in 47
of grass growing between the 178
of grass which covered the 58
of grass which flanked the 75
of green stuff gathered by 44
of gross fixed capital in 57
of gross state product in 51
of growing large amounts of 62
of growing large numbers of 47
of growth rates between the 109
of growth which results in 78
of habit alone upholds the 73
of halving child poverty by 44
of halving world poverty by 58
of hands working together in 104
of harsh words between the 41
of healthy trade unionism in 65
of heaven could compare to 51
of heaven would furnish no 41
of helping group members to 57
of helping human society to 80
of helping large numbers of 60
of herding large numbers of 46
of hills running between the 57
of hills thrown together in 48
of hills which borders the 131
of hills which bounded the 73
of hills which crosses the 53
of hills which divides the 215
of holding large amounts of 294
of holding large numbers of 134
of holding large volumes of 50
of holding money against the 42
of homer ought steadily to 43
of hoofs comes faintly to 59
of horse might recover the 108
of horse under command of 48
of hours spent listening to 129
of housing large numbers of 144
of human action according to 153
of human action because it 49
of human action because we 116
of human action depends on 43
of human blood exposed to 58
of human brain abscess by 62
of human brain function in 44
of human brain function is 49
of human cells damaged by 97
of human cells exposed to 48
of human flesh against the 43
of human growth hormone as 109
of human growth hormone by 355
of human growth hormone in 2227
of human growth hormone is 201
of human growth hormone on 705
of human growth hormone or 76
of human growth hormone to 264
of human needs according to 75
of human power excites an 55
of human reason against the 132
of human reason applied to 55
of human reason unaided by 103
of human sense exposed in 58
of human serum albumin as 167
of human serum albumin at 92
of human serum albumin by 238
of human serum albumin in 416
of human serum albumin is 128
of human serum albumin on 145
of human serum albumin or 59
of human serum albumin to 117
of human social behavior as 189
of human social behavior in 221
of human social behavior is 335
of human social behavior to 50
of human social systems is 49
of human thrift appeared to 123
of indian blood reputed to 100
of indian women dressed in 59
of indian women married to 54
of ingesting large amounts of 146
of ingesting small amounts of 46
of input ports enables the 143
of irene adler herself in 135
of irish rural society in 52
of irish social customs in 64
of islam shall present to 40
of israel burnt incense to 61
of israel first entered the 48
of israel lived according to 60
of israel looks forward to 48
of israel shall observe the 89
of israel under penalty of 47
of issue shall operate as 56
of issuing large amounts of 59
of issuing notes payable in 152
of issuing notes payable on 82
of issuing notes payable to 109
of italy which belonged to 64
of items which appeared in 95
of james clerk maxwell in 110
of jesus which appeared in 51
of joint action against the 253
of joint action between the 269
of joint legal custody on 105
of joint space between the 46
of joint space narrowing in 138
of judah dwell together at 82
of judging people according to 61
of keeping fresh flowers on 64
of keeping large amounts of 111
of keeping large numbers of 284
of keeping light company at 86
of keeping under control the 69
of killing large numbers of 460
of knowing where everything is 51
of known facts regarding the 50
of known rules applied by 78
of krebs cycle enzymes in 75
of labor hours charged to 42
of labor input depends on 40
of labor shall provide by 94
of labor which forbids the 46
of labor which permits the 40
of labor which prevail in 41
of labor which results in 78
of labor would increase the 47
of lamar state college of 106
of lands which belonged to 174
of lands which yielded an 61
of large blood vessels in 144
of large blood vessels or 48
of large cells arranged in 74
of large cells occupying the 43
of large cells similar to 68
of large firms operating in 96
of large linear systems of 66
of large loose nodules of 42
of large motor neurons in 72
of large power stations in 47
of large print editions of 586
of large solid spheres in 388
of large urban centers in 179
of large urban centers of 40
of later times assumed the 46
of latin words occurring in 85
of learning shall forever be 67
of learning which pretend to 97
of learning which results in 56
of leaves drawn together by 54
of leeds shall married be 133
of legal action against an 42
of legal action against it 77
of legal action against the 994
of legal action brought by 112
of legal cases involving the 53
of legal rules according to 41
of legal rules governing the 237
of legal rules imposed or 40
of lending moral support to 82
of lethal force against the 44
of level water surface to 50
of levying taxes according to 65
of lewis acids appeared in 59
of libel suits against the 98
of libel suits brought by 49
of light burning steadily in 85
of light horse galloping on 89
of light passing between the 74
of light shone between the 52
of light water reactors in 82
of light water reactors is 52
of light water reactors to 58
of light waves emitted by 75
of light which appeared to 75
of light which conveys the 41
of light which depends on 50
of light which entered by 40
of light which entered the 84
of light which orbited the 54
of light which pierced the 112
of light which pierces the 54
of light which produce the 53
of light which strikes the 215
of linen would increase the 98
of lines drawn between the 75
of lines which brought to 75
of lines which connect the 60
of loans shall include the 41
of local feeling against the 62
of local labor markets in 176
of local labor markets is 64
of local labor markets to 46
of local labor parties in 42
of local people against the 47
of local people gathered to 43
of local people towards the 65
of local rules adopted by 86
of local tumor control in 58
of logic rather assists in 79
of looking after herself in 52
of looking after himself in 105
of looking after himself or 59
of looking again towards the 58
of lords shall consist of 56
of lords under charles ii 66
of lords voted against the 63
of lords would receive an 69
of lower bengal between the 54
of lower class position is 43
of lower motor neurons in 180
of lower social classes in 40
of lymph nodes located in 83
of lymph nodes regional to 47
of lyric poetry written in 46
of maine still exposed to 66
of major blood vessels by 51
of major blood vessels in 111
of major blood vessels is 59
of major blood vessels or 48
of major river systems in 48
of major urban centers in 198
of major weapon systems in 58
of massing large numbers of 47
of mecca might applaud the 72
of meeting large numbers of 85
of mercy could prevent the 91
of metal which carries the 59
of methyl orange solution to 61
of miles light travels in 53
of minds which prefers the 41
of missing links between the 41
of misty light appeared to 82
of mixed farming systems in 162
of money could replace the 43
of money growth targets as 104
of money varying according to 108
of money wages depends on 63
of money wages divided by 55
of money which according to 65
of money which belonged to 237
of money which enabled the 61
of money would increase the 58
of money would perform the 52
of money would suffice to 183
of monte carlo studies of 77
of months after receipt of 51
of monty python violated the 92
of moray house college of 59
of morning grass withered at 135
of mother tongue speakers of 70
of motion which governs the 42
of motion which renders the 78
of motion would involve the 47
of mount saint vincent in 85
of music quite foreign to 59
of music royal college of 133
of myrrh resting between my 58
of names which appeared in 41
of names which express the 40
of naval power against the 50
of nearly eight millions of 136
of nearly equal amounts of 340
of nearly equal numbers of 270
of nearly equal portions of 95
of nearly equal volumes of 58
of nearly equal weights of 42
of nearly every article of 156
of nearly every capital in 71
of nearly every chapter in 64
of nearly every chapter of 48
of nearly every citizen of 78
of nearly every citizen to 41
of nearly every country in 815
of nearly every country of 295
of nearly every country on 75
of nearly every element of 98
of nearly every officer in 91
of nearly every segment of 49
of nearly every species of 261
of nearly every variety of 242
of nearly every vestige of 91
of nearly every village in 100
of nearly fifty millions of 95
of nearly fifty percent of 45
of nearly forty millions of 168
of nearly seven millions of 79
of nearly sixty millions of 46
of nearly thirty millions of 132
of negro males between the 81
of negro slave society in 1070
of negro votes carried the 54
of nerve cells arranged in 102
of nerve cells located at 46
of nerve cells located in 310
of nerve cells outside the 237
of nerve fiber bundles in 109
of nerve ganglia extending on 42
of nerve growth factors in 71
of never again returning to 66
of never letting himself be 68
of never speaking falsely or 68
of newly hired teachers in 113
of night still covered the 44
of nobel prize winners at 70
of nobel prize winners in 979
of nobel prize winners is 48
of nobel prize winners on 48
of noble blood enjoyed no 74
of noble feeling towards me 95
of notes passing between the 43
of nursing royal college of 59
of oiled paper between the 46
of older growth threatening to 62
of older people because of 90
of older women returning to 81
of olive trees planted in 47
of orange after attempt of 48
of orange light appeared in 53
of order gives priority of 70
of order unity depending on 48
of others could justify an 51
of others often promote the 40
of outer space including the 521
of overt action against the 46
of palms which skirted the 89
of paper money against the 48
of paper money amounting to 60
of paper money because it 48
of paper money printed by 53
of paper money secured by 58
of paper stuck between the 104
of paper which appeared to 72
of paper which covered the 91
of paper which happens to 42
of paris might abandon to 41
of paris which brought the 50
of parts which compose the 44
of parts which renders it 71
of passing large amounts of 53
of people banding together to 87
of people bound together by 1602
of people bound together in 205
of people drawn together by 244
of people drawn together to 53
of people flowing towards the 44
of people gather together to 91
of people getting together in 64
of people getting together to 293
of people joining together in 58
of people joining together to 95
of people looking forward to 51
of people meeting together to 66
of people moved towards the 45
of people pulling together to 47
of people running towards the 59
of people rushing towards the 42
of people sitting together in 79
of people still believe in 392
of people stood outside the 225
of people stood revealed in 73
of people talking together in 60
of people thrown together by 165
of people thrown together in 102
of people today believe in 47
of people waiting outside the 378
of people waiting outside to 92
of people walking towards the 54
of people which amounts to 85
of people which appeared on 53
of people whose ability to 90
of people whose behavior is 215
of people whose culture is 119
of people whose function is 77
of people whose history is 57
of people whose language he 49
of people whose language is 102
of people whose loyalty to 72
of people whose opinions he 42
of people whose position in 63
of people whose purpose is 75
of people whose religion is 45
of people whose welfare is 51
of people working outside the 68
of people working together as 414
of people working together at 59
of people working together in 1101
of people working together is 102
of people working together on 523
of people working together or 43
of people working together to 1936
of people would believe it 40
of people would perhaps be 165
of people would respond to 60
of people wrote letters to 93
of petty passing desires in 44
of phase shift between the 215
of phase shift depends on 51
of phase space defined by 54
of phone calls between the 119
of piety could indulge the 44
of pines which crowned the 49
of placing basic aspects of 75
of placing large amounts of 50
of placing large numbers of 132
of placing undue reliance on 59
of plane waves traveling in 98
of plant virus diseases by 74
of plant virus diseases in 48
of plate glass between the 43
of poetry which appeared in 74
of poetry which depends on 47
of poles stuck between the 54
of power could convert the 44
of power sharing between the 374
of power which belonged to 105
of power which defines the 41
of power which enabled it 59
of power which enabled the 54
of power which enables the 73
of power which existed in 100
of power which resides in 59
of power which results in 98
of power while retaining the 49
of power within society as 47
of price change between the 41
of pride which belonged to 45
of proof which appeared to 44
of proving anything against the 43
of proving every element of 267
of pumping large volumes of 53
of putting large amounts of 42
of putting large numbers of 119
of putting parts together to 69
of putting words together in 161
of putting words together so 152
of putting words together to 203
of quiet water between the 52
of quite large amounts of 161
of quite large numbers of 204
of quite small amounts of 313
of quite small numbers of 50
of racial feeling between the 40
of raising large amounts of 412
of raising large numbers of 146
of raising money adopted by 48
of ralph waldo emerson as 287
of ralph waldo emerson at 96
of ralph waldo emerson by 87
of ralph waldo emerson in 333
of ralph waldo emerson is 158
of ralph waldo emerson on 77
of ralph waldo emerson or 45
of ralph waldo emerson to 243
of rapid fluid infusion in 47
of rapid growth between the 68
of rapid growth following the 72
of rapid motion superior to 63
of rather large amounts of 308
of rather large numbers of 79
of rather large volumes of 48
of rather small amounts of 108
of rather small numbers of 52
of reaching after removal of 80
of reaching large numbers of 818
of really large amounts of 43
of reason either because of 61
of reason which enables us 78
of reason which forbids us 42
of rebel works outside the 42
of reeds bound together by 118
of regal power exalted the 63
of rhyming words prompts the 106
of rifle butts against the 45
of right might perhaps be 58
of right reason applied to 40
of right reason founded in 74
of right thinking members of 250
of right would involve us 46
of rigid state control of 50
of river water quality in 68
of rocks thrown together by 92
of rocks thrown together in 42
of rocks which compose the 68
of rocks which overhung the 52
of rocks which possess an 49
of rolling hills between the 45
of rolling hills covered in 40
of roman legal studies in 49
of roman power appeared on 53
of rooms built against the 50
of rough grass outside the 54
of round cells between the 68
of round trips between the 70
of royal power against the 41
of ruddy light against the 145
of rules which applies to 41
of rules which attempt to 56
of rules which control the 40
of rules which defines it 178
of rules which defines the 97
of rules which governs the 211
of rules which operate on 125
of rules which specify the 112
of rules whose purpose is 43
of running water between the 65
of running water depends on 53
of rural labor markets in 75
of rural latin america is 41
of rural people migrating to 44
of rural trade centers in 145
of russia holds himself to 58
of russia would respond to 41
of rusty bacon trailed on 77
of saint thomas aquinas as 149
of saint thomas aquinas in 194
of saint thomas aquinas is 136
of saint thomas aquinas on 65
of saint thomas aquinas to 64
of sarah noble cricket in 68
of satan could persist in 42
of saudi arabia because of 53
of saudi arabia visited the 43
of savoy bound himself to 110
of savoy might rejoice in 52
of scots would abandon the 65
of scots would consent to 66
of scott would deserve the 43
of search gases providing the 127
of sects which opposed the 118
of selling large amounts of 68
of selling large numbers of 129
of selling small amounts of 43
of selling space devoted to 48
of selling state secrets to 72
of sending large amounts of 97
of sending large numbers of 401
of senior staff members of 100
of serum growth hormone in 100
of serum tumor markers in 138
of serving large numbers of 111
of serving legal process on 66
of setting wages according to 49
of setting women forward at 44
of seven bones arranged in 50
of seven books including the 40
of seven drams equally in 45
of seven hours brought us 58
of seven miles between the 60
of seven miles brought us 76
of seven months against the 43
of seven months between the 245
of seven short stories by 60
of seven weeks between the 70
of shade which denoted the 66
of shady spots wherein to 58
of shame which follows the 50
of shaping human behavior by 45
of sharing power between the 54
of sheer spite against the 52
of sheet metal between the 53
of sheet metal workers in 46
of shelf space devoted to 181
of ships which arrived in 103
of ships which entered the 123
of short cough requiring the 129
of short grass between the 75
of short story writers in 73
of showing cause against it 99
of showing cause against the 2117
of sigma alpha epsilon at 93
of sigma alpha epsilon in 73
of sigma alpha epsilon is 51
of sigma gamma epsilon an 194
of sigma gamma epsilon at 234
of sigma gamma epsilon in 74
of sigma gamma epsilon is 123
of sigma gamma epsilon to 68
of signs which appeared in 71
of signs within society is 315
of sinai might startle the 92
of sixty miles between the 60
of sixty ships appeared on 61
of slack water between the 44
of sliding dully forward in 110
of slums housing millions is 44
of small armed vessels in 65
of small avail against the 69
of small blood vessels as 153
of small blood vessels at 66
of small blood vessels by 342
of small blood vessels in 1682
of small blood vessels is 227
of small blood vessels of 207
of small blood vessels on 81
of small blood vessels or 111
of small blood vessels to 206
of small bowel function in 51
of small cells arranged in 91
of small cells similar to 57
of small firms located in 45
of small firms operating in 123
of small gifts reminds me 72
of small group behavior in 66
of small group research in 67
of small group research is 73
of small group research to 64
of small holes arranged in 64
of small holes drilled in 181
of small holes pierced in 88
of small holes punched in 57
of small items wherein we 52
of small rural schools in 60
of small scale farmers in 78
of small trade carried on 259
of small trees planted in 86
of small urban centers in 102
of small value because of 57
of small waves against the 136
of small white cupolas on 60
of small white flowers at 70
of small white flowers in 737
of small white flowers on 129
of small white patches on 50
of small whole numbers to 102
of smoke which covered the 51
of smoke which floated in 65
of smoke which overhung the 170
of smoke which streamed up 77
of smoking ruins defaced the 88
of smooth water between the 53
of social action according to 49
of social action against the 40
of social action systems in 61
of social bonds between the 91
of social change according to 171
of social change affecting the 88
of social change because it 134
of social change because of 133
of social change because the 62
of social change brought on 100
of social change depends on 46
of social change induced by 62
of social change involving the 45
of social change occurring in 135
of social change offered by 55
of social change outside the 45
of social change related to 85
of social change towards the 43
of social change wrought by 54
of social class between the 57
of social class factors in 80
of social class position in 108
of social class position on 91
of social facts according to 48
of social goods according to 45
of social order according to 157
of social order against the 124
of social order because it 65
of social order because we 53
of social order depends on 87
of social power between the 118
of social roles according to 56
of social roles between the 41
of solar cells mounted on 75
of solid state devices in 81
of solid state devices is 67
of solid state physics as 108
of solid state physics at 77
of solid state physics in 218
of solid state physics is 124
of solid state physics of 244
of solid state physics to 81
of solid state reactions in 115
of solid stone between the 45
of solid waste because of 100
of solving large systems of 78
of solving linear systems of 54
of sound power radiated by 57
of sound sense assumes as 70
of sound waves between the 50
of sound waves depends on 75
of sound waves emitted by 67
of sound waves traveling in 73
of sound which remains in 83
of space where gravity is 68
of spain bound himself to 57
of spain calls himself king 46
of spain under charles ii 78
of spain would consent to 72
of spain would exclude me 42
of spare parts carried in 45
of split labor markets in 145
of split party control of 41
of stars bound together by 73
of stars which compose the 42
of state action against the 57
of state birds sighted on 90
of state court systems of 119
of state george schultz in 74
of state george schultz to 84
of state henry kissinger as 210
of state henry kissinger at 151
of state henry kissinger in 675
of state henry kissinger is 169
of state henry kissinger of 71
of state henry kissinger on 184
of state henry kissinger to 684
of state henry stimson in 62
of state henry stimson to 43
of state james madison in 86
of state james madison to 234
of state power according to 46
of state power against the 232
of state power because it 40
of state power between the 62
of state power towards the 53
of state shall appoint the 61
of state shall certify the 157
of state shall certify to 241
of state shall collect the 133
of state shall consist of 233
of state shall consult the 323
of state shall deliver the 60
of state shall deliver to 55
of state shall furnish to 316
of state shall receive the 82
of state shall require the 47
of state taxes measured by 53
of state under charles ii 93
of state which relates the 57
of state which require the 74
of steps which mounted to 64
of still water between the 40
of stock index futures in 92
of stock index futures is 93
of stock index futures to 123
of stock price reactions to 53
of stock shall entitle the 218
of stone glued together at 74
of stone heaped together to 105
of stone steps ascending to 54
of stone steps flanked by 93
of stone steps outside the 43
of stone which compose the 47
of storing large amounts of 1327
of storing large numbers of 107
of storing large volumes of 237
of stout welsh peasants to 44
of stringing words together do 50
of stringing words together in 90
of strong action against the 65
of strong bonds between the 153
of strong drops applied to 81
of strong feeling against the 77
of strong links between the 222
of study shall consist of 69
of study which enables the 56
of study which focuses on 86
of study which pertain to 69
of study would include the 41
of style which entitle it 87
of suits filed against the 62
of super power rivalry in 54
of sweet wines refused to 48
of talking about aspects of 40
of talking about himself as 181
of talking about himself in 107
of talking about matters of 44
of talking about oneself is 41
of tasks which require the 68
of taste seems capable of 91
of teaching about religion in 110
of teaching hours devoted to 51
of teaching large numbers of 211
of teaching social studies in 279
of teaching social studies is 72
of terms terms defined in 60
of terms which express the 43
of testing large numbers of 203
of tests which attempt to 74
of tests which purport to 71
of theirs could endanger the 60
of thinking about aspects of 88
of thinking about culture as 113
of thinking about culture in 68
of thinking about culture is 59
of thinking about himself in 43
of thinking about himself or 46
of thinking about history in 69
of thinking about justice in 57
of thinking about language as 115
of thinking about language in 65
of thinking about language is 53
of thinking about matters of 64
of thinking about members of 70
of thinking about oneself in 55
of thinking about persons as 53
of thinking about religion in 64
of thinking about society in 47
of thinking which enables us 43
of thinking which results in 50
of thirty cases studied by 42
