of abuses has rather increased 57
of deeper and wider interest 40
of defining and solving problems 154
of demand and savings deposits 110
of demand for dairy products 107
of demand for final products 157
of demand for goods produced 74
of demand for housing services 195
of demand for labor services 44
of demand for latin american 52
of demand for legal services 54
of demand for money balances 81
of demand for money functions 139
of demand for motor vehicles 56
of demand for social services 45
of demand for steel products 96
of dental and facial esthetics 46
of detail and minor questions 52
of detail are still involved 42
of detail that would otherwise 70
of devoting his whole attention 85
of diatoms and sponge spicules 81
of direct and bending stresses 97
of direct and vital interest 116
of disease and social problems 61
of dishes and cooking utensils 189
of divine and human activity 233
of divine and human agencies 72
of divine and human authority 228
of divine and human elements 289
of divine and human realities 41
of divine and human relations 64
of doughs and baked products 66
of dredging and spoil disposal 76
of drinking and smoking patterns 61
of earlier and later elements 68
of earlier and later sketches 56
of eddies and cross currents 48
of eddies and strong currents 43
of effort and money expended 93
of effort and skill required 48
of elites and power relations 54
of energy and basic materials 74
of energy and linear momentum 362
of energy and money expended 43
of energy and power engineering 84
of energy that might otherwise 147
of energy that would otherwise 277
of engines and hurling machines 44
of england all roman catholics 45
of england and queen elizabeth 58
of england and roman catholics 165
of england and wales amounted 251
of england and wales attended 54
of england and wales combined 243
of england and wales consists 41
of england and wales contains 54
of england and wales declined 45
of england and wales included 43
of england and wales increased 878
of england and wales numbered 121
of england and wales produced 59
of england and wales received 48
of england and wales remained 58
of england and wales reported 64
of england for banking purposes 43
of england for which scarcely 41
of england had alone disputed 91
of england was still ignorant 43
of english and dutch ancestry 245
of english and dutch commerce 51
of english and dutch settlers 71
of english and indian cultures 1568
of english and indian languages 78
of english and irish ancestry 365
of english and irish catholics 260
of english and irish citizens 54
of english and irish families 52
of english and irish settlers 57
of english and irish soldiers 54
of english and local languages 53
of english and scots settlers 75
of english and welsh ancestry 82
of english and welsh counties 131
of english and welsh surnames 1094
of english and welsh villages 48
of english law which requires 53
of enzyme and virus synthesis 242
of equity and sound judgment 53
of erecting his royal standard 46
of eskimo and indian students 62
of ethical and legal concerns 111
of ethical and legal dilemmas 83
of ethical and legal problems 134
of ethical and legal questions 166
of ethical and moral concerns 81
of ethical and moral dilemmas 93
of ethical and moral precepts 40
of ethical and moral problems 118
of ethical and moral questions 123
of ethical and social concerns 68
of ethical and social problems 144
of ethical and social questions 84
of ethical and social subjects 144
of europe are raising enormous 60
of europe who shall transmit 281
of events and event handlers 79
of events and every sinister 47
of events that could possibly 64
of events that might otherwise 122
of events that never actually 88
of events that never happened 552
of events that never occurred 285
of events that really happened 244
of events that really occurred 40
of events that would otherwise 228
of exciting and often humorous 81
of existing and newly proposed 43
of family and child functioning 59
of family and child sciences 62
of family and child services 373
of family and group relations 50
of family and social contacts 53
of family and social contexts 61
of family and social networks 284
of family and social pressure 40
of family and social problems 131
of family and social relations 398
of family and social services 190
of family and social supports 118
of famine and social disorder 40
of feelings that would otherwise 72
of female and ethnic minority 86
of female and royal coquetry 58
of fiscal and social policies 80
of fiscal and trade policies 41
of fluids and blood products 105
of fluids and fluid mixtures 71
of forest and stream magazine 194
of former head start children 53
of france and italy combined 106
of france and prime minister 180
of france and queen elizabeth 59
of france and russia combined 147
of france and spain amounted 62
of france and spain combined 266
of france and spain declared 44
of france and spain diverted 42
of france and spain remained 54
of france and spain threatened 51
of france had ample materials 52
of france was first publicly 70
of france was still espoused 44
of france was taken prisoner 325
of france with equal industry 87
of french and dutch colonies 133
of french and indian ancestry 63
of french and irish catholics 85
of fresco and lurking treasures 45
of fruits and fruit products 304
of further and adult education 133
of further oil price increases 47
of gambling and betting services 536
of gaseous and solid products 40
of gender and black families 213
of gender and class divisions 63
of gender and class identity 74
of gender and class relations 467
of gender and ethnic identity 195
of gender and ethnic relations 86
of gender and ethnic variations 172
of gender and party politics 58
of gender and power relations 413
of gender and racial equality 188
of gender and racial identity 164
of gender and racial politics 57
of gender and social identity 54
of gender and social relations 205
of german and irish ancestry 146
of german and irish catholics 149
of german and irish laborers 52
of german and roman elements 86
of german and swiss settlers 59
of global and focal cerebral 56
of global and local cultures 95
of global and local economic 53
of global and local elements 48
of global and local networks 50
of global and local processing 59
of global and local variables 197
of grains and cereal products 56
of grains and dairy products 73
of grains and grain products 239
of grapes and grape products 54
of gravel and loose boulders 50
of gravel and loose materials 60
of gravel and small boulders 99
of grecian and roman mythology 134
of greece and israel compared 59
of ground for burial purposes 70
of ground that would otherwise 45
of groups and group dynamics 83
of groups and group relations 80
of groups that might otherwise 71
of groves and fruit orchards 43
of guards with fixed bayonets 57
of guizot and louis philippe 130
of haitian and cuban refugees 62
of handling and storing materials 50
of heresy and false doctrine 163
of hidden but still conscious 58
of higher and adult education 429
of higher and lower cultures 60
of higher and lower education 102
of higher and lower elements 98
of higher and lower functions 58
of higher and lower officials 79
of higher and lower oxidation 45
of higher and lower pleasures 307
of higher and lower positions 69
of higher and lower pressure 253
of horses and mules captured 43
of horses and mules decreased 56
of horses and mules employed 47
of horses and mules required 43
of iberian and latin american 1586
of ignoring all moral blotches 87
of import and price controls 56
of income and social benefits 70
of income and social mobility 44
of income and social prestige 105
of income and social security 661
of income and social services 184
of income for rural families 77
of income tax under schedule 387
of income that would otherwise 329
of income was social security 41
of income year ended december 165
of indians and indian languages 49
of indians and white settlers 65
of infant and child nutrition 70
of infant and child survival 133
of initial and final clusters 67
of initial and final positions 102
of initial and final products 56
of inputs and final products 82
of issues for which explicit 45
of issues that might otherwise 101
of issues that would otherwise 69
of jewish and greek elements 73
of jewish and heathen elements 72
of jewish and pagan elements 57
of jordan and prime minister 110
of judges and civil servants 112
of judges and court officials 179
of judges and legal scholars 93
of landed and house property 97
of landed and slave interest 49
of larval and adult lampreys 78
of latino and latin american 285
of leaders who might otherwise 43
of learned men again convened 61
of lights and night baseball 84
of lights with which practice 70
of lilacs and apple blossoms 109
of lipids and lipid mixtures 60
of liquid and solid aromatic 71
of liquid and solid hydrogen 141
of liquid and solid materials 143
of liquid and solid products 80
of liquid and solid quantity 84
of liquid and solid solutions 262
of liquid and solid surfaces 46
of little and grown children 180
of london and parts adjacent 335
of london hath given sentence 113
of london was never ratified 113
of lumber and paper products 65
of marine and power engineers 192
of market and sales potential 58
of marrying and raising children 68
of marrying and raising families 54
of martial law under elizabeth 55
of martial law which followed 40
of master and slave morality 114
of matter and motion conforms 57
of matter are either luminous 48
of matter was first proposed 40
of medium and large arteries 233
of medium and large industry 80
of medium and small arteries 184
of medium and small business 166
of medium and small industry 145
of meetings with prime minister 55
of meiosis and spore formation 49
of memory and learning functions 101
of memory for chess positions 382
of mental and moral activity 154
of mental and moral attitude 61
of mental and moral capacity 61
of mental and moral confusion 81
of mental and moral darkness 168
of mental and moral disorder 63
of mental and moral education 118
of mental and moral elevation 90
of mental and moral evolution 99
of mental and moral greatness 75
of mental and moral heredity 76
of mental and moral progress 215
of mental and moral sciences 126
of mental and motor activity 102
of mental and motor functioning 89
of mental and motor functions 155
of mental and social evolution 213
of mental and social functioning 75
of mercer and boyle counties 80
of metals and metal products 713
of metals and trace elements 77
of methods and social relations 51
of methods for image analysis 71
of methods for solving nonlinear 225
of methods for solving ordinary 135
of methods for solving problems 110
of methods for testing materials 182
of mexico and prime minister 52
of middle and junior managers 97
of middle and later adulthood 165
of middle and lower cervical 249
of middle and lower managers 94
of middle and senior managers 389
of middle and upper economic 52
of middle and upper jurassic 464
of middle and upper managers 66
of mothers and small children 139
of mothers with large families 59
of mothers with older children 54
of mothers with small children 458
of muscle and joint movement 44
of muscle and liver glycogen 1100
of muslim and hindu cultures 70
of muslim and hindu religious 62
of mutual and equal security 99
of myrtle and orange blossoms 149
of naples and mount vesuvius 112
of narrow and often sinister 205
of narrow and winding channels 148
of narrow and winding passages 102
of nations has often depended 109
of nations may appear surprising 69
of nature and human activity 251
of nature and human artifice 46
of nature and human industry 81
of nature and human purposes 41
of nature and human relations 110
of nature and social contract 181
of nature and social relations 464
of nature and world wildlife 42
of nature are alike diffused 221
of nature for human purposes 185
of nature has given children 47
of nature may cause inception 57
of nature that would otherwise 91
of negroes and white liberals 47
of negroes for minor offenses 47
of nelson has given interest 76
of nerves and ganglia situated 69
of nerves that carry messages 49
of nobles and wealthy citizens 40
of noises and harsh disputes 75
of normal and learning disabled 573
of normal and obese subjects 72
of normal and shearing stresses 576
of norman and saxon elements 51
of novels and motion pictures 45
of nuclear and joint families 84
of number has every possible 44
of nurses and nursing practice 60
of nurses and nursing students 412
of opiates and opioid peptides 316
of opinion may arise concerning 100
of opinion may exist concerning 161
of opinion may exist respecting 156
of opinion that roman catholics 119
of orleans was taken prisoner 155
of output and input variables 72
of output for which marginal 500
of output than would otherwise 58
of output that would maximize 49
of oxygen and waste products 79
of packed red cells contains 45
of paints and paint vehicles 387
of parent and child behaviors 222
of parent and child relations 50
of parity and equal security 104
of partial and total resection 120
of peanuts and peanut products 132
of pension and social security 378
of periods for which interest 73
of person and every feminine 99
of person who might actually 41
of person who would normally 68
of person who would probably 79
of pidgin and creole languages 8454
of places and people mentioned 40
of planar and linear elements 57
of plants and plant extracts 153
of plants and plant materials 183
of plants and plant products 1994
of plants that would otherwise 70
of plates and music examples 47
of plumbing and house drainage 86
of police and court activity 59
of police and court contacts 62
of police and court officials 58
of police and penal officers 72
of police and social services 48
of police and state troopers 81
of police with fixed bayonets 60
of policy and legal analysis 126
of policy and logic controls 89
of policy and rules concerning 162
of policy that rests entirely 185
of polish and dutch students 47
of pounds are spent annually 124
of prices and price formation 74
of prices and price movement 61
of prices and price policies 47
of prices and price relations 43
of prices and wages prevailing 44
of prices than would otherwise 56
of printing was first invented 40
of prussia and count bismarck 57
of public and party officials 51
of public and press attention 49
of public and press interest 48
of public and press relations 65
of public and social interest 46
of public and social morality 77
of public and social policies 41
of public and social services 612
of pulsed dye laser treatment 83
of punching and shearing machines 67
of pupils who might otherwise 40
of purple and green porphyry 50
of quaint and often beautiful 42
of quebec and total reduction 55
of qumran and modem biblical 249
of racism and class conflict 47
of racism and racial conflict 55
of racism and racial identity 55
of racism and social exclusion 68
of radiant heat which regulate 55
of ragged and naked children 44
of ragged and noisy humanity 63
of rapids and small cascades 88
of rationing and price controls 392
of readers who might otherwise 114
of readers who would otherwise 71
of reality that might otherwise 46
of reality that would otherwise 85
of reasons for wanting children 61
of reform and indian indirect 64
of reform and social progress 96
of refuge for roman catholics 112
of relief and social security 157
of relief that would otherwise 80
of repute who shall consider 42
of return than would otherwise 65
of revenge was first directed 52
of review for error apparent 91
of review for motion pictures 166
of rights that would otherwise 57
of robert and clara schumann 678
of rupees are spent annually 47
of sacred and social communion 87
of safety and waste disposal 68
of safety and working stresses 76
of safety that state remedies 45
of salmon being taken otherwise 43
of sampling and testing concrete 81
of sanity for working purposes 63
of saxony was taken prisoner 144
of scalding hot water injected 65
of school and adult education 95
of school and social education 49
of scotch and dutch officers 64
of scotch and irish ancestry 123
of seasons and human fortunes 120
of securing and holding attention 72
of series and shunt elements 55
of serious and comic elements 224
of serious and fatal injuries 93
of sevres was never ratified 125
of sewage and trade effluent 129
of sewage and waste disposal 200
of sewage and waste treatment 118
of sewage and water treatment 80
of sexual and racial equality 131
of sexual and racial identity 104
of sexual and racial politics 116
of sexual and social identity 147
of sexual and social maturity 48
of sexual and social morality 60
of sexual and social relations 167
of shadow that could possibly 60
of signal and image processing 556
of silver and indian currency 140
of silver and paper currency 47
of silver than would otherwise 204
of silver that judas received 87
of silver that would otherwise 75
of slides and motion pictures 113
of sodium and fluid retention 80
of sodium and water depletion 127
of sodium and water excreted 43
of sodium and water excretion 613
of sodium and water increases 66
of sodium and water retention 1154
of solids and solid surfaces 48
of solute and water excretion 50
of solute and water movement 58
of someone who might otherwise 47
of someone who would otherwise 66
of something that might actually 43
of something that might interest 89
of something that might otherwise 99
of something that might possibly 60
of something that needs attention 51
of something that never happened 425
of something that really happened 441
of something that would convince 61
of something that would interest 88
of something that would otherwise 157
of something that would probably 42
of sounds and sound patterns 124
of source and drain contacts 61
of soviet and cuban advisers 68
of soviet and cuban military 637
of soviet and latin american 119
of spatial and social mobility 182
of spatial and social relations 60
of special and adult education 145
of special and growing interest 49
of speech and action required 41
of speech and motor activity 72
of speech and press includes 464
of speech and writing functions 68
of spending for social programs 63
of spending for social services 56
of spider that shuns attention 46
of spirit and under pressure 49
of states and local agencies 61
of states and state agencies 46
of states that would normally 117
of static and total pressure 57
of stator and rotor currents 154
of status and power relations 61
of status and social identity 41
of status and social mobility 99
of sticks and small branches 54
of stones and small boulders 81
of street and working children 417
of strength and beauty combined 46
of strength and every resource 40
of strength and skill proceeds 55
of strength and skill required 40
of stress and social isolation 55
of stress and social supports 227
of sudden death after delivery 64
of sugars and foods containing 68
of sugars and sugar alcohols 499
of supine and prone positions 106
of talent and learning educated 121
of talent that would otherwise 58
of tangled and filmy streamers 51
of target gas point directly 60
of tariff and quota barriers 103
of tariff and trade barriers 113
of tariff and trade policies 48
of taylor she never reported 76
of teacher and pupil activity 72
of temper that human creatures 41
of temper was often inflamed 73
of temper with every sentence 47
of tenure for women officers 67
of thermal and taste reception 58
of thought and action acquired 73
of thought and action combined 89
of thought and action concerning 68
of thought and action constant 51
of thought and action involved 46
of thought and action prevailing 44
of thought and action required 110
of thought and feeling combined 40
of thought and feeling concerning 63
of thought and feeling embodied 49
of thought and feeling involved 61
of thought and feeling possible 47
of thought and feeling produced 47
of thought and feeling subsisting 59
of thought and human activity 60
of thought and social activity 50
of thought and social practice 125
of thought and social relations 65
of thought that might otherwise 46
of thought that would otherwise 52
of thought with which analysis 45
of through and local business 47
of thyroid and growth hormones 85
of timber and paper products 64
of timber for naval purposes 86
of toledo and grand cardinal 201
of tongues that babel bequeathed 88
of towers and petty edifices 85
of toxins and waste products 198
of tragic and comic elements 651
of tragic and comic interest 145
of training and human resource 535
of training and skill formation 53
of training and skill required 117
of training for civil servants 50
of travel and change produced 51
of trifling and earthly business 46
of troops for civil purposes 53
of troops with fixed bayonets 149
of trunks and large branches 45
of trusty and loyal servants 71
of tumult that rather increased 40
of typhus and rocky mountain 149
of tyrant was often employed 112
of ulster and orange counties 369
of unesco for social sciences 49
of united and uniting churches 94
of useful and fancy articles 136
of useful and solid services 59
of values and human relations 47
of values and moral education 61
of values and power relations 41
of values and social controls 186
of values and social relations 187
of vanity are quite contrary 50
of venice and genoa disputed 63
of virtue and moral goodness 127
of visual and aural elements 96
of visual and motor functions 48
of voters who would otherwise 61
of waters and water supplies 714
of weighing and sifting evidence 40
of weight and blood pressure 207
of weight and shape concerns 186
of weight and space occupied 66
of whether they owned property 65
of whether they would actually 78
of widows and minor children 80
of widows with large families 48
of widows with small children 72
of wisdom and sound doctrine 51
of wisdom and sound judgment 119
of wolsey and thomas cromwell 56
of wrecks that float disabled 45
of yellow and orange pigments 63
of yellow and white blossoms 44
of yoruba and benin cultures 49
of younger and older children 803
of younger and older patients 108
of younger and older students 126
of younger and older subjects 176
on adults and older children 68
on affect and social cognition 106
on animal and human subjects 136
on another day under claudius 62
on aviation and space medicine 55
on babies and small children 84
on biology and civil engineering 55
on building and civil engineering 209
on campus that often contains 168
on cereals and cereal products 64
on checking and savings accounts 485
on church and state relations 167
on common and light subjects 51
on demand and savings deposits 52
on demand for value received 91
on divine and moral subjects 58
on earlier and later occasions 44
on ethical and moral questions 57
on ethical and social concerns 52
on ethical and social questions 53
on events that really happened 56
on family and child functioning 104
on family and human services 171
on family and social networks 41
on gender and power relations 50
on iberian and latin american 197
on income and social security 50
on income that would otherwise 51
on infant and child survival 67
on issues that might otherwise 94
on issues that really mattered 47
on issues that would otherwise 61
on monday and major holidays 50
on muscle and liver glycogen 106
on parent and child behaviors 42
on partial and local subjects 54
on pension and social security 93
on pidgin and creole languages 349
on plants and plant products 441
on plates for molding machines 59
on public and social services 59
on record that louis hastened 45
on review this court affirmed 190
on sacred and moral subjects 62
on signal and image processing 284
on sodium and water excretion 663
on sodium and water retention 47
on solemn and state occasions 82
on solute and water excretion 63
on something that really happened 149
on soviet and cuban military 43
on tables that group minerals 133
on training and human resource 56
on trunks and large branches 65
or affect his civil capacity 80
or anyone with liver problems 80
or assume any legal liability 65
or before and after treatment 51
or before any legal tribunal 74
or bodies for local purposes 293
or coated with white deposits 55
or common law speaks directly 43
or damage for which recovery 119
or former head start children 58
or gamble and smoke cheroots 42
or impose any legal sanctions 49
or incite our motor impulses 48
or injure and which functions 70
or issued for trading purposes 133
or meddling with human education 93
or merely its hired servants 94
or mothers with small children 117
or offend any power whatever 56
or offers and sales effected 42
or offers for sales required 53
or pamper our gross appetite 56
or periods for which licenses 44
or person for whose immediate 69
or readers who first received 108
or second day after delivery 49
or second day after operation 62
or settle any claim asserted 126
or simply not taken seriously 41
or stored for later analysis 44
or talent has never received 47
or whether she really believed 48
or whether they really believed 43
or whether they really expected 42
or whether they shall continue 91
or whether they shall delegate 43
or whether they truly declared 87
or whether they would consider 63
or whether they would continue 134
