obey commands made in his 52
other variables used in this 173
other variations from the poem 51
other villages along the way 83
other visitors came to see 59
other whenever there is any 47
over backward into the mud 46
over correcting till he had 58
over eighteen years of age 24326
over fourteen years of age 17179
over nineteen years of age 1383
over putrefying heaps of his 66
over soldiers whom he had 84
owed somewhat unto my own 40
owes whatever truth it may 50
