of aaron burr against the 104
of birds were beginning to 78
of black body radiation as 78
of black body radiation at 206
of black body radiation in 147
of black body radiation is 189
of black body radiation of 55
of black dots against the 45
of black dots appeared to 86
of black folk culture in 86
of black hair between the 55
of black male workers in 114
of black mine workers in 51
of blake from boyhood up 89
of blame from himself to 48
of blind fury against the 48
of blind rage against the 46
of blood flow according to 75
of blood flow because of 82
of blood flow between the 381
of blood flow depends on 70
of blood flow measured by 40
of blood flow resulting in 68
of blood flow results in 182
of blood flow towards the 64
of blood from ambition or 43
of blood from arterial to 48
of blood from auricle to 97
of blood from rupture of 147
of blood from viscera to 44
of blood rise dreadful in 56
of blood were allowed to 118
of blood were brought in 73
of blood were present in 48
of blood were removed by 53
of blood were visible on 153
of blood when exposed to 56
of blood will increase the 61
of blows upon showers of 40
of boats from hanover to 44
of bombing north vietnam in 59
of bombs were dropped by 377
of bombs were dropped in 952
of bombs were dropped on 4482
of bones held together by 197
of books have appeared in 175
of books have appeared on 269
of books have focused on 44
of books were brought to 52
of books were devoted to 58
of books were printed in 308
of books were shipped to 53
of books were stacked on 43
of books were written by 296
of books were written in 131
of books were written on 197
of books were written to 98
of books will collect in 64
of brain areas related to 70
of brain from beginning to 49
of brain into moments of 60
of brain stem function in 41
of brain stem function is 50
of brain stem pathways to 56
of breaking down because of 51
of breaking some fragile thing 80
of breaking your promise to 58
of brief case studies of 57
of briny tears charged up 67
of cadiz were allowed to 42
of calling into question the 1738
of cards were arranged on 63
of cargo were carried by 70
of cargo were handled at 59
of cases fall between the 71
of cases from beginning to 54
of cases have appeared in 148
of cases have applied the 71
of cases have refused to 74
of cases very similar to 49
of cases were brought by 57
of cases were brought in 52
of cases were brought to 160
of cases were decided by 89
of cases were decided in 81
of cases were handled by 61
of cases were related to 80
of cases were settled by 68
of cases will respond to 79
of casts from statues by 47
of causing birth defects in 120
of causing their enemies to 72
of cells from persons at 56
of cells held together by 367
of cells held together in 48
of cells just outside the 60
of cells very similar to 59
of cells were exposed to 76
of cells were present in 75
of cells were removed at 48
of cells work together to 72
of chair legs against the 67
of change also depends on 57
of change from outside the 57
of change from pretest to 115
of change must present to 42
of change were beginning to 397
of change were evident in 79
of change were planted in 48
of changing some aspects of 51
of changing their behavior in 65
of changing their behavior to 51
of changing their fortune or 42
of changing your manners to 112
of chaos were stilled at 47
of chest pain related to 65
of child care centers in 262
of child care centers is 89
of child care centers to 56
of child care outside the 208
of child care quality on 201
of child care workers in 143
of child care workers is 79
of child care workers to 87
of china have decided to 48
of china have freedom of 94
of china into spheres of 377
of civil rage hurried on 68
of civil wars between the 328
of class time devoted to 520
of close ties between the 862
of close union between the 92
of closing down because of 52
of clothing their thoughts in 118
of cloud were beginning to 73
of coast from florida to 55
of coast line between the 42
of coercing those present to 108
of coins were current in 43
of color poems wherein the 52
of color were allowed to 89
of color were beginning to 58
of color were subject to 48
of corks from bottles of 40
of costs when ordered to 76
of court roll according to 95
of creating many enemies to 47
of crime were defined by 44
of crops best adapted to 134
of cross talk between the 140
of crude oils related to 54
of daily life according to 100
of daily life because of 59
of daily life because the 46
of daily life carried on 68
of daily life equally as 50
of daily life outside the 108
of daily living according to 53
of daily living because of 244
of daily living include the 43
of daily living related to 139
of danger clear against the 52
of danger from attacks by 41
of danger from outside the 47
of danger upon occasion of 70
of dashing young fellows do 46
of david hume against the 42
of david hume implied by 44
of david were erected on 73
of david were written in 40
of decay were beginning to 82
of decay were visible in 44
of delay time between the 121
of denying some sections of 81
of dorian gray appeared in 61
of doubt were beginning to 55
of doubt were planted in 49
of dover were covered by 128
of drawing down blessings on 42
of drawing four thousand of 47
of drawing more closely the 74
of drawing such diagrams as 55
of drawing upon herself the 52
of drawing upon himself the 474
of dreams from chaucer to 82
of dress more befitting the 42
of drugs from colombia to 45
of earnings from exports of 173
of earnings lost because of 54
of earthly life wherein to 51
of echoes from portions of 64
of egypt unto pharaoh the 55
of egypt were deified in 68
of egypt were obliged to 50
of egypt were subdued or 51
of egypt will tremble at 69
of eight case studies of 67
of eight days between the 89
of eight days following the 44
of eight feet between the 82
of eight feet divided by 83
of eight years belonged to 41
of eight years between the 284
of eight years following the 50
of eight years previous to 44
of either ethyl alcohol or 50
of either great britain or 1249
of either great fortune or 124
of either north america or 123
of either part decided in 89
of either part decides in 183
of either their parents or 160
of either west germany or 41
of either will produce the 74
of empty beer bottles in 95
of empty beer bottles on 90
of entry into service of 50
of entry into service or 163
of entry mode depends on 42
of entry upon payment of 70
of equal length because the 47
of equal length between the 72
of equal size according to 114
of equal size arranged in 92
of error from beginning to 90
of essex rose against the 78
of ethics from beginning to 57
of evening were beginning to 722
of every boll exposed to 61
of every book entered at 144
of every book printed by 136
of every book printed in 504
of every book printed or 66
of every book written by 71
of every city extends at 98
of every clan resided in 103
of every fine faculty is 42
of every fire occurring in 78
of every five dollars in 93
of every five dollars of 184
of every five farmers in 41
of every five members of 210
of every five minutes of 42
of every five persons in 583
of every five persons is 82
of every five persons of 56
of every five persons on 71
of every five teachers in 45
of every five workers in 271
of every form between the 44
of every four barrels of 44
of every four bottles of 73
of every four dollars in 79
of every four dollars of 138
of every four members of 203
of every four persons in 699
of every four persons is 65
of every four persons on 47
of every four workers in 281
of every four workers is 74
of every free citizen of 65
of every free citizen to 79
of every good catholic to 47
of every good citizen in 162
of every good citizen is 113
of every good citizen of 348
of every good citizen to 2089
of every good officer to 130
of every good quality in 71
of every good quality of 42
of every good subject in 98
of every good subject of 42
of every good subject to 243
of every great display of 49
of every great division of 66
of every great question he 134
of every great religion is 54
of every home subject to 71
of every item carried on 81
of every kind according to 79
of every kind adapted to 48
of every kind against the 227
of every kind appeared to 103
of every kind applied to 48
of every kind between the 122
of every kind carried on 117
of every kind depends on 42
of every kind exposed to 77
of every kind flocked to 48
of every kind granted to 43
of every kind imposed by 125
of every kind including the 41
of every kind natural to 129
of every last vestige of 302
of every living creature in 215
of every living creature is 535
of every living creature of 61
of every living creature on 235
of every living creature to 165
of every living officer in 131
of every male between the 40
of every male citizen of 113
of every month according to 53
of every nine persons in 70
of every other according to 80
of every other article in 51
of every other article of 255
of every other attempt to 89
of every other borough in 199
of every other citizen in 83
of every other citizen of 124
of every other company in 56
of every other country in 1391
of every other country is 60
of every other country of 192
of every other country on 189
of every other country to 81
of every other creature of 70
of every other division of 49
of every other element in 265
of every other element is 43
of every other element of 241
of every other faculty of 61
of every other impulse to 66
of every other officer in 59
of every other officer of 58
of every other partner in 40
of every other pleasure my 47
of every other product of 105
of every other quality in 60
of every other quality of 48
of every other question of 45
of every other religion in 109
of every other scholar in 65
of every other science is 58
of every other segment of 45
of every other society of 44
of every other species of 1385
of every other student in 106
of every other subject in 70
of every other subject of 139
of every other variety of 128
of every rank aspired to 128
of every rank flocked to 44
of every single chapter by 48
of every single citizen in 45
of every single citizen of 66
of every single element in 72
of every single element of 61
of every single species is 115
of every single species of 70
of every single student in 40
of every sort belonged to 69
of every step forward in 46
of every such addition to 85
of every such officer to 65
of every such penalty or 48
of every three arrests in 124
of every three barrels of 111
of every three dollars in 70
of every three dollars of 188
of every three members of 142
of every three persons in 555
of every three persons is 98
of every three persons on 78
of every three workers in 206
of every three workers is 94
of every true citizen of 86
of every true citizen to 95
of every true relation of 41
of every true religion is 58
of every true servant of 112
of every true student of 58
of every word between the 50
of every word uttered by 91
of every work printed by 50
of every work printed in 131
of every young plebeian to 141
of every young student of 73
of facts from history or 71
of facts must decrease in 59
of facts were grasped by 59
of facts will suffice to 61
of falling down towards the 86
of falling into poverty in 80
of falling into poverty is 73
of falling upon persons in 44
of farming best adapted to 52
of fasting from sunrise to 183
of fatal heart attacks in 53
of fatty acid content in 57
of fatty acid content of 61
of fatty acid present in 136
of feeling among members of 84
of feeling some nearness to 51
of fetal loss related to 68
of field work carried on 141
of fiery iron grasped my 135
of fifty days between the 45
of fifty feet between the 50
of fifty years becomes at 68
of fifty years between the 194
of fifty years following the 376
of finding other sources of 147
of finding some account of 44
of finding some answers to 58
of finding some remains of 83
of finding some solution of 63
of finding some solution to 166
of finding their buffalo on 41
of finding work outside the 54
of firms acting together to 90
of firms from outside the 74
of firms have adopted the 47
of firms have entered the 55
of firms tied together by 42
of first base granted to 49
of fishing best adapted to 121
of fixed dune systems in 51
of flesh from between my 41
of flood coming strongly in 41
of flour from buffalo to 70
of flour from chicago to 85
of flour were brought in 96
of flour were shipped to 79
of fluid from between the 47
of fluid from tissues to 53
of fluid were removed by 73
of force just outside the 45
of force used against the 72
of force very superior to 41
of force were capable of 58
of force when applied to 66
of force will suffice to 61
of forcing great britain to 175
of forcing north vietnam to 43
of forcing their sanction to 318
of forcing tory members on 141
of forms very similar to 41
of forts from montreal to 56
of forty days between the 219
of forty years between the 222
of forty years devoted to 40
of forty years following the 71
of franz boas written on 140
of fraud from beginning to 45
of fraud made against the 44
of fresh milk allowed to 43
of fresh snow covered the 139
of friars were founded in 42
of front page stories in 48
of funds from country to 95
of funds from defense to 41
of funds from estates in 45
of funds from germany to 50
of funds from lenders to 144
of funds from outside the 191
of funds from private to 58
of funds from surplus to 181
of fuzzy sets defined in 111
of fuzzy sets defined on 96
of gaining full control of 73
of gaining full mastery of 48
of gaining some benefit to 70
of gaining their support in 41
of gamma rays emitted by 349
of gamma rays emitted in 81
of genes from bacteria to 98
of genes from parents to 227
of georgia from atlanta to 46
of getting along together in 58
of getting good results in 47
of getting into college or 43
of getting into position to 109
of getting into trouble at 71
of getting into trouble by 140
of getting into trouble if 137
of getting into trouble in 120
of getting into trouble is 45
of getting into trouble on 72
of getting into trouble or 71
of getting into trouble to 40
of getting rich quickly by 65
of getting rich quickly in 59
of getting their message to 68
of getting their parents to 58
of getting their produce to 242
of getting your friends to 47
of getting your message to 84
of getting your product to 43
of girls aged fifteen to 68
of girls from sixteen to 54
of girls like herself to 49
of girls were allowed to 51
of glass held between the 47
of glass held together by 249
of glass were smashed by 43
of glory ever aspired to 59
of glowing dice between the 84
of goods among members of 152
of goods from america to 50
of goods from britain to 46
of goods from buffalo to 117
of goods from chicago to 44
of goods from country to 187
of goods from factory to 175
of goods from germany to 84
of goods from montreal to 42
of goods from outside the 321
of goods from village to 54
of goods into country of 140
of goods sold according to 193
of goods sold account as 131
of goods sold account at 89
of goods sold account by 59
of goods sold account in 77
of goods sold account is 747
of goods sold account or 54
of goods sold account to 83
of goods sold amounts to 105
of goods sold because of 47
of goods sold because the 142
of goods sold between the 43
of goods sold depends on 57
of goods sold divided by 1216
of goods sold expense in 57
of goods sold expense is 133
of goods sold expense on 49
of goods sold outside the 49
of goods sold related to 91
of goods sold results in 89
of goods were allowed to 43
of goods were brought in 56
of goods were brought to 84
of goods were carried by 97
of goods were carried in 49
of goods were carried on 185
of goods were shipped to 98
of goods were subject to 77
of gotham were invited to 61
of grace from beginning to 74
of grace here offered to 72
of grace over against the 48
of grace were allowed on 80
of grace were allowed to 77
of grain from buffalo to 103
of grain from chicago to 205
of grain from surplus to 81
of grain were allowed to 45
of grain were brought in 50
of grain were brought to 92
of grain were shipped to 95
of grand jury material to 83
of grand jury secrecy is 65
of grass from between the 91
of grass grew between the 68
of grass held between the 79
of grass just outside the 60
of grass were allowed to 52
of green jade against the 126
of green were beginning to 70
of gross lies against the 57
of group size effects in 83
of grove city college in 46
of growth cone behavior by 67
of growth from infancy to 363
of growth very similar to 40
of guilt from silence is 48
of guinea pigs differing in 57
of guinea pigs exposed to 371
of guinea pigs results in 53
of hairy cell leukemia in 87
of hairy cell leukemia is 73
of haiti will provide by 65
of handing over control of 203
of handing over control to 106
of hands been carried or 126
of hands were applied to 41
of happy tears blinded the 86
of hausa kola traders in 78
of healthy food choices in 48
of healthy ocean current of 53
of healthy skin between the 44
of healthy term infants at 53
of heaven have relation to 115
of heaven were revealed to 78
of heaven will consist in 141
of heaven will prosper us 45
of henry viii against the 100
of henry ward beecher as 206
of henry ward beecher at 98
of henry ward beecher by 49
of henry ward beecher in 410
of henry ward beecher is 95
of henry ward beecher of 42
of henry ward beecher on 55
of henry ward beecher to 81
of hired farm workers in 126
of holding from fifteen to 61
of holding their election in 94
of holding vast amounts of 45
of holes from emitter to 68
of holes held together by 98
of holes were drilled in 105
of homer were written in 63
of homes were starved in 67
of honor from resorting to 47
of honor were awarded to 351
of horse were ordered to 90
of hours from sunrise to 61
of hours were devoted to 104
of human acts according to 42
of human beings according to 914
of human beings against the 461
of human beings because he 56
of human beings because it 147
of human beings because of 318
of human beings because the 59
of human beings because we 42
of human beings becomes the 50
of human beings believe in 45
of human beings between the 88
of human beings capable of 310
of human beings carried as 49
of human beings compare so 51
of human beings depends on 338
of human beings differing in 54
of human beings exposed to 202
of human beings groveling on 79
of human beings insofar as 117
of human beings outside of 83
of human beings outside the 137
of human beings reduced to 305
of human beings related to 72
of human beings resides in 42
of human beings results in 72
of human beings similar to 44
of human beings subject to 167
of human beings together in 110
of human beings towards the 161
of human beings trapped in 115
of human health effects of 77
of human laws against the 40
of human life according to 592
of human life against the 323
of human life because it 187
of human life because of 199
of human life because the 78
of human life becomes the 50
of human life between the 78
of human life brought to 82
of human life carried on 96
of human life depends on 449
of human life follows the 47
of human life implied in 45
of human life including the 108
of human life insofar as 87
of human life outside of 70
of human life outside the 167
of human life reduced to 77
of human life remains the 57
of human life renders it 42
of human life resides in 46
of human life results in 42
of human life revived by 157
of human life subject to 61
of human life towards the 68
of human life unworthy of 98
of human milk protein is 40
of human skin results in 48
of human will against the 64
of human will demands by 60
of hunger were beginning to 72
of hunting these animals is 41
of hunting wild animals in 44
of indian corn between the 43
of isaac have drowned the 70
of isaiah were written by 61
of islam from morocco to 42
of israel bears witness to 47
of israel came together to 80
of israel from abraham to 203
of israel from bondage in 436
of israel from bondage to 70
of israel from slavery in 623
of israel from slavery to 53
of israel over against the 71
of israel paid tribute to 69
of israel took captive the 48
of israel were allowed to 115
of israel were brought to 55
of israel were brought up 40
of israel were defeated by 60
of israel were obliged to 154
of israel were ordered to 85
of israel were preparing to 46
of israel were settled in 66
of israel were subject to 51
of israel were wandering in 240
of israel were written on 53
of israel will possess the 67
of issuing such summons as 40
of italy were beginning to 102
of italy were exposed to 70
of italy were invited to 152
of james otis against the 84
of james were superior to 123
of japan into embarking on 731
of japan will endeavor to 135
of jesus from beginning to 72
of jesus from galilee to 266
of jesus from nazareth to 96
of jesus over against the 141
of jesus were beginning to 54
of jesus were endeared to 102
of jesus were offered to 104
of jesus were written in 45
of jesus will receive the 114
of joining great britain in 45
of joining those persons in 90
of joint work between the 44
of judah came together to 61
of judah from hezekiah to 55
of judah were allowed to 46
of judge john pickering of 56
of judging their loyalty to 50
of julian were assured of 132
of julian were obliged to 124
of julian were unequal to 136
of jumping from subject to 40
of junior high schools as 156
of junior high schools by 45
of junior high schools in 933
of junior high schools is 131
of junior high schools of 48
of junior high schools or 51
of junior high schools to 94
of keeping good records of 75
of keeping great numbers of 45
of keeping more closely to 40
of keeping peace between the 159
of keeping their promise to 76
of keeping their spirits up 43
of keeping their thoughts to 44
of keeping these records is 58
of keeping wild animals in 119
of knowing what becomes of 85
of knowing what exactly the 41
of knowing what happens in 56
of knowing what happens to 108
of known risk factors in 55
of known risk factors on 210
of laban were pasturing on 96
of labor among members of 159
of labor among workers of 55
of labor ever devised by 46
of labor from country to 82
of labor from outside the 133
of labor over capital is 55
of labor saving devices in 85
of labor saving devices or 54
of labor time devoted to 56
of labor union members in 104
of labor union members to 53
of labor upon payment of 103
of labor vary according to 61
of labor were applied to 43
of labor were beginning to 50
of labor were devoted to 47
of labor were limited to 47
of labor were reduced to 112
of labor were subject to 46
of labor will increase in 64
of labor will increase the 143
of labor will produce the 82
of lamps were crooked in 77
of large bold designs in 87
of large game animals in 103
of large gaps between the 45
of large size because of 45
of large wealth brought up 59
of lasting peace between the 174
of later date written to 50
of latin were effaced in 48
of learning runs counter to 47
of learning sign language in 146
of learning their lessons in 80
of learning were allowed to 40
of learning were founded by 40
of learning were founded in 46
of learning were immured in 86
of learning were invited to 40
of leather held together by 44
of leaves held together by 58
of lending their sanction to 57
of lending their support to 150
of level land between the 198
of level were allowed to 51
of levying dues claimed by 62
of light also assumes the 46
of light blue flowers in 54
of light coming together in 64
of light from between the 100
of light from century to 51
of light from objects at 126
of light from objects in 60
of light from outside the 136
of light from sunrise to 63
of light from superior to 54
of light have carried us 56
of light just outside the 43
of light upon nitrate of 409
of light vary according to 47
of light were allowed to 53
of light were assumed to 48
of light were beginning to 311
of light were results of 65
of light were visible in 43
of light when excited by 40
of light when exposed to 109
of lineal feet claimed on 75
of linear feet claimed in 135
of linen were applied to 51
of lives lost because of 66
of loans were granted to 41
of local radio stations in 149
of local radio stations to 52
of logic were applied to 52
of logic when applied to 49
of looking back towards the 61
of looking more closely at 502
of looking upon himself as 223
of looking upon marriage as 80
of looking upon objects at 73
of looking upon religion as 159
of looking very closely at 53
of lords soon appeared to 41
of lords will destroy the 49
of louis were enabled to 65
of lower case letters in 65
of lower case letters to 50
of lower limb muscles in 54
of luther were beginning to 56
of lymph node invasion in 44
of mabel were riveted on 49
of major birth defects in 54
of major cell classes in 85
of major fish species in 60
of major risk factors in 55
of major side effects is 91
of males aged fifteen to 93
of males over females at 149
of males over females in 1187
of males over females is 433
of males over females of 74
of march from atlanta to 60
of march last preceding the 47
of march next following the 484
of march next preceding the 76
of march there appeared in 41
of meeting great numbers of 43
of meeting some friends at 65
of meeting some members of 41
of meeting these demands in 51
of melting away swiftly in 51
of merit much superior to 42
of merit were awarded to 62
of metal held together by 57
of milan were rebuilt by 69
of minds busy attending to 53
of missing link between the 165
of model used depends on 41
of modem city culture in 57
of money fell between us 57
of money from america to 51
of money from country to 183
of money from germany to 93
of money from glasgow to 64
of money from ireland to 44
of money from members of 101
of money from outside the 101
of money into capital is 74
of money just because of 41
of money were awarded to 47
of money were brought to 66
of money were devoted to 163
of money were donated by 73
of money were donated to 91
of money were granted by 43
of money were granted to 111
of money were offered by 52
of money were offered to 277
of money were reduced by 52
of money were wagered on 68
of money when ordered to 85
of money will conform to 105
of money will increase in 43
of money will increase the 104
of money will suffice to 75
of monks living according to 41
of monks living together in 50
of moral evil according to 112
of moral life according to 84
of morning were beginning to 71
of moses were written by 105
of motion were derived in 43
of music ever pierces the 55
of music ever written by 63
of music from beginning to 90
of music will conduct to 51
of names page numbers in 77
of naval arms control in 86
of nearly five decades of 79
of nearly five hundred in 49
of nearly five hundred of 60
of nearly five millions of 196
of nearly four decades in 61
of nearly four decades of 355
of nearly four hundred of 116
of nearly four millions in 40
of nearly four millions of 427
of nearly four thousand in 69
of nearly nine millions of 71
of nearly three decades in 60
of nearly three decades of 495
of nearly three hundred of 162
of nearly three millions in 59
of nearly three millions of 666
of nearly three millions to 42
of nearly three thousand in 121
of nearly three thousand of 56
of negro high schools in 44
of negro male workers in 71
of never giving charity to 52
of never having visited the 58
of newly born infants is 49
of night were beginning to 309
of night were certain to 50
of night were deepening the 97
of noble birth marries as 67
of nursing care according to 41
of nursing care depends on 66
of nursing care related to 132
of nursing from ancient to 66
of odious acts against the 117
of opening their country to 67
of opening their markets to 54
of opening when invited to 79
of opium will enslave the 67
of optic lobe ablation on 49
of orange from holland to 56
of orange from incurring the 53
of orange were allowed to 73
of orange were invited to 51
of orange will perfect the 384
of others from outside the 70
of others into account as 84
of others into account in 165
of others just beginning to 61
of others more familiar to 41
of others must somehow be 54
of others only insofar as 111
of others vary according as 48
of others were allowed to 48
of others were exposed to 99
of others were preparing to 50
of others were reduced to 62
of others will increase the 73
of overt acts against the 95
of owens will welcome the 42
of oxide when exposed to 77
of pages were devoted to 152
of paint were applied to 88
of panic were beginning to 41
of paper from between the 129
of paper great britain is 58
of paper held against the 110
of paper held between the 72
of paper held together by 134
of paper such thoughts as 53
of paper were brought to 52
of paper were written the 49
of paris only replied by 43
of paris rose against the 148
of paris were allowed to 105
of paris were beginning to 85
of paris were invited to 71
of paris were obliged to 55
of paris were ordered to 149
of paris were reduced to 62
of parts from machine to 57
of parts held together by 88
of party will quickly be 51
of penal laws against the 238
of penal laws lessens the 49
of people acting according to 74
of people acting together in 113
of people acting together to 79
of people aged fifteen to 55
of people band together in 54
of people band together to 54
of people beating carpets is 93
of people born between the 47
of people born outside the 117
of people came forward to 283
of people came hastening to 50
of people came together at 41
of people came together in 178
of people came together to 265
of people come forward to 43
of people come together at 45
of people come together in 301
of people come together to 543
of people coming forward to 100
of people coming together in 282
of people coming together to 655
of people coming towards us 78
of people died because of 185
of people ever gathered in 42
of people fell victims to 47
of people from britain to 49
of people from country to 633
of people from ireland to 65
of people from outside of 133
of people from outside the 1570
of people from village to 100
of people from welfare to 53
of people have accused me 40
of people have adopted the 64
of people have arrived at 59
of people have claimed to 128
of people have crossed the 64
of people have decided to 120
of people have enjoyed the 65
of people have entered the 115
of people have flocked to 134
of people have gathered at 45
of people have gathered in 77
of people have gathered on 43
of people have gathered to 100
of people have managed to 122
of people have refused to 54
of people have settled in 143
of people have started to 107
of people have starved to 86
of people have stopped in 108
of people have studied the 68
of people have visited the 276
of people have written me 67
of people have written to 263
of people heading towards the 70
of people held together by 500
of people here towards us 57
of people join together in 62
of people join together to 144
of people just because of 55
of people just outside the 62
of people leaning against the 60
of people like himself in 85
of people live outside the 47
of people live together in 318
of people living according to 123
of people living between the 83
of people living outside of 112
of people living outside the 459
of people living together as 508
of people living together in 1703
of people living together is 64
of people living together on 70
of people living together or 45
of people look forward to 94
of people making demands on 65
of people moving between the 69
of people moving towards the 141
of people take delight in 109
of people taking control of 59
of people tied together by 196
of people vary according to 42
of people very similar to 54
of people were accused of 181
of people were against it 57
of people were against the 68
of people were allowed to 399
of people were beginning to 595
of people were brought in 198
of people were brought to 374
of people were brought up 54
of people were capable of 156
of people were content to 76
of people were crowded in 56
of people were crushed to 188
of people were depending on 160
of people were drowned in 76
of people were enabled to 77
of people were exposed to 431
of people were gathered at 297
of people were gathered in 501
of people were gathered on 223
of people were gathered to 179
of people were induced to 73
of people were injured by 68
of people were injured in 150
of people were injured or 84
of people were invited to 297
of people were listening to 229
of people were members of 83
of people were migrating to 45
of people were obliged to 120
of people were opposed to 207
of people were ordered to 40
of people were outside the 52
of people were preparing to 60
of people were present at 256
of people were present in 85
of people were present to 95
of people were reduced to 280
of people were rounded up 202
of people were settled in 49
of people were subject to 97
of people were touched by 58
of people were trained in 66
of people were trained to 54
of people were trapped in 151
of people were unaware of 58
of people were unwilling to 75
of people were victims of 44
of people will attempt to 49
of people will believe it 41
of people will respond to 150
of people work together in 135
of people work together on 121
of people work together to 324
of persia having offered by 99
of persia into spheres of 277
of persia were invaded by 90
of peter were written to 48
of petty wars between the 49
of phase angle between the 50
of place among friends in 67
of place here because it 45
of place here briefly to 76
of place when applied to 513
of placing much reliance on 42
of placing such persons on 40
of placing their reliance on 41
of placing these insects in 54
of plans were devised to 72
of plant cell culture on 45
of plant food present in 109
of plant food removed by 105
of plant life because of 44
of plate were brought to 106
of plato were adopted by 51
of plato when depicting the 40
of plato will forgive me 56
of plays were written by 47
of plays were written in 46
of poetry from spenser to 179
of poetry were unknown to 54
of poetry were written in 58
of poetry were written on 40
of poles tied together at 68
of pooling their efforts in 41
of power among members of 218
of power back towards the 50
of power from britain to 570
of power from british to 850
of power from capital to 54
of power from central to 155
of power from colonial to 77
of power from congress to 455
of power from european to 62
of power from federal to 61
of power from foreign to 60
of power from himself to 64
of power from italians to 49
of power from national to 123
of power from outside the 136
of power from sukarno to 65
of power from surplus to 73
of power have emerged in 49
of power have violated the 70
of power more intense in 57
of power must balance an 94
of power only because it 41
of power were beginning to 51
of power were defeated by 43
of power were located in 49
of power when applied to 48
of power will attempt to 80
of power will prevail to 46
of pride come against me 295
of prime time network tv 107
of proving their ability to 68
of proving their devotion to 61
of proving their loyalty to 110
of purer fire imitate the 184
of purge well systems is 54
of pushing their culture to 42
of putting back together the 58
of putting down freedom of 40
of putting into question the 152
of putting their affairs in 43
of putting their designs in 44
of putting their efforts in 45
of putting their parents to 48
of putting their thoughts on 50
of putting your thoughts on 46
of queen anne against the 49
of queen mary college in 119
of races from savages to 47
of races less capable of 49
of raising some jealousy in 67
of raising such revenue as 188
of rapid cell division in 79
of rapid cell division is 47
of rapid sand filters is 72
of reaching great numbers of 57
of reaching high degrees of 46
of reason were allowed to 100
of reason when applied to 72
of reason will condemn it 141
of reeds held together by 40
of reeds tied together in 41
of renal vein invasion by 58
of resting arms according to 56
of ridding their country of 115
of rifle fire between the 67
of right axis deviation in 62
of right axis deviation is 65
of right heart failure as 44
of right heart failure in 271
of right heart failure is 237
of right heart failure or 97
of right were against it 40
of right were violated by 102
of right will condemn me 44
of right will usually be 40
of risking their capital in 62
of rocks very similar to 52
of round lots closest to 54
of royal arch masonry in 393
of rules very similar to 45
of running away because of 41
of running from pleasure to 99
of rural areas because of 51
of rural health service in 74
of rural high schools in 263
of rural land control in 106
of rural life according to 57
of russia having refused to 49
of russia were allowed to 46
of russia were beginning to 46
of russia will conduct to 44
of russia will respond to 41
of saint john baptist in 66
of saint john lateran in 108
of saint paul outside the 193
of sales lost because of 67
of sandy beach between it 43
of sandy beach between the 58
of sandy land between the 46
of santa maria formosa at 44
of santa maria formosa in 71
of santa maria formosa is 80
