of abel crying from the 125
of data bearing upon the 284
of data came from the 139
of data come from the 120
of data coming from the 414
of data coming into the 109
of data flow from the 109
of data from disk to 116
of data from most of 50
of data from node to 102
of data from some of 96
of data from such an 55
of data give rise to 45
of data have been the 40
of data like those in 70
of data must also be 140
of data over time is 115
of data over time or 56
of data over time to 43
of data ranging from the 68
of data sent from the 121
of data sent over the 330
of data sets from the 111
of data sets such as 66
of data sets used in 122
of data sets used to 47
of data there will be 84
of data used here is 42
of data were done by 44
of data were made by 44
of data were used in 536
of data were used to 671
of data when there is 94
of data will also be 147
of data will have the 43
of data will have to 291
of data will help to 71
of data will make it 57
of data will need to 238
of data will tend to 42
of dating years from the 59
of dawn came into the 179
of dawn came over the 76
of dawn come over the 45
of dawn fell upon the 41
of days away from the 221
of days coming when he 227
of days from birth to 57
of days from date of 173
of days from sowing to 373
of days have gone by 54
of days have worn it 50
of days lost during the 86
of days there were no 46
of days there will be 103
of days when there is 74
of deaths from aids in 145
of deaths from birth to 46
of deaths will also be 52
of debt hangs over the 76
of debt lies upon the 68
of debt upon bond the 52
of debt will have to 53
of deer were seen in 75
of deer will find as 66
of dell down there in 41
of depth from back to 45
of diet coke from the 105
of diet soda from the 46
of dips when there is 129
of dirt also into the 43
of dirt away from the 75
of dirt back into the 76
of dirt fell from the 88
of dirt road from the 41
of dirt road leading to 50
of diving back into the 71
of diving deep into the 78
of diving down into the 52
of done gone into the 41
of doom hanging over the 107
of doom hangs over the 67
of down were made up 53
of dread came over me 404
of dread came over the 45
of dread took hold of 40
of drug away from the 43
of drug dealing over to 125
of drug loss from the 84
of drug lost from the 50
of drying oils such as 41
of drying oils used in 41
of drying their fish on 81
of duct tape from the 207
of duct tape over the 171
of dull aching pain in 96
of dull aching pain is 82
of during your gaps of 48
of dust away from the 52
of dust came from the 80
of dust coming down the 126
of dust coming from the 187
of dust fall into the 43
of dust fell from the 132
of dust fell into the 70
of dust flew from the 59
of dust flew into the 61
of dust from time to 55
of dust hanging over the 195
of dust hangs over the 78
of dust high into the 222
of dust moving along the 62
of dust rise from the 265
of dust rise into the 52
of dust rising along the 83
of dust rising from the 1202
of dust rising high in 71
of dust rising into the 168
of dust rising over the 123
of dust rose from it 79
of dust rose from the 1824
of dust rose into the 453
of dust rose over the 151
of dust shot into the 43
of dust were seen to 55
of duty away from the 62
of duty done will be 44
of duty from time to 44
of duty gave rise to 99
of duty laid down in 93
of duty only when the 44
of duty paid upon the 41
of duty there must be 57
of duty will have to 64
of duty yarn from the 79
of early days when the 60
of early exit from the 614
of early life must be 41
of early life when the 80
of early mining days in 46
of early poems such as 47
of early spring when the 116
of early youth when it 68
of earning only half as 763
of earning their bread as 46
of earning their bread by 383
of earning their bread in 113
of earning their living as 134
of earning their living by 303
of earning their living in 243
of earning their living or 45
of edging away from the 47
of eggs laid during the 401
of eggs were laid by 58
of eggs were laid in 109
of eggs were laid on 119
of emma came back to 49
of ending their days as 97
of ending their days in 373
of ending their days on 43
of even date from the 60
of even five feet to 40
of even more help to 63
of even more ways to 61
of even these will be 75
of even those whom he 53
of ever coming back to 213
of ever coming into the 41
of ever having been an 44
of ever having been at 52
of ever having been in 378
of ever having been so 42
of ever having been the 186
of ever having done so 297
of ever having heard it 74
of ever having heard of 335
of ever having heard the 158
of ever having made the 47
of ever having seen an 53
of ever having seen it 206
of ever having seen me 122
of ever having seen or 62
of ever having seen the 303
of ever hearing from the 47
of ever hearing more of 97
of ever more wealth in 46
of ever seeing more of 43
of ever seeing more the 43
of ever seeing such an 46
of ever seeing wife or 42
of ever taking part in 69
of evil came over me 40
of evil into good is 55
of evil life were the 61
of evil meaning when it 89
of evil over good in 110
of evil over good is 71
of evil there must be 44
of evil were sown in 51
of evil will have to 53
of evil will teach the 53
of eyes boring into my 50
of eyes boring into the 58
of eyes like those of 63
of eyes were gazing on 78
of eyes were ringed by 67
of facing away from the 45
of fact bearing upon the 68
of fact even when the 48
of fact from those of 82
of fact from what is 75
of fact give rise to 49
of fact giving rise to 96
of fact laid down in 48
of fact made during the 71
of fact made only the 90
of fact must also be 47
of fact must find the 478
of fact must rest on 59
of fact only when the 121
of fact there must be 88
of fact there were at 86
of fact there were in 49
of fact there were no 378
of fact there will be 84
of fact these were the 45
of fact were made by 126
of fact were made in 63
of fact were said to 78
of fact when there is 151
of fact will have to 127
of fair dealing will be 44
of fair hair like an 91
of fair play among the 128
of fair play during the 44
of fair play from the 91
of fair play into the 43
of fair play must be 187
of fair play when it 47
of fair play will be 98
of faith among many of 55
of faith born from the 47
of faith come from the 50
of faith coming from the 44
of faith even when the 44
of faith from those of 87
of faith from time to 48
of faith from what is 71
of faith have come to 48
of faith have nothing to 66
of faith laid down by 144
of faith laid down in 63
of faith must also be 71
of faith must ever be 76
of faith only when it 42
of faith there must be 68
of faith there will be 53
of faith were able to 60
of faith were sure to 83
of faith when there is 56
of faith will have to 134
of faith will save the 1700
of fall will also be 48
of farm land along the 65
of farm land during the 46
of farm land from the 87
of farm land will be 88
of farm life during the 48
of farm work done by 114
of farm work during the 104
of farm work must be 48
of farm work such as 53
of fast living among the 41
of feel like there is 42
of fees laid down by 57
of feet away from it 66
of feet away from me 169
of feet away from the 1033
of feet away from us 68
of feet back from the 185
of feet came from the 54
of feet coming down the 242
of feet coming from the 61
of feet deep into the 76
of feet down into the 315
of filing their teeth to 74
of film were shot in 41
of film were used in 50
of film were used to 44
of fine arts during the 281
of fine arts from the 887
of fine arts held in 53
of fine arts such as 113
of fine arts there is 119
of fine arts when he 85
of fine arts will be 70
of fine dust from the 295
of fine dust into the 208
of fine farm land in 47
of fine gold came to 140
of fine gold from the 86
of fine gold will be 88
of fine gold wire or 68
of fine hair over the 45
of fine iron wire in 92
of fine iron wire is 56
of fine iron wire to 52
of fine sand from the 173
of fine sand into the 111
of fine sand over the 74
of fine silt from the 53
of fine wine from the 64
of fine wire into the 51
of fine wire such as 48
of fire away from the 130
of fire came down the 49
of fire came from it 69
of fire came from the 528
of fire come from the 46
of fire coming from the 516
of fire dart from the 95
of fire down into the 66
of fire drop among the 54
of fire fall from the 101
of fire fall into the 110
of fire fell from the 177
of fire fell into the 63
of fire fell upon the 84
of fire flew from the 56
of fire flung from the 65
of fire high into the 86
of fire laid down by 96
of fire leaping from the 46
of fire rise from the 41
of fire rising from the 237
of fire rising into the 45
of fire rose from the 252
of fire rose into the 130
of fire shot from the 216
of fire shot into the 272
of fire spat from the 42
of fire were cast in 50
of fire were seen in 60
of fire were seen to 134
of firing came from the 185
of firing coming from the 101
of fish away from the 56
of fish back into the 62
of fish came from the 61
of fish came into the 40
of fish coming from the 52
of fish food into the 49
of fish from time to 62
of fish hanging from the 40
of fish oils rich in 42
of fish were kept in 48
of fish were leaping in 53
of fish were sent to 48
of fish were used in 70
of five days during the 73
of five days from the 984
of five days prior to 78
of five feet along the 49
of five feet five or 41
of five feet from the 1159
of five feet nine or 77
of five guns from the 53
of five more years of 111
of five sons born to 199
of five years among the 84
of five years came to 87
of five years during the 273
of five years ending in 388
of five years ending on 375
of five years from the 25262
of five years into the 68
of five years must be 107
of five years over the 54
of five years prior to 777
of five years there is 84
of five years upon the 281
of five years were to 42
of five years when he 155
of five years when it 41
of five years when the 215
of five years will be 541
of fixing their eyes on 131
of fixing their gaze on 50
of fixing their mind on 41
of fixing what kind of 48
of fixing your eyes on 45
of fixing your mind on 67
of flat land along the 273
of flat land next to 46
of flow away from the 252
of flow from left to 86
of flow from month to 44
of flow from past to 56
of flow must also be 72
of flying away from the 163
of flying away from us 65
of flying feet along the 53
of flying male moths by 57
of flying when made to 94
of foam fell from the 75
of foam flew over the 49
of foam high into the 53
of foam more like to 47
of foam runs down on 40
of fold upon fold of 51
of folk songs from the 168
of folk songs such as 116
of food away from the 187
of food back into the 133
of food came from the 122
of food coming from the 212
of food coming into the 97
of food down into the 62
of food eaten during the 214
of food eaten must be 45
of food even when the 58
of food fell into the 46
of food from areas of 91
of food from door to 58
of food from farm to 88
of food from mouth to 187
of food from time to 353
of food gave rise to 59
of food gets into the 62
of food give rise to 41
of food left from the 112
of food left over at 73
of food left over by 83
of food lies upon the 42
of food made from the 88
of food must also be 116
of food only when the 64
of food pass into the 86
of food sent from the 49
of food there will be 126
of food took over the 54
of food used during the 58
of food were able to 46
of food were kept in 51
of food were left on 51
of food were made to 248
of food were sent in 41
of food were sent to 222
of food when there is 81
of food will also be 49
of food will have to 242
of food will make the 45
of food will need to 55
of food will tend to 84
of foot from heel to 81
of foot were sent to 48
of form from those of 47
of form have been the 48
of form laid down by 54
of form must also be 53
of form will give no 82
of fort good hope by 69
of foul play from the 44
of four boys born to 51
of four boys from the 48
of four days during the 73
of four days from the 506
of four days prior to 54
of four feet from the 1494
of four full days of 71
of four full years in 102
of four full years of 78
of four main areas of 129
of four main sets of 51
of four more years in 166
of four more years of 535
of four songs from the 43
of four sons born to 400
of four were able to 40
of four years among the 49
of four years during the 173
of four years ending in 60
of four years from the 5761
of four years into the 82
of four years leading to 124
of four years more of 110
of four years prior to 173
of four years there is 70
of four years upon the 57
of four years when he 137
of four years when the 238
of four years will be 104
of free acid from the 63
of free acid must be 103
of free beings kept in 82
of free cash flow as 125
of free cash flow by 97
of free cash flow in 151
of free cash flow is 192
of free cash flow to 237
of free drug from the 55
of free drug will be 43
of free exit from the 61
of free fall from the 58
of free flying moths in 58
of free food from the 47
of free health care in 44
of free health care to 87
of free india must be 80
of free india will be 94
of free land from the 109
of free time during the 424
of free time from the 77
of free time will be 65
of free uric acid in 117
of free uric acid is 49
of free will among the 47
of free will from the 210
of free will into the 88
of free will leads to 53
of free will lies in 71
of free will must be 226
of free will over the 56
of free will when he 52
of from five days to 143
of from five years to 134
of from four days to 121
of from four feet to 52
of from three days to 340
of from three feet to 71
of from three years to 67
of frying fish from the 50
of frying fish made leo 90
of fuel used during the 141
of fuel were used in 43
of fuel will also be 44
of fuel will have to 64
of fuel wood from the 53
of full live load on 43
of full moon when the 58
of full years from the 158
of furs were sent to 43
of fury rare even on 58
of gain from sale of 616
of gain from weaning to 141
of game fish such as 102
of game theory lies in 97
of game theory will be 85
of gaul fell into the 50
of gaze away from the 64
of gazing down into the 77
of gazing idly into the 63
of gene flow among the 74
of gene flow from the 292
of gene flow into the 68
of gene flow will be 44
of ginger beer from the 44
of give your heart to 79
of giving away part of 68
of giving away some of 114
of giving away what he 64
of giving away what is 63
of giving back some of 64
of giving fair play to 133
of giving free play to 447
of giving free rein to 865
of giving free vent to 145
of giving full play to 458
of giving full rein to 112
of giving full vent to 84
of giving home rule to 127
of giving into such an 90
of giving more help to 41
of giving more time to 194
of giving rise only to 66
of giving some form of 116
of giving some form to 64
of giving some help to 40
of giving some kind of 384
of giving some meaning to 104
of giving some sort of 426
of giving their best to 56
of giving their name to 154
of giving their youth an 44
of giving your heart to 102
of giving your life to 77
of giving your name to 210
of glue made from the 50
of glue will hold the 48
of gods have nothing in 58
of gods must ever in 65
of gold away from the 79
of gold bars from the 82
of gold came from the 183
of gold came into the 111
of gold coin from the 152
of gold coin into the 118
of gold coming from the 103
of gold coming into the 85
of gold down into the 49
of gold dust from the 396
of gold dust into the 178
of gold dust over the 53
of gold dust used as 44
of gold fall into the 46
of gold fell from the 56
of gold fell into the 60
of gold fell upon the 72
of gold fill full the 51
of gold from among the 46
of gold from india to 68
of gold from rome to 55
of gold from time to 81
of gold gave rise to 42
of gold hanging from the 64
of gold hangs over the 87
of gold into india in 41
of gold lace down the 49
of gold lace upon the 50
of gold lace worn by 89
of gold paid down as 67
of gold sewn into the 45
of gold teeth from the 49
of gold very clear to 97
of gold went down in 62
of gold went into the 46
of gold were made by 67
of gold were made in 312
of gold were made to 73
of gold were said to 68
of gold were sent to 218
of gold were used in 161
of gold were used to 105
of gold were worn by 65
of gold will have to 154
of gold will tend to 161
of gold wrung from the 50
of good coking coal in 108
of good coming from the 50
of good faith among the 152
of good faith during the 88
of good faith from the 323
of good faith made by 64
of good faith must be 296
of good faith owed by 101
of good faith such as 71
of good faith upon the 102
of good faith when he 62
of good faith when it 84
of good faith when the 87
of good faith will be 328
of good farm land in 236
of good farm land is 43
of good farm land to 44
of good food from the 67
of good food will be 51
of good from evil in 44
of good from evil is 117
of good from evil the 53
of good hard work in 50
of good hard work to 51
of good health among the 90
of good health care is 48
of good health from the 72
of good health lies in 57
of good health must be 77
of good health prior to 43
of good health will be 81
of good hope along the 77
of good hope back to 62
of good hope cape of 91
of good hope during the 474
of good hope early in 76
of good hope from the 979
of good hope gave the 136
of good hope into the 1016
of good hope late in 47
of good hope lies in 44
of good hope must be 76
of good hope north to 73
of good hope seen by 47
of good hope there is 77
of good hope upon the 47
of good hope were the 122
of good hope were to 47
of good hope when he 45
of good hope when the 105
of good hope will be 96
of good ideas from the 58
of good land along the 168
of good land down to 40
of good land from the 53
of good land will be 53
of good living from the 46
of good luck came to 111
of good luck during the 64
of good luck from the 143
of good luck like my 48
of good luck when he 65
of good luck when it 63
of good luck when the 40
of good news came in 106
of good news coming up 83
of good news from the 589
of good news will do 47
of good only when it 44
of good over evil as 441
of good over evil at 62
of good over evil by 75
of good over evil in 1420
of good over evil is 775
of good over evil on 56
of good over evil or 165
of good over evil to 49
of good over those of 81
of good reading among the 65
of good soil over the 55
of good there must be 72
of good will among the 760
of good will came to 49
of good will come of 40
of good will come to 52
of good will during the 50
of good will from my 46
of good will from the 1105
of good will have to 43
of good will into the 59
of good will made by 47
of good will must be 196
of good will must do 55
of good will need to 48
of good will over the 41
of good will such as 151
of good will upon the 98
of good will want to 53
of good will when he 44
of good will when the 47
of good will whom he 40
of good will will be 56
of good wine from the 129
of good work among the 43
of good work done by 427
of good work done in 224
of good work during the 49
of good years ahead of 130
of good years left in 183
of gray cast iron by 43
of gray cast iron in 101
of gray cast iron is 379
of gray cast iron to 46
of gray dust from the 88
of great days gone by 43
of great depth from the 63
of great fame among the 130
of great fame were in 110
of great good luck to 42
of great guns from the 116
of great help during my 45
of great help during the 418
of great help from the 88
of great help over the 48
of great help were the 52
of great help when he 40
of great help when it 94
of great help when the 195
of great help when we 102
of great leaps lies in 41
of great length from the 76
of great length less so 40
of great name among the 59
of great note among the 341
of great pain from the 82
of great pain over the 105
of great poets such as 104
of great poets will be 162
of great risk when the 48
of great salt lake as 183
of great salt lake at 89
of great salt lake by 81
of great salt lake in 585
of great salt lake is 299
of great salt lake on 93
of great salt lake the 63
of great salt lake to 265
of great size when the 56
of great sums from the 63
of great sums lent by 114
of great wealth among the 61
of great wealth from the 158
of great worth from the 40
of great worth unto the 54
of guns came from the 52
of hair away from my 231
of hair away from the 247
of hair back from my 145
of hair back from the 86
of hair back into the 286
of hair cell loss in 66
of hair fall over the 55
of hair fell over the 43
of hair hanging down at 75
of hair hanging down in 110
of hair hanging down on 166
of hair hanging down the 220
of hair hanging down to 55
of hair hanging from it 115
of hair hanging from the 196
of hair hanging over the 153
of hair like those of 59
of hair over most of 71
of hair rising from the 70
of hair skip into the 58
of hair there will be 53
of hair torn from the 96
of half past four in 44
of half their life to 94
of half their wealth to 97
of hand from time to 71
of hand will suit me 45
of hard cash from the 51
of hard cast iron or 46
of hard coal from the 61
of hard duty upon the 46
of hard rock from the 42
of hard rock such as 101
of hard wood from the 90
of hard wood into the 105
of hard wood such as 179
of hard wood used in 67
of hard work ahead of 712
of hard work among the 120
of hard work done by 123
of hard work done in 78
of hard work down the 70
of hard work during the 279
of hard work from the 170
of hard work into it 113
of hard work into the 142
of hard work just to 88
of hard work leading to 101
of hard work must be 86
of hard work over the 115
of hard work such as 67
of hard work there is 57
of hard work trying to 124
of hard work upon the 56
of hard work when he 60
of hard work will be 240
of harm from what is 56
of harm will come to 41
of hate there must be 62
of hating those whom he 40
of have been able to 139
of have been done in 62
of have been made by 101
of have been made to 69
of have been used to 82
of having been able to 3307
of having been among the 544
of having been awed by 44
of having been born an 218
of having been born as 142
of having been born at 374
of having been born in 3699
of having been born is 98
of having been born of 513
of having been born on 382
of having been born or 79
of having been born the 118
of having been born to 712
of having been bred at 147
of having been bred in 280
of having been bred to 41
of having been cast in 166
of having been done at 50
of having been done by 226
of having been done in 368
of having been done on 61
of having been done to 42
of having been eaten by 134
of having been ever at 52
of having been fond of 55
of having been from the 124
of having been held in 247
of having been held up 48
of having been hurt by 76
of having been kept in 501
of having been laid by 61
of having been laid in 66
of having been laid on 56
of having been left by 188
of having been left in 245
of having been left on 100
of having been left to 158
of having been lied to 106
of having been lost in 101
of having been made an 88
of having been made as 43
of having been made at 228
of having been made by 1628
of having been made in 706
of having been made of 104
of having been made on 320
of having been made or 41
of having been made the 291
of having been made to 562
of having been made up 262
of having been more or 194
of having been once an 44
of having been once in 225
of having been once the 142
of having been paid by 135
of having been paid to 54
of having been part of 985
of having been ready to 102
of having been rude to 109
of having been seen at 54
of having been seen by 215
of having been seen in 259
of having been seen to 48
of having been sent as 51
of having been sent by 402
of having been sent in 51
of having been sent on 132
of having been sent to 509
of having been shot at 135
of having been shot by 86
of having been shot in 131
of having been shut up 99
of having been slow to 59
of having been sold to 59
of having been stung by 56
of having been there at 90
of having been there in 79
of having been there or 59
of having been three or 42
of having been told by 189
of having been told of 46
of having been told the 97
of having been told to 79
of having been torn by 51
of having been true to 109
of having been used as 1291
of having been used at 66
of having been used by 560
of having been used in 705
of having been used on 64
of having been used or 65
of having been used to 457
of having been what is 69
of having been worn by 178
of having been worn to 46
of having been wrong in 62
of having clear ideas of 119
of having come back to 190
of having come down in 201
of having come down to 93
of having come face to 57
of having come from an 81
of having come from the 1090
of having come here to 43
of having come home to 48
of having come into the 350
of having done good in 44
of having done good to 178
of having done harm to 174
of having done more to 202
of having done most to 64
of having done much to 163
of having done nothing in 63
of having done nothing to 706
of having done well in 136
of having done well or 62
of having done what he 314
of having done what is 229
of having done what no 50
of having done what we 206
of having done wrong in 267
of having done wrong is 87
of having done wrong or 65
of having done wrong to 123
of having duty done by 110
of having ever been in 141
of having ever been so 42
of having ever been the 43
of having ever heard of 136
of having ever seen me 132
of having ever seen the 61
of having fled from the 63
of having from time to 79
of having gone back on 232
of having gone back to 143
of having gone down to 61
of having gone into the 150
of having gone over the 70
of having gone over to 448
of having gone there to 52
of having heard from the 53
of having heard what he 44
of having held back the 55
of having just come in 42
of having just left the 82
of having just seen the 48
of having kept away so 45
of having kept back the 56
of having laid down an 50
of having laid down the 120
of having less time to 62
of having lost faith in 102
of having lost most of 50
of having lost much of 97
of having lost part of 102
of having lost some of 114
of having made love to 197
of having made much of 58
of having made saul king 116
of having made such an 185
of having more time to 313
of having nothing else to 259
of having nothing left to 224
of having nothing more to 494
of having once been an 162
of having once been in 351
of having once been the 589
of having once made the 97
of having once more to 84
of having once seen it 62
of having once seen the 86
of having only half the 56
of having only laid the 55
of having said nothing to 52
of having said what he 51
of having seen more of 87
of having seen some of 89
of having seen what it 186
of having seen what no 51
of having sent away the 121
of having sent some of 63
of having shed life in 61
of having sold their king 76
of having some form of 426
of having some hand in 150
of having some kind of 1427
of having some means of 192
of having some part in 129
of having some part of 266
of having some sort of 1041
of having some time to 85
of having some type of 198
of having some work to 97
of having their heads in 62
of having their meals in 41
of having three sets of 47
of having torn down the 40
of having work done by 48
of having work done in 97
of having work done on 52
of having your name in 76
of having your name on 74
of heading away from the 40
of heading back into the 81
of heads hanging from the 50
of healing from herb or 82
of health care among the 190
of health care during the 308
of health care from an 54
of health care from the 593
of health care have to 67
of health care into the 139
of health care lies in 68
of health care must be 522
of health care need to 132
of health care over the 304
of health care prior to 65
of health care seem to 41
of health care such as 487
of health care teams in 80
of health care tend to 79
of health care there is 93
of health care used by 49
of health care want to 44
of health care were to 45
of health care when the 82
of health care will be 846
of health from time to 155
of health much more to 54
of health must also be 86
of health none care to 120
of health took over the 150
of health will also be 146
of health will have to 62
of health will tend to 50
of hearing aids worn by 99
of hearing from some of 65
of hearing from time to 54
of hearing loss among the 146
of hearing loss during the 43
of hearing loss from the 100
of hearing loss must be 61
of hearing loss such as 176
of hearing loss will be 88
of hearing news from the 42
of hearing once more the 80
of hearing range from the 44
of hearing some news of 138
of hearing what went on 40
of hearing will also be 76
of heart among some of 46
of heart been ready to 41
of heart came over me 43
of heart must thine be 42
of heart rate during the 204
of heart rate from the 52
of heart rate when the 42
of heart will make it 43
of heavy cast iron or 85
of heavy cream into the 62
of heavy feet coming up 43
of heavy feet upon the 101
of heavy fire from the 377
of heavy firing from the 236
of heavy guns from the 222
of heavy rain among the 62
of heavy rain during the 106
of heavy rain from the 60
of heavy rain upon the 50
of heavy rain when the 59
of heavy wire bent to 97
of heavy work such as 47
of hell came back to 94
of hell took hold on 49
