tan a and tan 459
that a and are 226
that a and for 91
that a and his 393
that a and its 249
that a and non 197
that a and not 687
that a and that 1286
that a and then 47
that a and thus 42
that a bad act 176
that a bad and 204
that a bad boy 233
that a bad day 254
that a bad deal 80
that a bad end 92
that a bad fit 42
that a bad guy 168
that a bad idea 275
that a bad job 69
that a bad law 329
that a bad lot 84
that a bad man 5922
that a bad one 1679
that a bad poem 69
that a bad poet 61
that a bad son 46
that a bad use 157
that a bad way 40
that a bad year 516
that a bag can 107
that a bag had 44
that a bag may 109
that a bag was 98
that a ban had 123
that a ban has 72
that a ban was 805
that a bar and 101
that a bar can 237
that a bar had 69
that a bar has 76
that a bar may 117
that a bar one 43
that a bar was 856
that a bar with 138
that a bat can 181
that a bat does 64
that a bat had 166
that a bath and 353
that a bat has 81
that a bath can 114
that a bath had 46
that a bath was 373
that a bat was 107
that a beam can 149
that a beam had 64
that a beam has 93
that a beam may 267
that a beam that 49
that a beam was 67
that a beam with 579
that a bean can 82
that a bear and 92
that a bear big 41
that a bear can 207
that a bear cub 107
that a bear does 56
that a bear had 3123
that a bear has 728
that a bear lay 53
that a bear may 100
that a bear that 113
that a bear was 2242
that a bear with 152
that a beat was 41
that a bed and 163
that a bed can 156
that a bed for 155
that a bed had 253
that a bed has 180
that a bed may 143
that a bed was 1177
that a bed with 169
that a bee can 731
that a bee does 73
that a bee had 161
that a bee has 179
that a bee may 67
that a bee sting 227
that a bee that 56
that a bee was 110
that a being can 2407
that a being does 163
that a being for 60
that a being had 119
that a being has 758
that a being may 845
that a being not 106
that a being than 279
that a being that 1194
that a being thus 95
that a being was 96
that a being who 5478
that a being with 1700
that a bet had 57
that a bet was 142
that a bias can 48
that a bias does 40
that a bias for 66
that a bias has 49
that a bias may 131
that a bias was 71
that a bid for 809
that a bid has 56
that a bid may 89
that a bid was 297
that a big and 639
that a big area 59
that a big bad 45
that a big bang 301
that a big bear 241
that a big box 127
that a big boy 231
that a big car 110
that a big cat 100
that a big day 41
that a big deal 936
that a big dog 457
that a big fat 113
that a big gang 49
that a big gap 138
that a big gun 135
that a big guy 116
that a big head 57
that a big idea 55
that a big job 167
that a big lie 70
that a big lot 60
that a big mac 272
that a big man 2024
that a big meal 45
that a big new 567
that a big oak 90
that a big oil 66
that a big old 214
that a big one 701
that a big pot 95
that a big red 195
that a big sum 48
that a big tax 89
that a big war 372
that a big win 201
that a bit and 429
that a bit can 113
that a bit far 300
that a bit for 124
that a bit has 98
that a bit odd 382
that a bit old 73
that a bit out 56
that a bit too 1132
that a bit was 53
that a bit with 55
that a bow and 160
that a bow was 109
that a box can 331
that a box for 215
that a box had 346
that a box has 232
that a box may 83
that a box that 177
that a box was 863
that a box with 392
that a boy and 2837
that a boy can 5607
that a boy did 425
that a boy does 1122
that a boy goes 107
that a boy going 64
that a boy got 159
that a boy had 7267
that a boy has 4827
that a boy his 135
that a boy may 2839
that a boy not 98
that a boy she 158
that a boy ten 71
that a boy that 332
that a boy thus 69
that a boy was 7418
that a boy who 15797
that a boy with 3383
that a boy you 41
that a bud may 57
that a bug can 62
that a bug had 88
that a bug has 91
that a bug was 69
that a bus can 123
that a bus had 191
that a bus has 111
that a bus may 115
that a bus was 312
that a but not 132
that a buy and 49
that a cab had 213
that a cab was 602
that a can get 360
that a can not 8750
that a can see 100
that a can use 262
that a can win 85
that a cap and 171
that a cap has 48
that a cap was 125
that a car and 642
that a car can 2457
that a car does 151
that a car for 40
that a car goes 41
that a car going 122
that a car had 4138
that a car has 1199
that a car hit 61
that a car may 386
that a car ran 49
that a car that 903
that a car was 6623
that a car with 1683
that a car you 47
that a cat and 230
that a cat can 2414
that a cat does 601
that a cat had 1375
that a cat has 3142
that a cat may 1210
that a cat that 475
that a cat was 1550
that a cat who 156
that a cat with 214
that a con man 91
that a cop can 73
that a cop had 219
that a cop has 72
that a cop was 263
that a cop who 64
that a cow and 329
that a cow can 1091
that a cow does 125
that a cow eats 67
that a cow fed 68
that a cow had 1646
that a cow has 1184
that a cow may 276
that a cow that 393
that a cow was 1733
that a cow who 45
that a cow with 423
that a cpa can 75
that a cpa has 74
that a cpa may 203
that a cpa who 90
that a cpu can 325
that a cpu has 42
that a cry for 810
that a cry has 45
that a cry was 250
that a cue can 45
that a cue that 102
that a cue was 117
that a cup and 94
that a cup can 55
that a cup has 48
that a cup was 143
that a cut and 115
that a cut can 107
that a cut had 57
that a cut has 112
that a cut may 79
that a cut off 181
that a cut was 206
that a dam and 233
that a dam can 123
that a dam had 186
that a dam has 257
that a dam may 70
that a dam that 41
that a dam was 620
that a dam with 63
that a day ago 73
that a day and 1139
that a day can 128
that a day did 108
that a day does 151
that a day for 599
that a day goes 90
that a day had 595
that a day has 1331
that a day may 1569
that a day near 49
that a day off 385
that a day out 104
that a day that 278
that a day was 4606
that a day with 563
that a dead and 247
that a dead boy 69
that a dead cat 211
that a dead cow 49
that a dead dog 333
that a dead end 203
that a dead fly 69
that a dead leaf 54
that a dead lion 58
that a dead man 13626
that a dead one 288
that a dead rat 207
that a dead set 199
that a deaf and 330
that a deaf man 601
that a deal can 251
that a deal for 109
that a deal had 4207
that a deal has 431
that a deal may 81
that a deal that 176
that a deal was 4142
that a deal with 898
that a dean and 81
that a dear and 72
that a dear old 289
that a dear one 150
that a death and 61
that a death can 105
that a death did 60
that a death for 45
that a death had 1440
that a death has 2395
that a death may 184
that a death row 208
that a death tax 78
that a death that 198
that a death was 1239
that a did not 3413
that a die can 40
that a die has 226
that a die was 49
that a die with 59
that a dim and 56
that a dim idea 43
that a dingo had 109
that a does not 14645
that a dog and 326
that a dog bed 263
that a dog bit 77
that a dog can 6002
that a dog did 111
that a dog does 682
that a dog eats 50
that a dog fed 132
that a dog got 91
that a dog had 1477
that a dog has 1960
that a dog may 1454
that a dog ran 79
that a dog team 105
that a dog that 1473
that a dog was 3989
that a dog who 1027
that a dog with 1337
that a dot was 116
that a dry air 89
that a dry and 479
that a dry bed 52
that a dry day 149
that a dry fly 112
that a dry path 53
that a dry run 59
that a dry year 62
that a due and 410
that a due east 59
that a dying and 40
that a dying man 3793
that a dying seal 67
that a fan can 92
that a fan had 157
that a fan has 66
that a fan was 82
that a fan with 49
that a far east 41
that a far too 74
that a fat and 243
that a fat boy 42
that a fat man 1097
that a fat old 218
that a fax had 57
that a fax was 48
that a fear for 117
that a fear has 50
that a fear that 224
that a fear was 122
that a fee can 244
that a fee does 41
that a fee for 515
that a fee had 82
that a fee has 87
that a fee may 273
that a fee was 802
that a few air 97
that a few and 184
that a few are 5934
that a few bad 1135
that a few big 1018
that a few can 1521
that a few day 117
that a few dead 112
that a few did 352
that a few die 68
that a few dry 92
that a few easy 55
that a few far 136
that a few fat 45
that a few get 104
that a few got 46
that a few had 3121
that a few head 88
that a few hot 191
that a few ill 98
that a few ions 95
that a few key 1851
that a few long 336
that a few low 231
that a few may 5508
that a few men 15561
that a few new 1684
that a few non 544
that a few not 106
that a few odd 138
that a few old 1693
that a few out 192
that a few per 488
that a few real 416
that a few red 103
that a few that 541
that a few things 2992
that a few too 115
that a few top 312
that a few weak 130
that a few who 1157
that a few with 63
that a fit and 245
that a fit can 42
that a fit man 83
that a fit was 180
that a fit with 99
that a fix was 92
that a flea can 169
that a flea was 64
that a fly can 1044
that a fly had 380
that a fly has 246
that a fly may 95
that a fly rod 88
that a fly that 137
that a fly was 459
that a fly with 169
that a fog had 132
that a fog was 229
that a fop can 203
that a for all 1128
that a for any 331
that a for each 152
that a fox and 57
that a fox can 198
that a fox had 717
that a fox has 462
that a fox may 54
that a fox was 430
that a gang can 44
that a gang had 415
that a gang has 55
that a gang may 40
that a gang war 60
that a gang was 667
that a gap can 118
that a gap does 271
that a gap had 446
that a gap has 879
that a gap may 342
that a gap was 447
that a gas and 91
that a gas can 1273
that a gas cap 52
that a gas does 139
that a gas had 66
that a gas has 735
that a gas jet 96
that a gas leak 281
that a gas may 211
that a gas tax 61
that a gas that 45
that a gas was 703
that a gas with 279
that a gay and 349
that a gay bar 41
that a gay man 2231
that a gel can 41
that a gem may 40
that a god all 56
that a god and 148
that a god can 890
that a god did 143
that a god does 392
that a god had 1617
that a god has 1047
that a god may 379
that a god not 47
that a god that 352
that a god thou 53
that a god was 2197
that a god who 8459
that a god with 395
that a gun and 123
that a gun can 241
that a gun had 626
that a gun has 251
that a gun hung 43
that a gun may 86
that a gun that 164
that a gun was 3232
that a gun with 247
that a gun you 58
that a guy and 49
that a guy can 905
that a guy did 41
that a guy does 114
that a guy got 113
that a guy had 699
that a guy has 506
that a guy she 69
that a guy that 238
that a guy was 363
that a guy who 3315
that a guy with 1030
that a guy you 56
that a had any 121
that a had not 697
that a has all 127
that a has and 83
that a has any 45
that a has both 41
that a has for 49
that a has had 87
that a has its 88
that a has not 1578
that a has one 223
that a has this 323
that a has two 327
that a has won 123
that a hat and 75
that a hat can 183
that a hat had 52
that a hat was 225
that a hat with 59
that a head and 489
that a head being 49
that a head can 648
that a head does 63
that a head had 90
that a head has 121
that a head may 301
that a head tax 158
that a head that 137
that a head was 803
that a head with 187
that a heap can 48
that a hen can 561
that a hen does 40
that a hen goes 100
that a hen had 316
that a hen has 423
that a hen may 72
that a hen that 169
that a hen was 304
that a hen with 54
that a hit had 221
that a hit has 47
that a hit man 285
that a hit song 65
that a hit was 159
that a hog can 45
that a hog had 86
that a hog was 147
that a hot air 191
that a hot and 584
that a hot bath 1414
that a hot cup 128
that a hot day 144
that a hot dog 180
that a hot gas 226
that a hot meal 556
that a hot new 52
that a hot one 158
that a hot sun 235
that a hot tub 102
that a hot war 100
that a hue and 654
that a hug and 64
that a hut had 132
that a hut was 170
that a jar and 53
that a jar may 43
that a jaw may 57
that a jay can 48
that a jet can 71
that a jet was 44
that a jew and 250
that a jew can 1684
that a jew did 109
that a jew does 206
that a jew had 3344
that a jew has 752
that a jew hath 45
that a jew may 724
that a jew was 4321
that a jew who 3741
that a jew with 219
that a job and 304
that a job can 2026
that a job does 131
that a job for 361
that a job had 417
that a job has 1741
that a job may 452
that a job that 1054
that a job was 2937
that a job with 954
that a job you 75
that a key aim 182
that a key and 121
that a key area 245
that a key can 225
that a key does 44
that a key for 126
that a key had 315
that a key has 1151
that a key idea 177
that a key man 42
that a key may 197
that a key that 95
that a key was 957
that a key way 126
that a kid can 292
that a kid does 71
that a kid had 425
that a kid has 410
that a kid that 40
that a kid was 463
that a kid who 983
that a kid with 189
that a lad can 86
that a lad had 168
that a lad has 88
that a lad may 303
that a lad was 109
that a lad who 1516
that a lad with 150
that a lan can 83
that a law and 124
that a law being 103
that a law can 3107
that a law did 84
that a law does 840
that a law for 677
that a law had 3095
that a law has 4146
that a law may 4215
that a law not 675
that a law that 4110
that a law thus 56
that a law was 15197
that a law with 166
that a lay man 82
that a lead has 62
that a lead may 44
that a lead was 69
that a leaf can 413
that a leaf does 50
that a leaf had 140
that a leaf has 188
that a leaf may 92
that a leaf was 126
that a leaf with 164
that a leak can 84
that a leak had 266
that a leak has 188
that a leak may 125
that a leak was 84
that a lean and 126
that a leap year 357
that a leg can 44
that a leg had 71
that a leg has 95
that a leg was 144
that a liar and 64
that a liar can 163
that a liar has 47
that a liar was 71
that a lie and 60
that a lie can 1117
that a lie does 61
that a lie had 149
that a lie has 226
that a lie may 280
that a lie that 270
that a lie too 207
that a lie was 697
that a lie with 189
that a lion and 517
that a lion can 263
that a lion cub 61
that a lion does 103
