tang of blood filled 41
than an amusing satire 40
than an april shower 49
than an armed attack 200
than an armed police 50
than an armed rabble 257
than an armed revolt 76
than an armed robber 55
than an armed uprising 63
than an author should 54
than an earthly origin 43
than an earthly parent 302
than an earthly prince 85
than an earthly reward 43
than an elder brother 250
than an elder sister 221
than an elect guilty 49
than an empty bottle 116
than an empty facade 43
than an empty figure 61
than an empty formal 49
than an empty memory 47
than an empty menace 42
than an empty pageant 63
than an empty phrase 884
than an empty pocket 48
than an empty ritual 194
than an empty shadow 78
than an empty slogan 397
than an empty symbol 127
than an empty vessel 262
than an equal amount 7327
than an equal chance 773
than an equal column 144
than an equal degree 132
than an equal dollar 75
than an equal extent 103
than an equal measure 118
than an equal number 4618
than an equal portion 326
than an equal return 89
than an equal volume 9189
than an equal weight 3275
than an evening stroll 45
than an exact answer 425
than an exact figure 147
than an exact measure 165
than an exact number 199
than an exact record 62
than an exact result 44
than an extra dollar 190
than an extra portion 44
than an image backup 51
than an index number 62
than an indian empire 70
than an indian peasant 75
than an indian prince 50
than an indian voyage 149
than an indian warrior 108
than an inert object 70
than an ingrown toenail 45
than an irish family 53
than an irish peasant 71
than an obese person 78
than an oddly shaped 109
than an older brother 245
than an older couple 42
than an older infant 87
than an older person 842
than an older sister 253
than an older version 45
than an older worker 104
than an olive branch 215
than an opening gambit 97
than an opening through 48
than an order issued 161
than an order relating 61
than an otiose assent 121
than an overt attack 50
than an unfit person 85
than an upper middle 88
than an urban center 57
than an urban legend 88
than an urban system 63
than an usual degree 47
than an usual portion 44
than as above stated 573
than as daily office 72
than as first cousin 63
than as moral agents 42
than as prime movers 86
than as social actors 50
than at either higher 87
than at first appears 20828
than at first glance 1519
than at first seemed 1040
than at first survey 107
than at first thought 2826
than at later periods 545
than at later points 67
than at later stages 2312
than at local levels 53
than at lower income 112
than at lower levels 2537
than at lower prices 716
than at lower speeds 246
than at lower stages 56
than at lower values 107
than at mount vernon 68
than at upper levels 111
than be first taught 98
than be found guilty 110
than be found wrangling 69
than by armed attack 657
than by begging pardon 43
than by brute strength 48
than by cutting prices 55
than by ethnic origin 63
than by falling prices 44
than by getting killed 47
than by grand design 62
than by holding office 71
than by human agency 148
than by human effort 84
than by human rights 56
than by issuing orders 81
than by jesus christ 172
than by legal reasoning 52
than by looking through 63
than by moral suasion 45
than by often repeating 64
than by older adults 58
than by older methods 57
than by opening speedy 53
than by party leaders 52
than by passing around 167
than by passing through 573
than by placing before 340
than by placing myself 40
than by plain courting 51
than by price changes 46
than by putting myself 87
than by raising prices 142
than by relying solely 161
than by right belongs 42
than by sailing around 44
than by setting before 100
than by sheer passion 53
than by social origin 51
than by social status 139
than by sound policy 48
than by walking through 63
than by working through 402
than by working twelve 94
than do firms without 45
than do large cities 58
than do large groups 59
than do large holdings 49
than do longer periods 44
than do lower income 247
than do lower levels 124
than do lower status 112
than do older adults 272
than do older cattle 105
than do older groups 63
than do older mothers 135
than do older plants 50
than do older whites 58
than do people without 339
than do small cities 80
than do small groups 54
than do small plants 42
than do state courts 59
than do white collar 118
than do white middle 120
than do white mothers 99
than do women without 211
than go within earshot 44
than he again called 141
than he again sighed 66
than he again turned 57
than he began another 101
than he began planning 61
than he began puzzling 44
than he cared should 73
than he chose should 80
than he could absorb 160
than he could accept 1250
than he could afford 10091
than he could already 67
than he could always 118
than he could answer 647
than he could arrange 99
than he could arrive 57
than he could assume 40
than he could attain 439
than he could attend 541
than he could become 145
than he could before 2406
than he could bestow 64
than he could borrow 59
than he could choose 73
than he could clearly 51
than he could commit 114
than he could compel 40
than he could conceal 67
than he could convey 73
than he could credit 44
than he could defend 98
than he could define 42
than he could derive 344
than he could desire 176
than he could detect 120
than he could devise 42
than he could devote 51
than he could devour 46
than he could digest 407
than he could divine 55
than he could earlier 82
than he could effect 63
than he could employ 210
than he could endure 4216
than he could english 85
than he could escape 175
than he could expect 1927
than he could fairly 101
than he could fashion 151
than he could figure 87
than he could finish 215
than he could follow 359
than he could forget 237
than he could govern 56
than he could handle 9832
than he could hardly 61
than he could ignore 152
than he could impart 342
than he could invent 44
than he could justly 227
than he could locate 87
than he could manage 3877
than he could master 221
than he could measure 146
than he could muster 565
than he could notice 43
than he could number 190
than he could obtain 2303
than he could occupy 49
than he could permit 59
than he could profit 85
than he could pursue 126
than he could readily 265
than he could realize 403
than he could recall 587
than he could reckon 120
than he could record 43
than he could refuse 106
than he could remain 43
than he could remove 42
than he could render 54
than he could repair 56
than he could resist 1692
than he could retain 91
than he could return 123
than he could safely 254
than he could scarce 76
than he could secure 384
than he could suffer 54
than he could summon 158
than he could supply 484
than he could through 617
than he could travel 142
than he could twenty 46
than he could without 1042
than he crept softly 46
than he dared expect 41
than he earned before 57
than he either wished 77
than he feels toward 51
than he first appears 181
than he first seemed 65
than he first thought 1541
than he found another 45
than he found awaiting 49
than he found shelby 45
than he knows already 260
than he later became 273
than he leaves behind 48
than he liked ernest 48
than he liked gibbon 78
than he loses through 43
than he loved anyone 179
than he loved england 43
than he loves anyone 77
than he loves christ 50
than he might choose 41
than he might desire 71
than he might expect 545
than he might obtain 92
than he might prefer 57
than he might realize 83
than he often showed 77
than he really needed 1110
than he really should 183
than he really thought 136
than he really wanted 879
than he really wished 133
than he really wishes 45
than he shone closer 127
than he skims across 43
than he spoke english 321
than he stood before 128
than he swore twenty 87
than he takes credit 40
than he thinks proper 209
than he though fallen 245
than he vowed revenge 54
than he whose senses 134
than he would accept 334
than he would always 47
than he would attain 42
than he would become 132
than he would before 298
than he would betray 56
than he would charge 123
than he would choose 286
than he would conceal 96
than he would defend 44
than he would demand 106
than he would derive 102
than he would desire 199
than he would endure 60
than he would expect 597
than he would follow 41
than he would forget 51
than he would gladly 142
than he would ideally 121
than he would impart 50
than he would impeach 43
than he would invite 53
than he would likely 178
than he would obtain 451
than he would occupy 75
than he would offend 86
than he would openly 122
than he would permit 226
than he would prefer 280
than he would readily 79
than he would realize 64
than he would reject 41
than he would retain 81
than he would secure 57
than he would submit 51
than he would suffer 411
than he would through 238
than he would toward 44
than he would without 721
than if either system 67
than if every dollar 43
than if every member 53
than in acute disease 74
than in adult cattle 50
than in adult female 58
than in adult groups 42
than in adult horses 55
than in adult humans 44
than in adult muscle 52
than in adult speech 103
than in adult tissue 104
than in bengal proper 41
than in black africa 99
than in blood donors 49
than in blood plasma 390
than in brain tissue 70
than in breast cancer 81
than in brown county 113
than in cases treated 131
than in cases without 207
than in cells treated 93
than in chain stores 40
than in china itself 772
than in china proper 297
than in civil actions 115
than in civil courts 105
than in civil rights 105
than in creating something 50
than in cross section 61
than in dairy cattle 90
than in dense forest 57
than in dense stands 141
than in downing street 103
than in drier regions 59
than in egypt itself 129
than in either africa 74
than in either brazil 65
than in either canada 185
than in either earlier 67
than in either england 811
than in either english 142
than in either europe 169
than in either france 707
than in either french 131
than in either london 108
than in either mexico 78
than in either normal 110
than in either parent 3732
than in either poland 46
than in either sweden 111
than in fetal plasma 46
than in fifty german 45
than in firms without 79
than in fixed assets 63
than in fleet street 81
than in fresh manure 48
than in fresh waters 130
than in getting credit 44
than in getting something 66
than in grade school 70
than in grand rapids 69
than in green plants 102
than in group settings 44
than in group therapy 87
than in growing barren 141
than in healthy adults 191
than in healthy muscle 77
than in healthy plants 242
than in healthy tissue 140
than in heaven without 94
than in homes without 67
than in human lesions 102
than in human nature 341
than in human plasma 55
than in human rights 125
than in humid regions 796
than in inner cities 88
than in israel itself 222
than in israel proper 53
than in italy itself 589
than in japan itself 176
than in japan proper 217
than in jesus christ 430
than in knowing whether 114
than in large abbeys 49
than in large blocks 74
than in large bodies 65
than in large cities 1991
than in large groups 574
than in large masses 86
than in large pieces 60
than in large plants 112
than in large public 73
than in large rivers 56
than in large states 103
than in later epochs 48
than in later grades 136
than in later periods 1378
than in later phases 243
than in later stages 1056
than in later writings 103
than in latin europe 40
than in latin france 43
than in learning something 54
than in level flight 144
than in level regions 46
than in light nuclei 50
than in linear fashion 46
than in local courts 50
than in local stores 43
than in looking around 251
than in lower canada 296
than in lower grades 190
than in lower income 267
than in lower layers 68
than in lower levels 112
than in lower prices 69
than in lower regions 115
than in lower status 48
than in lower strata 62
than in major cities 175
than in mixed groups 137
than in mixed stands 67
than in moist regions 74
than in motor nerves 71
than in movie theaters 55
than in nearby cities 44
than in older adults 324
than in older babies 46
than in older basins 59
than in older cities 71
than in older groups 86
than in older plants 83
than in older states 49
than in orange county 60
than in others simply 59
than in others without 59
than in outer mongolia 82
than in paris itself 134
than in passing through 211
than in people without 332
than in plain carbon 71
than in plain clothes 43
than in plain english 95
than in plane strain 141
than in plane stress 58
than in plots treated 50
than in plots without 67
than in poetry itself 41
than in polar regions 289
than in prose fiction 100
than in prose itself 230
than in resting muscle 68
than in running streams 53
than in running waters 77
than in rural england 86
than in rural mexico 49
than in rural places 186
than in rural regions 424
than in rural settings 453
than in russia before 41
than in russia itself 604
than in russia proper 336
than in santa monica 64
than in scoring points 40
than in selling another 85
than in serbia proper 60
than in shade plants 57
than in short bursts 50
than in short trains 80
than in small cities 770
than in small engines 87
than in small genera 395
than in small groups 512
than in small masses 42
than in small pieces 90
than in small places 137
than in small plants 112
than in small states 89
than in small streams 49
than in smooth muscle 113
than in social groups 42
than in social issues 40
than in social reality 65
than in social reform 125
than in social settings 44
than in solid bodies 57
than in solid tumors 44
than in spain itself 875
than in state courts 385
than in state mental 41
than in state stores 74
than in terms merely 75
than in terms simply 42
than in times square 49
than in tudor england 43
than in upper canada 297
than in upper grades 69
than in upper silesia 87
than in urban places 156
than in urban regions 189
than in urban settings 351
than in water itself 50
than in which public 44
than in white collar 143
than in white marble 67
than in white matter 644
than in white middle 129
than in white muscle 159
than in women without 444
than in woody plants 83
than in working through 54
than in working toward 62
than is above stated 371
than is found amongst 296
than is found around 46
than is found farther 96
than is given credit 50
than is often argued 98
than is often needed 45
than is often reached 55
than is often stated 271
than is often thought 6944
than is quite becoming 69
than is quite common 76
than is quite seemly 59
than is really needed 2806
than is really wanted 99
than is truly needed 45
than is usual amongst 782
than is usual appearing 68
than is usual before 54
than is usual should 78
than it could absorb 310
than it could accept 193
than it could afford 1356
than it could answer 133
than it could attain 92
than it could become 77
than it could before 1148
than it could borrow 46
than it could charge 42
than it could confer 40
than it could derive 78
than it could digest 257
than it could employ 130
than it could endure 115
than it could escape 140
than it could expect 163
than it could export 60
than it could handle 2113
than it could itself 194
than it could manage 401
than it could obtain 668
than it could occupy 78
than it could punish 44
than it could readily 94
than it could redeem 71
than it could remedy 50
than it could resist 42
than it could retain 73
than it could safely 176
than it could secure 137
than it could suffer 44
than it could supply 210
than it could through 457
than it could without 581
than it feels itself 41
than it finds itself 159
than it first appears 15582
than it first looked 79
than it first seemed 582
than it first sounds 227
than it found itself 356
than it gains through 102
than it gives strength 67
than it knows itself 271
than it later became 1551
than it later proved 64
than it later turned 54
than it loses through 123
than it loves itself 73
than it might already 42
than it might become 98
than it might expect 47
than it might justly 71
than it needs another 44
than it often appears 234
than it really appears 48
than it really merits 200
than it really needed 308
than it really occurs 43
than it really proved 66
than it really should 492
than it really wanted 94
than it seated itself 96
than it seems likely 230
than it sells abroad 113
than it sends another 81
than it shows itself 148
than it spread through 55
than it stood before 515
than it takes another 44
than it takes itself 133
than it thinks itself 91
than it would absorb 52
than it would accept 82
than it would accord 87
than it would affect 334
than it would afford 42
than it would another 44
than it would answer 190
than it would assume 98
than it would attain 59
than it would become 1090
than it would before 598
than it would charge 76
than it would choose 130
than it would confer 47
than it would derive 48
than it would exempt 50
than it would expect 72
than it would follow 460
than it would happen 46
than it would ideally 43
than it would injure 51
than it would insist 47
than it would itself 48
than it would likely 186
than it would matter 57
than it would obtain 190
than it would occupy 224
than it would permit 137
than it would prefer 98
than it would profit 53
than it would reduce 214
than it would remain 56
than it would remedy 171
than it would remove 167
than it would resist 125
than it would result 76
than it would return 93
than it would secure 63
than it would settle 54
than it would simply 62
than it would strike 47
than it would suffer 89
than it would through 598
than it would travel 53
than it would twenty 41
than it would without 1801
than my civil rights 51
than my cloak causes 77
than my creel showed 64
than my earthly dearest 53
than my elder brother 179
than my elder sister 45
than my father caused 47
than my father thought 64
than my father wanted 60
than my mother thought 79
than my noble friend 487
than my older brother 196
than my older sister 130
than my share already 52
than my share without 107
than my space allows 63
than my usual amount 78
than my whole family 73
than my whole income 45
than my whole person 75
than my whole volume 46
than my words convey 66
than my worthy friend 64
than of breaking through 43
than of breast cancer 94
than of civil rights 64
than of civil virtue 69
than of earthly cobweb 222
than of equal regard 49
than of greek origin 66
than of human agency 53
than of human nature 458
than of human origin 63
than of human rights 108
than of human traits 114
than of hungry wolves 48
than of indian origin 48
than of jesus christ 185
than of large cities 62
than of latin origin 61
than of legal courts 76
than of local origin 51
than of people standing 123
than of right belongs 220
than of small genera 58
than of social forces 50
than of social groups 47
than of social status 59
than of solid matter 41
than of solid reasoning 85
than of sound policy 124
than of spain itself 90
than of state courts 52
than of total income 66
than of verbs without 45
than on brute strength 101
than on civil rights 67
than on earned income 95
than on false claims 86
than on healthy plants 133
than on human effort 51
than on human nature 117
than on human rights 195
than on jesus christ 119
than on large holdings 83
than on level ground 1081
than on local issues 61
than on lower levels 114
than on lower slopes 47
than on moral issues 54
than on older plants 64
than on party labels 117
than on rocky shores 56
than on sales volume 46
than on short trains 40
than on small holdings 75
than on smooth ground 45
than on social issues 159
than on social policy 44
than on social reform 105
than on social status 81
than on solid ground 93
than on solid medium 43
than on speaking finely 41
than on steep slopes 111
than on thinking whether 59
than or equal greater 722
than the abbey church 56
than the abbey itself 108
than the above agents 44
than the above amount 893
than the above authors 69
than the above causes 41
than the above changes 47
than the above figure 803
than the above ground 98
than the above groups 82
than the above letter 83
than the above limits 213
than the above listed 256
than the above methods 274
than the above number 278
than the above prices 283
than the above quoted 202
than the above reasons 49
than the above remark 50
than the above result 69
than the above sample 45
than the above scheme 58
than the above should 135
than the above simple 470
than the above sketch 60
than the above stated 438
than the above system 43
than the above values 710
than the above version 61
than the above weight 44
than the abuse itself 284
than the acres should 45
than the action itself 3945
than the acute attack 41
than the acute disease 71
than the adams family 51
than the added weight 45
than the adult animal 138
than the adult female 1008
than the adult groups 43
than the adult kidney 61
than the adult stages 161
than the adult system 119
than the adult values 50
than the adult version 88
than the agent itself 102
than the album version 79
than the alien worker 46
than the alloy steels 105
than the altar itself 92
than the amazing number 41
than the amino groups 52
than the angels through 49
than the anvil chorus 55
than the aorta itself 52
than the armed forces 1653
than the array itself 63
than the asset itself 93
than the author appears 64
than the author claims 59
than the author should 64
than the author thought 108
than the award itself 188
than the aztec empire 85
than the banking sector 177
than the banking system 539
than the basal levels 73
than the basal portion 235
than the basal readers 47
than the basal values 60
than the baser metals 59
than the basic amount 98
than the basic building 55
than the basic causes 90
than the basic design 147
than the basic family 43
than the basic hourly 56
than the basic income 80
than the basic models 60
than the basic monthly 42
than the basic nature 89
than the basic number 114
than the basic oxides 74
than the basic pension 80
than the basic policy 82
than the basic rights 52
than the basic salary 139
than the basic scheme 49
than the basic skills 257
than the basic system 116
than the basic tenets 56
than the basic training 72
than the basic values 62
than the basic version 104
than the batch system 58
than the bedding planes 59
than the bending moment 495
than the bending strength 71
than the bending stress 258
than the bengal famine 41
than the bible hinder 48
than the bible itself 3130
than the bible teaches 66
than the binding energy 3638
than the binding forces 51
than the black church 82
than the black circle 49
than the black cotton 48
than the black family 66
than the black female 302
than the black forest 233
than the black knight 57
than the black letter 137
than the black market 430
than the black masses 74
than the black middle 140
than the black panther 69
than the black pepper 104
than the black plague 310
than the black powder 80
than the black priest 49
than the black prince 189
than the black slaves 241
than the black spruce 81
than the black square 198
than the black walnut 167
than the blade itself 122
than the blind belief 46
than the blind chance 51
than the blind forces 105
than the block diagram 57
than the block itself 82
than the blood entering 84
than the blood itself 754
than the blood levels 125
than the blood plasma 412
than the blood rushed 67
than the blood supply 103
than the blood system 47
than the blood vessel 93
than the blood volume 178
than the blunt martial 70
than the board itself 316
than the board member 58
than the boiling liquid 45
than the boiling points 340
than the bombing itself 47
than the bonding energy 101
than the bonding forces 45
than the bonds issued 71
than the books showed 57
than the books turned 63
than the bound volume 43
than the brain itself 437
than the brain tissue 80
than the brain weight 45
than the brand itself 52
than the brass itself 66
than the breaking strain 206
than the breaking strength 294
than the breaking stress 108
than the breast cancer 125
than the breast stroke 47
than the brick itself 73
than the bride peeped 116
than the brief answer 47
than the brief mention 265
than the brief moment 64
than the brief notice 175
than the brief periods 42
than the brief report 53
than the brief sketch 65
than the broad button 47
than the broad fields 50
than the broad market 184
than the broad masses 100
than the broad public 117
than the brook needed 55
than the brown shirts 74
than the brush border 55
than the brute animal 88
than the brute creation 535
than the brute strength 67
than the burial mounds 84
than the cabin itself 52
than the cable itself 114
than the cable system 49
than the canal itself 126
than the cargo itself 53
than the cases before 68
than the cases without 52
than the caste hindus 111
than the caste system 320
than the casting itself 58
than the cause itself 853
than the ceiling amount 131
than the ceiling height 117
than the ceiling prices 82
than the cereal grains 224
than the chain itself 69
than the chain reaction 48
than the chain stores 156
than the chair itself 86
than the change caused 77
than the change itself 1376
than the changing nature 87
than the changing seasons 62
than the charm itself 223
than the check plants 96
than the chief actors 51
than the chief figure 48
than the chief market 41
than the chief object 46
than the chief priest 87
than the chief source 179
than the child itself 217
than the child raised 40
than the child should 164
than the child unborn 1972
than the child victim 52
than the child without 90
than the choir itself 59
than the civil courts 528
than the civil police 53
than the civil rights 1807
than the claim itself 179
than the class itself 371
than the class session 125
than the class system 157
than the class teacher 202
than the class termed 50
than the class whence 71
than the climb itself 66
than the clock itself 48
than the close packed 46
than the closing prices 61
than the closing scenes 71
than the closing volume 52
than the cloud itself 57
than the coast itself 44
than the coast tribes 95
than the colon itself 53
than the color itself 135
than the color scheme 60
than the comic strips 65
than the coney island 57
than the cooling effect 115
than the cooling system 56
than the court admits 159
than the court called 50
than the court itself 779
than the court martial 116
than the court should 119
than the court system 351
than the court thought 40
than the craft guilds 81
than the craft itself 145
than the crash itself 130
than the creek itself 42
than the creep strength 45
than the crime itself 2987
than the cross itself 331
than the cross section 4013
than the crowd around 61
than the crowd itself 103
than the crown itself 603
than the crown jewels 407
than the crown prince 848
than the crown thought 62
than the crude methods 80
than the crude sewage 63
than the cubic spline 45
than the cubic system 75
than the curve itself 97
than the cutting stroke 103
than the daily amount 114
than the daily chores 48
than the daily demand 58
than the daily energy 93
than the daily herald 73
than the daily income 46
than the daily intake 92
than the daily lesson 47
than the daily mirror 218
than the daily output 51
than the daily papers 269
than the daily reality 44
than the daily supply 67
than the daily worker 266
than the dairy farmer 47
than the dance itself 188
than the dancing itself 55
than the danger itself 233
than the dawning unrest 43
than the deadly weapons 42
than the dealer without 68
than the debit column 53
than the defeat itself 274
than the deity itself 99
than the delay caused 76
than the delay itself 42
than the delay through 116
than the dense carbon 44
than the dense forest 63
than the dewey system 41
than the ditch digger 42
than the doses needed 46
than the doubt whether 56
than the dowry itself 41
than the draft itself 51
than the drama itself 218
than the drawing itself 159
than the dreamy phrase 43
than the dress circle 47
than the dress itself 108
than the dried apples 74
than the drill itself 61
than the drink itself 88
than the drive itself 73
than the drive letter 41
than the drive through 50
than the drive toward 79
than the driving forces 226
than the driving member 74
than the driving torque 61
than the driving wheels 47
than the drunk driver 51
than the ducal palace 66
than the dumping margin 227
than the dungeon itself 52
than the dutch system 55
than the earned income 330
than the easily changed 40
than the edict itself 41
than the eight listed 90
than the eight million 43
than the elder branch 88
than the elder brother 358
than the elder english 83
than the elder sister 665
than the empty spaces 62
than the enemy abroad 59
than the enemy already 112
than the enemy before 70
than the enemy forces 97
than the enemy formed 44
than the enemy gained 74
than the enemy itself 98
than the enemy opened 176
than the enemy rushed 44
than the enemy should 93
than the enemy troops 49
than the enemy without 252
than the engine itself 179
than the ensuing summer 85
than the entry itself 43
than the epoxy resins 64
than the equal number 42
than the equal rights 342
than the equal weight 82
than the error caused 104
than the error itself 333
than the error limits 60
than the error signal 67
than the essay itself 104
than the ethnic groups 107
than the euler buckling 66
than the evening before 2230
than the evening breeze 77
than the evening papers 78
than the evening wolves 1277
than the event itself 6143
than the event number 48
than the event proved 245
than the evils caused 53
than the exact amount 677
than the exact answer 262
than the exact center 53
than the exact degree 107
than the exact energy 61
than the exact extent 69
than the exact figure 50
than the exact letter 89
than the exact measure 90
than the exact methods 53
than the exact middle 54
than the exact moment 59
than the exact nature 318
than the exact number 572
than the exact result 266
than the exact source 88
than the exact values 280
than the exact weight 51
than the extra amount 116
than the extra effort 44
than the extra income 82
than the extra profit 43
than the extra weight 61
than the exxon valdez 252
than the fabian system 50
than the fable itself 67
than the facts already 79
than the facts before 72
than the facts called 42
than the facts learned 63
than the facts permit 101
than the facts relating 56
than the facts seemed 101
than the facts stated 69
than the faint praise 61
than the faint relish 88
than the falling flakes 104
than the false belief 65
than the false itself 44
than the false lights 52
than the false pelvis 74
than the father figure 88
than the fault itself 212
than the fawning simper 89
than the feeling itself 248
than the fermi energy 1254
than the fetus itself 49
than the fever itself 129
than the fiber cutoff 46
than the fiber itself 162
than the fiber radius 97
than the fiber stress 56
than the field around 58
than the field itself 412
than the field office 71
than the field slaves 191
than the field strength 233
than the field values 125
than the field worker 46
than the fifty pounds 86
than the fight itself 377
than the final amount 78
than the final answer 193
than the final battle 44
than the final choice 52
than the final demand 52
than the final design 197
than the final effect 45
than the final energy 44
than the final figure 86
than the final format 142
than the final height 52
than the final number 149
than the final output 116
than the final painting 59
than the final release 45
than the final report 136
than the final result 748
than the final section 127
than the final stages 116
than the final system 71
than the final target 56
than the final values 67
than the final version 1274
than the final volume 133
than the finer grades 108
than the finer points 192
than the first amongst 65
than the first amount 53
than the first answer 135
than the first aspect 130
than the first atomic 141
than the first attack 799
than the first battle 117
than the first before 52
than the first bishop 64
than the first branch 84
than the first bridge 93
than the first building 133
than the first charge 50
than the first choice 570
than the first church 98
than the first circle 70
than the first clause 159
than the first cohort 67
than the first column 250
than the first comers 79
than the first consul 856
than the first couple 161
than the first course 191
than the first covering 41
than the first creation 152
than the first crossing 109
than the first debate 46
than the first decade 593
than the first decree 56
than the first degree 976
than the first demand 103
than the first design 230
than the first disease 48
than the first dollar 48
than the first dorsal 412
than the first drafts 46
than the first edition 3627
than the first effect 104
than the first effort 153
than the first eleven 44
than the first empire 40
than the first english 416
than the first except 44
than the first factor 190
than the first family 74
than the first fellow 83
than the first female 46
than the first figure 713
than the first flight 128
than the first flower 99
than the first formed 50
than the first french 335
than the first fruits 237
than the first german 200
than the first glance 157
than the first lesson 45
than the first letter 650
than the first litter 41
than the first little 63
than the first lumbar 40
than the first measure 84
than the first medium 262
than the first member 222
than the first mention 103
than the first minute 96
than the first models 68
than the first modern 87
than the first molars 178
than the first moment 275
than the first monday 737
than the first motions 64
than the first nearest 43
than the first nigger 40
than the first normal 55
than the first number 685
than the first object 148
than the first outlay 40
than the first owners 404
than the first person 1406
than the first phrase 144
than the first planting 45
than the first player 117
than the first policy 53
than the first portion 329
than the first printing 216
than the first public 258
than the first reaction 129
than the first record 286
than the first release 47
than the first report 197
than the first resort 96
than the first result 100
than the first russian 47
than the first sample 319
than the first scheme 164
than the first school 217
than the first screen 83
than the first second 46
than the first section 575
