tax credits provide benefits 55
that certain features recurred 61
that certain federal agencies 188
that certain general patterns 42
that certain insects depended 373
that certain matters concerning 136
that certain mineral deposits 43
that certain mineral elements 103
that certain muscles contract 89
that certain national policies 86
that certain natural products 140
that certain organic materials 120
that certain persons attended 54
that certain persons exercise 104
that certain research projects 42
that certain results obtained 101
that certain spanish officers 103
that certain steroid hormones 148
that certain uranium minerals 54
that chiefly affects children 54
that chiefly governs explicit 150
that chinese college students 123
that chinese foreign minister 92
that chronic fatigue syndrome 1035
that closely related languages 122
that collect patient education 42
that college athletic programs 48
that college regular lectures 70
that college student subjects 43
that colloid osmotic pressure 51
that colonel champion desisted 115
that colonel champion formerly 55
that colored persons enlisted 43
that combine several functions 72
that complex behavior patterns 65
that concern national security 48
that conduct involving consenting 296
that congress decrees inimical 118
that congress finally approved 60
that contact between children 96
that contact between cultures 41
that contact between europeans 98
that contain audited financial 74
that contain certain keywords 82
that contain material relevant 53
that contain organic solvents 75
that contain pigment granules 56
that contain similar elements 76
that control arterial pressure 57
that control hormone secretion 98
that control pattern formation 64
that control protein synthesis 193
that country obtains imported 96
that country towards scotland 60
that current account balances 165
that current account deficits 1050
that current medical practice 177
that current operating expenses 93
that current research suggests 185
that current research supports 45
that current welfare policies 194
that current welfare programs 87
that defends against underlying 99
that defense counsel believes 101
that demands careful attention 162
that demands careful scrutiny 43
that deserve careful analysis 54
that deserve careful attention 265
that deserve careful scrutiny 73
that deserve priority attention 60
that deserve research attention 49
that despise european pleasures 49
that despite repeated attempts 211
that despite repeated requests 303
that despite several attempts 79
that develop between children 160
that develop following exposure 43
that directs protein synthesis 100
that display similar patterns 44
that distant pyramid directed 46
that disturb painted surfaces 77
that diverse geologic terrains 61
that divorce affects children 55
that elapses between exposure 117
that elapses between infection 49
that endanger national security 157
that enforce private morality 169
that european british subjects 169
that european colonial expansion 83
that everything becomes possible 266
that everything humanly possible 1058
that everything remains unchanged 102
that excited general interest 42
that exhibit optical activity 42
that exhibit similar patterns 51
that exhibit similar symptoms 49
that existed between american 211
that existed between business 97
that existed between catholics 62
that existed between christian 137
that existed between economic 45
that existed between elizabeth 48
that existed between employer 109
that existed between europeans 43
that existed between families 63
that existed between officers 103
that existed between portugal 41
that existed between religious 65
that existed between students 55
that existed between washington 80
that express foreign antigens 103
that facially neutral policies 40
that featured african american 195
that federal reserve chairman 203
that federal reserve discount 45
that federal reserve monetary 96
that federal reserve officials 501
that federal reserve policies 115
that federal welfare programs 119
that fifteen hundred embarked 76
that fifteen hundred families 126
that fifteen hundred soldiers 99
that fifteen thousand soldiers 103
that focused national attention 510
that following natural infection 175
that follows correct deduction 58
that follows shortly thereafter 50
that foolish builder mentioned 133
that foreign capital invested 205
that foreign exchange controls 269
that foreign exchange proceeds 43
that foreign exchange receipts 147
that foreign exchange reserves 1374
that foreign language aptitude 173
that foreign language education 232
that foreign language students 192
that foreign service officers 1112
that forests increase rainfall 78
that gallant officer peppered 42
that gallant veteran resolved 183
that general douglas macarthur 2213
that general jackson believed 80
that general jackson declared 48
that general jackson differed 81
that general jackson intended 54
that general jackson received 93
that general purpose financial 113
that genetic factors interact 130
that genetic factors probably 96
that genetic factors underlie 131
that glorious liberty wherewith 53
that gonadal steroid hormones 168
that granted summary judgment 213
that grossly offends ordinary 45
that history plainly intended 370
that hitherto faithful servitor 78
that immense estates bequeathed 63
that implies extreme debility 87
that implies forward movement 62
that improve patient outcomes 44
that include absence seizures 47
that include african american 58
that increase arterial pressure 44
that increase insulin secretion 202
that increase present wariness 44
that increase urinary excretion 109
that increasing solvent polarity 83
that induced distant counties 139
that inhibit gastric motility 54
that inhibit gastric secretion 72
that inhibit insulin secretion 122
that inhibit protein synthesis 2058
that inmates receive adequate 40
that inverse compton scattering 125
that involve express questioning 322
that involve federal questions 44
that involve national security 125
that involve several variables 66
that justice brennan proposes 40
that locally elected officials 130
that markets function properly 45
that massive general transfer 57
that mediates between stimulus 40
that members receive feedback 47
that monarch quietly retained 44
that national defense required 139
that national defense requires 88
that national foreign policies 114
that natural justice required 238
that natural justice requires 345
that natural language contains 102
that natural language grammars 135
that natural language processing 389
that natural religion presents 59
that natural religion supplies 63
that natural science provides 170
that natural uranium contains 48
that northern ireland remained 121
that officer himself informed 55
that parents provide children 77
that perfect capital mobility 296
that perfect justice dictates 188
that perform certain functions 264
that perform complex functions 48
that perform control functions 56
that perform licensing functions 43
that perform related functions 178
that perform several functions 86
that perform similar functions 1155
that perform similar services 43
that permits federal agencies 54
that permits official monitoring 141
that persist despite treatment 47
that persons answering somewhat 61
that persons occupying positions 100
that popular culture provides 206
that popular culture reflects 60
that possess similar chemical 48
that precious article anywhere 52
that prevent protein synthesis 94
that previous judicial decisions 48
that previous research suggests 204
that private capital formation 160
that private medical practice 155
that produce desired outcomes 71
that produce effects opposite 42
that produce general anesthesia 57
that produce primary products 58
that produce quality products 64
that produce similar clinical 52
that produce similar products 369
that produce similar services 247
that produce similar symptoms 308
that produce steroid hormones 154
that produce tangible benefits 83
that produce tangible products 83
that promote optimal functioning 45
that protect against bacterial 51
that protect against chemical 361
that protect against infection 240
that protect against pathogens 40
that protect private property 434
that provide abortion counseling 112
that provide abortion services 398
that provide certain services 49
that provide general direction 47
that provide general guidance 42
that provide instant feedback 43
that provide limited liability 56
that provide material benefits 83
that provide medical benefits 77
that provide medical services 226
that provide network services 199
that provide quality education 49
that provide quality products 41
that provide regular coverage 57
that provide related services 82
that provide similar benefits 86
that provide similar functions 78
that provide similar products 73
that provide similar services 445
that provide support functions 46
that provide support services 448
that provide tangible benefits 56
that provide welfare services 83
that quarter hurried dismally 90
that question depends entirely 111
that quickly becomes apparent 110
that quickly becomes obsolete 57
that rapidly becomes obsolete 91
that receive federal financial 2165
that receive sensory impulses 52
that reflect current practice 48
that reflect diverse cultural 44
that remains largely unchanged 132
that remains largely unsolved 42
that remains largely untapped 66
that renders private property 46
that require careful analysis 297
that require careful attention 646
that require careful monitoring 182
that require careful scrutiny 113
that require complex processing 101
that require creative solutions 158
that require divided attention 84
that require extreme precision 42
that require federal agencies 67
that require focused attention 126
that require general anesthesia 130
that require medical attention 1079
that require medical treatment 520
that require priority attention 66
that require regular attention 66
that require similar processing 127
that require similar treatment 61
that research involving children 128
that research studies indicate 47
that satisfy similar relations 89
that schools prepare students 96
that schools provide students 83
that secrete steroid hormones 115
that several african american 138
that several british officers 207
that several british subjects 42
that several canadian officers 41
that several eminent scholars 52
that several factors affected 102
that several factors combined 191
that several factors interact 167
that several factors militate 103
that several federal agencies 201
that several hundred american 142
that several hundred children 150
that several hundred families 174
that several hundred japanese 50
that several hundred soldiers 141
that several hundred students 209
that several hundred thousands 161
that several persons actually 69
that several speakers insisted 59
that several studies indicate 186
that several thousand american 128
that several thousand children 203
that several thousand citizens 44
that several thousand families 141
that several thousand soldiers 137
that several thousand students 101
that several vessels reported 75
that similar results followed 41
that similar results obtained 51
that sixteen thousand soldiers 83
that soluble factors produced 46
that southern baptist churches 115
that spousal support payments 65
that strongly resists attempts 43
that student support services 114
that success depends entirely 250
that support national security 46
that support service delivery 46
that tacitly accepts dominant 53
that teachers involve students 42
that teachers prepare students 43
that teachers provide students 154
that threatens national security 163
that totally relieve pressure 111
that unbiased judicial judgment 144
that unlucky colonel christian 67
that urinary albumin excretion 42
that urinary calcium excretion 265
that usually affects children 373
that usually attract attention 53
that usually becomes apparent 170
that usually becomes manifest 56
that victory finally declared 68
that violence against children 423
that violence against civilians 108
that violence against property 88
that warrant careful attention 150
that warrant medical attention 230
that western european economic 43
that workers receive adequate 47
them against foreign invaders 42
then austrian foreign minister 132
then british foreign minister 591
then canadian foreign minister 43
then checked herself abruptly 44
then checked himself abruptly 81
then checked himself suddenly 54
then chinese foreign minister 322
then devoted himself entirely 265
then entered private business 49
then entered private practice 310
then everything becomes possible 47
then federal reserve chairman 107
then fifteen thousand soldiers 46
then foreign affairs minister 283
then general officer commanding 374
then granted summary judgment 214
then plotted against distance 46
then plotted against wavelength 87
then present several examples 49
then provide several examples 44
then remains roughly constant 103
then resumed private practice 119
then turkish foreign minister 125
they acquire foreign languages 60
they advance towards maturity 221
they attract general attention 41
they believe national security 64
they brought forward examples 63
they contain certain elements 109
they contain pigment granules 40
they contain precious rarities 101
they contend against conferring 179
they deserve careful analysis 66
they deserve careful attention 306
they deserve careful scrutiny 52
they deserve especial attention 46
they develop certain relations 63
they discuss current politics 42
they endanger national security 123
they exerted increasing pressure 42
they exhibit similar chemical 147
they founded several villages 76
they fulfill certain functions 46
they inhibit protein synthesis 322
they largely replace egoistic 78
they marched onwards terrible 40
they perform certain functions 250
they perform certain services 58
they perform notable services 83
they perform regional functions 122
they perform several functions 62
they perform similar functions 446
they perhaps utterly supplant 47
they possess certain inherent 50
they possess certain physical 81
they present certain problems 95
they present rational argument 110
they present several problems 70
they present similar problems 83
they present unusual problems 41
they produce similar products 65
they produce similar symptoms 70
they provide certain services 48
they provide general guidance 54
they provide medical benefits 86
they provide medical services 67
they provide similar services 67
they provide support services 52
they provide tangible evidence 95
they receive certain articles 43
they receive certain benefits 48
they receive federal financial 67
they receive medical attention 389
they receive medical services 40
they receive medical treatment 162
they receive regular feedback 42
they receive regular supplies 51
they receive similar treatment 50
they receive welfare benefits 40
they reflect current practice 59
they repeated certain passages 68
they require careful analysis 112
they require careful attention 230
they require careful monitoring 88
they require careful selection 49
they require careful treatment 52
they require medical attention 176
they require medical treatment 137
they require similar treatment 43
they squeeze several questions 41
they stopped between cleverly 54
they undergo certain chemical 96
they usually involve multiple 44
they usually require surgical 43
they welcome college students 40
this adverse fortune overtook 82
this alliance chiefly depended 49
this ancient chinese practice 44
this arduous service deserved 84
this article exactly observed 87
this british bulldog contempt 55
this central concept suggests 47
this chapter briefly describe 65
this chapter briefly examines 235
this chapter briefly explains 57
this chapter briefly explores 109
this chapter briefly outlines 355
this chapter briefly presents 67
this chapter briefly sketches 113
this chapter contain detailed 52
this chapter contain examples 43
this chapter differs slightly 90
this chapter differs somewhat 120
this chapter directs attention 52
this chapter focuses attention 196
this chapter focuses directly 44
this chapter focuses entirely 41
this chapter include examples 87
this chapter provide detailed 179
this chapter provide evidence 336
this chapter provide examples 357
this chapter provide guidance 76
this chapter provide insights 87
this chapter provide specific 67
this chapter provide valuable 74
this chapter relates directly 41
this chapter reviews evidence 58
this chapter several examples 168
this chapter strongly suggests 288
this chapter strongly supports 104
this complex problem requires 47
this concept becomes apparent 48
this congress advises immediate 104
this country against rebellion 53
this country depends entirely 109
this current remains constant 48
this dialogue between socrates 40
this dreadful captive situation 43
this dreadful subject properly 40
this eternal shallow cynicism 61
this fraction remains constant 45
this funeral apparel inspired 48
this general forward movement 56
this general pattern occurred 91
this general sincere intention 41
this glorious victory entitles 100
this hapless stranger resisted 46
this immense capital annually 142
this immense national property 64
this language contact situation 46
this limited natural resource 57
this national tabular standard 40
this northern channel afforded 51
this outrage against humanity 42
this passage strongly suggests 64
this pattern becomes apparent 41
this pattern remains constant 41
this pattern strongly suggests 79
this position becomes apparent 123
this position matters remained 50
this position remains unchanged 44
this precious natural resource 181
this present general assembly 5910
this present visible universe 43
this problem becomes apparent 212
this problem remains unsolved 453
this problem usually involves 50
this problem usually requires 55
this process becomes apparent 89
this process depends entirely 68
this process gathered momentum 107
this process natural selection 227
this process usually involves 172
this process usually requires 116
this product remains constant 47
this purpose usually consists 57
this question becomes apparent 166
this question captain mitchell 74
this question careful attention 46
this question depends crucially 133
this question depends entirely 484
this question depends somewhat 98
this question focuses attention 43
this question follows directly 43
this question remains unsolved 64
this question usually involves 41
this rapidly expanding business 56
this rapidly expanding industry 191
this rapidly expanding movement 48
this relation between habitual 49
this relation between pressure 91
this relation between stimulus 50
this relation remains unchanged 49
this research project included 74
this research project indicate 41
this research project involved 77
this research project involves 45
this research project possible 200
this research strongly suggests 127
this research strongly supports 52
this respect america compares 46
this respect becomes apparent 51
this respect between children 43
this respect between chlorine 52
this respect between easements 40
this respect closely resemble 55
this respect closely resembling 57
this respect depends entirely 57
this respect differing entirely 58
this respect differing markedly 93
this respect differs markedly 69
this respect differs somewhat 42
this respect exactly resemble 47
this respect optical rotatory 129
this respect remains unchanged 42
this respect strongly resembling 40
this seemingly endless conflict 52
this seemingly endless struggle 50
this solution becomes unstable 65
this species closely resemble 214
this species differs markedly 46
this subject careful attention 43
this treatise closely followed 45
this unhealthy symptom manifest 57
this uniform federal standard 72
this unlucky quarrel happened 45
thus granted summary judgment 60
thus revealed repeated refusals 46
thus utterly rendering insecure 47
top federal reserve officials 105
tor printed library materials 108
try european british subjects 236
two adjusting entries required 59
two anterior thoracic segments 83
two bilingual aphasic patients 66
two british cavalry brigades 64
two british columns advanced 40
two british general elections 45
two buildings closely resemble 68
two calcium channel blockers 90
two capital letters followed 63
two central research questions 81
two closely related antigens 87
two closely related articles 54
two closely related bacterial 41
two closely related branches 133
two closely related concepts 647
two closely related concerns 66
two closely related elements 194
two closely related examples 55
two closely related families 344
two closely related functions 246
two closely related hormones 147
two closely related languages 729
two closely related passages 52
two closely related patterns 40
two closely related peptides 116
two closely related problems 779
two closely related products 42
two closely related programs 74
two closely related projects 68
two closely related proteins 224
two closely related purposes 127
two closely related questions 931
two closely related respects 158
two closely related sciences 60
two closely related subjects 263
two closely related variables 76
two closely written foolscap 58
two complex numbers requires 47
two consuls elected annually 100
two couples exchange partners 40
two decades increasing attention 77
two equally eternal beginnings 84
two exactly similar machines 50
two exactly similar pictures 78
two following numbers happened 65
two following sections describe 41
two foreign language aptitude 71
two foreign service officers 298
two friends equally discreet 70
two general research questions 83
two greatest spanish painters 41
two hundred african american 107
two hundred austrian dragoons 41
two hundred british regulars 130
two hundred british soldiers 300
two hundred british subjects 114
two hundred capital felonies 41
two hundred capital offenses 144
two hundred chinese soldiers 58
two hundred chinese students 54
two hundred college campuses 101
two hundred college students 257
two hundred dollars american 108
two hundred dollars annually 540
two hundred dollars borrowed 42
two hundred election petitions 41
two hundred european soldiers 117
two hundred furnace chimneys 90
two hundred inferior officers 78
two hundred journal articles 74
two hundred largest american 67
two hundred medical students 88
two hundred mexican soldiers 116
two hundred millions annually 102
two hundred moorish horsemen 52
two hundred mounted infantry 71
two hundred mounted riflemen 120
two hundred mounted soldiers 73
two hundred mounted spaniards 49
two hundred persons annually 62
two hundred persons attended 213
two hundred persons employed 82
two hundred persons perished 211
two hundred persons remained 54
two hundred regular soldiers 147
two hundred spanish families 72
two hundred spanish horsemen 58
two hundred spanish infantry 105
two hundred spanish soldiers 189
two hundred talents annually 47
two hundred thousand africans 93
two hundred thousand american 855
two hundred thousand annually 174
two hundred thousand armenians 148
two hundred thousand austrians 190
two hundred thousand bayonets 192
two hundred thousand captives 240
two hundred thousand catholics 137
two hundred thousand children 922
two hundred thousand chimneys 92
two hundred thousand christian 106
two hundred thousand citizens 592
two hundred thousand civilians 225
two hundred thousand complete 66
two hundred thousand converts 115
two hundred thousand cossacks 99
two hundred thousand distinct 114
two hundred thousand drachmas 49
two hundred thousand electors 341
two hundred thousand europeans 133
two hundred thousand families 436
two hundred thousand garments 48
two hundred thousand guilders 350
two hundred thousand hectares 214
two hundred thousand homeless 139
two hundred thousand horsemen 210
two hundred thousand hungarians 130
two hundred thousand infantry 386
two hundred thousand innocent 196
two hundred thousand irishmen 179
two hundred thousand japanese 690
two hundred thousand laborers 90
two hundred thousand majority 63
two hundred thousand marchers 44
two hundred thousand mexicans 65
two hundred thousand monsters 72
two hundred thousand murdered 46
two hundred thousand officers 69
two hundred thousand parisians 59
two hundred thousand patients 98
two hundred thousand perished 70
two hundred thousand pilgrims 415
two hundred thousand probably 51
two hundred thousand proposed 87
two hundred thousand prussians 62
two hundred thousand quarters 45
two hundred thousand recruits 75
two hundred thousand refugees 404
two hundred thousand regulars 46
two hundred thousand remained 90
two hundred thousand saracens 56
two hundred thousand separate 78
two hundred thousand settlers 62
two hundred thousand soldiers 2341
two hundred thousand spaniards 149
two hundred thousand spindles 69
two hundred thousand strangers 342
two hundred thousand students 488
two hundred thousand subjects 80
two hundred thousand tourists 70
two hundred thousand trumpets 120
two hundred thousand vehicles 85
two hundred thousand veterans 75
two hundred thousand visitors 318
two hundred turkish soldiers 55
two hundred veteran soldiers 41
two hundred warriors attacked 54
two hundred wounded soldiers 64
two lightning flashes occurred 75
two linearly related variables 46
two members elected annually 65
two minutes northern latitude 167
two monster nuggets mentioned 54
two natures closely resemble 51
two objects equally irritating 48
two official national languages 216
two operate against richmond 88
two parties exchange interest 44
two persons equally innocent 45
two plantar digital arteries 87
two preceding sections mentioned 106
two previous general elections 103
two previous suicide attempts 158
two primary factors involved 58
two primary research questions 139
two recurring holiday displays 66
two regular sessions annually 46
two related research projects 70
two sections briefly describe 73
two sections provide examples 68
two secular princes concurring 65
two similar regular polygons 94
two similar species scarcely 50
two smaller buildings attached 51
two species closely resemble 175
two strongly coupled hydrogen 57
two studies provide evidence 120
two teenage suicide clusters 69
two thousand african american 54
two thousand british infantry 60
two thousand british regulars 132
two thousand british soldiers 399
two thousand british subjects 89
two thousand chinese soldiers 84
two thousand chinese students 51
two thousand college students 151
two thousand dollars annually 783
two thousand dollars invested 52
two thousand dollars received 43
two thousand european soldiers 68
two thousand mexican soldiers 50
two thousand persons annually 64
two thousand persons attended 210
two thousand persons perished 199
two thousand persons suffered 123
two thousand persons survived 88
two thousand regular infantry 67
two thousand regular soldiers 146
two thousand smaller vignette 66
two thousand spanish families 72
two thousand spanish soldiers 79
two thousand trained soldiers 42
two thousand veteran soldiers 62
two thousand wounded soldiers 54
two unarmed wheeled vehicles 48
two wounded british soldiers 72
