tabu holds also for 173
take damon into our 128
take danger from her 59
take defeat from any 157
take drugs when they 93
take drugs when you 68
take eight days and 54
take eight days for 67
take eight years and 95
take eight years for 133
take either side and 99
take either side with 54
take equal arms with 98
take equal care not 64
take equal care that 263
take equal part with 83
take equal rank with 686
take every care and 164
take every care for 86
take every care not 285
take every care that 1211
take every care with 52
take every case that 178
take every cent out 117
take every cent that 47
take every cent you 71
take every last bit 51
take every last one 155
take every means for 111
take every means that 65
take every other day 65
take every risk and 63
take every single one 243
take every step and 56
take every step for 105
take every step that 916
take every step they 68
take every step with 274
take every step you 61
take every time you 164
take every word and 61
take every word she 52
take every word that 60
take extra care and 242
take extra care for 66
take extra care not 529
take extra care that 548
take extra care with 1755
take extra days off 126
take extra time and 711
take extra time for 314
take extra time off 422
take extra time with 161
take extra work and 48
take fewer days off 200
take fifty years for 297
take first those that 45
take flesh upon him 52
take forms other than 1021
take forty years for 156
take fresh heart and 59
take fresh root and 48
take funds from one 72
take genes from one 61
take goods from one 85
take heidi back with 49
take hints from his 56
take human beings and 95
take human beings for 70
take human beings out 41
take human fish out 174
take human form and 498
take human form for 64
take human life and 359
take human life for 95
take input data and 54
take input from one 48
take issue also with 53
take issue even with 69
take issue here with 616
take issue only with 196
take issue upon that 88
take jesus into our 43
take legal means for 58
take light what may 266
take loans from them 84
take longer time and 89
take longer time for 205
take longer time than 399
take longer when you 147
take menial jobs and 48
take menial jobs that 53
take mercy upon this 93
take merit from them 52
take money from all 211
take money from any 529
take money from both 456
take money from each 43
take money from her 2021
take money from him 1275
take money from his 1184
take money from its 173
take money from men 210
take money from one 1239
take money from our 192
take money from that 241
take money from them 1951
take money from this 171
take money from you 3991
take money like that 76
take mother home with 46
take motor cars and 93
take notes during each 73
take notes during her 41
take notes during his 85
take notes during our 51
take notes during this 178
take notes from all 41
take notes from each 45
take notes from his 184
take notes from them 204
take notes from this 71
take notes when they 223
take notes when you 414
take omens from its 66
take others along with 147
take others down with 109
take others into his 107
take others into our 109
take parts from one 105
take people along with 67
take people away and 58
take people back and 77
take people from all 66
take people from one 196
take people into his 76
take people into our 71
take people like that 110
take people like you 88
take people when they 45
take place along all 84
take place along any 195
take place along both 40
take place along each 45
take place along its 127
take place along one 160
take place along that 231
take place along them 102
take place along this 793
take place along two 804
take place along with 2506
take place also for 98
take place also with 344
take place among all 720
take place among and 66
take place among any 80
take place among her 88
take place among his 381
take place among its 259
take place among men 2197
take place among our 267
take place among them 4744
take place among things 62
take place among this 181
take place among you 146
take place during aging 288
take place during all 405
take place during and 1291
take place during any 1217
take place during both 184
take place during day 120
take place during dna 64
take place during dry 56
take place during each 1394
take place during heat 144
take place during her 405
take place during his 1183
take place during hot 64
take place during its 1417
take place during long 81
take place during low 45
take place during may 212
take place during non 138
take place during off 59
take place during one 1617
take place during our 863
take place during peak 88
take place during rem 374
take place during that 2777
take place during this 10976
take place during two 263
take place during war 190
take place early and 165
take place early this 72
take place even for 235
take place even now 154
take place even then 123
take place even with 636
take place from age 137
take place from all 511
take place from and 243
take place from any 949
take place from both 373
take place from day 902
take place from each 68
take place from end 297
take place from her 218
take place from his 418
take place from its 470
take place from low 109
take place from may 542
take place from mid 254
take place from now 139
take place from one 4975
take place from our 143
take place from that 829
take place from them 171
take place from this 2037
take place from two 445
take place from year 855
take place have not 427
take place here and 2040
take place here are 251
take place here but 70
take place here each 58
take place here for 51
take place here than 85
take place here that 52
take place here this 59
take place here too 84
take place here was 43
take place here with 248
take place into all 51
take place into and 56
take place into any 105
take place into its 98
take place into one 55
take place into them 56
take place into this 72
take place just now 83
take place just then 141
take place just two 53
take place just yet 123
take place last year 137
take place late that 42
take place less and 50
take place less than 912
take place like that 301
take place like this 102
take place means that 257
take place more and 763
take place more than 3433
take place much too 79
take place must not 80
take place need not 101
take place next day 3168
take place next year 2150
take place once all 55
take place once and 686
take place once each 44
take place once for 217
take place once per 67
take place once they 130
take place once this 48
take place once you 189
take place only due 48
take place only for 2284
take place only near 312
take place only one 325
take place only out 83
take place only then 49
take place only two 148
take place only with 9270
take place other than 581
take place over all 199
take place over and 857
take place over any 208
take place over both 101
take place over his 65
take place over how 47
take place over its 79
take place over long 1672
take place over one 596
take place over our 43
take place over six 151
take place over ten 143
take place over that 173
take place over this 246
take place over two 963
take place some day 817
take place some two 65
take place soon and 263
take place soon but 48
take place such that 743
take place there and 1405
take place there are 1026
take place there but 125
take place there can 193
take place there each 92
take place there for 78
take place there had 130
take place there has 190
take place there may 142
take place there now 45
take place there than 148
take place there that 350
take place there this 43
take place there too 61
take place there was 291
take place there with 78
take place three and 98
take place till all 381
take place till her 78
take place till his 146
take place till its 55
take place till long 225
take place till may 269
take place till near 407
take place till one 127
take place till our 43
take place till she 79
take place till six 305
take place till ten 75
take place till that 131
take place till then 96
take place till they 246
take place till this 155
take place till two 1239
take place till you 70
take place time and 130
take place upon all 73
take place upon any 710
take place upon each 71
take place upon earth 269
take place upon her 91
take place upon him 58
take place upon his 519
take place upon its 232
take place upon one 137
take place upon our 329
take place upon that 180
take place upon them 375
take place upon this 578
take place very far 52
take place very near 274
take place were all 99
take place were not 677
take place were they 43
take place were this 57
take place when air 351
take place when all 2033
take place when and 439
take place when any 721
take place when both 1307
take place when death 42
take place when each 268
take place when god 198
take place when heat 129
take place when her 87
take place when his 265
take place when its 133
take place when man 227
take place when men 459
take place when new 493
take place when not 48
take place when one 3834
take place when our 249
take place when she 1104
take place when that 677
take place when they 5410
take place when things 145
take place when this 1853
take place when two 2664
take place when using 161
take place when you 3728
take place will not 290
take plain part with 51
take power from him 89
take power from his 144
take power from one 85
take power from them 246
take power from you 71
take power into his 286
take power into its 1468
take power into our 200
take power over them 71
take pride when they 111
take quiet time for 114
take quite such long 55
take rather less than 80
take rather more than 953
take right hold and 99
take risks along with 165
take risks just for 71
take risks like that 637
take risks like this 83
take risks when they 582
take risks when you 215
take risks will not 50
take russia into our 57
take seven days and 72
take seven days for 85
take seven years and 118
take seven years for 206
take shall come man 77
take shape along with 107
take shape during his 91
take shape during this 256
take shape from his 105
take shape from our 78
take shape from this 64
take shape more than 49
take shape when she 50
take shape when they 76
take shape when you 60
take short cuts and 719
take short cuts that 254
take short cuts with 122
take sides upon this 71
take sides when they 159
take sides when you 59
take sixty years for 40
take small fish and 40
take small sips and 49
take solid food and 171
take solid food for 77
take solid form and 48
take space here for 169
take spain from him 42
take steps other than 43
take stuff from one 56
take stuff like that 259
take sugar when she 41
take tacit part with 49
take tests when they 51
take theirs away too 64
take thence from her 96
take thirty years and 77
take thirty years for 187
take turns acting out 1164
take turns adding one 116
take turns asking and 2006
take turns asking each 959
take turns asking for 120
take turns asking one 167
take turns beating him 47
take turns caring for 1614
take turns giving and 217
take turns giving each 234
take turns giving one 61
take turns having sex 80
take turns leading and 201
take turns leading each 75
take turns living with 103
take turns making and 46
take turns moving one 120
take turns naming things 59
take turns paying for 106
take turns posing for 61
take turns raping her 95
take turns reading and 640
take turns reading each 551
take turns reading one 142
take turns reading our 45
take turns reading out 376
take turns reading them 743
take turns reading this 97
take turns reading with 57
take turns riding and 68
take turns riding him 88
take turns riding with 48
take turns ruling and 57
take turns seeing who 44
take turns trying out 43
take turns wearing them 53
take turns when they 84
take under their own 162
take under their wings 89
take usury from any 76
take usury from him 53
take warning from her 132
take warning from him 153
take warning from his 582
take warning from its 57
take warning from our 104
take warning from that 134
take warning from them 279
take warning from this 699
take water along with 53
take water from all 42
take water from any 487
take water from each 78
take water from her 107
take water from him 72
take water from his 250
take water from its 70
take water from one 307
take water from that 119
take water from them 1158
take water from this 171
take water into his 74
take water into its 57
take water into our 47
take which road you 83
take which side they 378
take which side you 217
take wiser heads than 91
take within their own 185
take wives from any 43
take wives from each 61
take wives from them 70
take yours from you 61
taking about four and 45
taking about three and 58
taking action other than 74
taking action upon them 107
taking action when she 40
taking action when they 130
taking action when you 105
taking action will not 43
taking ample time for 66
taking anything away with 53
taking anything from any 69
taking anything from her 149
taking anything from him 323
taking anything from his 132
taking anything from its 41
taking anything from them 392
taking anything from you 285
taking anything less than 85
taking anything like that 105
taking anything more than 167
taking anything other than 131
taking bearings from two 55
taking blood from her 59
taking blood from his 54
taking blood from one 153
taking books from his 41
taking breaks only for 52
taking calls from all 41
taking calls from his 64
taking david along with 41
taking drugs other than 110
taking drugs when she 51
taking drugs when they 103
taking equal rank with 95
taking every care not 143
taking every care that 302
taking every other year 56
taking every ship they 53
taking every step that 183
taking every step with 94
taking extra care and 41
taking extra care not 225
taking extra care that 103
taking extra care with 324
taking extra time and 129
taking extra time for 107
taking extra time off 178
taking extra time with 135
taking flesh upon him 55
taking forms other than 40
taking funds from one 87
taking genes from one 64
taking goods from one 164
taking goods from you 59
taking goods will lie 49
taking henry from his 86
taking human form and 135
taking human life and 140
taking human life for 87
taking human life has 56
taking human life that 56
taking human life was 65
taking issue here with 107
taking issue only with 51
taking longer time than 53
taking money from all 107
taking money from any 187
taking money from both 361
taking money from her 791
taking money from him 692
taking money from his 965
taking money from its 50
taking money from men 130
taking money from old 42
taking money from one 1618
taking money from our 103
taking money from that 57
taking money from them 633
taking money from this 67
taking money from two 41
taking money from you 496
taking notes during his 53
taking notes during our 47
taking notes from any 41
taking notes from her 55
taking notes from his 125
taking notes from them 106
taking notes like mad 76
taking notes when she 45
taking notes when you 64
taking others along with 79
taking others down with 47
taking others into his 55
taking parts from one 45
taking people from one 102
taking people into his 69
taking place along all 46
taking place along its 90
taking place along one 85
taking place along this 155
taking place along two 85
taking place along with 518
taking place among all 565
taking place among both 68
taking place among her 51
taking place among his 397
taking place among its 151
taking place among men 149
taking place among non 93
taking place among our 185
taking place among them 1030
taking place among this 64
taking place among you 179
taking place during aging 101
taking place during all 220
taking place during and 248
taking place during any 129
taking place during each 211
taking place during heat 95
taking place during her 89
taking place during his 514
taking place during hot 41
taking place during its 242
taking place during long 41
taking place during one 392
taking place during our 150
taking place during that 768
taking place during this 2965
taking place during two 127
taking place even now 318
taking place even then 41
taking place even with 46
taking place from all 262
taking place from any 44
taking place from both 59
taking place from day 665
taking place from each 59
taking place from his 85
taking place from its 70
taking place from may 44
taking place from one 1059
taking place from our 51
taking place from that 159
taking place from this 357
taking place from year 181
taking place have not 82
taking place here and 1056
taking place here are 98
taking place here for 51
taking place here now 73
taking place here that 152
taking place here too 44
taking place here was 95
taking place just now 154
taking place just out 84
taking place just then 85
taking place just two 45
taking place less than 327
taking place means that 168
taking place more and 324
taking place more than 564
taking place next day 52
taking place next year 68
taking place once for 91
taking place only for 63
taking place only now 46
taking place only two 78
taking place only with 91
taking place other than 171
taking place over all 99
taking place over and 122
taking place over his 71
taking place over long 223
taking place over one 158
taking place over that 52
taking place over this 186
taking place over two 136
taking place some two 59
taking place such that 155
taking place there and 685
taking place there are 323
taking place there can 54
taking place there for 82
taking place there had 47
taking place there has 62
taking place there may 101
taking place there now 105
taking place there than 49
taking place there that 217
taking place there too 51
taking place there was 490
taking place there with 91
taking place upon earth 178
taking place upon its 109
taking place upon our 74
taking place upon that 50
taking place upon them 129
taking place upon this 166
taking place very near 42
taking place were not 158
taking place when all 62
taking place when and 41
taking place when one 347
taking place when she 117
taking place when they 357
taking place when this 153
taking place when two 343
taking place when you 205
taking place will not 148
taking power from one 99
taking power into his 122
taking power into its 147
taking rather less than 42
taking rather more than 254
taking rebel arms for 155
taking risks like that 223
taking risks when they 85
taking sarah into his 43
taking seven days for 42
taking shape among them 40
taking shape during his 44
taking shape during this 164
taking shape here and 59
taking short cuts and 242
taking short cuts that 133
taking short cuts with 60
taking snuff from his 55
taking solid food and 77
taking stand upon them 108
taking stuff like that 92
taking swigs from his 46
taking thence from each 52
taking titus along with 169
taking titus also with 113
taking turns asking and 102
taking turns asking each 42
taking turns caring for 162
taking turns giving and 63
taking turns giving each 53
taking turns raping her 51
taking turns reading and 61
taking turns reading out 95
taking votes from both 42
taking wages from them 60
taking warning from his 52
taking warning from this 87
taking water from any 91
taking water from his 47
taking water from one 242
taking water from that 51
taking water from them 52
taking water from this 76
taking water into his 72
taking water into its 81
taking water over her 44
taking which into our 80
taking women from one 116
taking would have led 40
tale about good and 53
tale about love and 107
tale about there being 68
tale about what can 54
tale every time you 45
tale found their way 46
tale might have had 96
tale often told and 44
tale thirty years can 47
tale twice told but 80
tale which bears his 54
tale which deals with 126
tale which ends with 45
tale which nothing but 401
tale which says that 319
tale which will not 51
tale would have had 106
tale would have run 145
talk about acting and 98
talk about adam and 141
talk about ages and 101
talk about aids and 378
talk about aids with 188
talk about anger and 226
talk about areas that 305
talk about asking for 124
talk about babe ruth 110
talk about back then 43
talk about bears and 102
talk about bill and 107
talk about birth and 129
talk about bits and 45
talk about body and 129
talk about boring things 103
talk about boxing and 42
talk about boys all 116
talk about boys and 1022
talk about boys who 49
talk about boys with 96
talk about bread and 173
talk about bringing them 89
talk about buying and 232
talk about caring and 98
talk about caring for 618
talk about cars and 455
talk about cats and 214
talk about coming out 313
talk about coping with 218
talk about corn and 50
talk about cows and 198
talk about cuba and 160
talk about data and 42
talk about dating and 149
talk about dealing with 836
talk about deep things 185
talk about diet and 198
talk about dogs and 293
talk about drug use 173
talk about during his 101
talk about during our 168
talk about during that 93
talk about during this 149
talk about duty and 252
talk about even now 110
talk about even with 112
talk about evil and 118
talk about faith and 840
talk about fate and 54
talk about fears and 300
talk about fees and 40
talk about film and 106
talk about fire and 53
talk about fish and 142
talk about flying and 145
talk about food all 194
talk about food and 1516
talk about food for 120
talk about food has 103
talk about food with 94
talk about form and 294
talk about free and 46
talk about from now 89
talk about gays and 47
talk about girl things 46
talk about giving and 101
talk about giving each 80
talk about giving her 131
talk about giving him 138
talk about giving them 150
talk about giving you 129
talk about gods and 65
talk about goethe and 47
talk about gold and 200
talk about golf and 150
talk about good and 1584
talk about good old 105
talk about good things 674
talk about great men 161
talk about great things 135
talk about guns and 390
talk about guys and 85
talk about hair and 119
talk about hanging and 129
talk about hard things 82
talk about having any 55
talk about having fun 140
talk about having had 238
talk about having her 46
talk about having him 109
talk about having one 128
talk about having our 56
talk about having sex 373
talk about having two 108
talk about healing and 98
talk about health and 856
talk about hell and 126
talk about here and 180
talk about here are 169
talk about here than 79
talk about high and 175
talk about high art 127
talk about holy things 101
talk about home and 1000
talk about hope and 126
talk about hunt and 210
talk about ideas and 1182
talk about ideas for 381
talk about ideas that 279
talk about ideas with 113
talk about india and 346
talk about iraq and 40
talk about jack and 214
talk about jazz and 123
talk about jews and 209
talk about jobs and 365
talk about jobs for 42
talk about john and 235
talk about just how 273
talk about just now 381
talk about just one 423
talk about just that 114
talk about just then 67
talk about just yet 80
talk about kids and 292
talk about kids who 119
talk about land and 244
talk about last year 236
talk about laws and 188
talk about leaving and 94
talk about leaving him 115
talk about leaving his 47
talk about leaving you 101
talk about life and 2768
talk about life being 179
talk about life for 151
talk about life with 442
talk about living and 147
talk about living things 122
talk about living with 339
talk about loss and 182
talk about love all 133
talk about love and 4478
talk about love being 48
talk about love but 215
talk about love for 390
talk about love that 45
talk about love was 166
talk about love with 231
talk about loving and 49
talk about loving god 211
talk about loving her 43
talk about loving one 82
talk about loving our 118
talk about luck and 49
talk about making him 115
talk about making new 85
talk about making our 40
talk about making them 44
talk about making things 116
talk about making this 227
talk about male and 222
talk about many things 4060
talk about marx and 113
talk about mary and 112
talk about meaning and 266
talk about meats and 79
talk about media and 99
talk about milk and 93
talk about mind and 190
talk about more and 166
talk about more than 3028
talk about more things 105
talk about most things 407
talk about most was 128
talk about moving out 173
talk about much that 106
talk about next year 545
talk about nice things 246
talk about nothing and 254
talk about nothing but 6466
talk about nothing for 219
talk about nothing that 50
talk about nothing with 116
talk about once they 65
talk about only one 921
talk about only two 185
talk about only with 76
talk about oral sex 215
talk about other men 566
talk about other than 1454
talk about other things 14080
talk about over and 91
talk about over our 45
talk about pain and 396
talk about papa and 50
talk about past and 572
talk about paul and 145
talk about paying for 55
talk about peace and 2248
talk about peace but 128
talk about peace now 88
talk about peace was 104
talk about peace with 490
talk about pigs and 276
talk about poems and 109
talk about poets and 122
talk about race and 2074
talk about race with 180
talk about racing and 88
talk about rain and 58
talk about rape and 220
talk about reading and 646
talk about rich and 146
talk about riots and 47
talk about risk and 167
talk about rock and 45
talk about rome and 48
talk about safe sex 492
talk about saving her 99
talk about seeing and 97
talk about seeing things 162
talk about self and 306
talk about sets and 45
talk about shoes and 109
talk about size and 94
talk about some big 93
talk about some day 229
talk about some guy 41
talk about some key 47
talk about some new 642
talk about some old 127
talk about some one 208
talk about some real 170
talk about some things 4038
talk about soul and 95
talk about such and 217
talk about such things 25194
talk about taking her 168
talk about taking him 110
talk about taking his 100
talk about taking off 120
talk about taking things 111
talk about talk and 178
talk about teeth being 108
talk about text and 130
talk about their age 107
talk about their art 761
talk about their bad 162
talk about their being 715
talk about their big 102
talk about their dad 116
talk about their day 1666
talk about their dead 405
talk about their dear 42
talk about their death 282
talk about their dying 138
talk about their eating 45
talk about their fear 581
talk about their god 117
talk about their going 43
talk about their idea 52
talk about their job 588
talk about their law 91
talk about their long 212
talk about their men 239
talk about their new 979
talk about their not 51
talk about their old 414
talk about their own 22164
talk about their pet 58
talk about their real 599
talk about their sex 999
talk about their son 523
talk about their team 91
talk about their two 58
talk about their use 425
talk about their war 424
talk about their way 97
talk about theory and 242
talk about there being 2018
talk about these and 654
talk about these for 111
talk about these men 177
talk about these new 413
talk about these old 97
talk about these things 32682
talk about these two 1177
talk about these with 332
talk about those bad 51
talk about those men 110
talk about those old 281
talk about those that 204
talk about those they 47
talk about those things 8308
talk about those two 467
talk about those who 1666
talk about three things 392
talk about time and 976
talk about town that 50
talk about truth and 808
talk about ugly things 40
talk about union with 114
talk about voting for 53
talk about wars and 158
talk about ways and 414
talk about ways that 536
talk about ways they 410
talk about ways you 555
talk about wealth and 264
talk about were her 57
talk about were his 84
talk about were not 47
talk about what all 281
talk about what and 159
talk about what are 326
talk about what being 202
talk about what can 1684
talk about what did 260
talk about what does 574
talk about what each 1370
talk about what fun 40
talk about what god 1018
talk about what goes 1376
talk about what had 14148
talk about what has 5824
talk about what her 394
talk about what his 553
talk about what its 120
talk about what lay 160
talk about what led 121
talk about what may 571
talk about what men 184
talk about what new 47
talk about what not 131
talk about what one 1275
talk about what our 1018
talk about what she 7668
talk about what that 1196
talk about what they 55176
talk about what things 445
talk about what this 1404
talk about what was 15960
talk about what you 30550
talk about when all 45
talk about when and 437
talk about when his 41
talk about when one 315
talk about when she 1274
talk about when they 9076
talk about when this 101
talk about when you 5676
talk about whom they 128
talk about will not 261
talk about wine and 172
talk about wiping out 113
talk about work all 45
talk about work and 1414
talk about work for 98
talk about work that 56
talk about work with 274
talk about young men 162
talk about your age 96
talk about your art 135
talk about your bad 139
talk about your being 612
talk about your big 153
talk about your car 165
talk about your dad 575
talk about your day 864
talk about your dead 89
talk about your death 134
talk about your dog 181
talk about your dying 145
talk about your fear 231
talk about your going 244
talk about your idea 318
talk about your job 1210
talk about your long 102
talk about your man 104
talk about your mom 389
talk about your new 1222
talk about your not 44
talk about your old 279
talk about your own 5298
talk about your pet 45
talk about your real 221
talk about your sex 667
talk about your son 720
talk about your team 44
talk about your two 40
talk about your use 180
talk about youth and 55
talk above your head 96
talk again when she 40
talk again when you 693
talk alone will not 112
talk anything more than 100
talk anything over with 261
talk arose among them 43
talk dirty like that 173
talk every other day 44
talk every time you 62
talk fanny into any 112
talk folly like this 135
talk issuing from one 51
talk later when you 220
talk might have let 48
talk might help her 319
talk others into doing 50
talk people into doing 383
talk people into things 205
talk quite like that 42
talk quite like this 108
talk right past each 206
talk sense into her 1149
talk sense into him 1248
talk sense into his 220
talk sense into that 99
talk sense into them 415
talk sense into this 103
talk sense into you 417
talk sense when his 52
talk shows dealing with 118
talk shows were not 118
talk shows when they 94
talk small talk and 69
talk until there was 121
talk where there are 51
talk where there can 87
talk which dealt with 41
talk which rose and 66
talk would have had 42
talk would talk and 70
talk would wake you 65
tall beaver hats and 97
tall black felt hat 57
tall black girl with 72
tall black hats and 274
tall black hats with 55
tall black silk hat 171
tall blond girl who 80
tall blond girl with 84
tall blond young man 406
tall brick wall and 47
tall brick wall that 126
tall brick wall with 48
tall cross much out 97
tall floor lamp with 58
tall girls went out 141
tall glass over ice 351
tall glass tube with 48
tall grass were not 50
tall lamps were all 77
tall lanky young man 111
tall order even for 223
tall order when you 109
tall ships from all 49
tall spire cast its 79
tall stone peaks and 63
tall stone wall and 67
tall stone wall that 63
tall stout young man 42
tall strong young man 47
tall tales made him 40
tall tower grow and 52
tall trees bent and 64
tall trees here and 87
tall trees shut out 95
tall trees were doing 47
tall trees were thus 44
tall white arum that 65
tall white bird with 150
tall white caps and 43
tall white hats and 56
tall white pine and 46
tall woman came out 152
tame caged bears with 40
tank after tank was 63
tank crews were not 52
tank where there was 69
tape costs less than 62
tape could cope with 58
tape drive reads and 131
tape drive will not 66
tape every time you 45
tape moves from one 47
tape which will not 49
tape works well for 152
taps added during year 53
task easier said than 221
task falls into two 77
task force along with 93
task force also had 96
task force came out 51
task force dealing with 219
task force dealt with 78
task force during its 43
task force felt that 651
task force from his 50
task force from its 58
task force heading for 81
task force held its 91
task force knew that 131
task force last year 47
task force left its 50
task force made its 212
task force said that 279
task force sent out 124
task force were all 43
task force were not 155
task force will not 107
task looks like this 42
task since there are 324
task since there was 110
task takes more than 91
task thrown upon them 41
task thrust upon him 241
task thrust upon them 142
task until their dying 63
task where there are 77
task where there was 77
task which duty thus 246
task which even his 55
task which fate had 144
task which fate has 45
task which gave her 103
task which gave him 129
task which kept him 104
task which kept them 41
task which made him 79
task which marx set 41
task which more than 54
task which most men 53
task which must not 90
task which must now 46
task which need not 65
task which none but 138
task which nothing but 62
task which there was 77
task which these men 62
task which those who 89
task which took him 310
task which took them 94
task which very few 122
task which will bring 69
task which will lead 42
task which will not 311
task which will tax 91
task within their own 53
task would call for 118
task would cost him 78
task would have had 67
task would keep his 80
task would take him 80
taxi broke down and 52
taxi drove away and 50
taxing would make her 119
taxi which took her 62
taxi which took him 123
taxi which took them 103
taxi would take him 47
tbsp water salt and 113
teach about faith and 51
teach about food and 44
teach about health and 70
teach about life and 152
teach about love and 46
teach about race and 110
teach about their own 62
teach about these things 57
teach again next year 57
teach anything else than 78
teach anything less than 42
teach anything more than 122
teach anything other than 247
teach basic reading and 237
teach civil look and 84
teach human beings how 173
teach human beings that 115
teach logic among them 63
teach music theory and 65
teach others many things 43
teach others those things 52
teach others what god 55
teach others what one 43
teach others what she 137
teach others what they 1011
teach others what you 349
teach others when they 61
teach others when you 102
teach people what they 480
teach people what you 66
teach rural boys and 54
teach women what they 46
teams create their own 85
teams drawn from all 44
teams often find that 48
teams spend less than 71
teams stand facing each 73
teams where there are 61
teams where there was 78
teams which have not 56
teams which have won 45
teams which were not 56
teams within their own 80
teams would have had 96
teams would play each 50
teams would work with 46
tearing chest pain that 50
tearing loose from her 42
tearing loose from its 103
tears again from that 78
tears again when she 93
tears broke free and 68
tears broke from her 165
tears broke from his 121
tears broke over his 83
tears burning down her 47
tears burst forth and 108
tears burst from her 1118
tears burst from him 78
tears burst from his 933
tears burst from them 47
tears could move him 55
tears could wash out 50
tears crept down her 153
tears crept down his 79
tears crept into her 72
tears crept into his 50
tears dance like mad 88
tears drawn from her 109
tears dried upon her 48
tears easily when two 64
tears every time she 337
tears every time they 69
tears every time you 48
tears falling down her 2026
tears falling down his 505
tears falling fast and 44
tears falling from both 46
tears falling from her 1157
tears falling from his 1011
tears falling from them 46
tears falling into her 101
tears falling onto her 110
tears falling onto his 84
tears falling over her 68
tears falling over his 109
tears falling thick and 92
tears falling upon her 97
tears falling upon his 138
tears finding their way 61
tears flowing down her 5672
tears flowing down his 2165
tears flowing down our 60
tears flowing fast and 68
tears flowing from her 981
tears flowing from his 1228
tears flowing into her 41
tears flowing over her 76
tears flowing over his 80
tears force their way 78
tears forcing their way 266
tears found their way 564
tears gliding down her 45
tears gushing down her 132
tears gushing down his 258
tears gushing from her 448
tears gushing from his 557
tears gushing into her 341
tears hopping down his 53
tears leaked down her 64
tears leaked from her 180
tears leaked from his 96
tears leaped into her 48
tears oozed from her 81
tears oozed from his 59
tears pouring down both 62
tears pouring down her 6236
tears pouring down his 2524
tears pouring down our 96
tears pouring from her 527
tears pouring from his 450
tears pouring over her 52
tears raced down her 245
tears raining down her 1011
tears raining down his 303
tears raining from her 159
tears raining over her 52
tears rolling down both 70
tears rolling down her 23776
tears rolling down his 11314
tears rolling down its 59
tears rolling down our 372
tears rolling from her 278
tears rolling from his 325
tears rolling over her 226
tears rolling over his 191
tears running down and 54
tears running down both 247
tears running down her 44684
tears running down his 20413
tears running down its 123
tears running down our 685
tears running from her 552
tears running from his 500
tears running into her 120
tears running into his 94
tears running over her 229
tears running over his 235
tears rushing down her 158
tears rushing down his 57
tears rushing from her 87
tears rushing into her 202
tears rushing into his 123
tears seeping from her 67
tears shall flow for 86
tears shall wake her 51
tears slide down her 495
tears slide down his 119
tears sliding down her 2847
tears sliding down his 395
tears sliding from her 51
tears soaking into his 88
tears spill down her 218
tears spill down his 51
tears spill from her 139
tears spill onto her 42
tears spill over and 73
tears spill over her 60
tears sprang from her 393
tears sprang from his 239
tears sprang into her 1133
tears sprang into his 491
tears springing from her 119
tears springing from his 65
tears springing into her 380
tears springing into his 111
tears sprung from her 55
tears sprung into her 72
tears start down her 54
tears start from her 98
tears start from his 270
tears start into her 161
tears start into his 153
tears stealing down her 247
tears stealing down his 378
tears stealing from her 48
tears steaming down her 93
tears still upon her 98
tears still upon his 44
tears stole down her 1486
tears stole down his 513
tears stole from her 71
tears stole from his 52
tears stole into her 96
tears streak down her 71
tears stream down her 1059
tears stream down his 901
tears stream down our 52
tears stream from her 150
