tang of faintly scented 554
than do married persons 153
than do nonunion workers 62
than do previous studies 45
than do private persons 60
than do private schools 75
than do skilled workers 45
than do smaller animals 117
than do smaller samples 76
than do smaller species 82
than go forward against 74
than he allowed himself 724
than he applied himself 317
than he availed himself 101
than he blessed himself 79
than he brought forward 94
than he desired success 129
than he devoted himself 217
than he exerted himself 86
than he fancied himself 67
than he himself allowed 51
than he himself appeared 62
than he himself brought 72
than he himself chooses 55
than he himself claimed 54
than he himself desired 157
than he himself enjoyed 91
than he himself entered 45
than he himself perhaps 105
than he himself realized 1019
than he himself realizes 273
than he hurried forward 59
than he marched against 130
than he perhaps realized 350
than he perhaps realizes 63
than he permits himself 55
than he realized because 114
than he realized himself 109
than he settled himself 56
than he stabbed himself 48
than he stepped forward 86
than he totally altered 89
than he trusted himself 82
than he usually allowed 340
than he usually appeared 54
than he usually carried 71
than he usually employs 49
than he usually enjoyed 60
than he usually evinced 50
than he usually realizes 52
than in abraham lincoln 45
than in america because 305
than in ancient history 59
than in animals because 90
than in animals exposed 73
than in animals receiving 171
than in applied research 88
than in applied science 72
than in attacking enemies 120
than in britain because 387
than in britain between 59
than in british america 105
than in british columbia 498
than in british society 57
than in british vessels 87
than in catholic circles 40
than in catholic schools 106
than in central america 759
than in central european 77
than in central germany 141
than in certain circles 54
than in certain european 63
than in certain foreign 46
than in chronic diseases 80
than in chronic leukemia 104
than in civilian society 225
than in closely related 229
than in coleman because 59
than in colonial america 63
than in comparing watches 53
than in control animals 2279
than in control classes 116
than in control embryos 72
than in control females 74
than in control infants 118
than in control muscles 82
than in control persons 59
than in control rabbits 56
than in control samples 180
than in control schools 79
than in control tissues 74
than in country schools 81
than in current dollars 101
than in current smokers 103
than in decimal notation 43
than in defending himself 89
than in defraying current 107
than in diverting capital 213
than in elderly persons 87
than in european schools 80
than in european society 264
than in federal systems 54
than in females because 316
than in foreign affairs 618
than in foreign exchange 97
than in foreign markets 278
than in general divides 93
than in general history 144
than in general language 97
than in general medical 179
than in general outline 53
than in general paresis 104
than in general purpose 46
than in general society 133
than in general surgery 89
than in germany because 237
than in grammar schools 82
than in harsher language 40
than in imparting material 48
than in imperial germany 55
than in infants receiving 45
than in january because 41
than in lowland forests 61
than in machine language 210
than in managed forests 65
than in matched control 220
than in material culture 72
than in matters affecting 112
than in matters involving 51
than in medical research 59
than in medical schools 78
than in medical science 67
than in national affairs 313
than in natural forests 142
than in natural history 148
than in natural language 78
than in natural objects 54
than in natural science 626
than in natural systems 88
than in neutral solution 210
than in newborn infants 54
than in northern european 227
than in northern germany 232
than in northern ireland 868
than in northern rhodesia 359
than in nursery schools 46
than in official circles 47
than in official reports 44
than in pitched battles 54
than in plenary sessions 62
than in poetical language 227
than in popular culture 78
than in preceding decades 270
than in preceding sections 42
than in preceding species 333
than in preceding volumes 70
than in preterm infants 94
than in previous attacks 55
than in previous battles 89
than in previous classes 69
than in previous cohorts 58
than in previous decades 5786
than in previous designs 93
than in previous editions 859
than in previous efforts 46
than in previous election 63
than in previous history 66
than in previous postwar 145
than in previous releases 85
than in previous reports 278
than in previous research 174
than in previous sections 192
than in previous sessions 230
than in previous species 60
than in previous studies 1699
than in previous summers 90
than in previous surveys 223
than in previous systems 83
than in previous versions 1119
than in previous volumes 167
than in previous winters 75
than in primary forests 62
than in primary schools 437
than in private affairs 197
than in private buildings 56
than in private conduct 42
than in private matters 69
than in private offices 78
than in private schools 529
than in private service 58
than in product markets 93
than in promoting general 47
than in protest against 45
than in providing against 44
than in providing answers 64
than in regular classes 198
than in regular schools 127
than in regular warfare 160
than in related species 357
than in secular affairs 52
than in secular buildings 48
than in secular matters 109
than in secular society 49
than in sensory neurons 61
than in several decades 52
than in several european 95
than in several preceding 146
than in several previous 126
than in several smaller 85
than in several western 48
than in similar animals 46
than in similar studies 91
than in smaller amounts 46
than in smaller animals 97
than in smaller markets 64
than in smaller schools 123
than in smaller species 47
than in smaller vessels 69
than in southern european 51
than in southern finland 215
than in southern florida 80
than in southern germany 180
than in southern rhodesia 484
than in spanish america 696
than in striated muscles 69
than in studies involving 51
than in unitary systems 77
than in western culture 292
than in western european 787
than in western finland 96
than in western germany 641
than in western society 708
than in worldly affairs 44
than in worldly matters 43
than in written language 417
than is brought forward 48
than is legally allowed 83
than is machine language 45
than is natural science 53
than is perhaps realized 165
than is perhaps usually 76
than is realized because 103
than is socially optimal 2753
than is usually adopted 174
than is usually advised 52
than is usually alleged 49
than is usually allowed 4417
than is usually applied 243
than is usually assumed 10951
than is usually awarded 101
than is usually brought 134
than is usually carried 95
than is usually charged 109
than is usually claimed 381
than is usually covered 103
than is usually derived 52
than is usually desired 73
than is usually devoted 272
than is usually enjoyed 124
than is usually evident 106
than is usually feasible 86
than is usually granted 906
than is usually implied 924
than is usually noticed 115
than is usually offered 332
than is usually present 920
than is usually realized 6271
than is usually secured 97
than it appeared because 272
than it becomes evident 92
than it excited general 150
than it sounded because 112
than it usually carries 43
than king charles himself 48
than king solomon himself 53
than my ancient comrade 46
than my closest friends 57
than my faithful servant 49
than my fellows despite 51
than my forlorn brethren 43
than my friends because 55
than my parents because 45
than my present position 131
than my religion obliges 69
than of defending himself 62
than of european manners 73
than of extinct species 43
than of foreign enemies 62
than of jealousy kindled 76
than of material comfort 48
than of material objects 45
than of national culture 80
than of national defense 47
than of natural history 96
than of natural objects 50
than of natural science 83
than of pitched battles 53
than of present conceit 61
than of private concern 42
than of private persons 92
than of prudent conduct 87
than of regular warfare 64
than of revealed religion 44
than of skilled workers 49
than of written language 49
than on acquiring culture 41
than on aesthetic grounds 79
than on applied research 48
than on current account 57
than on factors related 44
than on foreign affairs 141
than on foreign imports 43
than on foreign markets 49
than on foreign vessels 59
than on genetic factors 45
than on logical grounds 68
than on medical grounds 102
than on national defense 273
than on natural faculty 76
than on popular support 65
than on private grounds 85
than on product quality 70
than on rational grounds 132
than on written records 43
than so falsely deceive 43
than the abraham lincoln 144
than the account balance 342
than the accrued benefit 124
than the accused himself 234
than the acquiring company 160
than the actress herself 58
than the acutest insight 94
than the addition reactions 56
than the adhesion between 285
than the adjoining country 95
than the adjoining portions 68
than the adjoining surface 108
than the admiral himself 245
than the adrenal medulla 283
than the advance payment 51
than the advance premium 52
than the adverse effects 217
than the aesthetic aspects 119
than the aesthetic pleasure 50
than the aesthetic quality 56
than the african average 606
than the african national 59
than the african ostrich 146
than the african species 220
than the african variety 70
than the aleutian islands 101
than the alleged violation 55
than the alliance between 222
than the allowed maximum 612
than the allowed minimum 64
than the altered drapery 67
than the alveolar process 82
than the ambient density 58
than the amounts allowed 112
than the amounts assumed 42
than the amounts charged 120
than the amounts claimed 41
than the amounts payable 52
than the amounts present 120
than the amounts usually 43
than the analogy between 276
than the analyst himself 61
than the ancient british 47
than the ancient britons 100
than the ancient capital 149
than the ancient chinese 276
than the ancient customs 145
than the ancient egyptian 427
than the ancient european 98
than the ancient germans 127
than the ancient hebrews 108
than the ancient history 102
than the ancient language 51
than the ancient mariner 621
than the ancient natives 49
than the ancient persians 81
than the ancient promise 59
than the ancient torment 43
than the ancient writers 78
than the andaman islands 60
than the animals because 106
than the animals receiving 57
than the animating contest 118
than the annealed material 129
than the answering machine 46
than the anterior because 46
than the anterior capsule 79
than the anterior chamber 99
than the anterior columns 44
than the anterior cruciate 239
than the anterior division 403
than the anterior inferior 60
than the anterior lateral 408
than the anterior portions 84
than the anterior segment 99
than the anterior superior 53
than the anterior surface 598
than the apostle himself 248
than the applied aspects 48
than the applied current 56
than the applied overhead 60
than the applied voltage 2901
than the aquatic species 46
than the arranged marriage 45
than the arresting officer 156
than the arthurian legends 45
than the ascetic mounted 287
than the assumed average 316
than the assumed maximum 65
than the assumed minimum 56
than the assumed position 85
than the athletic country 174
than the auditor general 51
than the austrian general 168
than the austrian princes 42
than the average ability 413
than the average account 51
than the average advance 44
than the average african 853
than the average airline 49
than the average amateur 504
than the average ambient 52
than the average amounts 191
than the average analyst 71
than the average applied 61
than the average arrival 145
than the average article 60
than the average artisan 142
than the average assumed 88
than the average balance 87
than the average bathroom 67
than the average because 795
than the average bedroom 44
than the average beginning 107
than the average behavior 64
than the average benefit 301
than the average between 211
than the average british 1785
than the average canadian 1203
than the average capital 223
than the average captain 63
than the average catholic 300
than the average central 106
than the average chicago 113
than the average chicken 45
than the average chinese 1542
than the average citizen 6992
than the average civilian 774
than the average climate 53
than the average coastal 45
than the average college 3652
than the average colonial 118
than the average colored 59
than the average company 608
than the average concern 44
than the average contact 56
than the average content 454
than the average context 57
than the average control 357
than the average convict 59
than the average council 67
than the average country 546
than the average courage 40
than the average crustal 111
than the average culture 117
than the average current 834
than the average decline 162
than the average decrease 89
than the average deficit 56
than the average density 1337
than the average dentist 77
than the average deposit 63
than the average desktop 145
than the average deviation 610
than the average diameter 475
than the average doppler 104
than the average duration 974
than the average egyptian 276
than the average elderly 62
than the average elector 67
than the average emission 70
than the average engineer 158
than the average european 4564
than the average exchange 61
than the average expense 120
than the average exports 50
than the average factory 427
than the average faculty 129
than the average failure 45
than the average farmers 83
than the average federal 77
than the average fighter 54
than the average figures 581
than the average fitness 246
than the average foreign 515
than the average forward 92
than the average freight 95
than the average general 655
than the average genetic 50
than the average gentile 119
than the average grocery 61
than the average harvard 57
than the average harvest 57
than the average hungarian 122
than the average husband 179
than the average incomes 204
than the average increase 1641
than the average kinetic 893
than the average kitchen 77
than the average laborer 198
than the average latency 42
than the average liberal 234
than the average library 90
than the average machine 238
than the average manager 221
than the average marriage 124
than the average married 409
than the average material 74
than the average maximum 494
than the average measured 258
than the average medical 259
than the average members 269
than the average mexican 754
than the average migrant 107
than the average minimum 456
than the average musical 80
than the average musician 100
than the average national 630
than the average natural 264
than the average network 147
than the average newborn 86
than the average nigerian 169
than the average nominal 104
than the average northern 186
than the average numbers 122
than the average officer 274
than the average official 206
than the average operating 92
than the average outside 151
than the average overall 277
than the average painter 65
than the average parents 70
than the average parisian 123
than the average patient 2295
than the average pattern 41
than the average payment 111
than the average penalty 60
than the average percent 82
than the average persons 82
than the average picture 94
than the average pitcher 123
than the average planter 52
than the average playgoer 61
than the average popular 65
than the average position 100
than the average preacher 151
than the average premium 104
than the average present 218
than the average primary 229
than the average printed 93
than the average private 1223
than the average produce 132
than the average product 2541
than the average profits 321
than the average program 56
than the average project 124
than the average protein 86
than the average quality 420
than the average recruit 125
than the average regional 115
than the average regular 100
than the average research 52
than the average results 186
than the average returns 215
than the average revenue 505
than the average romance 49
than the average scholar 91
than the average seasonal 48
than the average secular 41
than the average senator 94
than the average servant 85
than the average service 326
than the average settler 76
than the average shopper 173
than the average sighted 101
than the average skilled 155
than the average society 81
than the average soldier 842
than the average southern 431
than the average spaniard 85
than the average spanish 257
than the average species 57
than the average squared 48
than the average stature 127
than the average student 3993
than the average subject 416
than the average subsidy 45
than the average success 107
than the average surface 377
than the average swedish 76
than the average teenage 51
than the average tensile 48
than the average tibetan 56
than the average tourist 536
than the average traffic 209
than the average trained 48
than the average transit 40
than the average turnout 50
than the average usually 49
than the average utility 92
than the average vacation 58
than the average variable 807
than the average variance 150
than the average variation 143
than the average variety 53
than the average vehicle 85
than the average village 437
than the average virginia 67
than the average visitor 220
than the average voltage 69
than the average weights 133
than the average welfare 99
than the average western 800
than the average workers 120
than the average workman 220
than the balance between 305
than the balance remaining 117
than the baptist himself 40
than the barbary pirates 49
than the barrier between 61
than the battery voltage 1608
than the battles between 90
than the beginning balance 127
than the beginning because 109
than the beginning student 68
than the benefit derived 413
than the biggest surface 59
than the binomial variance 49
than the bordeaux mixture 61
than the bottled variety 46
than the british article 61
than the british average 636
than the british because 231
than the british cabinet 209
than the british cavalry 41
than the british channel 260
than the british climate 83
than the british colonial 308
than the british columbia 85
than the british council 101
than the british economy 210
than the british embassy 49
than the british example 49
than the british figures 42
than the british foreign 509
than the british general 264
than the british imperial 57
than the british islands 713
than the british library 150
than the british medical 80
than the british monarch 155
than the british national 67
than the british officer 115
than the british official 44
than the british pattern 82
than the british position 58
than the british product 62
than the british realized 59
than the british soldier 241
than the british species 107
than the british subject 86
than the british traders 43
than the british treasury 62
than the british variety 173
than the british vessels 86
than the british workers 101
than the british workman 117
than the broader aspects 57
than the broader concept 168
than the broader context 57
than the broader picture 41
than the broader question 67
than the broader society 52
than the builder himself 50
than the buildings erected 51
than the burdens imposed 70
than the calcium content 85
than the canadian average 1902
than the canadian economy 94
than the canadian national 262
than the canadian pacific 854
than the canadian rockies 52
than the capital account 178
than the capital inflows 42
than the capital letters 105
than the capital markets 140
than the captain appeared 42
than the captain himself 416
than the captain ordered 52
than the carload minimum 53
than the carrier density 60
than the carrier transit 45
than the catholic bishops 72
than the catholic priests 196
than the catholic religion 331
than the catholic schools 92
than the cementing material 58
than the central african 227
than the central control 43
than the central density 54
than the central division 46
than the central element 61
than the central empires 64
than the central european 399
than the central figures 120
than the central incisor 705
than the central library 61
than the central maximum 188
than the central members 45
than the central meridian 50
than the central message 47
than the central nervous 1022
than the central nucleus 71
than the central pacific 376
than the central planets 129
than the central portions 479
than the central position 83
than the central problem 94
than the central question 62
than the central retinal 49
than the chances against 60
than the channel between 46
than the channel diameter 106
than the channel impulse 53
than the channel islands 157
than the charges against 178
than the charges brought 89
than the charges imposed 42
than the charter granted 52
than the chattel slavery 124
than the chicago tribune 177
than the chinese average 46
than the chinese because 231
than the chinese coolies 54
than the chinese economy 75
than the chinese emperor 113
than the chinese language 104
than the chinese product 49
than the chinese soldier 45
than the chinese species 80
than the chinese variety 125
than the chinese workers 69
than the chronic variety 54
than the circuit voltage 95
than the citizen himself 43
than the civilian economy 51
than the civilian regimes 88
than the classic variety 43
than the clearest concept 42
than the cleavage between 124
than the closely related 1714
than the closest cornish 170
than the closest embrace 55
than the coarser grained 88
than the coarser material 167
than the coastal resorts 46
than the coercive justice 69
than the coercive measures 46
than the cohesion between 257
than the college average 131
than the college faculty 46
than the college library 123
than the college student 266
than the colloid osmotic 849
than the colonel himself 135
than the colonial regimes 67
than the command economy 77
than the commons against 70
than the company average 524
than the company expects 80
than the company offered 66
than the competing private 41
than the competing product 123
than the complex process 57
than the composing process 74
than the concave surface 83
than the conduct pursued 46
than the congress because 44
than the contact between 121
than the contact surface 56
than the contest between 353
than the control animals 1194
than the control classes 127
than the control couples 53
than the control culture 62
than the control exerted 54
than the control females 117
than the control figures 64
than the control infants 208
than the control material 75
than the control parents 116
than the control program 76
than the control samples 288
than the control schools 94
than the control solution 64
than the control subject 122
than the control teachers 64
than the control voltage 60
than the correct answers 52
than the correct position 73
than the correct solution 115
than the coulomb barrier 243
than the council chamber 178
than the council members 118
than the country average 689
than the country because 50
than the country between 286
than the country dweller 115
than the country farmers 85
than the country schools 44
than the country squires 67
than the courses offered 59
than the creative aspects 53
than the creative faculty 46
than the creative impulse 89
than the creative process 194
than the critics suggest 62
than the critics suppose 63
than the crowded streets 73
than the crusade against 82
than the crustal average 152
than the crystal diameter 59
than the crystal lattice 280
than the culprit himself 62
than the current account 702
than the current average 1928
than the current balance 523
than the current british 81
than the current capital 64
than the current carried 47
than the current climate 67
than the current concept 46
than the current default 190
than the current deficit 45
than the current density 423
than the current display 58
than the current element 83
than the current european 153
than the current exchange 145
than the current federal 258
than the current figures 64
than the current forward 392
than the current futures 110
than the current general 60
than the current highest 136
than the current increase 53
than the current language 47
than the current largest 67
than the current location 86
than the current maximum 872
than the current members 78
than the current minimum 958
than the current national 223
than the current official 244
than the current operating 153
than the current opinions 104
than the current partner 61
than the current pattern 81
than the current phrases 84
than the current popular 58
than the current position 275
than the current priority 110
than the current problem 43
than the current process 259
than the current product 228
than the current program 237
than the current project 62
than the current reliance 62
than the current research 136
than the current revenue 43
than the current service 58
than the current solution 359
than the current systems 122
than the current taxable 127
than the current versions 48
than the current welfare 257
than the current western 55
than the damages awarded 104
than the damages claimed 86
than the darkest thoughts 40
than the deceased himself 55
than the deceased husband 47
than the decision process 59
than the decline between 45
than the declining balance 189
than the default behavior 70
than the default language 50
than the default location 185
than the default printer 133
than the default windows 95
than the defense against 43
than the defense counsel 54
than the defined benefit 53
than the defined minimum 51
than the density function 70
than the desired average 52
than the desired behavior 50
than the desired carrier 69
than the desired diameter 151
than the desired increase 82
than the desired maximum 260
than the desired minimum 534
than the desired operating 118
than the desired outcome 139
than the desired position 55
than the desired product 236
than the desired results 177
than the desired species 43
than the desired voltage 47
than the deviation between 62
than the diagonal element 47
than the dialogue between 204
than the diameter measured 54
than the discord between 44
than the dispute between 208
than the diurnal rotation 119
than the diurnal variation 76
than the division between 859
than the division manager 44
than the dowager empress 121
than the droplet diameter 138
than the duchess herself 73
than the dynamic aspects 64
than the dynamic element 82
than the dynamic friction 100
than the dynamic modulus 91
than the dynamic process 103
than the earliest egyptian 48
than the earliest passage 70
than the earliest printed 63
than the earliest records 69
than the earliest surviving 125
than the earliest written 105
than the economy average 69
than the effects wrought 43
than the egyptian bondage 46
than the egyptian obelisk 41
than the egyptian priests 77
than the egyptian pyramid 55
than the egyptian records 60
than the ejection fraction 80
than the elastic modulus 661
than the elastic restoring 67
than the elastic strains 95
than the elected members 203
than the elected official 112
than the election results 245
than the election returns 211
than the elector himself 73
than the eleventh century 7886
than the eminent brothers 42
than the emission control 106
than the emission current 149
than the emitter current 1170
than the emitter junction 185
than the emitter voltage 204
than the emotions aroused 58
than the emperor charles 330
than the emperor francis 244
than the emperor himself 1880
than the emperor napoleon 322
than the employing classes 42
than the empress dowager 124
than the empress eugenie 66
than the empress herself 105
than the endless variety 68
than the entropy decrease 83
than the equally hopeful 74
than the equally popular 45
than the estates general 68
than the eternal majesty 40
than the eternal problem 82
than the european average 5278
than the european because 217
than the european central 53
than the european colonial 60
than the european concept 42
than the european council 83
than the european culture 41
than the european economy 64
than the european laborer 123
than the european markets 42
than the european members 53
than the european product 66
than the european quarter 67
than the european soldier 43
than the european sparrow 109
than the european species 914
than the european systems 69
than the european traders 49
than the european variety 445
than the exchange between 151
than the exchange current 160
than the exciton diameter 216
than the exporting country 182
than the exposed surface 100
than the express company 47
than the exterior columns 52
than the exterior diameter 106
than the exterior portions 107
than the exterior surface 148
than the extreme fewness 50
than the extreme liberty 124
than the extreme minimum 43
than the extreme penalty 67
than the extreme position 52
than the factors affecting 45
than the factory average 49
than the factory manager 46
than the factory product 43
than the factory workers 504
than the factual content 123
than the factual details 53
than the factual material 41
than the faculty members 147
than the faithful servant 74
than the faithful service 179
than the familiar concept 41
than the familiar devices 43
than the familiar language 51
than the familiar pattern 40
than the familiar rituals 54
than the fastest express 109
than the fatigue resulting 49
than the federal average 142
than the federal capital 42
than the federal circuit 118
than the federal council 163
than the federal deficit 207
than the federal judicial 69
than the federal maximum 144
than the federal minimum 2583
than the federal poverty 353
than the federal program 536
than the federal reserve 1846
than the federal statute 389
than the federal supreme 62
than the females because 42
than the fifteen dollars 49
than the fifteen hundred 365
than the fifteen minutes 310
than the fifteen percent 41
than the fifteen thousand 173
than the figures assumed 47
than the figures derived 55
than the figures suggest 1251
than the figures usually 91
than the finance company 80
than the fleshly tablets 48
than the following account 303
than the following amounts 1556
than the following article 74
than the following average 131
than the following century 55
than the following comment 53
than the following dialogue 46
than the following example 110
than the following excerpt 311
than the following extract 739
than the following figures 60
than the following formula 68
than the following general 62
than the following january 72
than the following language 43
than the following letters 72
than the following liberal 90
than the following minimum 355
than the following numbers 56
than the following outline 51
than the following passage 1854
than the following picture 174
than the following process 44
than the following question 41
than the following remarks 146
than the following segment 158
