abandoning six 47 abandoning not 41
attempts can 84 attempts them 60
attended day 110 attended two 247
attended his 42 attended his 123
attention them 50 attention them 41
attention day 540 attention man 83
attention his 42 attention his 42
attention her 268 attention his 48
attention them 77 attention both 56
attention his 53 attention year 329
attention you 54 attention too 60
attention his 78 attention them 48
attention two 111 attention that 49
attention not 68 attention not 59
attention too 56 attitude day 110
attitude fear 112 attitude any 64
attitude his 94 attitude one 40
attorney one 59 attorney did 40
attorney had 83 attorney was 58
attorney was 43 attorney his 44
attracts not 48 audacity too 41
audience his 50 audience was 75
audience was 73 audience was 88
audience day 46 audience had 66
audience was 154 audience was 76
audience was 59 audience had 42
audience has 53 audience was 84
audience one 112 audience yet 43
audience all 49 audience with 77
audience and 53 augmenting day 174
augmenting year 219 augments day 46
augments year 42 authority age 53
authority any 58 authority day 107
authority man 217 authority her 99
authority year 87 authority this 125
authority own 61 authority law 64
authority one 226 authority its 101
authority them 276 authority earth 170
authority east 44 authority kings 54
authority men 49 authority his 150
authority them 78 authority them 45
authority her 58 authority his 63
authority her 214 authority his 48
authority her 548 authority his 40
authority all 217 authority all 43
authority any 104 authority not 62
authority his 94 authority its 46
authority was 81 authority was 81
authority for 173 autonomy her 218
averaged two 144 averaged ten 47
averaged two 100 averages two 66
averages ten 86 averages year 150
