aberrations into which reason 67
activities take place after 180
activities take place either 88
activities take place under 277
activities take place where 40
activities take place which 98
activities take place within 1800
activities taking place after 112
activities taking place could 48
activities taking place under 184
activities taking place while 658
activities taking place within 2362
activities took place after 119
activities took place under 191
activities took place which 62
activities took place while 42
activities took place within 660
activities were still under 43
adaptations from stage plays 109
adaptations have taken place 182
adjustment have taken place 57
adjustment having taken place 58
administer very large doses 93
admittance into either house 44
admittance into every house 42
adolescent girl whose mother 74
adolescent life change event 51
adolescent peer group tends 41
advantages most often cited 50
advantages over every rival 195
advantages over joint stock 182
advantages over large firms 56
advantages over local firms 209
advantages over others which 91
advantages over plain water 55
advantages over small firms 116
advantages over solid fuels 73
advantages over whole blood 94
adventures have taken place 69
adventures their leader meets 95
advertised over hither while 53
affidavits when motion based 105
afternoons were often spent 207
afternoons were spent playing 50
agreements have taken place 164
agreements were valid under 49
alchemists were really looking 42
alignments have taken place 40
allegations were either false 47
allowances from gross sales 80
allurement into overt action 47
alterations have since taken 66
alterations have taken place 2557
alterations having taken place 89
alterations take place within 45
alterations taking place within 66
alterations took place within 98
altercation having taken place 48
altercation took place which 102
ambassador from saudi arabia 45
amendments have taken place 136
amendments were added which 70
analytical tool which could 114
anatomists have really added 149
annexations have taken place 58
announcers were talking about 54
antibodies from human serum 48
anticipate what might occur 96
anticipate what others might 46
anticipate what would occur 80
anticipating what would later 82
apologists have never found 64
apparently been talking about 49
apparently been thinking about 95
apparently from outer space 53
apparently have taken place 109
apparently having taken place 66
apparently knew anything about 52
apparently some doubt about 55
apparently took place about 135
apparently took place after 275
apparently took place under 70
apparently took place while 66
apparently took place within 97
apparently were quite willing 41
appearances have often happy 40
appearances must exist under 67
appearances were fully saved 72
appearances were really rather 41
appellation from peter waldo 61
applicable time limit under 380
applicants were asked about 44
application date fixed above 61
application form please write 65
application from either party 96
application made within seven 41
application must first create 49
application must state facts 40
application will allow users 60
appreciated more fully after 56
approached from below since 62
approached from either above 159
approbation were mingled cries 41
appropriate body which shall 41
appropriate case might prove 61
appropriate heading under which 45
appropriate life cycle model 49
appropriate page table entry 77
appropriate time frame within 41
appropriate time limit within 109
appropriate unit within which 56
appropriate when talking about 123
appropriate when thinking about 58
architects like frank lloyd 222
architects were running round 93
arrangement from every point 45
arrangement good which saved 70
arrangement have taken place 40
arrangement till after ellen 42
articulate their learning needs 43
articulate their views about 208
articulating their views about 50
artificers were found amusing 43
ascertaining when force could 113
aspirations among lower class 42
aspirations have grown under 47
assailants were close under 96
assailants were never found 49
assailants were within forty 85
assemblies have taken place 74
assessment roll which shall 45
assignment took place after 47
assistance from local people 89
assistance from nursing staff 67
assistance from saudi arabia 418
assistance from state funds 109
assistance from trade unions 47
associations from either state 215
associations have taken steps 54
associations like labor unions 90
associations like trade unions 147
assumptions made about human 346
assumptions made about people 110
assumptions made about social 42
assumptions made about women 198
assumptions made above about 133
assumptions upon which people 47
assumptions upon which social 106
assurances were given about 73
assurances were given after 52
assurances were given which 60
astrologer hate father peter 41
astronauts from outer space 131
astronauts into outer space 119
astronomer john couch adams 409
atmosphere from outer space 1223
atmosphere into outer space 198
atmosphere their every scrap 44
atmosphere when water vapor 114
atrocities have taken place 204
atrocities were still fresh 51
attendance during working hours 81
attenuated live mumps virus 47
attractions were again dwelt 162
attractive dark green leaves 76
attractive from every point 75
attractive home under every 66
attractive sort which suits 50
attractive young black woman 240
attractive young blond woman 130
attractive young white woman 94
attractive young woman about 47
attractive young woman asked 41
attractive young woman comes 43
attractive young woman could 68
attractive young woman might 43
attractive young woman named 562
attractive young woman seated 75
attractive young woman sitting 157
attractive young woman stood 63
attractive young woman walking 64
attractive young woman whose 325
attractive young woman working 49
attractive young woman would 115
attractive young women whose 49
authorities have every right 95
authorities have found fault 43
authorities have never given 52
authorities have never taken 43
authorities have often taken 56
authorities have power under 58
authorities have taken action 170
authorities have taken place 65
authorities have taken steps 435
authorities into whose hands 177
authorities kept close watch 44
authorities knew anything about 41
authorities were fully alive 78
authorities were fully aware 567
authorities were given power 397
authorities were given wider 114
authorities were never taken 92
authorities were quite aware 88
authorities were quite right 110
authorities were quite willing 136
authorities were still looking 62
authorities were taken aback 253
authorities were talking about 55
authorities were uneasy about 73
automobile tire inner tubes 86
