abbreviate structures by omission 59
additional information to prepare 43
additional information to present 51
additional information to produce 53
additional information to provide 199
additional information to resolve 116
additional information to satisfy 46
additional information to specify 67
additional information to support 722
additional information to sustain 172
additional information to warrant 48
additional instrument of control 121
additional investment in buildings 116
additional investment in capital 574
additional investment in research 314
additional investment of capital 3786
additional investment to increase 92
additional legislation by congress 125
additional legislation to enforce 43
additional legislation to prevent 62
additional legislation to protect 162
additional legislation to provide 65
additional mechanisms to explain 50
additional mechanisms to support 45
additional parameters to account 41
additional parameters to control 68
additional parameters to specify 68
additional precautions to prevent 198
additional precautions to protect 135
additional quantities of calcium 40
additional quantities of capital 62
additional quantities of certain 45
additional quantities of natural 72
additional references in chapter 43
additional refinement of cruelty 89
additional resistance is offered 43
additional resistance to lateral 42
additional restriction is imposed 167
additional safeguards to liberty 188
additional safeguards to prevent 91
additional safeguards to protect 338
additional suggestions to improve 44
additional techniques to improve 64
addressed immediately to himself 46
addressed personally to himself 93
addressed separately in chapter 208
admirable arrangement of details 109
admirable combination of ability 59
admirable combination of courage 54
admirable conjunction of diverse 132
admirable description of everything 46
admirable institution of patrons 55
admirable management of captain 41
admirable protectors of letters 57
admirable speculation in science 196
admirably calculated to advance 114
admirably calculated to attract 119
admirably calculated to benefit 42
admirably calculated to combine 50
admirably calculated to command 45
admirably calculated to contain 49
admirably calculated to correct 40
admirably calculated to deceive 98
admirably calculated to destroy 68
admirably calculated to develop 81
admirably calculated to diffuse 43
admirably calculated to display 128
admirably calculated to elevate 278
admirably calculated to exhibit 46
admirably calculated to express 47
admirably calculated to furnish 45
admirably calculated to impress 302
admirably calculated to improve 85
admirably calculated to increase 146
admirably calculated to inspire 251
admirably calculated to perform 52
admirably calculated to perplex 94
admirably calculated to prepare 90
admirably calculated to prevent 226
admirably calculated to produce 505
admirably calculated to promote 608
admirably calculated to protect 115
admirably calculated to provide 63
admirably calculated to receive 56
admirably calculated to satisfy 47
admirably calculated to sustain 120
admirably interwoven to impress 60
admirably stereotyped by dickens 91
adsorption properties of zeolites 56
advantage sufficient to satisfy 154
advertising department is usually 63
advertising techniques to promote 42
advocated legislation to prevent 42
advocated legislation to protect 82
advocates proclaimed the emperor 80
affective components of anxiety 58
affective components of behavior 160
affective components of language 611
affective experience in general 50
affidavit accompanying the petition 72
affidavit accompanying the warrant 63
affiliated associations to promote 53
aggregate assemblage is divided 47
aggregate complexity of material 43
aggregate experience of mankind 45
aggregate measurement of support 1029
aggregate propensity to consume 503
agreement encourages an increase 51
agreement establishing the african 89
agreement establishing the european 204
agreement prohibited by article 215
agreement stipulated the following 42
agreement sufficient to satisfy 49
algorithms introduced in chapter 63
allegedly distinguishing the robbers 64
allowable coefficient of friction 65
allowable settlement of buildings 69
allowance sufficient to provide 64
allowance sufficient to support 63
alteration accompanying the process 47
alternate depositions of stephen 98
alternate inspectors to replace 61
alternating components of current 202
alternating components of voltage 150
altogether enthusiastic at several 58
altogether extinguished by national 180
altogether impossible to account 68
altogether impossible to achieve 52
altogether impossible to believe 85
altogether impossible to combine 61
altogether impossible to explain 76
altogether impossible to imagine 96
altogether impossible to prevent 78
altogether impossible to restore 40
altogether impossible to subsist 143
altogether impossible to suppose 61
altogether improbable to suppose 57
altogether inadequate at present 59
altogether inadequate to account 222
altogether inadequate to attempt 51
altogether inadequate to explain 146
altogether inadequate to express 110
altogether inadequate to produce 70
altogether inadequate to provide 58
altogether inadequate to satisfy 47
altogether inadequate to support 119
altogether inadequate to sustain 49
altogether indisposed to receive 46
altogether ridiculous to pretend 43
altogether sufficient to explain 43
altogether understand the history 48
altogether unprepared to receive 73
ambiguous implication or logical 69
ambiguous information as threatening 64
ambiguous narratives of similar 43
amendment guaranteeing the freedom 49
amendment guarantees of freedom 167
amendment introduced by senator 570
amendment introduced in congress 109
analgesic properties of aspirin 105
analgesic properties of cocaine 111
analgesic properties of nitrous 216
analgesic supplement in general 52
analogous application of article 90
ancestors immigrated to america 56
ancestors transcends an oblation 74
ancestral aspirations of justice 83
ancestral designation the national 43
ancestral narratives of genesis 77
anecdotal information on current 49
anecdotal information to suggest 42
anesthetic properties of cocaine 970
anesthetic properties of nitrous 552
animistic propensity in material 107
annotated translation of pushkin 45
anomalous combination of opinions 54
antibiotic inhibitors of protein 95
antibiotic resistance in bacteria 2505
antibiotic resistance of bacteria 195
antibiotic resistance to bacteria 114
antigenic properties of bacteria 44
antigenic stimulation of primary 48
antitrust authorities to explore 42
antitrust legislation to prevent 74
antitrust principles to conduct 85
aphorisms calculated to inflict 96
appearance sufficient to balance 121
appellant instituted the present 42
appointed ambassador to belgium 273
appointed ambassador to britain 255
appointed ambassador to colombia 47
appointed ambassador to denmark 107
appointed ambassador to germany 587
appointed ambassador to holland 408
appointed ambassador to ireland 143
appointed archbishop of chicago 90
appointed archbishop of cologne 56
appointed archbishop of glasgow 392
appointed archbishop of santiago 117
appointed archbishop of valencia 62
appointed chancellor in germany 45
appointed chancellor in january 189
appointed chancellor of germany 1647
appointed chancellor of ireland 337
appointed chancellor on january 133
appointed collectors of customs 85
appointed collectors to receive 41
appointed commandant at detroit 131
appointed commissions of inquiry 376
appointed commissions to examine 52
appointed commissions to inquire 118
appointed committees of experts 117
appointed committees of inquiry 132
appointed committees to examine 157
appointed committees to inquire 213
appointed committees to prepare 445
appointed controller of customs 122
appointed destination the carrier 45
appointed inspectors of election 265
appointed inspectors to enforce 133
appointed inspectors to examine 46
appointed instructor in anatomy 58
appointed instructor in history 175
appointed instructor in physics 60
appointed instructor in surgery 43
appointed lieutenant in ireland 50
appointed lieutenant of ireland 567
appointed originally to restore 54
appointed postmaster of chicago 43
appointed postmaster to succeed 57
appraiser determines the highest 44
approaching immigration of certain 48
arbitrary allocations of overhead 139
arbitrary assignment of numbers 136
arbitrary assignment of weights 115
arbitrary boundaries of tyrants 54
arbitrary collections of objects 65
arbitrary combination of letters 276
arbitrary conjunction of thoughts 51
arbitrary conventions of language 45
arbitrary conventions of mankind 60
arbitrary deprivation of freedom 49
arbitrary deprivation of liberty 1224
arbitrary deprivation of private 62
arbitrary distinction of fortune 80
arbitrary enlistment so merrily 85
arbitrary government in america 55
arbitrary government of charles 168
arbitrary principles of charles 108
arbitrary punishment in addition 72
arbitrary restriction on freedom 40
arguments calculated to inflame 175
arguments calculated to produce 104
arguments considered in chapter 48
arguments sufficient to confute 42
articular cartilages of certain 127
articular rheumatism is usually 105
artificial aggregation of persons 56
artificial arrangement of figures 110
artificial arrangement of natural 89
artificial conventions of society 128
artificial cultivation of bacteria 109
artificial cultivation of oysters 49
artificial fertilizer is applied 45
artificial instruction or address 61
artificial propagation of oysters 50
artificial protrusions of drapery 173
artificial refinement of society 91
artificial respiration be carried 58
artificial respiration in animals 43
artificial respiration is applied 195
artificial respiration is carried 215
artificial respiration is started 130
artificial respiration is stopped 117
artificial respiration is usually 63
artificial respiration the patient 74
artificial respiration to restore 80
artificial restraints of society 164
artificial stimulation of exports 58
artificial ventilation is started 52
artificial ventilation is usually 45
artificial ventilation of newborn 69
artillery preparation or support 46
artillery preparation so thorough 42
ascertain accurately the position 52
ascertain uniformity in measures 43
assassins approached to execute 69
assertions prejudicial to national 72
assiduous application to acquire 51
assiduous scribblers of thoughts 127
assistant barristers in ireland 76
assistant commissary of musters 80
assistant inspectors of schools 47
assistant instructor of cavalry 191
assistant instructor of tactics 246
assistant professors at harvard 52
assistant professors of history 41
associated coefficient of variation 121
associated deficiency of vitamin 43
associated discharges of stimuli 82
associated structures by medical 46
associated structures in relation 50
associates introduced the concept 50
association guaranteed by article 179
association membership in fifteen 54
association undertakes to enforce 88
assumption simplifies the problem 124
assumption unverified by previous 105
assurance sufficient to protect 370
astonishing collections of stuffed 161
astonishing difficulty of supplying 69
astonishing superiority of stature 46
attempted application to objects 51
attempted elimination of control 68
attempted impeachment of justice 101
attempted obstruction of justice 55
attempted replication of douglas 434
attempted subornation of perjury 168
attempted transaction in violation 72
attitudes calculated to isolate 75
attitudes suggestive of weighty 55
attitudes supportive of violence 72
attorneys representing the parties 365
attribute identifies the location 48
attribute properties to objects 125
auspicious government of theodoric 177
authorized collectors of customs 56
authorized punishment in relation 181
authorizes amelioration in mankind 71
automatic adjustment of pensions 85
automatic dissolution of marriage 58
automatic inferences or organic 44
automatic recognition of objects 51
automatic termination of service 74
automatic translation of natural 77
autonomic dysfunction in diabetic 63
autonomic dysfunction is present 55
autonomic structures in medulla 67
available coefficient of friction 123
available information as regards 50
available information at present 41
available information in relation 63
available information in respect 149
available information in support 49
available information in written 51
available information is brought 51
available information is correct 49
available information is derived 118
available information is gathered 95
available information is ignored 51
available information is largely 55
available information is limited 854
available information is rapidly 50
available information is usually 130
available information on abortion 158
available information on certain 48
available information on current 125
available information on effects 45
available information on factors 54
available information on foreign 53
available information on matters 98
available information on national 43
available information on natural 156
available information on primary 47
available information on quality 89
available information on species 46
available information the following 56
available information to achieve 65
available information to develop 104
available information to improve 63
available information to predict 142
available information to produce 103
available information to provide 118
available information to suggest 59
available information to support 98
available literature is limited 160
available oubliettes to swallow 50
available quantities of capital 45
available quantities of factors 48
available regardless of location 52
available separately in spanish 61
available techniques is limited 103
available techniques to prevent 43
available technology to achieve 79
available technology to control 119
available technology to improve 60
available technology to prevent 56
available technology to produce 74
available technology to provide 92
available technology to support 74
