ability level will score 108
anxiety about life after 47
anxiety about other people 99
anxiety about taking risks 92
anxiety about taking tests 110
anxiety about their child 532
anxiety about their daily 85
anxiety about their father 134
anxiety about their lives 88
anxiety about their place 77
anxiety about their social 63
anxiety about their souls 150
anxiety about what could 65
anxiety about what might 655
anxiety about what others 134
anxiety about what people 93
anxiety about what would 420
anxiety about young people 63
anxiety about your child 81
anxiety about your father 73
anxiety about your mother 97
anxiety comes back again 41
anxiety people feel about 76
anxiety takes many forms 50
anxiety which some people 78
anybody could find fault 95
anybody could have asked 196
anybody could have found 137
anybody could have given 55
anybody could have hoped 60
anybody could have known 147
anybody could have lived 89
anybody could have saved 171
anybody could have taken 227
anybody could know about 51
anybody could make money 58
anybody could talk about 337
anybody could walk right 43
anybody knows much about 61
anybody might have found 59
anybody might have known 152
anybody really care about 98
anybody whose ideas about 45
anybody would care about 65
anybody would have cared 48
anybody would have dared 73
anybody would have given 120
anybody would have known 168
anybody would have taken 159
anybody would know about 98
anybody would know where 50
anybody would talk about 63
apostle wrote these words 72
appalling event took place 40
apparel could well spare 53
apparel which came within 50
appeared about four miles 63
appeared about four months 70
appeared about four times 59
appeared about three miles 106
appeared about three months 138
appeared about three times 66
appeared about three weeks 76
appeared after some delay 84
appeared after three months 56
appeared again soon after 53
appeared eight days after 74
appeared eight years after 251
appeared eight years later 388
appeared every three months 55
appeared every three weeks 49
appeared fifty years after 71
appeared fifty years later 105
appeared forty years after 66
appeared forty years later 333
appeared might have known 93
appeared seven years after 312
appeared seven years later 468
appeared since these pages 41
appeared still more worthy 66
appeared thirty years after 93
appeared thirty years later 451
appeared under many forms 47
appeared under many names 83
appeared under other names 135
appeared under such headings 49
appeared under such names 67
appeared under their joint 111
appeared under their names 102
appeared under their walls 49
appeared until much later 47
appeared which were based 56
appeared while these pages 42
appeared within five miles 59
appeared within four miles 110
appeared within four months 61
appeared within their grasp 87
appeared within their lines 86
appeared within three months 113
appeared within three weeks 73
applaud every step tending 113
applied about three weeks 44
applied every four hours 121
applied every three hours 282
applied field will cause 140
applied force will cause 58
applied layer upon layer 206
applied until much later 46
applied which were based 49
applied which will cause 40
applied within three months 44
appoint under their hands 42
appoint within three months 40
approve every wild action 72
approving folly lest fools 48
approving voice from heaven 44
aquatic birds were again 80
armadas would have found 44
arranged about three sides 46
arranged layer upon layer 85
arranged round three sides 390
arranged under five broad 59
arranged under five headings 206
arranged under five major 63
arranged under four broad 66
arranged under four headings 333
arranged under four major 77
arranged under nine headings 59
arranged under such headings 285
arranged under these headings 144
arranged under three broad 85
arranged under three headings 484
arranged under three major 81
arranges author reading tours 43
arrayed under their royal 88
arrests which have taken 55
arrests which took place 273
arrests would take place 137
arrival times from local 164
arrival within their walls 40
arrival would take place 123
arrived about five hours 43
arrived about four hours 82
arrived about four months 82
arrived about three hours 222
arrived about three months 117
arrived about three weeks 318
arrived after four hours 44
arrived after much delay 46
arrived after some delay 110
arrived after three hours 58
arrived after three months 65
arrived daily from every 62
arrived eight days after 102
arrived eight days later 276
arrived eight years after 40
arrived eight years later 96
arrived forty years later 46
arrived seven days after 68
arrived seven days later 88
arrived seven years later 111
arrived thirty years later 68
arrived within five miles 456
arrived within four hours 43
arrived within four miles 539
arrived within nine miles 92
arrived within three hours 50
arrived within three miles 745
arrived within three months 46
arrived within three weeks 50
arterial blood flow after 76
arterial blood flow ceases 41
arterial blood took place 51
arterial blood were taken 54
arterial roads were built 46
arterial trunk from which 59
article about your topic 68
article after having aired 52
article limit will cover 46
article shall also apply 772
article shall only apply 57
article shall take place 141
article sheds some light 69
article which their farms 42
article which will appear 408
article which will serve 63
article would have given 63
artisan class from which 61
artists create their works 56
artists selling their wares 61
artists spend their lives 130
artists tried their hands 67
artists which took place 45
artists whose very names 71
artists whose work could 135
artists whose work might 94
artists whose work seems 80
artists whose work shows 183
artists whose work would 186
artists would have found 78
artists would have liked 82
artists would have taken 106
artists would slip right 46
ascending aorta just above 544
ascending colon just above 45
ascends again into heaven 89
aspects which fall within 60
aspects which have often 53
aspects which throw light 56
aspects which were often 47
aspirin every four hours 896
aspirin every three hours 110
assault could take place 162
assault might take place 41
assault never took place 71
assault which took place 182
assault would have taken 64
assault would take place 1313
asserting power over others 60
assessing human health risks 104
assigning reason upon reason 98
assumed facts upon which 164
assumed would take place 220
assumes power over alien 201
athletic forms were ranged 62
attacks began soon after 45
attacks could take place 94
attacks might take place 46
attacks never took place 41
attacks occur during sleep 209
attacks occur more often 122
attacks occur most often 92
attacks often cease after 52
attacks which have taken 90
attacks which hume makes 53
attacks which take place 96
attacks which took place 513
attacks which were daily 42
attacks which were never 90
attacks which were often 56
attacks women more often 76
attacks would take place 573
attains power over others 52
attempt anything more would 48
attempt anything till after 108
attempt which took place 85
attempt would have ended 58
attempt would have given 103
attempt would only hurry 48
attempt would only serve 122
attempt would only weaken 41
attempt would take place 276
attract people from every 60
attract people from rural 59
attract people into teaching 54
attract sales from below 49
audible alarm will sound 136
audible fetal heart tones 65
audible fourth heart sound 210
audible voice from heaven 1109
audited every three months 54
auditor shall have power 71
autopsy would have shown 78
average about five acres 135
average about five cents 47
average about five hours 145
average about five miles 72
average about five times 480
average about four hours 190
average about four miles 79
average about four months 111
average about four times 719
average about nine hours 50
average about once every 1028
average about three hours 237
average about three miles 81
average about three months 148
average about three times 1220
average about three weeks 126
average adult male earnings 71
average adult male human 146
average adult male needs 44
average adult reading speed 56
average child born today 48
average child will spend 81
average class size would 71
average costs were lower 48
average daily food ration 58
average daily milk yield 973
average daily room rates 189
average daily time spent 208
average daily wage earned 84
average daily wage rates 452
average daily wind speed 164
average earnings have risen 67
average earnings were about 123
average earnings were lower 42
average every third round 45
average every three months 124
average every three weeks 42
average fatty acid chain 104
average fixed cost curve 1014
average fixed cost falls 253
average fixed cost would 102
average grain size about 106
average grain size after 120
average grain size below 43
average growth rate after 50
average growth rate since 157
average growth rate which 80
average growth rate while 49
average growth rate would 119
average healthy young adult 89
average human mind while 41
average money wage rates 255
average nearly four times 135
average nearly three times 334
average never fell below 116
average nursing home costs 141
average people talk about 55
average period during which 518
average period over which 176
average ranges from about 42
average rough male blood 48
average sales call costs 102
average seven years longer 83
average seven years older 42
average solar wind speed 167
average speed from start 66
average total body water 48
average total cost curve 13980
average total cost falls 909
average total cost first 195
average total cost lower 40
average total cost might 49
average total cost minus 43
average total cost pricing 827
average total cost rises 796
average total cost stays 68
average total cost tells 86
average total cost times 352
average total cost under 44
average total cost which 47
average total cost would 784
average total time spent 406
average total unit costs 1372
average trade union leader 55
average urban wage earner 44
average urine flow rates 79
average value must either 362
average wages have risen 89
average wages were about 103
average wages were lower 63
average waiting time under 107
average waiting time until 97
average waiting time would 159
average white cell count 78
average woman some sixty 50
average woman will spend 75
average women live longer 215
averaging about five miles 108
averaging about four hours 91
averaging about four miles 92
averaging about four times 43
averaging about three acres 43
averaging about three hours 82
averaging about three miles 107
averaging about three months 120
averaging about three times 90
aversion which many people 81
avoided talking much about 56
awaited event took place 131
awaited meeting took place 50
awakening which took place 676
awarded lenin peace prize 51
awarded nobel peace prize 1176
awfully tired last night 45
awkward pause during which 155
awkward period during which 49
