racked by many incongruous and 49
rights of free enterprise and 70
rights of self government and 44
rivals at last approached each 96
robbed of their possessions and 208
robbed of their ruggedness and 107
rocked on their foundations and 48
rooted in past experience and 75
rooted in prior experience and 55
rounds of ball cartridges and 44
rulers of india understood this 65
rulers the most instructed and 42
rushed to their assistance and 52
