radioed a warning to the 88
return i shall go to 142
revealing a change in the 46
revealing a sense of the 67
revealing a vision of the 48
reveals a breach of the 48
reveals a change in the 515
reveals a crack in the 51
reveals a facet of the 97
reveals a focus on the 43
reveals a grasp of the 52
reveals a phase of the 40
reveals a sense of the 179
reveals a shift in the 308
reveals a shift of the 59
reveals a split in the 51
reveals a trace of the 84
reveals a trend in the 68
reveals a tumor in the 62
reveals a vision of the 106
review a draft of the 621
review a holding of the 86
review a study of the 44
revive a claim to the 73
revive a sense of the 100
ridden a horse in my 134
ridden a horse in the 66
rights i ought to be 256
ripped a piece of the 45
risked a night in the 44
risked a visit to the 63
rivers i found of the 63
roasting a goose in the 53
roasting a piece of the 349
rolled a stone to the 154
rounding a curve in the 324
rounding a curve of the 58
rounding a curve on the 82
rounding a point in the 52
rounding a point of the 136
rounding a point on the 63
rounds a curve in the 54
rounds a value to the 43
roused a storm in the 64
routed a party of the 205
rubbed a match on the 58
