rabbit curry would be the 43
reasons which apply in the 54
reasons which apply to the 362
reasons which belong to the 50
reasons which cause me to 295
reasons which cause us to 125
reasons which force me to 159
reasons which force us to 119
reasons which impel me to 129
reasons which impel us to 113
reasons which moved me to 132
reasons which moved us to 43
reasons which occur to me 102
reasons which ought to be 213
reasons which point to the 101
reasons which stand in the 76
reasons which stood in the 53
reasons would appear to be 182
rebels could count on the 45
rebirth takes place in the 67
reborn above delta in the 74
reborn seven times at the 91
recall anything finer in the 40
recent action taken by the 237
recent board meeting of the 43
recent cases appear to be 49
recent court cases in the 43
recent cover story in the 61
recent field study of the 51
recent joint meeting of the 104
recent joint study by the 84
recent major change in the 74
recent major study of the 215
recent party change in the 46
recent rapid growth in the 317
recent rapid growth of the 674
recent social change in the 46
recent steps taken by the 336
recent study based on the 316
recent study looking at the 118
recent times seems to be 103
recent trend seems to be 188
recent white paper on the 119
recent works focus on the 53
recite whole pages of the 73
record casts doubt on the 64
record every phase of the 86
record keeping began in the 76
record pages cited in the 109
record store either on the 69
record title owner of the 133
record which parts of the 47
record which tells of the 59
record which would be of 102
record would appear to be 120
record would prove me to 41
rectum which opens to the 41
reduce class sizes in the 124
reduce costs while at the 57
reduce human action to the 48
reduce human error in the 45
reduce labor costs in the 146
reduce working hours in the 47
reducing agent added to the 103
reducing class sizes in the 57
refers every event to the 74
refers every maxim of the 129
refiling period shall be the 47
refining takes place in the 40
reform group known as the 161
reform takes place in the 167
reform which began in the 178
reform which broke up the 64
reform which could in the 48
reform which ought to be 77
reform which seems to be 106
reform would appear to be 203
reform would prove to be 43
refuge under cover of the 76
refund claim based on the 97
refuse point blank to do 91
regard every change as an 58
regard lyric poetry as the 45
regard shall abide by the 127
regard which ought to be 175
regard would appear to be 112
regard would never be at 71
regime could count on the 58
regime under which it is 92
regime would appear to be 114
regime would prove to be 56
regions quite close to the 48
regions where alone it is 63
regions where poetry is the 49
regions where water is in 82
regions which appear to be 157
regions which belong to the 97
regions which shall be so 88
regions within which it is 45
regions would appear to be 123
reigning taste seems to be 73
reigns whose right it is 106
release might appear to the 121
release takes place at the 82
release takes place in the 145
release would appear to be 45
relief might appear to be 54
relief which comes to the 43
relief which ought to be 50
relief would appear to be 82
remain about where it is 63
remain fully aware of the 269
remain quiet until it is 41
remain quiet where he is 44
remain quite close to the 170
remain quite large in the 133
remain rather close to the 81
remain right where he is 65
remain sealed books to the 55
remain seated while the king 50
remain still longer in the 50
remain stock still on the 50
remain under cover in the 47
remain under cover of the 159
remain vital parts of the 45
remain whole hours at the 93
remain within sight of the 292
remain within sound of the 58
remark gives force to the 72
remark might apply to the 95
remark throws light on the 41
remark which ought to be 107
remark which seems to be 89
remark which seems to me 86
remark would appear to be 98
remark would apply to the 985
remedy ought never to be 42
remedy seems never to be 103
remedy which ought to be 253
remedy which seems to be 78
remedy would appear to be 443
remind every reader of the 173
remote rural parts of the 67
remove every doubt as to 294
remove every doubt of the 66
remove every doubt on the 56
remove every trace of it 130
remove every trace of the 888
remove large parts of the 59
remove lymph nodes in the 121
removing every doubt as to 83
removing every trace of the 225
render women pleasing at the 153
rental housing stock in the 54
rental housing units in the 188
reorder point based on the 87
repaid every penny of the 53
repair petty forts on the 75
repair takes place by the 65
repair takes place in the 96
report casts doubt on the 44
report child abuse to the 254
report every morning to the 186
report fully thereon to the 156
report sheds light on the 157
report throws light on the 68
report twice daily to the 140
report which appear to the 175
report which began to be 83
report which needs to be 45
report which ought to be 46
report which seems to be 71
report which tends to the 55
report which treats of the 66
report which would be of 111
report would appear in the 42
report would appear to be 203
report would prove to be 73
report would serve as the 49
reside eight months in the 47
resort every morning in the 47
resort hotel built in the 41
result casts doubt on the 162
result comes about in the 42
result comes close to the 45
result comes round to the 44
result could easily be the 46
result could never be in 59
result could occur if the 106
result falls short of the 140
result might appear to be 100
result might occur if the 54
result might prove to be 75
result often seems to be 71
result quite close to the 83
result sheds light on the 97
result takes place in the 105
result which gives to the 83
result which needs to be 41
result which ought to be 289
result which seems to be 277
result which seems to me 92
result which would be in 54
result which would be of 45
result which would be the 44
result would appear as in 41
result would appear to be 988
result would apply if the 66
result would apply to the 59
result would change if the 47
result would ensue if the 121
result would ensue in the 158
result would occur if the 1292
result would occur in the 96
result would prove to be 163
result would still be an 129
result would still be the 419
retail clothing store in the 82
retail floor space in the 67
retail price fixed by the 171
retail price index in the 157
retail price index of the 62
retail price index or the 51
retail sales price of the 226
retail sales taxes in the 63
retail sales value of the 60
retail selling price of an 63
retail selling price of the 836
retain legal title to the 103
retina which cause in us 41
retire under cover of the 349
retiring under cover of it 54
retiring under cover of the 65
retreat under cover of the 894
return after taxes on the 60
return again later in the 75
return every evening to the 167
return every night to the 211
return falls short of the 150
return large thanks to my 126
return period shall be the 66
return takes place in the 161
return under cover of the 180
return until later in the 230
return visit later in the 43
return would appear to be 151
reunion takes place in the 71
reunion which offer to the 41
revenge which rages in the 55
review takes place at the 64
review takes place in the 154
review would appear to be 119
revolt which began in the 85
revolt which ended in the 157
reward which comes to the 47
reward which ought to be 111
reward which would be the 55
richly laden ships of the 48
ridden sixty miles in the 122
ridges marking halts in the 111
ridges which appear on the 69
ridges which appear to be 51
ridges which occur in an 42
ridges which occur on the 48
rights above given to the 49
rights group known as the 40
rights shall belong to the 67
rights still belong to the 51
rights takes place in the 42
rights under title vi of 82
rights which appear to be 45
rights which apply to the 61
rights which belong to an 61
rights which belong to it 178
rights which belong to the 1172
rights which belong to us 255
rights which exist in the 63
rights which ought to be 770
rights which savor of the 79
rights which stand in the 41
rights which stood in the 61
rights would appear to be 204
rights would belong to the 73
rights would exist in the 77
ripening moral sense of the 47
ripening takes place in the 139
risked running afoul of the 47
ritual takes place at the 146
ritual takes place in the 318
ritual takes place on the 149
rivers which drain to the 57
rivers which enter the sea 199
rivers which unite in the 60
roamed about naked in the 81
roasting alive seven of the 71
robbed while alone in the 318
rococo still speaks to us 58
rodent feces found in the 90
rolled about foaming at the 44
rolled about naked in the 82
roller flour mills in the 82
roller which rides on the 42
rotary beater until it is 71
rotary motion given to the 117
roused every morning by the 43
roused roger bacon to an 92
router keeps track of the 56
routes would appear to be 45
rubbed every speck of the 70
rubber boots reaching to the 60
rudely thrown aside by the 45
rudely thrust aside by the 133
rugged spray cloud on the 44
ruined sheep walls on the 40
rulers could carry on the 45
