race came out of caves 51
runs away with the bride 82
runs away with the goods 63
runs away with the money 186
runs away with the plate 62
runs away with the shell 553
runs away with the spoil 41
runs away with the spoon 50
runs away with the story 69
runs away with the whole 103
runs from bow to stern 103
runs from six to eight 154
runs over all the atoms 116
