banged drum or tootled fife 47
blood must be removed from 139
blood over the question what 73
blood shed at lexington came 51
blood upon thy western rood 76
blood when the kidneys fail 82
blood will be shunted from 57
bloom along the creeper buds 49
blowing from the pacific ocean 98
blown from the adjoining land 72
blows were the current coin 98
board when the painter came 113
bolus from the pharynx into 78
bombs into the swedish camp 48
bonds from the central atom 53
bonds have no default risk 67
bones from the funeral pyre 47
bones meet the frontal bone 51
books among us written upon 311
books from an amherst media 223
books from the chicken soup 53
books from the earliest days 44
books from the following list 70
books from the library during 67
books from the library were 115
books from the library when 47
books give an insight into 43
books will be shelved there 93
bored full of quarter inch 42
bores must be classed among 71
borne down the unarmed laws 92
borne over the devoted land 86
bosom even of inglorious peace 95
bough from an adjoining tree 63
bound down by ignoble ties 73
bound fast to prevent their 57
bound into the library copy 44
bound like an account book 104
bowed down the highest tree 64
brain stem is divided into 86
brain when he climbed died 47
brand name or company name 151
brand name or generic name 143
breadth from the typical ideas 41
breaking down of complex food 111
breaking down of tissues into 83
breaking down the bridges over 125
breaking down the material into 139
breaking down the problem into 455
breaking down the process into 429
breaking down the program into 89
breaking down the project into 369
breaking down the subject into 63
breaks down the problem into 471
breaks down the process into 230
breaks down the project into 106
breast milk or formula during 59
breast milk or formula milk 63
breast milk or formula will 56
breast pump to express milk 53
breathing time to recover from 162
breed from the highest type 81
brick laid in flemish bond 651
brief leave of absence from 350
brief look at several other 57
brief span of fifteen years 81
brief years of married life 47
brine till the sturgeon leaps 158
broad arms of painted wood 93
broad band of country from 55
broad band of tubular beads 45
broad base of support among 448
broad base of support from 351
broad belt of fertile land 45
broad hoop of elastic wood 51
broad range of content areas 111
broad range of factors into 47
broad range of factors such 43
broad range of liberal arts 112
broad range of material from 57
broad range of medical care 54
broad range of patient care 70
broad range of problem areas 53
broad range of research areas 80
broad range of subject areas 323
broad range of support from 57
broke bits of toasted bread 53
broke down in everything else 40
broke down the bathroom door 86
broke down the bedroom door 50
broke down the bridges over 139
broke down the problem into 50
broke down the process into 55
broke from the painted lips 90
broke into an awkward trot 45
broke into the biggest grin 41
broke into the imperial tent 286
broke into the loudest peals 44
broke into the prussian camp 50
broom into the kitchen fire 44
brown ball of quivering fears 48
brown over the pebbles three 97
brows from the polluting dust 54
brush away the cobwebs from 126
build upon the pioneering work 135
build upon the previous work 48
built along the northern edge 45
built along the northern side 79
built along the western side 75
built into an outside wall 55
built into the chancel wall 48
built into the control unit 132
built into the curtain wall 63
built into the decision making 88
built into the exterior wall 92
built into the furnace wall 47
built into the genetic code 160
built into the kitchen wall 94
built into the machine tool 72
built into the masonry wall 65
built into the massive main 45
built into the massive wall 67
built into the natural rock 43
built into the northern wall 193
built into the outside wall 228
built into the overall plan 46
built into the process from 88
built into the product during 48
built into the product from 85
built into the program from 146
built into the project from 118
built into the project plan 149
built into the retaining wall 61
built into the southern wall 200
built into the treasure hole 93
built into the western wall 113
built over the ancient city 41
built over the ancient site 88
built upon no regular plan 187
built upon the ancient site 94
built upon the highest part 62
built upon the pioneering work 118
built upon the present site 97
bulbs have an average life 60
bulls made the pasture echo 88
burning coal to produce steam 41
burning tomb is exactly what 206
burnt when the chimney took 105
burst from the pillars like 44
burst into the control room 147
burst into the kitchen from 68
burst into the kitchen like 66
burst into the operating room 61
burst open the bedroom door 79
burst open the chamber door 58
burst open the kitchen door 110
burst open the nursery door 53
burst upon the country like 42
burst upon the crowded city 136
burst upon the devoted heads 53
burst upon the devoted land 41
buyer pays the freight from 43
