bad for society because it 42
but was utterly unknown to 94
but was visited nightly by 43
but was wandering happily in 64
but who allowed himself to 90
but who dragged himself on 69
but who regards himself as 132
but who somehow managed to 70
but with careful control of 46
but with certain aspects of 76
but with charity forgive the 41
but with differing amounts of 68
but with differing degrees of 686
but with differing numbers of 61
but with eternal justice to 47
but with increasing amounts of 190
but with increasing degrees of 65
but with increasing numbers of 217
but with limited ability to 41
but with limited amounts of 45
but with limited success in 74
but with limited success to 49
but with peculiar purpose on 76
but with perfect command of 90
but with periodic touches of 60
but with poetical praises by 110
but with smaller amounts of 107
but with smaller numbers of 51
but with variable amounts of 46
but with variable degrees of 53
but with visible increase of 119
but you totally mistake the 57
