backing square on three sides 194
brush border of these cells 53
brush dipped in clean water 291
brush dipped in clear water 42
brush dipped in cold water 797
brush dipped in warm water 277
brush should be used after 53
bugle drowning the holy organ 142
build fences to keep people 124
built across the nile river 42
built around an open court 874
built around an open space 139
built around the cave where 46
built around the four sides 177
built around the same basic 141
built around the same period 47
built around the spot where 52
built around the three sides 56
built before the best style 66
built behind the main house 48
built wholly of thigh bones 47
burial mounds in those parts 47
burning before the high altar 114
burning brands in their hands 50
burning desire to help others 145
burning desire to know where 82
burning desire to learn about 133
burning desire to live again 74
burning desire to save souls 69
burning helium in their cores 73
burning sticks in their hands 143
burning tapers in their hands 1053
burning through the vest which 244
burnt before the next morning 188
bursae around the knee joint 114
burst through the door after 108
burst through the door first 45
burst through the main doors 86
burst through the open doors 46
burst through the swinging doors 674
