babes in better nurture than 156
breathe the coarse incense they 62
broke the solemn silence that 51
broke the tension between them 122
broke to pieces against one 140
broke up garden parties and 43
broke up without achieving any 46
brood of younger brothers and 59
brush the entire surface with 64
build on existing strengths and 415
build on family strengths and 125
build up public support for 266
built at public expense and 203
built at public expense for 72
built by english capital and 47
built in greater numbers than 206
built in larger numbers than 145
built of bricks covered with 95
built of rubble masonry and 75
built of stones covered with 45
built on mutual respect and 1277
built on mutual respect for 50
built up through contact with 56
burning of public buildings and 105
burning the bridge between them 140
burning the public buildings and 42
burning to obtain vengeance for 40
burns in mexico towards this 68
burst of unholy rapture this 92
