badge under his foot and 111
brown woman with hair and 132
brute force and help set 125
budding leaves that made her 70
bugle blows for post and 64
build bones and teeth and 89
build homes for those who 55
build nests and care for 175
build ships and sail them 72
build towns and teach them 55
built about six years ago 187
built about ten years ago 544
built about two years ago 98
built again and those that 67
built ships and sent them 47
built where they were not 125
bulge under his left arm 147
bulky carts are made with 229
bureau where she kept her 58
burial place for their dead 165
burial place for those who 54
buyer knows that there are 47
buyer would not leave his 138
buyer would pay more for 61
buyer would pay more than 99
