babbling flood into the milk 70
billion would have to come 60
biomass fuels such as wood 191
bishop might leave the realm 118
bishop whose name it bears 61
bishop would seem to have 42
bitter curse upon the cold 90
bitter fruit from the tree 59
bitter howls from the young 93
bitter water from the same 46
blacks lived side by side 46
blacks moved from the south 143
blacks still walk the same 48
blacks working side by side 74
blacks would have the same 48
blacks would have to move 114
blacks would have to wait 68
blades growing upon the said 42
blasts swept down the glen 43
blinding light into the eyes 41
blocking agent used to treat 54
blocks built into the wall 50
blocks which have the same 44
bloody mucus from the nose 59
bloody sponge into my hand 74
blooming plums ready to melt 71
boards shall have the same 40
boards which tell at what 54
boasting about what we have 50
bodies either tend of their 42
bodies shall seek or take 233
bodies sleep side by side 47
bodies thrown into the bush 59
bodies which come in from 92
bodies which grow up during 46
bodies which have the same 252
bodies which make the most 74
bodies which seem to have 63
bodies which vary in size 55
bodies which were at rest 191
bodies would have the same 93
bodies would stop on their 41
bodies yield more or less 83
bodily needs such as food 95
bodily state must be made 125
boiler shall have at least 72
boldly spend upon the hope 93
booted ankle over the other 69
borrow funds from the bank 173
borrow money from or lend 75
borrow money from the bank 2656
borrow money from the city 49
borrow money from the firm 41
borrow money from the fund 125
borrow money from the jews 104
borrow money from the other 46
borrow money from the plan 82
borrow money from the rich 117
borrow money from the same 74
borrow money upon the faith 54
borrow money upon the most 43
bottle still bore the bell 80
bottom gives rest to nothing 82
bottom where marl or loam 46
boughs could hold no more 146
bought large areas of land 146
bought would wish to sell 99
bounds shall join the glad 44
bowels thrown into the fire 51
braced sharp upon the wind 69
branch arising from the left 97
branch flowing from the same 45
branch lines from the main 166
branch within reach of your 77
brazen plate upon the door 45
breaker curls over the prow 95
breathed light into the face 382
breathed light upon the face 405
breeding season when the male 115
breeds fleeing from the lust 61
breeze blowing down the lake 58
breeze blowing from the lake 42
breeze blowing from the land 196
breeze blowing from the north 956
breeze blowing from the ocean 136
breeze blowing from the south 1024
breeze blowing from the west 702
breeze blowing into the room 51
breeze blows from the land 103
breeze blows from the nile 84
breeze blows from the north 154
breeze blows from the south 256
breeze comes from the south 104
breeze playing among the tree 54
breeze shook over me like 80
breeze sprang from the west 110
breeze sprung from the west 94
breeze swept into the room 87
breeze which blew in from 86
breeze would spring up from 50
brewer alone pays the duty 41
bribes taken from the other 46
bridge after seeing it done 87
bridge looking down at some 86
bridge looking over the side 67
bridge thrown over the moat 45
bridge which bears the name 45
bridge which leads us here 46
bright blaze from the hearth 64
bright drops give me love 41
bright flame shot up from 47
bright flash from the west 110
bright green flat of land 47
bright honor from the pale 413
bright light from the fire 55
bright light from the lamp 51
bright light from the open 41
bright light have we here 43
bright light into the dark 77
bright light into the eyes 68
bright light into the room 42
bright light life of bird 43
bright lines will be seen 45
bright morning when the soul 67
bright orange among the heaps 76
bright orange ball of fire 48
bright sheen over the most 43
bright steady face to mine 57
broken alive upon the rack 70
broken every bone in their 108
broken every bone in your 221
broken floor were the least 91
broken light upon the depth 296
broken loose from the jaws 46
broken loose from the main 43
broken loose from the wall 50
broken loose from the well 45
broken sword wage in vain 84
broken within half an hour 44
broken within half an inch 43
bronze tiles from the roof 166
brother aaron will be your 69
brother again wish to know 54
brother burst into the room 61
brother comes into the room 76
brother james duke of york 568
brother shall have the land 73
brother would have to wait 46
brother would like to have 66
brother would seem to have 41
brother would stay at home 53
brother would take the same 79
bubbling sound will be heard 50
bucket arose from the well 240
building about half an hour 42
building apart from the main 212
building dates from the early 480
building dates from the late 196
building dates from the time 340
building dates from the turn 52
building looks much the same 55
building shall have at least 132
building which bears the name 101
building which bore the name 44
building which bore the sign 66
building which will be used 115
building would cost at least 58
building would have to have 114
building would have to wait 111
building would seem to have 173
bullet fired from the same 67
bullet fired into the back 64
bullet taken from the body 198
bullet thrown from the mark 56
bullion arise from the same 137
bundle slunk into the shop 207
burden rests upon the ship 108
burden would fall on their 42
burden would fall on those 79
burden would have to fall 57
burden would seem to have 54
buried apart from the body 141
buried apart from the other 46
buried apart from the rest 118
buried beneath tons of rock 105
buried under feet of snow 46
buried under tons of dirt 61
buried under tons of rock 238
buried under tons of sand 107
buried under tons of snow 120
burned child fears the fire 351
butter until onion is soft 66
butter would melt in their 41
button cells used in hearing 256
buyers stand ready to take 198
buyers would like to have 54
