babe doing a family wash 41
bill for a special city 66
bill read a second time 413
bill with a credit card 210
bill with a pocket veto 222
bird and a little rice 55
bird with a broken neck 66
bird with a forked tail 327
bird with a hooked bill 71
bird with a yellow bill 181
bite off a little more 51
blew him a little kiss 77
blew him a silent kiss 114
blew off a little steam 66
blew out a ragged breath 217
bloc and a muslim bloc 52
blow off a little steam 2026
blow with a closed fist 42
blow with a hammer upon 100
blow with a hammer will 142
blue with a darker blue 140
boat for a closer look 81
boat put a little heart 41
boat was a little less 121
boat with a furled sail 111
boat with a letter from 45
boat with a native crew 48
boat with a square sail 162
body and a broken heart 53
body and a joyous mind 69
body and a little more 47
body and a narrow neck 74
body and a neural arch 53
body and a pretty face 98
body for a closer look 103
body for a second time 99
body has a harder time 58
body set a nigger free 113
body that i should have 76
body with a bullet hole 91
body with a mighty heart 1635
body with a narrow neck 44
boil with a little salt 58
bond and a coupon bond 67
bond and a double bond 325
bond and a triple bond 170
bond has a coupon rate 363
bond with a carbon atom 130
bond with a coupon rate 1031
bond with a credit rating 44
bone with a slight thief 93
book and a letter from 146
book and a little more 155
book and a pencil from 144
book and i should like 119
book for a little girl 172
book for a second time 113
book has a double meaning 40
book that i should have 116
book that i should like 126
book was a letter from 65
book with a little jerk 43
book with a little sigh 46
born for a second time 190
born that i should have 41
born with a dainty tooth 51
born with a double dose 54
born with a female body 107
born with a fleece upon 106
born with a golden tooth 59
born with a neural tube 152
born with a serious birth 122
born with a serious heart 105
born with a severe birth 63
born with a severe case 40
born with a severe form 50
born with a severe hearing 235
born with a silver foot 1103
born with a special gift 178
born with a special kind 40
bowing with a mighty look 93
bowl with a little salt 91
boys and a little girl 904
boys and a younger girl 44
boys are a little more 98
boys had a harder time 43
boys had a little more 159
bread and a little fish 46
bread and a little milk 389
bread and a little more 174
bread and a little sack 59
bread and a little salt 234
bread and a little soup 100
bread and a little sour 41
bread and a little wine 480
bread was a staple food 69
bread with a little salt 159
bread with a little wine 40
break off a branch from 168
break out a second time 55
break with a slight blow 75
breath for a moment when 79
breath has a fruity odor 76
breath with a little gasp 305
breath with a little hiss 76
breath with a sudden gasp 40
bringing her a letter from 143
bringing him a bottle from 53
bringing him a letter from 165
bringing out a little book 72
bringing you a letter from 42
bringing you a little book 63
brings her a letter from 51
brings him a letter from 151
brings out a little more 40
brings you a letter from 92
brow was a little singed 41
burn with a strange fire 60
burn with a warmer glow 226
busy being a little more 46
buying with a credit card 61
buzz and a bustle like 79
