hail of lead and steel 60
hand in her own small 66
hand in her own strong 41
hand in her two hands 208
hand in her two small 41
hand in his all night 61
hand in his and asked 165
hand in his and began 262
hand in his and bowed 193
hand in his and drawing 50
hand in his and gazed 101
hand in his and holding 120
hand in his and kissing 145
hand in his and leaned 64
hand in his and looking 157
hand in his and moved 76
hand in his and patting 47
hand in his and pulling 60
hand in his and raising 87
hand in his and shaking 46
hand in his and shook 323
hand in his and spoke 129
hand in his and stood 119
hand in his and tried 105
hand in his and viewing 60
hand in his big brown 48
hand in his long fingers 65
hand in his own broad 43
hand in his own house 247
hand in his own large 145
hand in his own right 402
hand in his own strong 96
hand in his two hands 172
hand in one long flare 99
hand is not too short 99
hand is red with blood 233
hand it does not allow 41
hand it does not appear 485
hand it was not until 52
hand of death has taken 55
hand of death was falling 95
hand of death was fixed 62
hand of each and every 99
hand of god and never 63
hand of god and sealed 138
hand of god and shall 246
hand of god being still 55
hand of god has drawn 47
hand of god hath given 45
hand of god his father 284
hand of god that heathen 104
hand of god that kills 70
hand of god that saved 47
hand of god was guiding 83
hand of god was never 57
hand of god was still 50
hand of god was working 57
hand of her own father 69
hand of her son jacob 218
hand of him aye cawed 71
hand of him his lines 48
hand of him she loved 43
hand of him that hated 153
hand of him that loved 60
hand of him that loves 65
hand of him who alone 54
hand of him who holds 65
hand of him who knows 118
hand of him who leaned 42
hand of him who rules 62
hand of him who would 238
hand of him who wrote 55
hand of his old enemy 40
hand of his own child 280
hand of his own father 381
hand of his own mother 47
hand of his own niece 52
hand of his own people 59
hand of his son james 42
hand of hot and forcing 193
hand of man can never 62
hand of man can raise 87
hand of man had added 46
hand of man had never 308
hand of man has acted 42
hand of man has added 60
hand of man has given 75
hand of man has never 561
hand of one who could 123
hand of one who knows 119
hand of one who looks 70
hand of one who loves 58
hand of one who would 66
hand of that god whose 117
hand of that man whose 154
hand on each and every 41
hand on earth that could 79
hand on her arm again 145
hand on her arm quite 76
hand on her arm until 55
hand on her arm while 48
hand on her head again 124
hand on her hip while 108
hand on her own belly 43
hand on hip and right 159
hand on his and asked 42
hand on his arm again 482
hand on his arm moaning 63
hand on his arm until 44
hand on his arm while 118
hand on his dear breast 126
hand on his head again 55
hand on his hip while 96
hand on his own breast 90
hand on his own chest 142
hand on his own sword 71
hand or hear his voice 86
hand or with both hands 237
hand so long that flora 58
hand so that all could 116
hand so that her fingers 104
hand so that his fingers 88
hand so that she could 2232
hand so that she might 160
hand so that she would 221
hand so that they could 611
hand so that they might 286
hand so that they would 257
hand so that you could 89
hand so weak and white 65
hand the cup was found 198
hand the ease with which 106
hand the key that would 93
hand the pen with which 53
hand the rod with which 146
hand to aid his strong 51
hand to and fro above 43
hand to any and every 44
hand to cup her breast 171
hand to cup her cheek 284
hand to cup his cheek 93
hand to cut him short 50
hand to deal with russia 44
hand to deal with serbia 49
hand to her head again 56
hand to her hot cheek 79
hand to her own cheek 72
hand to her own chest 42
hand to her own throat 99
hand to him and asked 61
hand to him and cried 141
hand to him and shook 42
hand to him and smiling 44
hand to his head again 116
hand to his head where 78
hand to his head which 71
hand to his lip again 43
hand to his own cheek 54
hand to his own chest 65
hand to his own throat 61
hand to hit her again 64
hand to hit him again 51
hand to pay its bills 46
hand to rub her newly 46
hand to run her fingers 116
hand to run his fingers 90
hand to set them right 45
hand to set things right 44
hand to try and grasp 143
hand up with her fingers 52
hand we can not allow 100
hanging by her own fingers 44
hanging in its old place 88
hanging on each and every 42
hanging on thus for weeks 43
hanging on with both hands 532
hanging on with his hands 125
hanging us you can stamp 164
hard as any man could 167
hard as any one could 54
hard as his lot might 51
hard as one cat looks 72
hard as she had feared 70
hard as she had tried 124
hard as they can until 57
hard as they had tried 41
hard as this may sound 64
hard as you can about 110
hard as you can stand 59
hard as you can until 134
hard as you can while 174
hard at all our pumps 56
hard at his own jokes 91
hard by and for which 50
hard by day and night 112
hard by was set apart 96
hard in all our lives 54
hard it was and small 76
hard it was for people 155
hard it was for wight 297
hard it was for women 120
hard or too big words 69
hard so that she could 183
hard so that she would 126
hard so that they could 317
hard so that they would 184
hard to ask for money 42
hard to bear and often 54
hard to beat for sheer 110
hard to beat for value 40
hard to bring them about 42
hard to bring this about 199
hard to deal with after 75
hard to deal with people 100
hard to deal with since 50
hard to earn his money 65
hard to earn that money 60
hard to get and often 64
hard to get any money 86
hard to get any sense 88
hard to get any sleep 122
hard to get going again 135
hard to get her bearings 52
hard to get her mother 40
hard to get his bearings 64
hard to get his hands 54
hard to get his voice 43
hard to get our ricks 50
hard to get out again 197
hard to get that money 47
hard to get them right 133
hard to get things right 251
hard to get this place 76
hard to get this point 73
hard to get this right 113
hard to get too upset 43
hard to hear his voice 64
hard to hear his words 52
hard to pay his debts 63
hard to put things right 107
hard to read and often 95
hard to read and write 109
hard to say for which 62
hard to say how close 103
hard to say how large 124
hard to say how often 499
hard to say that anything 554
hard to say that either 248
hard to say who could 62
hard to say who fared 129
hard to say who first 129
hard to say who might 43
hard to say who really 61
hard to say who would 128
hard to say why people 41
hard to say with which 78
hard to see any basis 79
hard to see any cause 43
hard to see any change 42
hard to see any major 52
hard to see any point 85
hard to see any reason 631
hard to see any sense 65
hard to see any trace 51
hard to see any value 61
hard to see how anything 1258
hard to see how change 45
hard to see how china 47
hard to see how easily 61
hard to see how either 1433
hard to see how facts 48
hard to see how hegel 42
hard to see how human 260
hard to see how james 66
hard to see how japan 54
hard to see how jesus 63
hard to see how moral 67
hard to see how others 41
hard to see how people 349
hard to see how plato 52
hard to see how russia 45
hard to see how social 112
hard to see how state 382
hard to see how trade 45
hard to see how under 61
hard to see how women 128
hard to see that anything 182
hard to see that either 179
hard to see that every 111
hard to see that people 51
hard to see that under 114
hard to see that women 41
hard to see who could 95
hard to see who would 176
hard to see why either 294
hard to see why james 40
hard to see why people 378
hard to see why women 70
hard to see you looking 49
hard to set any limit 69
harm the man who rests 42
harm to any real people 42
harm to him that would 52
harm to his and every 119
harm to his own cause 69
harm to men and women 59
harm to them and others 55
harm to them that loved 75
harm to you and yours 44
hast an eye for light 54
hast so long bid adieu 41
hate it and are never 40
hate it for this reason 74
hate me for not telling 52
hate the man who loves 107
hate the man who owned 44
hate the man who would 89
hate the one and cleave 74
hate the way she looks 46
hate the way you lurch 45
hate to ask for money 43
hate to cut this short 658
hate to cut you short 149
hate to fly with empty 45
hate to hear you talking 244
hate to read new books 206
hate to say that about 127
hate to say this about 613
hate to see dead people 225
hate to see that evening 408
hate to see two people 181
hate to see you getting 208
hate to see you hurting 197
hate to see you looking 251
hate to see you sitting 143
hate to see you spend 79
hate to see you start 101
hate to see you upset 90
hate to see you waste 488
hate to see you wasting 286
hate to see you working 163
hating the way her voice 148
hats so that they could 82
haul on his own rolling 41
have an area set aside 457
have an easy and quick 61
have an easy and short 41
have an easy way about 43
have an eye for anything 45
have an eye for beauty 560
have an eye for color 298
have an eye for every 55
have an eye for women 41
have an eye that never 92
have an idea and start 40
have an idea for getting 55
have an idea not nearly 55
have an idea she would 47
have an idea that after 61
have an idea that could 252
have an idea that every 112
have an idea that maybe 52
have an idea that might 882
have an idea that needs 54
have an idea that people 149
have an idea that seems 54
have an idea that women 62
have an idea that would 208
have an idea they might 50
have an idea they would 53
have an idea who might 109
have an idea you could 68
have an idea you might 155
have an idea you would 71
have an old shoe thrown 69
have as they get older 48
have as yet but small 57
have as yet had either 82
have as yet not begun 57
have as yet not found 255
have as yet not fully 56
have as yet not given 86
have as yet not taken 93
have at his own house 53
have at one end nests 65
have at our own doors 41
have by law and usage 159
have if she had known 56
have if they had given 59
have if they had hired 222
have if they had known 73
have if they had never 41
have if they had taken 59
have in any real sense 60
have in any way acted 85
have in any way aided 248
have in any way either 291
have in any way given 108
have in any way shown 47
have in any way tried 53
have in each and every 65
have in her own hands 43
have in her own house 70
have in her own right 59
have in her own words 40
have in him that which 46
have in his own hands 262
have in his own house 96
have in his own right 428
have in his own words 515
have in its own bosom 74
have in its own hands 65
have in its own right 256
have in its own walls 60
have in our own hands 332
have in our own hearts 140
have in our own homes 79
have in our own lives 156
have in our own minds 456
have in our own power 124
have in our own state 108
have in our own times 396
have in that new patch 41
have in that old blunt 44
have in that way taken 45
have in them that which 339
have in this new world 87
have in this one dirty 55
have in this way found 81
have in this way given 121
have in this way taken 49
have in this way tried 56
have is not yet known 43
have it all and still 115
have it for his money 43
have it for six months 69
have it for that price 88
have it for two weeks 90
have it hot and strong 143
have it now than later 68
have it off his hands 61
have it out that morning 72
have it out this morning 45
have it out with mother 57
have it out with russia 120
have it than any title 57
have it than not exist 46
have it that all hands 164
have it that his taste 432
have it that his wares 42
have it that sir roger 121
have it that they would 47
have it that you saved 63
have me act his grace 68
have me for his guest 84
have me with her again 42
have me with him again 49
have me with them again 54
have me with you again 52
have my hat and plume 56
have my job than yours 54
have my old one again 82
have my own idea about 176
have my own way about 440
have my own way after 83
have my ups and downs 488
have my way thou shalt 55
have no cut and dried 246
have no eye for anything 134
have no eye for beauty 103
have no eye for color 61
have no fear for anything 44
have no fear nor shall 165
have no fear that anything 135
have no fear that either 129
have no head for anything 61
have no head for dates 41
have no head for names 40
have no head for risks 118
have no idea and which 47
have no idea how amusing 50
have no idea how awful 259
have no idea how badly 873
have no idea how bored 85
have no idea how brave 84
have no idea how close 992
have no idea how crazy 59
have no idea how cruel 83
have no idea how cunning 45
have no idea how easily 94
have no idea how funny 183
have no idea how happy 1213
have no idea how hungry 77
have no idea how large 419
have no idea how lucky 490
have no idea how oddly 93
have no idea how often 1496
have no idea how people 297
have no idea how proud 158
have no idea how really 54
have no idea how right 90
have no idea how rough 60
have no idea how silly 60
have no idea how small 106
have no idea how sorry 308
have no idea how strong 281
have no idea how sweet 127
have no idea how tired 311
have no idea how tough 134
have no idea how truly 63
have no idea how upset 245
have no idea now where 46
have no idea that anything 277
have no idea that either 173
have no idea that every 89
have no idea that people 58
have no idea they shall 50
have no idea who built 45
have no idea who could 257
have no idea who first 159
have no idea who lives 53
have no idea who might 402
have no idea who would 191
have no idea who wrote 422
have no idea why people 157
have no law and order 46
have no man who could 66
have no one who cares 222
have no one who could 145
have no one who knows 123
have no one who lords 44
have no one who loves 88
have no one who really 44
have no one who would 93
have no real idea about 140
have no real idea where 100
have no son who shall 77
have no ups and downs 51
have no use for anything 323
have no use for books 87
have no use for either 672
have no use for girls 48
have no use for magic 88
have no use for money 1730
have no use for people 286
have no use for poetry 57
have no use for women 192
have no use for words 92
have no use nor right 46
have no wings with which 43
have of her bad taste 50
have of men and women 58
have of our own lives 45
have of our own merit 43
have of our own minds 84
have on all our lives 46
have on each and every 43
have on men and women 159
have on our own lives 59
have on them that stamp 46
have on you and others 65
have so far not found 549
have so far not given 297
have so far not shown 267
have so far not taken 331
have so far not tried 41
have so far set aside 41
have so long and often 147
have tea with her mother 127
have tea with him again 42
have tea with his mother 132
have the big gun fired 44
have the bow and arrow 505
have the car out front 110
have the car that night 53
have the car this evening 42
have the day and night 58
have the day off today 115
have the dear old house 62
have the gum that oozes 66
have the head and thorax 467
have the head and upper 148
have the idea that after 45
have the idea that anything 72
have the idea that change 78
have the idea that every 128
have the idea that jesus 41
have the idea that people 99
have the idea that since 56
have the idea that women 75
have the joy that comes 86
have the key that opens 74
have the key with which 55
have the law set aside 67
have the long and short 55
have the man and woman 69
have the man she hates 51
have the man she loved 305
have the man she loves 125
have the man she wants 78
have the man who could 43
have the man who knows 49
have the men and women 608
have the new law apply 57
have the old pit dried 110
have the red and green 64
have the red and white 54
have the sun for father 55
have the things and wares 45
have the things for which 53
have the things she wants 42
have the things that might 47
have the things that money 67
have the ups and downs 131
have the wit and beauty 40
have to add that after 41
have to add that since 49
have to add that while 45
have to ask all sorts 53
have to ask for anything 538
have to ask for every 81
have to ask for mercy 63
have to ask for money 1272
have to ask for water 78
have to ask god about 58
have to ask her about 1463
have to ask her again 112
have to ask her father 596
have to ask her first 241
have to ask her mother 632
have to ask her twice 134
have to ask her where 75
have to ask him about 1230
have to ask him again 168
have to ask him anything 82
have to ask him first 112
have to ask him later 76
have to ask him twice 233
have to ask him where 127
have to ask him which 43
have to ask his father 228
have to ask his mother 533
have to ask that needs 42
have to ask them about 252
have to ask them first 73
have to ask them twice 51
have to ask why people 61
have to ask you about 945
have to ask you again 646
have to ask you anything 41
have to ask you every 44
have to ask you first 153
have to ask you folks 44
have to ask you people 44
have to ask you twice 55
have to ask you where 161
have to bear all costs 57
have to bear all sorts 45
have to bear and raise 47
have to bear and which 40
have to bear any costs 53
have to bear his share 114
have to bear its share 147
have to bear our cross 44
have to bear our share 83
have to bear that cross 40
have to bear them alone 72
have to bear this alone 101
have to bear this cross 111
have to bear with people 43
have to beg for anything 68
have to beg for every 92
have to beg for mercy 78
have to beg for money 265
have to bid you adieu 126
have to bring his action 118
have to buy and store 57
have to buy new seeds 81
have to buy them again 45
have to buy this house 47
have to cut and carry 43
have to cut and paste 650
have to cut her loose 44
have to cut him loose 262
have to cut his throat 72
have to cut its price 60
have to cut our visit 42
have to cut out nearly 41
have to cut them loose 98
have to cut this short 988
have to cut you loose 61
have to cut you short 86
have to deal and which 62
have to deal with about 131
have to deal with acute 48
have to deal with after 374
have to deal with again 384
have to deal with alone 90
have to deal with anything 669
have to deal with arise 60
have to deal with atoms 45
have to deal with banks 48
have to deal with basic 55
have to deal with black 82
have to deal with blood 92
have to deal with cases 538
have to deal with change 200
have to deal with changing 114
have to deal with child 109
have to deal with china 72
have to deal with civil 49
have to deal with crime 73
have to deal with cross 88
have to deal with daily 526
have to deal with drugs 43
have to deal with eight 121
have to deal with either 706
have to deal with enemy 40
have to deal with ethnic 52
have to deal with every 1239
have to deal with extra 76
have to deal with facts 751
have to deal with false 45
have to deal with feeling 59
have to deal with fewer 190
have to deal with finding 50
have to deal with first 184
have to deal with forms 84
have to deal with getting 167
have to deal with grief 61
have to deal with group 47
have to deal with growing 81
have to deal with guilt 103
have to deal with human 1798
have to deal with indian 42
have to deal with irate 75
have to deal with labor 163
have to deal with large 968
have to deal with later 1473
have to deal with legal 106
have to deal with light 93
have to deal with local 301
have to deal with longer 89
have to deal with major 159
have to deal with messy 47
have to deal with minds 43
have to deal with minor 53
have to deal with mixed 96
have to deal with money 282
have to deal with moral 81
have to deal with myriad 41
have to deal with nearly 62
have to deal with noise 50
have to deal with others 373
have to deal with parts 52
have to deal with people 3557
have to deal with power 62
have to deal with quite 436
have to deal with racial 97
have to deal with rather 105
have to deal with really 51
have to deal with right 175
have to deal with rules 62
have to deal with russia 74
have to deal with seven 66
have to deal with short 108
have to deal with small 280
have to deal with sober 40
have to deal with social 273
have to deal with space 91
have to deal with staff 62
have to deal with state 302
have to deal with still 53
have to deal with strong 169
have to deal with stuff 48
have to deal with tasks 59
have to deal with terms 50
have to deal with threats 68
have to deal with today 1099
have to deal with tough 55
have to deal with trade 143
have to deal with under 181
have to deal with unions 164
have to deal with until 119
have to deal with upset 41
have to deal with users 55
have to deal with varying 76
have to deal with water 180
have to deal with waves 57
have to deal with where 48
have to deal with which 74
have to deal with while 222
have to deal with white 152
have to deal with whole 59
have to deal with women 285
have to deal with words 61
have to deal with would 554
have to dig and delve 45
have to dig and slave 67
have to dig for water 60
have to earn any money 43
have to earn her trust 100
have to earn his trust 47
have to earn our daily 44
have to earn our livings 57
have to earn our trust 44
have to earn that right 144
have to earn that trust 65
have to fear them after 59
have to fix our minds 64
have to get all huffy 107
have to get all sorts 55
have to get all upset 54
have to get both sides 44
have to get going again 51
have to get going right 126
have to get her alone 55
have to get her father 48
have to get her hands 79
have to get him alone 69
have to get him drunk 48
have to get him first 59
have to get his father 47
have to get his hands 271
have to get his money 45
have to get his mother 42
have to get mad about 110
have to get off again 54
have to get our bearings 41
have to get our hands 331
have to get our minds 68
have to get our money 105
have to get our people 97
have to get our story 59
have to get our stuff 46
have to get out again 222
have to get out every 42
have to get out first 141
have to get out quick 131
have to get out right 145
have to get out while 104
have to get real about 87
have to get real close 151
have to get that close 200
have to get that fixed 199
have to get that money 110
have to get that right 52
have to get that stuff 67
have to get them first 111
have to get them fixed 109
have to get them right 117
have to get things right 225
have to get this fixed 99
have to get this money 83
have to get this place 120
have to get this right 481
have to get this story 70
have to get this stuff 166
have to get too close 700
have to get you fixed 149
have to hear all about 263
have to hear and judge 112
have to hear and which 270
have to hear both sides 64
have to hear her voice 60
have to hear his voice 129
have to hear that again 40
have to hear that story 50
have to hear them again 42
have to hear this story 82
have to hit him again 87
have to hit them where 40
have to hit you again 173
have to lay low until 43
have to lay new bonds 44
have to lay off people 134
have to lay off staff 73
have to lay our hands 42
have to lay out about 46
have to lay out money 123
have to lay them aside 128
have to lead our lives 72
have to let her alone 43
have to let him alone 76
have to let him sleep 44
have to let him touch 52
have to let them alone 191
have to let them build 42
have to lie for hours 60
have to lie low until 100
have to mix and match 130
have to mix with people 139
have to opt for either 52
have to pay all costs 141
have to pay all kinds 89
have to pay and which 100
have to pay any bills 67
have to pay any board 124
have to pay any child 41
have to pay any costs 92
have to pay any extra 158
have to pay any fines 51
have to pay any fixed 57
have to pay any money 910
have to pay any price 158
have to pay any state 151
have to pay any taxes 1133
have to pay big bucks 108
have to pay big money 43
have to pay for anything 1122
have to pay for basic 88
have to pay for board 134
have to pay for books 201
have to pay for breaking 58
have to pay for child 587
have to pay for cleaning 115
have to pay for costs 47
have to pay for dearly 53
have to pay for drugs 68
have to pay for either 116
have to pay for every 835
have to pay for extra 253
have to pay for funds 50
have to pay for getting 257
have to pay for goods 407
have to pay for housing 352
have to pay for items 67
have to pay for keeping 100
have to pay for killing 43
have to pay for labor 372
have to pay for later 261
have to pay for legal 77
have to pay for letting 46
have to pay for loans 67
have to pay for local 89
have to pay for lodging 70
have to pay for lunch 91
have to pay for money 547
have to pay for music 45
have to pay for others 57
have to pay for paper 57
have to pay for parking 940
have to pay for parts 60
have to pay for people 63
have to pay for power 51
have to pay for putting 63
have to pay for rooms 48
have to pay for sending 62
have to pay for social 88
have to pay for space 111
have to pay for taxes 42
have to pay for theirs 109
have to pay for until 61
have to pay for water 838
have to pay for world 127
have to pay for yours 49
have to pay her anything 102
have to pay her share 63
have to pay him anything 226
have to pay him every 40
have to pay him extra 64
have to pay him money 59
have to pay his bills 73
have to pay his debts 154
have to pay his price 69
have to pay his share 195
have to pay his taxes 78
have to pay its debts 52
have to pay its fixed 67
have to pay its price 75
have to pay its share 115
have to pay off debts 59
have to pay one penny 192
have to pay one rupee 46
have to pay our bills 140
have to pay our debts 141
have to pay our rents 73
have to pay our share 74
have to pay our taxes 94
have to pay out about 55
have to pay out funds 51
have to pay out large 114
have to pay out money 240
have to pay real money 52
have to pay six cents 44
have to pay six times 40
have to pay ten cents 130
have to pay ten times 237
have to pay that extra 41
have to pay that money 141
have to pay that price 682
have to pay them again 45
have to pay them anything 128
have to pay them money 73
have to pay them seven 42
have to pay them twice 73
have to pay them wages 54
have to pay this extra 57
have to pay this money 327
have to pay this price 489
have to pay too dearly 230
have to pay two cents 68
have to pay two taxes 41
have to pay with blood 69
have to pay with money 40
have to pay you anything 100
have to pin our hopes 46
have to pry her fingers 41
have to put any money 176
have to put god first 48
have to put her hands 52
have to put her under 99
have to put him right 60
have to put him under 219
have to put his hands 123
have to put his trust 53
have to put its house 40
have to put off getting 41
have to put off sense 141
have to put off telling 49
have to put off until 65
have to put our hands 146
have to put our house 181
have to put our lives 56
have to put our minds 85
have to put our money 105
have to put our names 69
have to put our trust 276
have to put out fires 69
have to put out paper 119
have to put that aside 173
have to put that money 51
have to put that right 102
have to put that stuff 48
have to put them aside 232
have to put them right 50
have to put them under 55
have to put things right 301
have to put this right 142
have to put you under 362
have to read all about 59
have to read and reread 234
have to read and study 432
have to read and write 1191
have to read any books 47
have to read his books 53
have to read old books 114
have to read that stuff 90
have to read them again 125
have to read them aloud 44
have to read them first 101
have to read this story 42
have to read this stuff 93
have to read this whole 44
have to read two books 47
have to rid our minds 86
have to run for cover 258
have to run ten miles 43
have to run this place 101
have to run with blood 55
have to run with every 52
have to say and offer 51
have to say and write 89
have to say may appear 60
have to say may sound 67
have to say now about 126
have to say that about 324
have to say that after 390
have to say that again 195
have to say that anything 52
have to say that could 161
have to say that edgar 41
have to say that either 288
have to say that every 508
have to say that first 43
have to say that getting 47
have to say that human 82
have to say that jesus 178
have to say that labor 41
have to say that learning 44
have to say that maybe 57
have to say that might 168
have to say that nearly 54
have to say that never 69
have to say that people 208
have to say that poetry 45
have to say that quite 142
have to say that right 72
have to say that since 243
have to say that social 44
have to say that stuff 60
have to say that though 189
have to say that today 94
have to say that twice 188
have to say that under 105
have to say that until 77
have to say that where 66
have to say that which 56
have to say that while 915
have to say that within 50
have to say that women 117
have to say that working 46
have to say that would 450
have to say things about 42
have to say things which 121
have to say this about 297
have to say this again 315
have to say this evening 212
have to say this morning 394
have to say this twice 84
have to say two words 44
have to say with green 53
have to say with shame 57
have to say you would 67
have to see both sides 95
have to see her about 63
have to see her again 1478
have to see her every 181
have to see her father 157
have to see her first 303
have to see her mother 189
have to see her often 64
have to see her right 63
have to see her today 53
have to see him about 172
have to see him after 46
have to see him again 5497
have to see him alone 118
have to see him every 305
have to see him first 344
have to see him later 104
have to see him often 42
have to see him right 261
have to see him today 160
have to see him until 52
have to see his father 160
have to see his mother 103
have to see how close 40
have to see how people 46
have to see that again 81
have to see that every 210
have to see that people 93
have to see that place 42
have to see them again 637
have to see them every 138
have to see them first 185
have to see them later 47
have to see this movie 95
have to see this place 257
have to see this woman 88
have to see you about 116
have to see you again 1272
have to see you alone 83
have to see you every 83
have to see you first 125
have to see you later 79
have to see you right 275
have to see you today 130
have to set new goals 58
have to set off again 66
have to set our faces 45
have to set our minds 80
have to set out again 166
have to set that aside 52
have to set them aside 92
have to set things right 312
have to set this value 51
have to sit all alone 233
have to sit all night 69
have to sit and stare 98
have to sit and watch 1690
have to sit and worry 41
have to sit and write 57
have to sit day after 79
have to sit for hours 493
have to sit too close 42
have to that end named 129
have to this day found 40
have to this day never 186
have to try and avoid 106
have to try and build 63
have to try and carry 54
have to try and catch 480
have to try and change 123
have to try and create 75
have to try and fight 108
have to try and force 123
have to try and guess 330
have to try and match 53
have to try and please 47
have to try and prove 75
have to try and raise 58
have to try and reason 129
have to try and sleep 104
have to try and solve 61
have to try and write 73
have to try that again 194
have to try this again 57
have to use all kinds 117
have to use all sorts 79
have to use any force 56
have to use any words 62
have to use big words 204
have to use both hands 476
have to use his brain 55
have to use his fists 42
have to use his hands 213
have to use his power 147
have to use his sword 74
have to use his voice 45
have to use its power 205
have to use our fingers 47
have to use our hands 96
have to use our minds 154
have to use our power 71
have to use our reason 90
have to use that money 181
have to use that power 70
have to use them again 126
have to use them every 51
have to use this method 278
have to use this option 110
have to use this power 66
have to use this stuff 78
have to use this weapon 41
have to use two hands 182
have to wean her child 57
have to wear gas masks 147
have to wear long pants 46
have to wear seat belts 76
have to wear that awful 43
have to wear that dress 69
have to wear them again 93
have to wear them every 51
have to wear them until 50
have to wear this dress 65
have to wear two pairs 55
have to win her trust 52
have we can now write 49
have we had any fresh 60
have we had any reason 57
have we met with anything 60
have we not all known 63
have we not all reason 48
have we not long since 60
have we put our trust 98
have we set our hands 61
having an eye for beauty 67
having by his own fault 48
having by his zeal given 45
having in any way added 46
having in his own hands 136
having in his own right 123
having in his own words 50
having in its own hands 40
having in its own right 137
having in one day taken 52
having it are that which 53
having my head and hands 40
having no one who could 84
having tea with her mother 105
having tea with his mother 55
having the head and breast 71
having the head and thorax 221
having the head and upper 93
having the long and short 42
having the man she loved 55
having the men and women 61
having to ask for anything 151
having to ask for every 52
having to ask for money 309
having to ask his father 113
having to ask his mother 56
having to ask you every 71
having to beg for every 41
having to beg for money 110
having to bring two birds 43
having to cut and paste 249
having to deal with anything 118
having to deal with broad 45
having to deal with cases 92
having to deal with change 52
having to deal with either 44
having to deal with every 91
having to deal with facts 51
having to deal with fewer 42
having to deal with fixed 77
having to deal with human 68
having to deal with labor 43
having to deal with large 234
having to deal with local 73
having to deal with major 43
having to deal with money 67
having to deal with others 89
having to deal with people 731
having to deal with small 43
having to deal with social 73
having to deal with unions 81
having to deal with women 77
having to get too close 219
having to pay any money 116
having to pay any price 96
having to pay any taxes 166
having to pay for anything 94
having to pay for child 42
