hack limbs formed of stone 70
have lower scores on tests 63
have melting points of about 57
have money enough to bribe 54
have money enough to build 144
have money enough to carry 246
have money enough to marry 61
have money enough to raise 51
have money enough to spare 49
have money enough to spend 85
have money enough to start 93
have money enough to write 46
have moved across the river 63
have moved across the stage 41
have moved around the world 90
have moved beyond the first 69
have moved beyond the level 68
have moved beyond the point 189
have moved beyond the stage 248
have moved through the first 41
have moved toward the right 42
have nails instead of claws 102
have nearly choked up every 173
have nearly reached the limit 349
have nearly reached the point 159
have nerve enough to fight 41
have nerve enough to grasp 43
have never abused the power 45
have never agreed on anything 55
have never before or after 54
have never before or since 1643
have never beheld the light 47
have never broken it since 50
have never changed my views 46
have never denied the right 117
have never dreamed of anything 88
have never failed at anything 69
have never failed in anything 53
have never failed of knowing 69
have never failed to appear 242
have never failed to burst 48
have never failed to carry 98
have never failed to catch 87
have never failed to create 51
have never failed to defeat 70
have never failed to enjoy 49
have never failed to exert 73
have never failed to offer 53
have never failed to point 129
have never failed to prove 95
have never failed to repeat 55
have never failed to visit 46
have never formed the basis 57
have never formed the habit 191
have never harmed the house 66
have never killed an enemy 49
have never learned the basic 44
have never learned the first 101
have never learned the value 95
have never learned to apply 50
have never learned to dance 83
have never learned to drive 148
have never learned to enjoy 113
have never learned to fight 62
have never learned to spell 45
have never learned to stand 71
have never learned to study 49
have never learned to trust 210
have never learned to value 80
have never learned to write 196
have never looked at anything 96
have never placed an order 51
have never raised my voice 58
have never reached the level 120
have never reached the point 211
have never reached the stage 157
have never seemed so sweet 47
have never shared the world 160
have never sought to apply 113
have never sought to place 162
have never spared the spade 268
have never spoken of anything 80
have never spoken to either 137
have never stolen the value 53
have never thought in terms 218
have never thought it right 303
have never thought it would 49
have never thought of anything 342
have never thought of calling 47
have never thought of denying 105
have never thought of getting 55
have never thought of killing 48
have never thought of looking 107
have never thought of putting 93
have never thought of running 66
have never thought of sending 65
have never thought of turning 45
have never thought of writing 291
have never thought or acted 45
have never thought so since 75
have never thought we could 56
have never wanted to change 61
have never wanted to marry 87
have never wanted to write 114
have never wished to force 40
have never wished to marry 44
have never wished to place 67
have often amused my fancy 147
have often beheld the clown 123
have often dreamed of toiling 111
have often failed of judging 82
have often failed to apply 93
have often failed to grasp 95
have often formed the basis 137
have often joined the ranks 44
have often missed the point 56
have often passed the house 56
have often prayed to heaven 44
have often proved of value 63
have often quoted the words 50
have often raised the issue 45
have often risked my blood 50
have often shaken the whole 135
have often sought to avoid 49
have often sought to limit 44
have often spoken as though 58
have often tended to focus 89
have often thought in passing 80
have often thought in terms 49
have often thought it might 216
have often thought it would 1079
have often thought of getting 116
have often thought of keeping 80
have often thought of putting 61
have often thought of setting 56
have often thought of since 335
have often thought of telling 141
have often thought of turning 75
have often thought of writing 835
have often thought so since 86
have often thought the father 42
have often wanted to write 130
have often wished he would 60
have often wished to visit 164
have often wished to write 207
have often wished we could 108
have often worked at cross 136
have power enough to carry 94
have power enough to raise 58
have power higher to raise 46
have punch enough to drown 53
have quite enough to carry 57
have quite enough to worry 80
have quite failed to grasp 44
have quite forgot the power 121
have quite missed the point 55
have ranged across the whole 40
have rather missed the point 52
have rather sought to avoid 41
have really seized the nation 48
have really tended to exalt 55
have risen across the board 83
have risen before the sight 84
have risen beyond the level 64
have risen greatly in price 62
have risen greatly in value 80
have risen through the ranks 1130
have saved enough to cover 46
have saved enough to start 76
have seated myself to write 99
have sense enough to adopt 93
have sense enough to avoid 220
have sense enough to carry 50
have sense enough to decay 40
have sense enough to enjoy 58
have sense enough to pound 42
have sense enough to raise 42
have sense enough to stick 40
have sense enough to trace 151
have sense without the sound 52
have seven troops of horse 45
have sharp points or edges 83
have shone through the whole 48
have shown enough to prove 68
have since become the basis 209
have since become the focus 43
have since become the motto 43
have since fallen in spain 67
have since filled the world 43
have since formed the basis 250
have since joined the ranks 92
have since learned to apply 42
have since learned to count 41
have since sought to trace 101
have skill enough to cover 129
have slept through the alarm 72
have slept through the night 343
have slept through the noise 53
have slept through the storm 49
have slept through the whole 368
have small chance of finding 49
have small chance of getting 93
have small chance of winning 51
have smoking joints of roast 199
have social orders in which 79
have solid ground on which 49
have solid ground to stand 52
have spent almost my whole 52
have spent almost the whole 190
have spent twenty or thirty 146
have spread across the globe 231
have spread across the nation 82
have spread across the whole 228
have spread across the world 258
have spread around the globe 229
have spread around the world 1859
have spread beyond the breast 129
have spread beyond the ovary 76
have spread slowly at first 77
have spread through the people 64
have spread through the region 42
have spread through the whole 860
have spread through the world 170
have still failed to grasp 53
have stood almost as still 48
have stood before my royal 51
have stood before the altar 63
have stood before the throne 41
have stood before the world 258
have stood beside the grave 93
have stood tamely by while 209
have stood without the walls 41
have strong feelings in favor 41
have strong feelings of guilt 253
have strong feelings of shame 50
have strong reasons to doubt 95
have swept across my brain 80
have swept across the nation 47
have swept across the region 45
have swept across the world 142
have swept around the world 44
have swept through the region 45
have swept through the world 161
have sworn before the altar 40
have taken canada in thirty 46
have taken london by storm 59
have taken notice of above 54
have taken notice of every 52
have taken notice of would 77
have taken refuge in caves 40
have taken refuge in italy 42
have taken refuge in paris 59
have taken refuge on board 213
have taken twenty or thirty 92
have thither packed the worst 55
have thrown floods of light 65
have thrown myself in front 41
have thrown something of state 89
have today reached the point 49
have total recall of every 48
have treaty rights in china 44
have tried harder to avoid 43
have tried simply to write 40
have varying levels of power 117
have varying levels of skill 57
have walls formed of tough 41
have wealthy slaves it ceases 44
have which proves the theorem 94
have within itself the power 355
have within itself the seeds 44
having anything better to offer 65
having armed almost the whole 64
having broke through the enemy 68
having crept through the opening 40
having either higher or lower 45
having first denied the claim 47
having first formed the habit 68
having first opened the study 105
having first reached the limit 41
having given notice in writing 223
having given notice of appeal 65
having knelt before the altar 56
having large flocks of sheep 42
having lived through the first 43
having lived through the period 105
having lived through the whole 143
having money enough to build 109
having people around the house 43
having risen through the ranks 256
having slept little at night 71
having slept little the night 73
having slept through the night 155
having small powers of meeting 49
having spent almost the whole 128
having taken fright at sight 72
having taken refuge on board 45
having twice passed the night 41
having whole groves of humming 44
having within itself the power 50
hawk sailing through the upper 66
healing warmth seemed to flood 76
health nurse should be aware 100
heard darting across the pelting 63
heard dashing through the dried 59
heard echoing through the halls 51
heard echoing through the house 45
heard echoing through the trees 48
heard echoing through the woods 45
heard either before or after 59
heard either before or since 52
heard faint sounds of music 68
heard mingled sounds of music 41
hearing either before or after 143
hearing tests should be given 41
heart again through the veins 44
heart could forbear to bless 307
heart could refuse to yield 40
heart wants something to adore 43
heart which forces the blood 44
heart whose anguish it would 68
heart would sooner or later 74
heavy breathing warmed the hands 65
heavy rains caused the river 73
heavy stick through the brass 47
heavy stone carvings of coats 43
heir shall ascend the throne 74
held broad enough to cover 43
held either before or after 570
held every office of power 81
held hands across the table 820
held hands around the table 332
held hearings around the state 162
held large blocks of stock 217
held within itself the seeds 113
help others around the world 46
help others neither by reason 76
help people around the world 554
help which should be given 135
herd broke through the fence 46
herd round through the jungle 64
here again remind the reader 91
here either before or after 63
here every couple of months 56
here every couple of weeks 79
here every minute of every 44
here first tasted the steel 46
here place before the reader 86
here since before the first 42
here which should be noted 43
here while harold the saxon 44
hide could supply the place 167
hide passing around the horse 94
high blood levels of local 197
high bluff across the river 61
high cross before the mayor 147
high field before it shows 134
high gothic building the words 69
high hills across the river 74
high marks across the board 47
high moral ground on which 61
high place before the people 216
high place should be given 59
high serum levels of growth 76
high social esteem in which 64
high social status of women 75
high speed through the water 117
high value placed on human 274
high value placed on learning 51
high value placed on social 78
high value placed on women 108
hill sharp streaks of black 41
hold about groups of people 61
hold hands across the table 131
hold hands around the table 155
hold large blocks of stock 171
hole bored through the block 85
hole bored through the ceiling 41
hole large enough to admit 2286
hole large enough to allow 811
hole large enough to crawl 177
hole large enough to drive 74
hole large enough to spread 55
hole right through the floor 44
hole right through the paper 42
hole which engulfs the social 89
holy place through the which 57
holy water around the house 42
holy water stoups of stone 42
home about eleven at night 53
home after school to empty 41
home after spending an evening 46
home after spending the evening 106
home after spending the night 154
home alone through the birch 62
home alone through the woods 42
home either before or after 78
home every couple of months 60
home every couple of weeks 76
home large enough to house 72
home would become the scene 41
hood large enough to cover 104
hope would sooner or later 45
horn which formed the earthly 57
hour after crossing the river 44
hour after eleven at night 49
hour after entering the woods 44
hour after twelve at night 215
hour either before or after 113
hour running through the fleet 46
hour shall arrive in which 73
huge armed forces of about 71
huge black clouds of smoke 122
huge black column of smoke 106
huge leering fellow in bushy 53
huge river called the rhine 70
huge water snakes in motion 132
hulk seeming larger at every 44
hull cutting through the water 89
hull moves through the water 65
