had alcohol and drug problems 75
his traveling and other expenses 66
his treasure had been bestowed 43
his triumph had been complete 41
his victims and their families 141
his victims and their kinsfolk 45
his victory was more complete 71
his village had been attacked 66
his wardens and other officers 55
his warriors and their families 131
his wealthier and more educated 41
his workers and their families 480
his workmen and their families 149
his workmen had been employed 90
hot flashes and other symptoms 497
hot flushes and other symptoms 62
how closely they have followed 45
how closely they were followed 53
how closely you have followed 49
how comfort has been increased 78
how cruelly they have commonly 94
how european and north american 45
how infants and young children 224
how parents and their children 75
how parents can help children 185
how parents rear their children 69
how sharply cut their outlines 60
how success has been achieved 43
how teachers and their students 41
how teachers can help children 147
how teachers can help students 313
how utterly thou hast murdered 410
how workers and their families 44
how worthily this great assembly 40
